ion,mass,Intensities
a01,265.081104,0.871424
,266.083609,0.1133303
,267.085682,0.0139905
a01+CMCT,516.280866,0.7366547
,517.283645,0.2186813
,518.286149,0.0389432
,519.288587,0.0051417
a01-G,114.031694,0.9397129
,115.034714,0.0563666
,116.036264,0.0072085
a01+CMCT-G,365.231456,0.7943825
,366.234554,0.1772528
,367.237139,0.0253972
,368.239687,0.0027293
a02,610.128539,0.7537737
,611.131053,0.1970102
,612.133225,0.0418502
,613.135503,0.0064523
a02+CMCT,861.328301,0.6371995
,862.331002,0.2728301
,863.333438,0.0727904
,864.335836,0.0144975
,865.33819,0.0023582
a02-G,459.079129,0.8128429
,460.081918,0.1525225
,461.083954,0.0302732
,462.086398,0.0038894
a02+CMCT-G,710.278891,0.6871335
,711.281776,0.2435518
,712.284236,0.0574855
,713.286697,0.010179
a03,916.153841,0.6648255
,917.156497,0.2467044
,918.158745,0.0705502
,919.161091,0.0148546
,920.163343,0.0026655
a03+CMCT,1167.353603,0.5620075
,1168.356363,0.3022964
,1169.358827,0.1029225
,1170.361257,0.0262087
,1171.363635,0.005481
a03-G,765.104431,0.7169243
,766.107295,0.2131824
,767.10946,0.0571764
,768.111915,0.0107159
a03+CMCT-G,1016.304194,0.6060491
,1017.307104,0.2813051
,1018.309579,0.0875559
,1019.31206,0.020439
,1020.314465,0.0039564
a04,1221.195128,0.5855924
,1222.197817,0.283536
,1223.200135,0.0985703
,1224.202502,0.0255671
,1225.204794,0.0055806
a04+CMCT,1472.39489,0.4950281
,1473.397657,0.3222594
,1474.400144,0.1307902
,1475.40259,0.0396206
,1476.404984,0.0098412
a04-G,1070.145718,0.6314821
,1071.148564,0.2591996
,1072.150844,0.0843793
,1073.15328,0.0200746
,1074.155574,0.0041089
a04+CMCT-G,1321.34548,0.5338209
,1322.348368,0.3081575
,1323.350872,0.1159487
,1324.353359,0.0327035
,1325.355776,0.007623
a05,1527.22043,0.5164902
,1528.223175,0.306745
,1529.225553,0.1256985
,1530.227956,0.0385844
,1531.230288,0.0099018
a05+CMCT,1778.420192,0.4366129
,1779.422991,0.332135
,1780.425511,0.1561125
,1781.427983,0.0546894
,1782.430401,0.0156927
,1783.432791,0.00386
a05-G,1376.17102,0.5569648
,1377.173897,0.2897211
,1378.176256,0.1117143
,1379.17871,0.0319757
,1380.181049,0.0077643
a05+CMCT-G,1627.370783,0.4708279
,1628.373687,0.3234511
,1629.376224,0.1424077
,1630.378731,0.0469468
,1631.38117,0.0127627
,1632.383582,0.0029833
a06,1872.267865,0.4467592
,1873.27057,0.323997
,1874.272981,0.1535719
,1875.27538,0.0545688
,1876.277725,0.0160555
,1877.280052,0.0040688
a06+CMCT,2123.467627,0.3776661
,2124.470386,0.3368863
,2125.472909,0.1812168
,2126.475376,0.0722948
,2127.477795,0.0235163
,2128.480184,0.006542
a06-G,1721.218455,0.4817694
,1722.22126,0.3138688
,1723.223673,0.1403259
,1724.226107,0.0470107
,1725.228466,0.0131604
,1726.230814,0.0031793
a06+CMCT-G,1972.418217,0.4072618
,1973.421061,0.3332612
,1974.423605,0.1690385
,1975.426102,0.0639373
,1976.42854,0.0198269
,1977.430948,0.0052739
a07,2217.315299,0.3864426
,2218.317977,0.3309995
,2219.320409,0.1782913
,2220.32281,0.0717634
,2221.325165,0.0237537
,2222.327498,0.0067553
a07+CMCT,2468.515062,0.3266777
,2469.51779,0.3343007
,2470.520315,0.2023299
,2471.522782,0.0903554
,2472.525201,0.0327677
,2473.527591,0.0101389
,2474.529958,0.002761
a07-G,2066.26589,0.4167261
,2067.268648,0.3262153
,2068.271091,0.1663613
,2069.27352,0.0635912
,2070.27589,0.0201217
,2071.27824,0.0054843
a07+CMCT-G,2317.465652,0.3522777
,2318.468451,0.3345266
,2319.471,0.1919572
,2320.473491,0.0817287
,2321.475929,0.0283898
,2322.478336,0.0084379
,2323.480719,0.0022121
a08,2562.362734,0.3342693
,2563.365391,0.3302056
,2564.367838,0.1993007
,2565.370244,0.0894661
,2566.372606,0.0328466
,2567.374945,0.0103336
,2568.377265,0.0028714
a08+CMCT,2813.562497,0.2825732
,2814.565202,0.3262727
,2815.567728,0.2193114
,2816.570194,0.1082294
,2817.572616,0.0432162
,2818.575008,0.0146895
,2819.577377,0.004387
a08-G,2411.313324,0.3604642
,2412.316049,0.329507
,2413.318512,0.1890244
,2414.320941,0.0810067
,2415.323319,0.0285421
,2416.325673,0.0086404
,2417.328006,0.0023157
a08+CMCT-G,2662.513087,0.304717
,2663.515853,0.3293758
,2664.518403,0.2108605
,2665.520891,0.099642
,2666.52333,0.0382538
,2667.525738,0.0125346
,2668.528121,0.003616
a09,2867.404021,0.2944315
,2868.406692,0.3241538
,2869.409165,0.2144033
,2870.41159,0.1050762
,2871.413971,0.0419743
,2872.416327,0.0143409
,2873.418662,0.0043212
a09+CMCT,3118.603783,0.2488965
,3119.606497,0.3155394
,3120.60904,0.2307159
,3121.61152,0.1234446
,3122.613956,0.0533198
,3123.616361,0.0195758
,3124.618742,0.0063078
a09-G,2716.354611,0.3175045
,2717.357344,0.3261482
,2718.359834,0.205749
,2719.36228,0.0966304
,2720.364677,0.0371598
,2721.367047,0.0122537
,2722.369395,0.0035713
a09+CMCT-G,2967.554374,0.2684012
,2968.557142,0.3204788
,2969.559709,0.2239761
,2970.56221,0.1151292
,2971.564662,0.047951
,2972.567082,0.0170176
,2973.569477,0.0053107
a10,3212.451456,0.2546805
,3213.454111,0.313833
,3214.456592,0.2279778
,3215.459021,0.1220767
,3216.461408,0.0530606
,3217.463769,0.0196755
,3218.46611,0.006422
,3219.468434,0.0018842
a10+CMCT,3463.651218,0.2152931
,3464.653914,0.3012095
,3465.656457,0.2402277
,3466.658937,0.1395652
,3467.661375,0.0652521
,3468.663782,0.0258767
,3469.666165,0.0089922
,3470.668531,0.0027991
a10-G,3061.402046,0.2746385
,3062.404755,0.3181789
,3063.407255,0.2211653
,3064.409702,0.1138703
,3065.412105,0.0477772
,3066.414479,0.0171441
,3067.416832,0.0054255
a10+CMCT-G,3312.601808,0.2321645
,3313.604553,0.3076975
