ion,mass,Intensities
a01,265.081104,0.871424
,266.083609,0.11333
,267.085682,0.013991
a01+CMCT,516.280866,0.7366547
,517.283645,0.218681
,518.286149,0.038943
,519.288587,0.005142
a01+CMCT-G,365.231456,0.7943825
,366.234554,0.177253
,367.237139,0.025397
,368.239687,0.002729
a01-G,114.031694,0.9397129
,115.034714,0.056367
,116.036264,0.007209
a02,610.128539,0.7537737
,611.131053,0.19701
,612.133225,0.04185
,613.135503,0.006452
a02+CMCT,861.328301,0.6371995
,862.331002,0.27283
,863.333438,0.07279
,864.335836,0.014498
,865.33819,0.002358
a02+CMCT-G,710.278891,0.6871335
,711.281776,0.243552
,712.284236,0.057486
,713.286697,0.010179
a02-G,459.079129,0.8128429
,460.081918,0.152523
,461.083954,0.030273
,462.086398,0.003889
a03,916.153841,0.6648255
,917.156497,0.246704
,918.158745,0.07055
,919.161091,0.014855
,920.163343,0.002666
a03+CMCT,1167.353603,0.5620075
,1168.356363,0.302296
,1169.358827,0.102922
,1170.361257,0.026209
,1171.363635,0.005481
a03+CMCT-G,1016.304194,0.6060491
,1017.307104,0.281305
,1018.309579,0.087556
,1019.31206,0.020439
,1020.314465,0.003956
a03-G,765.104431,0.7169243
,766.107295,0.213182
,767.10946,0.057176
,768.111915,0.010716
a04,1221.195128,0.5855924
,1222.197817,0.283536
,1223.200135,0.09857
,1224.202502,0.025567
,1225.204794,0.005581
a04+CMCT,1472.39489,0.4950281
,1473.397657,0.322259
,1474.400144,0.13079
,1475.40259,0.039621
,1476.404984,0.009841
a04+CMCT-G,1321.34548,0.5338209
,1322.348368,0.308157
,1323.350872,0.115949
,1324.353359,0.032704
,1325.355776,0.007623
a04-G,1070.145718,0.6314821
,1071.148564,0.2592
,1072.150844,0.084379
,1073.15328,0.020075
,1074.155574,0.004109
a05,1527.22043,0.5164902
,1528.223175,0.306745
,1529.225553,0.125698
,1530.227956,0.038584
,1531.230288,0.009902
a05+CMCT,1778.420192,0.4366129
,1779.422991,0.332135
,1780.425511,0.156112
,1781.427983,0.054689
,1782.430401,0.015693
,1783.432791,0.00386
a05+CMCT-G,1627.370783,0.4708279
,1628.373687,0.323451
,1629.376224,0.142408
,1630.378731,0.046947
,1631.38117,0.012763
,1632.383582,0.002983
a05-G,1376.17102,0.5569648
,1377.173897,0.289721
,1378.176256,0.111714
,1379.17871,0.031976
,1380.181049,0.007764
a06,1872.267865,0.4467592
,1873.27057,0.323997
,1874.272981,0.153572
,1875.27538,0.054569
,1876.277725,0.016056
,1877.280052,0.004069
a06+CMCT,2123.467627,0.3776661
,2124.470386,0.336886
,2125.472909,0.181217
,2126.475376,0.072295
,2127.477795,0.023516
,2128.480184,0.006542
a06+CMCT-G,1972.418217,0.4072618
,1973.421061,0.333261
,1974.423605,0.169039
,1975.426102,0.063937
,1976.42854,0.019827
,1977.430948,0.005274
a06-G,1721.218455,0.4817694
,1722.22126,0.313869
,1723.223673,0.140326
,1724.226107,0.047011
,1725.228466,0.01316
,1726.230814,0.003179
a07,2217.315299,0.3864426
,2218.317977,0.331
,2219.320409,0.178291
,2220.32281,0.071763
,2221.325165,0.023754
,2222.327498,0.006755
a07+CMCT,2468.515062,0.3266777
,2469.51779,0.334301
,2470.520315,0.20233
,2471.522782,0.090355
,2472.525201,0.032768
,2473.527591,0.010139
,2474.529958,0.002761
a07+CMCT-G,2317.465652,0.3522777
,2318.468451,0.334527
,2319.471,0.191957
,2320.473491,0.081729
,2321.475929,0.02839
,2322.478336,0.008438
,2323.480719,0.002212
a07-G,2066.26589,0.4167261
,2067.268648,0.326215
,2068.271091,0.166361
,2069.27352,0.063591
,2070.27589,0.020122
,2071.27824,0.005484
a08,2562.362734,0.3342693
,2563.365391,0.330206
,2564.367838,0.199301
,2565.370244,0.089466
,2566.372606,0.032847
,2567.374945,0.010334
,2568.377265,0.002871
a08+CMCT,2813.562497,0.2825732
,2814.565202,0.326273
,2815.567728,0.219311
,2816.570194,0.108229
,2817.572616,0.043216
,2818.575008,0.01469
,2819.577377,0.004387
a08+CMCT-G,2662.513087,0.304717
,2663.515853,0.329376
,2664.518403,0.210861
,2665.520891,0.099642
,2666.52333,0.038254
,2667.525738,0.012535
,2668.528121,0.003616
a08-G,2411.313324,0.3604642
,2412.316049,0.329507
,2413.318512,0.189024
,2414.320941,0.081007
,2415.323319,0.028542
,2416.325673,0.00864
,2417.328006,0.002316
a09,2867.404021,0.2944315
,2868.406692,0.324154
,2869.409165,0.214403
,2870.41159,0.105076
,2871.413971,0.041974
,2872.416327,0.014341
,2873.418662,0.004321
a09+CMCT,3118.603783,0.2488965
,3119.606497,0.315539
,3120.60904,0.230716
,3121.61152,0.123445
,3122.613956,0.05332
,3123.616361,0.019576
,3124.618742,0.006308
a09+CMCT-G,2967.554374,0.2684012
,2968.557142,0.320479
,2969.559709,0.223976
,2970.56221,0.115129
,2971.564662,0.047951
,2972.567082,0.017018
,2973.569477,0.005311
a09-G,2716.354611,0.3175045
,2717.357344,0.326148
,2718.359834,0.205749
,2719.36228,0.09663
,2720.364677,0.03716
,2721.367047,0.012254
,2722.369395,0.003571
a10,3212.451456,0.2546805
,3213.454111,0.313833
,3214.456592,0.227978
,3215.459021,0.122077
,3216.461408,0.053061
,3217.463769,0.019676
,3218.46611,0.006422
,3219.468434,0.001884
a10+CMCT,3463.651218,0.2152931
,3464.653914,0.30121
,3465.656457,0.240228
,3466.658937,0.139565
,3467.661375,0.065252
,3468.663782,0.025877
,3469.666165,0.008992
,3470.668531,0.002799
a10+CMCT-G,3312.601808,0.2321645
,3313.604553,0.307698
,3314.607119,0.235337
,3315.609619,0.131739
,3316.612072,0.059546
,3317.614493,0.022881
,3318.616889,0.007718
,3319.619266,0.002335
a10-G,3061.402046,0.2746385
,3062.404755,0.318179
,3063.407255,0.221165
,3064.409702,0.11387
,3065.412105,0.047777
,3066.414479,0.017144
,3067.416832,0.005426
a11,3517.492742,0.224328
,3518.49541,0.301803
,3519.497911,0.236613
,3520.500356,0.136239
,3521.502759,0.063501
,3522.505135,0.025207
,3523.507489,0.008796
,3524.509826,0.002756
a11+CMCT,3768.692505,0.1896348
,3769.695208,0.28676
,3770.697765,0.245443
,3771.700258,0.152576
,3772.702708,0.076174
,3773.705127,0.032212
,3774.707522,0.011924
,3775.709897,0.003951
a11+CMCT-G,3617.643095,0.2044954
,3618.645844,0.294156
,3619.648423,0.242082
,3620.650935,0.145338
,3621.6534,0.070294
,3622.655832,0.028859
,3623.658239,0.010389
,3624.660626,0.003352
a11-G,3366.443333,0.2419074
,3367.44605,0.30762
,3368.44857,0.231401
,3369.451033,0.128441
,3370.453451,0.057918
,3371.455839,0.022294
,3372.458205,0.007558
,3373.460553,0.002304
a12,3846.545263,0.194514
,3847.547917,0.287161
,3848.550423,0.243375
,3849.552872,0.150674
,3850.555281,0.075222
,3851.557662,0.0319
,3852.560022,0.011868
,3853.562365,0.003959
a12+CMCT,4097.745025,0.1644316
,4098.747714,0.270178
,4099.75027,0.248714
,4100.752765,0.16552
,4101.755217,0.08819
,4102.757639,0.039712
,4103.760037,0.015627
,4104.762416,0.005497
,4105.764779,0.001757
a12+CMCT-A,3962.69053,0.1768867
,3963.69326,0.27767
,3964.695837,0.246771
,3965.698348,0.159296
,3966.700814,0.082593
,3967.703248,0.036276
,3968.705656,0.013949
,3969.708045,0.004801
a12+CMCT-G,3946.695615,0.1773173
,3947.698345,0.278278
,3948.700923,0.246901
,3949.703436,0.159017
,3950.705903,0.082226
,3951.708337,0.036006
,3952.710747,0.0138
,3953.713137,0.004734
a12-A,3711.490767,0.2092477
,3712.493466,0.293565
,3713.495991,0.239785
,3714.498456,0.143798
,3715.500878,0.069794
,3716.50327,0.028847
,3717.50564,0.010481
,3718.507992,0.003419
a12-G,3695.495853,0.209757
,3696.498551,0.2942
,3697.501077,0.239825
,3698.503544,0.143452
,3699.505966,0.069416
,3700.50836,0.028596
,3701.510731,0.010352
,3702.513084,0.003365
a13,4191.592697,0.1682528
,4192.595341,0.270485
,4193.59785,0.246901
,4194.600303,0.163904
,4195.602716,0.087471
,4196.605101,0.03957
,4197.607465,0.015679
,4198.609812,0.005564
,4199.612144,0.001797
a13+CMCT,4442.79246,0.1422318
,4443.795136,0.252379
,4444.797691,0.249008
,4445.800187,0.176966
,4446.80264,0.100441
,4447.805064,0.048095
,4448.807464,0.020098
,4449.809846,0.0075
,4450.812211,0.00254
a13+CMCT-A,4307.737965,0.1530053
,4308.740679,0.260273
,4309.743254,0.248419
,4310.745765,0.17153
,4311.748232,0.094872
,4312.750667,0.044364
,4313.753077,0.018135
,4314.755467,0.006629
,4315.757842,0.002202
a13+CMCT-G,4291.74305,0.1533778
,4292.745764,0.260848
,4293.74834,0.248609
,4294.750852,0.171317
,4295.75332,0.094526
,4296.755756,0.044083
,4297.758167,0.017968
,4298.760559,0.006547
,4299.762934,0.002168
a13-A,4056.538202,0.1809973
,4057.540886,0.277699
,4058.543413,0.244809
,4059.545881,0.157701
,4060.548307,0.081941
,4061.550703,0.036174
,4062.553077,0.014013
,4063.555433,0.004869
a13-G,4040.543287,0.1814379
,4041.545971,0.278305
,4042.5485,0.244926
,4043.550968,0.157419
,4044.553395,0.081577
,4045.555792,0.035907
,4046.558167,0.013866
,4047.560523,0.004801
a14,4496.633984,0.1482006
,4497.636638,0.255011
,4498.639162,0.247422
,4499.641628,0.174056
,4500.644054,0.098233
,4501.646452,0.046926
,4502.648827,0.019614
,4503.651185,0.007336
,4504.653528,0.002495
a14+CMCT,4747.833746,0.1252808
,4748.83643,0.23647
,4749.838997,0.24701
,4750.841503,0.185408
,4751.843967,0.110963
,4752.846401,0.05596
,4753.848811,0.024608
,4754.851202,0.009655
,4755.853576,0.003437
a14+CMCT-A,4612.779251,0.1347703
,4613.781971,0.244498
,4614.784557,0.24747
,4615.787078,0.180719
,4616.789555,0.105519
,4617.792,0.052023
,4618.79442,0.022399
,4619.79682,0.008617
,4620.799203,0.00301
a14+CMCT-G,4596.784337,0.1350984
,4597.787056,0.245041
,4598.789643,0.247701
,4599.792165,0.18056
,4600.794643,0.105198
,4601.797089,0.051738
,4602.79951,0.022217
,4603.80191,0.008523
,4604.804294,0.002969
a14-A,4361.579489,0.1594263
,4362.582181,0.262635
,4363.584723,0.246525
,4364.587204,0.168533
,4365.589642,0.09272
,4366.592051,0.043272
,4367.594436,0.0177
,4368.596802,0.006487
,4369.599154,0.002164
a14-G,4345.584574,0.1598144
,4346.587266,0.263213
,4347.589809,0.246696
,4348.592291,0.168308
,4349.59473,0.092374
,4350.597139,0.042996
,4351.599525,0.017536
,4352.601893,0.006408
,4353.604245,0.002131
a15,4841.681419,0.1281922
,4842.684063,0.237416
,4843.686589,0.245853
,4844.689057,0.183879
,4845.691487,0.110041
,4846.693888,0.055635
,4847.696267,0.024576
,4848.698628,0.009703
,4849.700975,0.00348
a15+CMCT,5092.881181,0.1083668
,5093.883854,0.218775
,5094.886419,0.242947
,5095.888925,0.193249
,5096.891391,0.122295
,5097.893827,0.065111
,5098.896239,0.030189
