ion,mass,Intensities,,,mass,Intensities,,,,,,Intensities,,,,,
a01,265.081104,0.871424,,,265.081104,0.87141,,0,0.00%,,,0.87141,,0.00%,,,
,266.083609,0.11333,,,266.083609,0.113329,,0,0.00%,,,0.113329,,0.00%,,,
,267.085682,0.013977,,,267.085682,0.01399,,0,0.00%,,,0.01399,,0.00%,,,
a01-G,114.031694,0.9397129,,,114.031694,0.9397015,,0,0.00%,,,0.9397015,,0.00%,,,
,115.035102,0.052932,,,115.035102,0.052931,,0,0.00%,,,0.056366,,-0.34%,,,
,116.036389,0.006997,,,116.036388,0.007009,,-1E-06,0.00%,,,0.007208,,-0.02%,,,
a02,610.128539,0.7537737,,,610.128539,0.7537404,,0,0.00%,,,0.7537404,,0.00%,,,
,611.131053,0.19701,,,611.131053,0.197002,,0,0.00%,,,0.197002,,0.00%,,,
,612.133226,0.041817,,,612.133225,0.041848,,-1E-06,0.00%,,,0.041848,,0.00%,,,
,613.135504,0.006444,,,613.135503,0.006452,,-1E-06,0.00%,,,0.006452,,0.00%,,,
a02-G,459.079129,0.8128429,,,459.079129,0.8128103,,0,0.00%,,,0.8128103,,0.00%,,,
,460.081918,0.152523,,,460.081918,0.152516,,0,0.00%,,,0.152516,,0.00%,,,
,461.083955,0.030241,,,461.083954,0.030272,,-1E-06,0.00%,,,0.030272,,0.00%,,,
,462.086399,0.003883,,,462.086398,0.003889,,-1E-06,0.00%,,,0.003889,,0.00%,,,
a03,916.153841,0.6648255,,,916.153841,0.6647748,,0,-0.01%,,,0.6647748,,0.00%,,,
,917.156497,0.246704,,,917.156497,0.246686,,0,0.00%,,,0.246686,,0.00%,,,
,918.158746,0.0705,,,918.158745,0.070545,,-1E-06,0.00%,,,0.070545,,0.00%,,,
,919.161092,0.014836,,,919.161091,0.014853,,-1E-06,0.00%,,,0.014853,,0.00%,,,
,920.163344,0.00266,,,920.163343,0.002665,,-1E-06,0.00%,,,0.002665,,0.00%,,,
a03-G,765.104431,0.7169243,,,765.104431,0.7168726,,0,-0.01%,,,0.7168726,,0.00%,,,
,766.107295,0.213182,,,766.107295,0.213167,,0,0.00%,,,0.213167,,0.00%,,,
,767.109461,0.057125,,,767.10946,0.057172,,-1E-06,0.00%,,,0.057172,,0.00%,,,
,768.111915,0.010701,,,768.111915,0.010715,,0,0.00%,,,0.010715,,0.00%,,,
a04,1221.195128,0.5855924,,,1221.195128,0.5855313,,0,-0.01%,,,0.5855313,,0.00%,,,
,1222.197817,0.283536,,,1222.197817,0.283506,,0,0.00%,,,0.283506,,0.00%,,,
,1223.200135,0.098509,,,1223.200135,0.09856,,0,0.01%,,,0.09856,,0.00%,,,
,1224.202503,0.025538,,,1224.202502,0.025565,,-1E-06,0.00%,,,0.025565,,0.00%,,,
,1225.204795,0.00557,,,1225.204794,0.00558,,-1E-06,0.00%,,,0.00558,,0.00%,,,
a04-G,1070.145718,0.6314821,,,1070.145718,0.6314188,,0,-0.01%,,,0.6314188,,0.00%,,,
,1071.148564,0.2592,,,1071.148564,0.259174,,0,0.00%,,,0.259174,,0.00%,,,
,1072.150844,0.084316,,,1072.150844,0.084371,,0,0.01%,,,0.084371,,0.00%,,,
,1073.153281,0.020049,,,1073.15328,0.020073,,-1E-06,0.00%,,,0.020073,,0.00%,,,
,1074.155574,0.004101,,,1074.155574,0.004108,,0,0.00%,,,0.004108,,0.00%,,,
a05,1527.22043,0.5164902,,,1527.22043,0.5164198,,0,-0.01%,,,0.5164198,,0.00%,,,
,1528.223175,0.306745,,,1528.223175,0.306703,,0,0.00%,,,0.306703,,0.00%,,,
,1529.225554,0.125628,,,1529.225553,0.125681,,-1E-06,0.01%,,,0.125681,,0.00%,,,
,1530.227957,0.038543,,,1530.227956,0.038579,,-1E-06,0.00%,,,0.038579,,0.00%,,,
,1531.230289,0.009885,,,1531.230288,0.0099,,-1E-06,0.00%,,,0.0099,,0.00%,,,
a05-G,1376.17102,0.5569648,,,1376.17102,0.5568911,,0,-0.01%,,,0.5568911,,0.00%,,,
,1377.173897,0.289721,,,1377.173897,0.289683,,0,0.00%,,,0.289683,,0.00%,,,
,1378.176256,0.111641,,,1378.176256,0.1117,,0,0.01%,,,0.1117,,0.00%,,,
,1379.178711,0.031937,,,1379.17871,0.031972,,-1E-06,0.00%,,,0.031972,,0.00%,,,
,1380.18105,0.00775,,,1380.181049,0.007763,,-1E-06,0.00%,,,0.007763,,0.00%,,,
a06,1872.267865,0.4467592,,,1872.267865,0.4466858,,0,-0.01%,,,0.4466858,,0.00%,,,
,1873.27057,0.323997,,,1873.27057,0.323944,,0,-0.01%,,,0.323944,,0.00%,,,
,1874.272981,0.153498,,,1874.272981,0.153547,,0,0.00%,,,0.153547,,0.00%,,,
,1875.275381,0.054516,,,1875.27538,0.05456,,-1E-06,0.00%,,,0.05456,,0.00%,,,
,1876.277726,0.01603,,,1876.277725,0.016053,,-1E-06,0.00%,,,0.016053,,0.00%,,,
,1877.280053,0.00406,,,1877.280052,0.004068,,-1E-06,0.00%,,,0.004068,,0.00%,,,
a06-G,1721.218455,0.4817694,,,1721.218455,0.4816921,,0,-0.01%,,,0.4816921,,0.00%,,,
,1722.22126,0.313869,,,1722.22126,0.313818,,0,-0.01%,,,0.313818,,0.00%,,,
,1723.223673,0.140249,,,1723.223673,0.140304,,0,0.01%,,,0.140304,,0.00%,,,
,1724.226108,0.04696,,,1724.226107,0.047003,,-1E-06,0.00%,,,0.047003,,0.00%,,,
,1725.228467,0.013138,,,1725.228466,0.013158,,-1E-06,0.00%,,,0.013158,,0.00%,,,
,1726.230815,0.003172,,,1726.230814,0.003179,,-1E-06,0.00%,,,0.003179,,0.00%,,,
a07,2217.315299,0.3864426,,,2217.315299,0.3863682,,0,-0.01%,,,0.3863682,,0.00%,,,
,2218.317977,0.331,,,2218.317977,0.330936,,0,-0.01%,,,0.330936,,0.00%,,,
,2219.320409,0.178217,,,2219.320409,0.178257,,0,0.00%,,,0.178257,,0.00%,,,
,2220.322811,0.0717,,,2220.32281,0.07175,,-1E-06,0.00%,,,0.07175,,0.00%,,,
,2221.325166,0.02372,,,2221.325165,0.023749,,-1E-06,0.00%,,,0.023749,,0.00%,,,
,2222.327499,0.006742,,,2222.327498,0.006754,,-1E-06,0.00%,,,0.006754,,0.00%,,,
