fragment,mass,Intensities
RNA,8635.179319,0.0262301
,8636.182006,0.08581
,8637.184614,0.150064
,8638.187171,0.184804
,8639.18969,0.178889
,8640.192179,0.144361
,8641.194645,0.100728
,8642.19709,0.062289
,8643.199518,0.034751
,8644.201932,0.017726
,8645.204333,0.008354
,8646.206723,0.003667
RNA+2DEPC+H2O-CO,8769.237228,0.0245752
,8770.239927,0.081801
,8771.242548,0.145428
,8772.245116,0.181962
,8773.247646,0.178883
,8774.250146,0.146559
,8775.252621,0.103795
,8776.255075,0.065134
,8777.257513,0.036867
,8778.259935,0.019077
,8779.262344,0.009119
,8780.264742,0.00406
,8781.267129,0.001695
RNA+2DEPC+H2O-CO-2Eth,8677.153498,0.0258259
,8678.156187,0.084783
,8679.158797,0.148823
,8680.161356,0.183993
,8681.163876,0.178823
,8682.166366,0.144905
,8683.168833,0.101533
,8684.171279,0.063056
,8685.173709,0.035331
,8686.176123,0.018101
,8687.178525,0.008568
,8688.180915,0.003778
,8689.183296,0.001563
RNA+2DEPC+H2O-CO-2Eth-A,8542.099003,0.0277804
,8543.101712,0.089161
,8544.104336,0.153481
,8545.106906,0.186449
,8546.109436,0.178315
,8547.111935,0.142346
,8548.114408,0.098348
,8549.116861,0.060271
,8550.119297,0.033346
,8551.121717,0.016879
,8552.124124,0.007897
,8553.12652,0.003444
RNA+2DEPC+H2O-CO-2Eth-A-H2O,8524.088439,0.0278564
,8525.091147,0.089388
,8526.093771,0.153789
,8527.096341,0.186682
,8528.098871,0.178373
,8529.10137,0.142243
,8530.103844,0.098164
,8531.106297,0.060084
,8532.108733,0.033199
,8533.111154,0.016781
,8534.113561,0.00784
,8535.115957,0.003414
RNA+2DEPC+H2O-CO-2Eth-C,8566.110237,0.027349
,8567.112935,0.088264
,8568.115551,0.152609
,8569.118114,0.186074
,8570.120638,0.178518
,8571.123131,0.142899
,8572.1256,0.098968
,8573.128049,0.06078
,8574.13048,0.033691
,8575.132896,0.017082
,8576.1353,0.008005
,8577.137692,0.003495
RNA+2DEPC+H2O-CO-2Eth-C-H2O,8548.099672,0.0274238
,8549.10237,0.088489
,8550.104986,0.152916
,8551.107549,0.186308
,8552.110073,0.178579
,8553.112566,0.142798
,8554.115036,0.098785
,8555.117485,0.060593
,8556.119916,0.033544
,8557.122333,0.016984
,8558.124737,0.007947
,8559.127129,0.003465
RNA+2DEPC+H2O-CO-2Eth-G,8526.104089,0.027848
,8527.106798,0.089368
,8528.109422,0.153764
,8529.111992,0.186661
,8530.114522,0.178362
,8531.117021,0.142241
,8532.119495,0.098167
,8533.121949,0.060089
,8534.124385,0.033203
,8535.126806,0.016784
,8536.129213,0.007842
,8537.131609,0.003415
RNA+2DEPC+H2O-CO-2Eth-G-H2O,8508.093524,0.0279242
,8509.096232,0.089595
,8510.098857,0.154072
,8511.101427,0.186894
,8512.103957,0.17842
,8513.106457,0.142138
,8514.108931,0.097983
,8515.111385,0.059901
,8516.113821,0.033056
,8517.116242,0.016686
,8518.11865,0.007785
,8519.121047,0.003385
RNA+2DEPC+H2O-CO-2Eth-H2O,8659.142934,0.0258936
,8660.145622,0.084989
,8661.148232,0.149109
,8662.150791,0.18421
,8663.153311,0.178873
,8664.155802,0.144797
,8665.158269,0.101344
,8666.160715,0.062862
,8667.163145,0.035177
,8668.16556,0.017998
,8669.167962,0.008507
,8670.170353,0.003746
,8671.172733,0.001547
RNA+2DEPC+H2O-CO-A,8634.182733,0.026439
,8635.185452,0.086066
,8636.188087,0.150082
,8637.190667,0.18455
,8638.193206,0.178556
,8639.195714,0.144136
,8640.198196,0.100665
,8641.200658,0.062342
,8642.203101,0.034847
,8643.205529,0.017816
,8644.207944,0.008418
,8645.210347,0.003707
,8646.212739,0.001531
RNA+2DEPC+H2O-CO-A-H2O,8616.172168,0.0265093
,8617.174887,0.086278
,8618.177522,0.150374
,8619.180102,0.184772
,8620.182641,0.178609
,8621.185149,0.144031
,8622.187632,0.100478
,8623.190094,0.062151
,8624.192538,0.034695
,8625.194966,0.017715
,8626.197381,0.008359
,8627.199784,0.003675
RNA+2DEPC+H2O-CO-C,8658.193966,0.0260268
,8659.196675,0.085188
