fragment,mass,Intensities
RNA,8635.179319,0.0262301
,8636.182006,0.08581
,8637.184614,0.150064
,8638.187171,0.184804
,8639.18969,0.178889
,8640.192179,0.144361
,8641.194645,0.100728
,8642.19709,0.062289
,8643.199518,0.034751
,8644.201932,0.017726
,8645.204333,0.008354
,8646.206723,0.003667
RNA+1CMCT,8886.379082,0.0221703
,8887.381783,0.076227
,8888.384411,0.139271
,8889.386988,0.178476
,8890.389528,0.179245
,8891.392038,0.149727
,8892.394524,0.107935
,8893.396989,0.06885
,8894.399437,0.039568
,8895.401869,0.020767
,8896.404288,0.01006
,8897.406696,0.004535
,8898.409093,0.001916
RNA+1CMCT-A,8751.324586,0.023851
,8752.327307,0.080256
,8753.329949,0.143886
,8754.332538,0.181262
,8755.335088,0.179196
,8756.337606,0.147501
,8757.340099,0.104869
,8758.342571,0.066022
,8759.345025,0.037471
,8760.347463,0.019433
,8761.349888,0.009306
,8762.352301,0.004149
,8763.354703,0.001735
RNA+1CMCT-A-H2O,8733.314022,0.0239155
,8734.316742,0.080458
,8735.319384,0.144177
,8736.321973,0.181499
,8737.324523,0.179273
,8738.327042,0.147417
,8739.329535,0.104694
,8740.332007,0.065834
,8741.334462,0.037317
,8742.3369,0.019327
,8743.339325,0.009242
,8744.341738,0.004115
,8745.34414,0.001718
RNA+1CMCT-C,8775.33582,0.0234791
,8776.33853,0.079423
,8777.341164,0.143005
,8778.343747,0.180805
,8779.34629,0.179301
,8780.348803,0.14799
,8781.351292,0.105469
,8782.353759,0.066542
,8783.356209,0.037838
,8784.358643,0.019656
,8785.361064,0.009427
,8786.363473,0.004209
,8787.365872,0.001762
RNA+1CMCT-C-H2O,8757.325255,0.0235426
,8758.327965,0.079623
,8759.330599,0.143295
,8760.333182,0.181042
,8761.335725,0.179381
,8762.338239,0.147908
,8763.340727,0.105296
,8764.343195,0.066353
,8765.345645,0.037684
,8766.34808,0.01955
,8767.350501,0.009363
,8768.352911,0.004175
,8769.355309,0.001745
RNA+1CMCT-G,8735.329672,0.0239091
,8736.332393,0.080442
,8737.335035,0.144157
,8738.337624,0.181483
,8739.340174,0.179267
,8740.342693,0.147419
,8741.345186,0.1047
,8742.347659,0.06584
,8743.350113,0.037323
,8744.352552,0.019331
,8745.354977,0.009244
,8746.35739,0.004116
,8747.359792,0.001718
RNA+1CMCT-G-H2O,8717.319107,0.0239737
,8718.321828,0.080645
,8719.32447,0.144448
,8720.327059,0.18172
,8721.329609,0.179344
,8722.332128,0.147335
,8723.334622,0.104525
,8724.337095,0.065652
,8725.33955,0.037169
,8726.341989,0.019225
,8727.344414,0.009181
,8728.346828,0.004082
,8729.34923,0.001701
RNA+1CMCT-H2O,8868.368517,0.022229
,8869.371218,0.076415
,8870.373846,0.139547
,8871.376423,0.178706
,8872.378963,0.179323
,8873.381474,0.149646
,8874.38396,0.107761
,8875.386425,0.068659
,8876.388873,0.039409
,8877.391306,0.020657
,8878.393725,0.009993
,8879.396133,0.004499
,8880.39853,0.001898
RNA+2CMCT,9137.578844,0.0187424
,9138.581559,0.067567
,9139.584205,0.12877
,9140.586801,0.171512
,9141.589361,0.178542
,9142.59189,0.154252
,9143.594395,0.114804
,9144.596879,0.075494
,9145.599345,0.044669
,9146.601796,0.024111
,9147.604233,0.012
,9148.606657,0.005554
,9149.609071,0.002407
RNA+2CMCT-A,9002.524349,0.0201617
,9003.527083,0.071205
,9004.529742,0.133251
,9005.532351,0.174558
,9006.53492,0.178942
,9007.537458,0.152391
,9008.53997,0.111891
,9009.542461,0.072637
,9010.544933,0.042454
,9011.54739,0.022647
,9012.549832,0.011144
,9013.552262,0.005102
,9014.554681,0.002188
RNA+2CMCT-A-H2O,8984.513784,0.0202141
,8985.516518,0.071378
,8986.519177,0.133512
,8987.521786,0.174783
,8988.524355,0.179026
,8989.526893,0.152318
,8990.529406,0.111721
,8991.531897,0.072444
,8992.53437,0.04229
,8993.536827,0.022531
,8994.53927,0.011072
,8995.5417,0.005062
,8996.544119,0.002168
RNA+2CMCT-C,9026.535582,0.0198469
,9027.538306,0.070447
,9028.540958,0.132381
,9029.543559,0.174032
,9030.546123,0.17895
