fragment,mass,Intensities
RNA,8635.179319,0.0262301
,8636.182006,0.08581
,8637.184614,0.150064
,8638.187171,0.184804
,8639.18969,0.178889
,8640.192179,0.144361
,8641.194645,0.100728
,8642.19709,0.062289
,8643.199518,0.034751
,8644.201932,0.017726
,8645.204333,0.008354
,8646.206723,0.003667
RNA+DEPC+H2O-CO,8697.216099,0.0255242
,8698.218791,0.084094
,8699.221404,0.148076
,8700.223966,0.183584
,8701.226489,0.178885
,8702.228982,0.145303
,8703.231452,0.102042
,8704.233901,0.063507
,8705.236333,0.035656
,8706.23875,0.018303
,8707.241154,0.00868
,8708.243547,0.003835
,8709.24593,0.001589
RNA+DEPC+H2O-CO-A,8562.161603,0.0274572
,8563.164316,0.088449
,8564.166943,0.152738
,8565.169516,0.186075
,8566.172049,0.178421
,8567.174551,0.142776
,8568.177027,0.098869
,8569.179483,0.060721
,8570.181921,0.033663
,8571.184344,0.017073
,8572.186754,0.008003
,8573.189152,0.003496
RNA+DEPC+H2O-CO-A-H2O,8544.151039,0.0275295
,8545.153751,0.088665
,8546.156378,0.153029
,8547.158951,0.186289
,8548.161484,0.178463
,8549.163986,0.14266
,8550.166463,0.098676
,8551.168919,0.060527
,8552.171358,0.033512
,8553.173781,0.016973
,8554.176191,0.007945
,8555.178589,0.003466
RNA+DEPC+H2O-CO-C,8586.172837,0.0270298
,8587.175538,0.087554
,8588.178158,0.151859
,8589.180724,0.185686
,8590.183251,0.17861
,8591.185747,0.143319
,8592.188219,0.099485
,8593.19067,0.061229
,8594.193104,0.034009
,8595.195523,0.017277
,8596.197929,0.008111
,8597.200324,0.003548
RNA+DEPC+H2O-CO-C-H2O,8568.162272,0.0271009
,8569.164973,0.087768
,8570.167593,0.15215
,8571.170159,0.185902
,8572.172686,0.178654
,8573.175183,0.143205
,8574.177655,0.099292
,8575.180106,0.061035
,8576.182541,0.033858
,8577.18496,0.017177
,8578.187366,0.008052
,8579.189761,0.003517
RNA+DEPC+H2O-CO-Eth,8651.174234,0.0261664
,8652.176921,0.085611
,8653.179529,0.149786
,8654.182085,0.184588
,8655.184604,0.178832
,8656.187093,0.144457
,8657.189558,0.100905
,8658.192003,0.062472
,8659.19443,0.034896
,8660.196844,0.017824
,8661.199244,0.008411
,8662.201633,0.003698
,8663.204012,0.001525
RNA+DEPC+H2O-CO-Eth-A,8516.119739,0.0281449
,8517.122446,0.09002
,8518.125068,0.154443
,8519.127636,0.187004
,8520.130164,0.17827
,8521.132661,0.141857
,8522.135133,0.097701
,8523.137585,0.059687
,8524.140019,0.03292
,8525.142438,0.016612
,8526.144844,0.007748
,8527.147238,0.003369
RNA+DEPC+H2O-CO-Eth-A-H2O,8498.109174,0.0282203
,8499.111881,0.090244
,8500.114503,0.154743
,8501.117071,0.187225
,8502.119599,0.178315
,8503.122096,0.141743
,8504.124569,0.09751
,8505.127021,0.059496
,8506.129455,0.032772
,8507.131874,0.016514
,8508.134281,0.007692
,8509.136675,0.003339
RNA+DEPC+H2O-CO-Eth-C,8540.130972,0.027706
,8541.133668,0.08911
,8542.136282,0.15356
,8543.138843,0.186623
,8544.141365,0.178469
,8545.143857,0.142406
,8546.146325,0.098316
,8547.148772,0.060191
,8548.151202,0.033261
,8549.153617,0.016812
,8550.156019,0.007854
,8551.158409,0.003419
RNA+DEPC+H2O-CO-Eth-C-H2O,8522.120407,0.0277802
,8523.123103,0.089332
,8524.125717,0.153859
,8525.128278,0.186845
,8526.1308,0.178517
,8527.133293,0.142294
,8528.13576,0.098126
,8529.138208,0.06
,8530.140638,0.033112
,8531.143053,0.016713
,8532.145456,0.007797
,8533.147847,0.003389
RNA+DEPC+H2O-CO-Eth-G,8500.124824,0.0282134
,8501.127531,0.090229
,8502.130153,0.154726
,8503.132721,0.187215
,8504.13525,0.178315
,8505.137747,0.14175
,8506.14022,0.097519
,8507.142672,0.059505
,8508.145107,0.032778
,8509.147526,0.016517
,8510.149933,0.007694
,8511.152327,0.00334
RNA+DEPC+H2O-CO-Eth-G-H2O,8482.114259,0.028289
,8483.116966,0.090453
,8484.119588,0.155027
,8485.122156,0.187436
,8486.124685,0.178359
,8487.127183,0.141635
