fragment,mass,Intensities
RNA,8635.179319,0.0262275
,8636.182006,0.085801
,8637.184614,0.150049
,8638.187171,0.184786
,8639.18969,0.178871
,8640.192179,0.144347
,8641.194645,0.100718
,8642.19709,0.062283
,8643.199518,0.034747
,8644.201932,0.017724
,8645.204333,0.008353
,8646.206723,0.003667
RNA+CMCT,8886.379082,0.0221713
,8887.381783,0.07623
,8888.384411,0.139277
,8889.386988,0.178484
,8890.389528,0.179253
,8891.392038,0.149734
,8892.394524,0.10794
,8893.396989,0.068853
,8894.399437,0.03957
,8895.401869,0.020768
,8896.404288,0.01006
,8897.406696,0.004536
,8898.409093,0.001916
RNA+CMCT-A,8751.324586,0.0238507
,8752.327307,0.080255
,8753.329949,0.143885
,8754.332538,0.18126
,8755.335088,0.179194
,8756.337606,0.147499
,8757.340099,0.104868
,8758.342571,0.066021
,8759.345025,0.037471
,8760.347463,0.019432
,8761.349888,0.009305
,8762.352301,0.004149
,8763.354703,0.001734
RNA+CMCT-A-H2O,8733.314022,0.0239143
,8734.316742,0.080454
,8735.319384,0.14417
,8736.321973,0.18149
,8737.324523,0.179264
,8738.327042,0.14741
,8739.329535,0.104689
,8740.332007,0.06583
,8741.334462,0.037315
,8742.3369,0.019326
,8743.339325,0.009242
,8744.341738,0.004115
,8745.34414,0.001718
RNA+CMCT-C,8775.33582,0.0234791
,8776.33853,0.079423
,8777.341164,0.143005
,8778.343747,0.180805
,8779.34629,0.179301
,8780.348803,0.14799
,8781.351292,0.105469
,8782.353759,0.066542
,8783.356209,0.037838
,8784.358643,0.019656
,8785.361064,0.009427
,8786.363473,0.004209
,8787.365872,0.001762
RNA+CMCT-C-H2O,8757.325255,0.0235417
,8758.327965,0.07962
,8759.330599,0.143289
,8760.333182,0.181035
,8761.335725,0.179374
,8762.338239,0.147903
,8763.340727,0.105292
,8764.343195,0.066351
,8765.345645,0.037682
,8766.34808,0.019549
,8767.350501,0.009363
,8768.352911,0.004175
,8769.355309,0.001745
RNA+CMCT-G,8735.329672,0.0239088
,8736.332393,0.080441
,8737.335035,0.144155
,8738.337624,0.181481
,8739.340174,0.179265
,8740.342693,0.147417
,8741.345186,0.104699
,8742.347659,0.065839
,8743.350113,0.037322
,8744.352552,0.01933
,8745.354977,0.009244
,8746.35739,0.004116
,8747.359792,0.001718
RNA+CMCT-G-H2O,8717.319107,0.0239725
,8718.321828,0.080641
,8719.32447,0.144441
,8720.327059,0.181711
,8721.329609,0.179335
,8722.332128,0.147327
,8723.334622,0.104519
,8724.337095,0.065648
,8725.33955,0.037167
,8726.341989,0.019224
,8727.344414,0.009181
,8728.346828,0.004082
,8729.34923,0.001701
RNA+CMCT-H2O,8868.368517,0.0222305
,8869.371218,0.07642
,8870.373846,0.139556
,8871.376423,0.178717
,8872.378963,0.179335
,8873.381474,0.149656
,8874.38396,0.107768
,8875.386425,0.068663
,8876.388873,0.039412
,8877.391306,0.020658
,8878.393725,0.009993
,8879.396133,0.004499
,8880.39853,0.001898
RNA-A,8500.124824,0.0282142
,8501.127531,0.090231
,8502.130153,0.154731
,8503.132721,0.18722
,8504.13525,0.17832
,8505.137747,0.141754
,8506.14022,0.097522
,8507.142672,0.059506
,8508.145107,0.032779
,8509.147526,0.016518
,8510.149933,0.007694
,8511.152327,0.00334
RNA-C,8524.136057,0.0277745
,8525.138753,0.08932
,8526.141368,0.153849
,8527.143929,0.186843
,8528.146451,0.178524
,8529.148944,0.142307
,8530.151412,0.098139
,8531.153859,0.06001
,8532.15629,0.033119
,8533.158705,0.016718
,8534.161108,0.007799
,8535.163499,0.00339
RNA-G,8484.129909,0.0282829
,8485.132616,0.09044
,8486.135239,0.155015
,8487.137807,0.187431
,8488.140336,0.178364
,8489.142834,0.141646
,8490.145307,0.097339
,8491.14776,0.059323
,8492.150195,0.032636
,8493.152615,0.016424
,8494.155022,0.007639
,8495.157417,0.003312
RNA-H2O,8617.168755,0.0262975
,8618.171441,0.086014
,8619.174049,0.150343
,8620.176606,0.18501
,8621.179125,0.178926
,8622.181615,0.144242
,8623.18408,0.100531
,8624.186526,0.062092
,8625.188955,0.034595
,8626.191369,0.017623
,8627.19377,0.008293
,8628.19616,0.003636
a01,265.081104,0.8714244
,266.083609,0.11333
,267.085682,0.013977
a01-G,114.031694,0.939713
,115.035102,0.052932
,116.036389,0.006997
a02,610.128539,0.7537734
,611.131053,0.19701
,612.133226,0.041817
,613.135504,0.006444
a02+CMCT,861.328301,0.637196
,862.331002,0.272829
,863.333438,0.072759
,864.335836,0.014484
,865.33819,0.002355
a02+CMCT-G,710.278891,0.6871352
,711.281776,0.243552
,712.284237,0.057455
,713.286698,0.010168
a02-G,459.079129,0.812844
,460.081918,0.152523
,461.083955,0.030241
,462.086399,0.003883
a03,915.169825,0.6639429
,916.172426,0.248627
,917.174675,0.069878
,918.176995,0.014545
,919.17924,0.002564
a03+CMCT,1166.369588,0.5612586
,1167.372309,0.303796
,1168.374763,0.102611
,1169.377179,0.025874
,1170.379548,0.005344
a03+CMCT-G,1015.320178,0.6052387
,1016.323042,0.28298
,1017.325515,0.087102
,1018.32798,0.020106
,1019.330378,0.003835
a03-G,764.120416,0.715967
,765.123208,0.215324
,766.125394,0.0563
,767.127809,0.010438
a04,1260.21726,0.5743003
,1261.21984,0.290472
,1262.222142,0.101525
,1263.224463,0.026579
,1264.226732,0.005811
a04+CMCT,1511.417023,0.4854868
,1512.419705,0.326533
,1513.422162,0.134121
,1514.424573,0.040971
,1515.42694,0.010221
,1516.429283,0.002181
a04+CMCT-G,1360.367613,0.5235285
,1361.370402,0.313523
,1362.372882,0.119192
,1363.37533,0.0339
,1364.377721,0.00793
a04-G,1109.16785,0.6193057
,1110.170561,0.267577
,1111.172848,0.087005
,1112.175222,0.020939
,1113.177501,0.004281
a05,1566.242562,0.506534
,1567.245216,0.311772
,1568.247577,0.128742
,1569.249942,0.039868
,1570.252251,0.010266
,1571.25455,0.002278
a05+CMCT,1817.442325,0.4281911
,1818.445051,0.334976
,1819.447542,0.159263
,1820.449984,0.056257
,1821.452378,0.016223
,1822.454746,0.004003
a05+CMCT-G,1666.392915,0.4617539
,1667.395736,0.32719
,1668.398249,0.145575
,1669.400723,0.048392
,1670.403139,0.013214
,1671.405528,0.003097
a05-G,1415.193153,0.5462273
,1416.19592,0.295933
,1417.198275,0.114588
,1418.200682,0.033123
,1419.203005,0.008059
a06,1871.283849,0.4461602
,1872.286525,0.325075
,1873.288929,0.153473
,1874.291316,0.054295
,1875.293653,0.015879
,1876.295972,0.003997
a06+CMCT,2122.483612,0.3771646
,2123.486347,0.337717
,2124.48886,0.181278
,2125.491318,0.072062
,2126.493729,0.023327
,2127.496111,0.006453
a06+CMCT-G,1971.434202,0.406723
,1972.437019,0.334199
,1973.439556,0.169041
,1974.442042,0.063684
,1975.444473,0.019642
,1976.446874,0.005193
a06-G,1720.234439,0.4811318
,1721.237212,0.315084
,1722.23962,0.140137
,1723.242042,0.046726
,1724.244393,0.012992
,1725.246733,0.003116
a07,2200.336369,0.3868722
,2201.339021,0.332531
,2202.341448,0.177823
,2203.343841,0.070951
,2204.346189,0.02323
,2205.348516,0.006528
a07+CMCT,2451.536132,0.3270321
,2452.538839,0.335647
,2453.541358,0.202148
,2454.543817,0.089619
,2455.546231,0.032204
,2456.548617,0.009862
,2457.550979,0.002655
a07+CMCT-A,2316.481637,0.3518047
,2317.484414,0.33527
,2318.486953,0.192042
,2319.489435,0.081516
,2320.491866,0.028197
,2321.494267,0.00834
,2322.496644,0.002174
a07+CMCT-G,2300.486722,0.3526611
,2301.489498,0.335951
,2302.492042,0.191657
,2303.494526,0.080952
,2304.496959,0.027842
,2305.499362,0.008183
,2306.50174,0.002119
a07-A,2065.281874,0.41617
,2066.284605,0.32719
,2067.287042,0.16631
,2068.28946,0.063336
,2069.291822,0.019937
,2070.294165,0.005403
a07-G,2049.286959,0.4171831
,2050.28969,0.327828
,2051.292131,0.165734
,2052.29455,0.062754
,2053.296915,0.019622
,2054.299259,0.00528
a08,2505.377656,0.3407551
,2506.380325,0.331433
,2507.382782,0.196639
,2508.385194,0.086741
,2509.387564,0.031282
,2510.389909,0.009665
,2511.392234,0.002637
a08+CMCT,2756.577418,0.2880648
,2757.580135,0.328235
,2758.582671,0.217323
,2759.585145,0.105574
,2760.587574,0.041477
,2761.589973,0.013867
,2762.592348,0.004072
a08+CMCT-A,2621.522923,0.3098795
,2622.525703,0.330364
,2623.52826,0.208819
,2624.530756,0.09746
,2625.533201,0.036963
,2626.535614,0.011967
,2627.538002,0.003411
a08+CMCT-G,2605.528009,0.3106338
,2606.530787,0.33105
,2607.533348,0.208564
,2608.535845,0.096938
,2609.538292,0.036588
,2610.540707,0.011783
,2611.543097,0.00334
a08-A,2370.323161,0.3665728
,2371.325901,0.329659
,2372.32837,0.186495
,2373.330805,0.078841
,2374.333189,0.027415
,2375.335548,0.008192
,2376.337885,0.002168
a08-G,2354.328246,0.3674651
,2355.330985,0.330321
,2356.333458,0.186068
,2357.335895,0.078284
,2358.33828,0.02707
,2359.340641,0.008041
,2360.34298,0.002114
a09,2834.430176,0.2954728
,2835.432827,0.326076
,2836.435296,0.214122
,2837.437714,0.103924
,2838.440092,0.041024
,2839.442444,0.013832
,2840.444775,0.004109
a09+CMCT,3085.629939,0.2497783
,3086.632635,0.317313
,3087.635172,0.230763
,3088.637648,0.122456
,3089.64008,0.052351
,3090.642482,0.018997
,3091.644861,0.006043
a09+CMCT-A,2950.575443,0.2686963
,2951.578194,0.321639
,2952.580754,0.224017
,2953.583249,0.11453
,2954.585697,0.047374
,2955.588113,0.016681
,2956.590504,0.005161
a09+CMCT-G,2934.580529,0.2693504
,2935.583279,0.322319
,2936.585841,0.223886
,2937.588338,0.114061
,2938.590787,0.046986
,2939.593205,0.016469
,2940.595597,0.00507
a09-A,2699.375681,0.31785
,2700.378393,0.327459
,2701.380878,0.205572
,2702.383316,0.095931
,2703.385707,0.036596
,2704.388073,0.01196
,2705.390416,0.003452
a09-G,2683.380766,0.3186237
,2684.383477,0.328134
,2685.385965,0.205293
,2686.388405,0.095412
,2687.390798,0.036227
,2688.393164,0.01178
,2689.395509,0.003382
a10,3139.471463,0.2602557
,3140.474128,0.316648
,3141.476618,0.226345
,3142.479054,0.119142
,3143.481449,0.050862
,3144.483816,0.018514
,3145.486163,0.005929
a10+CMCT,3390.671225,0.2200017
,3391.67393,0.304369
,3392.676482,0.23931
,3393.678971,0.136891
,3394.681416,0.062959
,3395.68383,0.024545
,3396.68622,0.008381
,3397.688592,0.002562
