fragment,mass,Intensities
RNA,12608.729364,0.0049006
,12609.732022,0.023464
,12610.734629,0.058775
,12611.737198,0.102111
,12612.739735,0.137827
,12613.742248,0.153657
,12614.744739,0.146987
,12615.747212,0.123813
,12616.749669,0.09357
,12617.752112,0.064347
,12618.754542,0.04071
,12619.756961,0.023905
,12620.75937,0.013122
,12621.76177,0.006774
,12622.764162,0.003305
,12623.766545,0.001531
RNA+CMCT,12859.929126,0.0041428
,12860.931796,0.020527
,12861.934416,0.053058
,12862.936999,0.094913
,12863.939551,0.131684
,12864.942078,0.150686
,12865.944584,0.147773
,12866.947071,0.127476
,12867.949542,0.098572
,12868.951999,0.069301
,12869.954444,0.044793
,12870.956876,0.026854
,12871.959299,0.015041
,12872.961711,0.007919
,12873.964116,0.003938
,12874.966512,0.001859
RNA+CMCT-A,12724.874631,0.0044568
,12725.877314,0.021756
,12726.879945,0.055474
,12727.882536,0.097988
,12728.885096,0.134347
,12729.88763,0.152022
,12730.890142,0.147504
,12731.892635,0.125956
,12732.895111,0.096451
,12733.897573,0.067177
,12734.900022,0.043028
,12735.902459,0.025571
,12736.904886,0.014202
,12737.907303,0.007415
,12738.909711,0.003659
,12739.91211,0.001713
RNA+CMCT-A-H2O,12706.864066,0.0044678
,12707.866749,0.021807
,12708.869379,0.055588
,12709.871971,0.098151
,12710.874531,0.134505
,12711.877065,0.152113
,12712.879577,0.147499
,12713.88207,0.125864
,12714.884547,0.096309
,12715.887009,0.067025
,12716.889458,0.042896
,12717.891895,0.02547
,12718.894322,0.014133
,12719.896739,0.007373
,12720.899147,0.003634
,12721.901547,0.0017
RNA+CMCT-C,12748.885864,0.0043878
,12749.88854,0.021497
,12750.891165,0.054988
,12751.893751,0.097401
,12752.896307,0.133877
,12753.898837,0.151833
,12754.901345,0.147623
,12755.903834,0.126294
,12756.906307,0.096877
,12757.908766,0.06758
,12758.911211,0.04335
,12759.913645,0.025797
,12760.916069,0.014345
,12761.918483,0.007499
,12762.920889,0.003704
,12763.923286,0.001736
RNA+CMCT-C-H2O,12730.8753,0.0043986
,12731.877975,0.021548
,12732.8806,0.055101
,12733.883186,0.097564
,12734.885742,0.134035
,12735.888272,0.151926
,12736.89078,0.14762
,12737.893269,0.126204
,12738.895742,0.096736
,12739.898201,0.067429
,12740.900647,0.043217
,12741.903081,0.025696
,12742.905505,0.014276
,12743.90792,0.007456
,12744.910325,0.003679
,12745.912723,0.001723
RNA+CMCT-G,12708.879716,0.0044677
,12709.882399,0.021807
,12710.88503,0.055591
,12711.887622,0.09816
,12712.890182,0.134523
,12713.892716,0.152139
,12714.895228,0.147529
,12715.897722,0.125894
,12716.900198,0.096335
,12717.90266,0.067045
,12718.905109,0.04291
,12719.907547,0.025479
,12720.909974,0.014138
,12721.912391,0.007376
,12722.914799,0.003636
,12723.917199,0.001701
