m/z	z	I	Res.	
255.23708	1-	11330143	220667	
283.26892	1-	20704988	204981	
322.97051	20-	1265217	196517	
322.99389	20-	2248816	240589	
323.01855	13-	2192141	188909	
323.04693	20-	1303187	174361	
367.36478	1-	8403998	162158	
393.61933	16-	1277274	128119	
425.37201	1-	7572210	133145	
484.47738	11-	2229703	122421	
484.48377	15-	1982265	122834	
484.55327	18-	2633863	112015	
484.69747	13-	1720298	123030	
484.79750	2-	6057200	104127	
524.92538	12-	2271373	107751	
548.08486	3-	3587779	111801	
596.08940	6-	4402322	96014	
618.11520	2-	9156784	84317	
638.50516	5-	4479547	90434	
645.84847	4-	3233624	113391	
649.09460	2-	18944174	90877	
649.58690	2-	8691978	92505	
650.59751	4-	2547561	83466	
650.81120	7-	7261227	85532	
650.93369	3-	3545449	81276	
652.80877	7-	5807146	90394	
653.59452	6-	2991683	82301	
658.10003	2-	5643084	82041	
680.29896	5-	4882911	85896	
688.85504	8-	9305093	83428	
689.10661	1-	8882545	86848	
690.59885	8-	4440992	76140	
691.02717	10-	2919885	78982	
691.99170	18-	4939782	74666	
693.32505	18-	5842515	67200	
695.11672	6-	5332229	61396	
697.61004	6-	3967707	83548	
699.49581	18-	23633286	76303	
699.66235	9-	3629637	75617	
707.22488	18-	2842588	79108	
707.86862	4-	2557067	85445	
712.12128	4-	6352546	79700	
713.45064	18-	11642620	71136	
715.51010	5-	7638643	76001	
720.88276	9-	7653938	75267	
724.86005	16-	4283745	62062	
727.45074	17-	3908201	58319	
729.06706	2-	7501490	77148	
729.77953	15-	4900760	77090	
731.72148	5-	4338085	73714	
731.81615	17-	12928699	73395	
732.26066	7-	7631785	76525	
732.75664	17-	20705158	69729	
732.79514	2-	6099706	69441	
734.17116	17-	22595274	71559	
734.68321	7-	3239529	71387	
737.61139	2-	5419554	83905	
740.70084	17-	308101632	77424	
741.58645	17-	7199286	77784	
741.99625	17-	16915032	69355	
742.23200	17-	3515634	63173	
742.93333	17-	14314767	73079	
744.82233	17-	8476428	75137	
746.66822	9-	4929139	45344	
747.65116	17-	9177404	67431	
748.45095	6-	5796430	72962	
748.88809	17-	11098626	65954	
755.47972	17-	129451000	74047	
756.77251	17-	9035615	54190	
757.71240	17-	4623206	47063	
759.44895	6-	6632618	86149	
759.92857	15-	3265482	81369	
761.77798	6-	8106930	78022	
762.87324	8-	12159251	68646	
765.49272	16-	8385205	77069	
768.02321	10-	4269221	48285	
770.25547	17-	15399958	72734	
770.86643	8-	4431514	75001	
772.11774	1-	11409285	67547	
773.09773	14-	8058446	69099	
773.25405	15-	4075453	54168	
775.12308	2-	5393291	63380	
775.78601	6-	3890653	70142	
777.62011	16-	20424484	68795	
778.61913	16-	28123184	73509	
780.05572	16-	27936106	74698	
781.14179	11-	3395149	30440	
781.43098	16-	3553642	49179	
782.65098	2-	14501943	75288	
783.28379	12-	5361304	76242	
784.31641	5-	6543605	68733	
784.83262	14-	6424979	63823	
787.06054	16-	678774720	73177	
787.99783	16-	15280379	72938	
788.43264	16-	48955324	69765	
788.99583	16-	5358926	64404	
789.43143	16-	30432636	67225	
790.74205	16-	5776685	62728	
791.43773	16-	14034605	75664	
792.28013	13-	5400873	58336	
792.31263	4-	4899532	76170	
793.12965	16-	7026033	88298	
793.61379	16-	4216149	47381	
793.87867	4-	5386622	68820	
794.44494	16-	12713182	71123	
795.75747	16-	11569409	69484	
798.38613	4-	11081188	60230	
801.50217	2-	6146285	64380	
801.62628	2-	6095285	51679	
802.22745	10-	8988516	72380	
802.76151	16-	289662496	71657	
803.55745	11-	3312979	66376	
803.76076	16-	5816293	58292	
804.13434	16-	22170114	61273	
805.13057	16-	13232830	66776	
806.81588	16-	6463570	63060	
807.13981	16-	6401244	58040	
809.12476	2-	5480635	68589	
811.11650	7-	4095142	79854	
811.24574	8-	11126965	69123	
812.03960	12-	4317357	60333	
813.63157	2-	7913266	74170	
814.12285	2-	13736867	74143	
816.59488	15-	7855414	66964	
818.45957	16-	31774012	53642	
818.74310	13-	7670023	49246	
819.05427	3-	4586885	75733	
819.49193	11-	5007190	59959	
822.63366	2-	11630097	73362	
824.64289	14-	6946771	67172	
825.56560	2-	5497333	63433	
828.56022	14-	8328917	67070	
829.52673	15-	6656649	70921	
830.59464	15-	13252409	61156	
832.12823	15-	17864774	65408	
832.32839	5-	3916632	73252	
833.27269	15-	4891087	53348	
834.34274	5-	9819651	42326	
835.90710	14-	4787034	72793	
836.12869	2-	5640607	67856	
836.33958	14-	3881268	69190	
837.13130	5-	7320631	71993	
839.59867	15-	645158336	68972	
840.59708	15-	12743779	68812	
841.06252	15-	51179424	67435	
841.13615	2-	5637889	74288	
842.12909	15-	39545240	66169	
842.33043	5-	8504447	66665	
843.10379	2-	10236372	64266	
843.40558	3-	8605846	72632	
843.46725	3-	6464217	63704	
843.53212	15-	4985377	51920	
844.26700	15-	15252442	69473	
845.28736	13-	14306795	60765	
847.47695	15-	5181184	70683	
848.87552	15-	5213970	70904	
853.13703	3-	8450024	64287	
856.34426	15-	281639392	66987	
856.66680	1-	14349188	85295	
856.67832	1-	10951308	68612	
857.30376	6-	5234234	69034	
857.41169	15-	6246805	71247	
857.81204	15-	20794212	67248	
858.30765	12-	5972158	74549	
858.87796	15-	16038557	67732	
859.41674	15-	4109729	57684	
860.94538	15-	7375629	55012	
863.47338	3-	3773946	67751	
864.61243	13-	11682445	68766	
866.62670	4-	4597579	58575	
868.83009	13-	12407228	66798	
872.14472	7-	9522058	69925	
873.09276	15-	26273536	61823	
