m/z	z	I	Res.	
227.20433	1-	10365124	128472	
255.23597	1-	24317656	177289	
281.25197	1-	8489715	165931	
283.26763	1-	27802644	169606	
353.20475	1-	7098150	138595	
367.36262	1-	9584693	129192	
425.36920	1-	15887875	114587	
453.40090	1-	8468287	105539	
485.28950	1-	10714822	91103	
557.34057	1-	5191188	88917	
571.35685	1-	7116764	87762	
573.30006	1-	4893424	82700	
585.37308	1-	8332114	86950	
587.31569	1-	8917081	87760	
599.38879	1-	7146350	78773	
601.33176	1-	17634206	82168	
613.40442	1-	8661266	81501	
616.37208	14-	1507345	95310	
627.42084	1-	5558147	80452	
639.49343	1-	5012508	78320	
641.43638	1-	6419526	80096	
653.51003	1-	6206125	75177	
655.45279	1-	7600284	73399	
667.52591	1-	7694901	71218	
669.46863	1-	12885100	71949	
681.54173	1-	7727309	72528	
695.55780	1-	7186146	73596	
697.50074	1-	7794550	70893	
709.57316	1-	4668202	73544	
718.60179	12-	8789414	67993	
721.76420	12-	3824203	62585	
729.69013	12-	2580907	75128	
741.66352	9-	2307836	65925	
771.83558	11-	3210107	65512	
773.92659	11-	3288641	57154	
775.10313	11-	3300566	67330	
777.63094	5-	1889155	60915	
784.02207	11-	52705064	60799	
785.29564	11-	6654680	64089	
786.01910	11-	6441868	60615	
787.47151	11-	27691532	60671	
788.74570	11-	3368987	60699	
789.47003	11-	1994922	56896	
790.92110	11-	5556984	59579	
796.11822	11-	11626737	60486	
799.56796	11-	5950128	59061	
828.01941	10-	2036351	56427	
834.49735	8-	3584676	57697	
847.89788	9-	1575470	38872	
849.11877	10-	2835319	63735	
852.71409	10-	2875849	58861	
862.52583	10-	62671064	55372	
863.92679	10-	8010319	54807	
864.72240	10-	5282410	55304	
866.31996	10-	37285924	55526	
867.72233	10-	4643697	61600	
868.51926	10-	3068917	48041	
870.11407	10-	6075019	57565	
872.50274	8-	3875924	53588	
875.83186	10-	14097181	54940	
877.23350	10-	2447801	49230	
879.62631	10-	7754571	56560	
920.13436	9-	2495369	52683	
924.57885	9-	2716979	45363	
928.79698	9-	2689390	51400	
954.01479	8-	7164127	48863	
956.80222	9-	2358918	54523	
958.47340	9-	138426480	49449	
960.03085	9-	16241115	51264	
960.91540	9-	15392430	47646	
962.69097	9-	101688408	48907	
963.68954	9-	2372714	52494	
964.24773	9-	11090755	48832	
965.13068	9-	8042109	38291	
966.33176	4-	3113348	32605	
966.90643	9-	26947042	49809	
968.46155	9-	2212860	45098	
969.24359	9-	4988366	57335	
973.25812	9-	37145648	49527	
974.81727	9-	5845940	47398	
975.70118	9-	5437456	48555	
977.47370	9-	22421664	49414	
979.03002	9-	3303926	50490	
979.69890	9-	4470960	48953	
981.69141	9-	6260061	46865	
992.14681	8-	2781473	53942	
997.43301	7-	3618997	47491	
1035.27833	8-	13081930	44900	
1037.15394	8-	3136978	51985	
1040.27740	8-	14270594	40966	
1043.02393	8-	2164532	40097	
1045.02456	8-	10291974	44990	
1049.76441	8-	2228619	46407	
1051.90977	8-	4109431	46582	
1056.90991	8-	4439836	46270	
1061.65585	8-	6547845	44884	
1066.52714	8-	4112817	40576	
1071.90940	8-	5044116	40558	
1073.66212	8-	4517099	39429	
1076.53170	8-	5338688	43913	
1078.40967	8-	602476544	45379	
1080.16183	8-	56311092	45146	
1081.15684	8-	56494016	42512	
1082.16461	8-	7670832	48855	
1083.15331	8-	365240064	45000	
1083.65306	1-	9513623	41550	
1084.90746	8-	42451456	43341	
1085.40873	8-	7827196	36284	
1085.90195	8-	38674132	36222	
1085.91005	1-	5603845	39392	
1087.03220	8-	6945155	38302	
1087.89721	8-	91919248	44480	
1088.17418	1-	4978985	67191	
1088.64726	8-	4486676	45738	
1088.79832	4-	3193823	52684	
1089.64667	8-	9850112	45773	
1090.52229	8-	14701118	27960	
1090.53335	3-	5195819	36753	
1091.77369	8-	3678603	48564	
1092.64348	8-	13218802	46492	
1093.78474	8-	2927211	45234	
1095.04401	8-	133030304	43927	
1095.79647	2-	4405250	45231	
1096.79513	8-	17115142	47040	
