m/z	z	I	Res.	
227.20440	1-	9315947	223586	
253.22038	1-	8218741	153567	
255.23606	1-	37787536	174906	
269.25195	1-	10313574	171087	
281.25208	1-	36302536	168008	
283.26769	1-	46121192	161866	
309.17800	1-	8330450	157081	
311.29957	1-	7942590	155848	
325.18837	1-	9135103	143900	
339.33136	1-	7517087	137689	
353.20484	1-	7627350	132284	
367.36289	1-	8917970	128381	
397.23191	1-	7113394	126541	
397.33770	1-	15641014	120528	
411.35368	1-	14482594	117392	
423.35412	1-	7246125	115944	
425.36942	1-	32577166	113284	
439.38525	1-	16956636	110107	
451.38579	1-	8315076	108006	
453.40116	1-	13764489	109871	
467.41705	1-	6568045	106906	
485.28967	1-	21743846	107185	
529.39751	1-	7355634	89547	
571.35739	1-	5061483	95295	
585.37327	1-	9555680	87046	
599.38943	1-	6464134	85598	
611.46226	1-	6117943	85805	
613.40510	1-	8655896	83577	
625.47821	1-	7953646	82609	
627.42140	1-	7318858	82342	
639.49418	1-	6911018	79269	
641.43715	1-	7615239	76639	
653.51034	1-	8686274	76149	
655.45326	1-	7466402	75243	
667.52605	1-	6916934	72019	
669.46915	1-	19242788	74187	
681.54235	1-	7084462	75287	
683.48495	1-	5985744	71883	
695.48576	1-	4852896	73565	
695.55817	1-	6710062	73582	
697.50100	1-	11130800	71229	
701.08954	12-	3010558	59478	
709.53884	1-	4737300	71137	
710.34401	12-	18841710	69441	
711.51172	12-	2855145	74152	
721.43189	12-	11150646	66058	
725.53307	1-	5138669	68582	
732.51883	12-	3035198	61777	
747.28202	11-	3760891	66559	
753.09806	10-	2087077	60339	
761.18828	11-	2082074	64849	
762.73463	11-	3435083	64510	
764.91743	11-	6275265	63140	
766.31583	18-	1464596	73246	
766.31793	7-	2151342	62551	
770.28622	11-	2409059	66119	
775.01290	11-	121003840	62445	
776.28619	11-	16247966	61441	
777.01181	11-	5856266	58574	
777.64960	11-	2143236	63861	
778.55360	11-	3106409	61352	
787.10893	11-	60014432	61643	
788.38236	11-	10142361	64401	
789.10856	11-	2576676	56303	
789.42736	6-	5534426	59854	
789.47969	11-	5775150	31450	
789.58996	4-	2726888	42580	
799.20498	11-	11736127	62629	
800.47908	11-	1713744	52280	
811.39453	11-	2212035	70822	
822.11075	10-	4569879	63290	
835.31724	10-	4682964	59923	
837.21699	2-	2346667	49921	
841.51187	10-	3210680	60270	
843.61353	2-	3107523	55305	
847.41531	10-	4070775	55572	
848.81603	10-	2461733	53986	
852.61408	10-	168005888	57048	
853.11495	1-	8561214	57420	
854.01738	10-	27144232	56986	
854.81445	10-	9195535	54354	
855.71829	10-	3002119	57017	
856.40794	10-	2128965	62188	
856.40965	10-	5732747	50144	
858.41774	10-	5460215	53071	
859.91966	10-	2579218	59429	
860.81996	10-	3166654	53072	
862.32324	10-	2365826	60347	
865.92033	10-	80675080	55995	
867.32336	10-	15684185	56752	
868.11920	10-	4525168	51429	
869.71753	10-	3597045	59416	
870.11709	5-	2196925	55219	
871.72309	10-	3642782	60010	
879.22705	10-	18380242	55278	
880.62903	10-	3965803	56290	
909.12469	9-	2089331	52444	
912.99109	8-	2407005	52448	
913.57012	9-	5933885	53265	
928.35373	9-	4083698	49093	
941.62525	8-	4622393	54636	
947.46218	9-	101763312	51968	
949.02040	9-	16551429	53088	
949.90662	9-	7496333	47579	
950.68729	9-	2379530	50761	
951.79073	9-	6690150	46543	
953.90909	9-	4613000	55382	
956.47098	9-	2587925	49077	
962.24792	9-	63268736	50092	
963.80470	9-	9498066	47160	
964.68874	9-	3954723	46711	
966.46355	9-	3057737	52002	
968.69549	9-	3123934	57361	
977.03090	9-	10491847	49204	
1022.89035	8-	2105474	54618	
1027.89202	8-	5188494	49787	
1032.56881	7-	2496925	50073	
1044.52557	8-	2044548	47043	
1059.52438	8-	3218337	46835	
1066.02273	8-	105042992	45560	
1067.77621	8-	17770892	46032	
1068.77209	8-	10525654	43852	
1069.65139	8-	2332962	54190	
1070.76723	8-	12215102	46689	
1073.27415	8-	5872900	44208	
1076.29202	7-	7788642	41573	
1076.32184	5-	2277269	42601	
1082.65538	8-	48515336	45535	
1084.40802	8-	8852975	46020	
1085.40330	8-	4740057	44955	
1087.40029	8-	5137620	45333	
1089.90816	8-	4503642	39103	
1095.29979	7-	3880770	47641	
1099.28802	8-	7438884	47840	
1169.16390	7-	2850079	44671	
1174.88282	7-	7771892	40416	
1188.31621	7-	2073024	41277	
1193.74467	7-	3216458	41313	
1211.03426	7-	3499390	38780	
1218.45643	7-	147666688	39648	
1220.46055	7-	22344758	40411	
1221.59971	7-	17232814	38710	
1222.88666	7-	2470362	33206	
1223.88223	7-	22441126	40574	
1226.74745	7-	10180583	30532	
1228.60210	7-	2018091	29690	
1229.89183	7-	2383976	36791	
1237.46908	7-	88738496	40226	
1239.47099	7-	13305825	41498	
1240.60935	7-	7641863	39000	
1242.88890	7-	7731419	40027	
1245.75530	7-	6053144	43407	
1255.84785	6-	4200472	41931	
1256.47547	7-	13641890	39001	
1278.02144	6-	4710555	37911	
1364.36698	3-	4260286	36728	
1370.86562	6-	5216615	32912	
1393.03829	6-	2887987	35099	
1413.04425	6-	2599046	35801	
1421.70648	6-	133137264	34197	
1424.04552	6-	19807048	33229	
1425.37477	6-	16406591	34643	
1426.55034	6-	2661137	33450	
1428.03491	6-	15492916	31340	
1431.37472	6-	7254725	26314	
1435.88731	6-	5711154	35044	
1443.88420	6-	63138316	33814	
1446.22244	6-	11670217	33199	
1447.55193	6-	7666770	33706	
1450.21318	6-	7067843	31966	
1453.55458	6-	4841852	32987	
1458.06255	6-	2977355	32400	
1466.06139	6-	10896122	34123	
1723.28611	5-	4281523	31896	
1740.28807	5-	4183310	25928	
1757.34353	4-	2410080	26040	
m/z	z	I	Res.	
255.23574	1-	23185194	183484	
281.25168	1-	7003472	171023	
283.26736	1-	8805016	172327	
485.28888	1-	7699805	111873	
543.32440	1-	4846411	100577	
557.34014	1-	12890715	91854	
571.35636	1-	17290096	88297	
585.33622	1-	4502409	83983	
585.37226	1-	25840536	86890	
587.31493	1-	3852187	87901	
599.38800	1-	16483051	84038	
601.33073	1-	7727293	83909	
613.40387	1-	15782696	82535	
627.41971	1-	9089930	80128	
641.43555	1-	7242007	79819	
655.45155	1-	4895725	77964	
669.46752	1-	4867331	77811	
683.44764	1-	3120513	78183	
710.34265	12-	6314214	72236	
711.50956	12-	1005421	63338	
721.42947	12-	4008042	69630	
753.09720	10-	1453737	66521	
757.71215	5-	2340199	73997	
764.91539	11-	2147814	69039	
775.01059	11-	46811912	63453	
776.28447	11-	7944473	63834	
777.00896	11-	3060050	65016	
778.46179	11-	2651881	71840	
787.10658	11-	20133020	63878	
788.38036	11-	3367909	64580	
789.42604	6-	6361504	62392	
799.20200	11-	3753739	62549	
818.20743	10-	2698529	60048	
822.11008	10-	3057647	63727	
835.41082	10-	2445856	59812	
836.88697	9-	2644021	54134	
841.50880	10-	2006700	67029	
847.51319	10-	2947677	60895	
848.81495	10-	1384128	54628	
852.61257	10-	94757760	57703	
854.01451	10-	16063241	58043	
854.81157	10-	7697103	56975	
855.31361	10-	1432439	58997	
855.81555	10-	1683204	55990	
856.11201	2-	1727512	56152	
856.40738	10-	7879277	56293	
858.41384	10-	3427802	64808	
860.71712	5-	1485437	63376	
865.91829	10-	42561416	52105	
867.32024	10-	8526535	57256	
867.51986	2-	2713617	54093	
868.11657	10-	2811953	58510	
869.81413	10-	4033576	61164	
871.72033	10-	2606234	62117	
879.22375	10-	7876616	59860	
880.62606	10-	2427187	60417	
913.56651	9-	4421855	54810	
928.35114	9-	2460022	55239	
941.68145	9-	3109580	51587	
943.12817	9-	1960032	54253	
947.46007	9-	78661120	52523	
949.01724	9-	12742249	52125	
949.90183	9-	5749703	46189	
950.68492	3-	2490383	53790	
951.67731	9-	6258319	52508	
951.67857	9-	1266948	49896	
953.90541	9-	3244152	47782	
956.68651	9-	1505502	54902	
962.24413	9-	40786232	51132	
963.80240	9-	8029582	51681	
964.68720	9-	3063886	50850	
965.69327	9-	1057609	57049	
966.57199	9-	2651959	43643	
968.68943	9-	1846325	53949	
977.02884	9-	8271273	50573	
1027.89038	8-	1844760	50130	
1044.52267	8-	1307146	47630	
1065.98638	8-	2714092	56718	
1066.01946	8-	42121092	46191	
1067.77247	8-	6631549	47485	
1068.76916	8-	3688199	46292	
1070.76492	8-	5027295	49084	
1073.27137	8-	2332193	47673	
1082.65123	8-	19736838	44725	
1084.40409	8-	3182156	50181	
1085.40266	8-	1949772	38682	
1087.39635	8-	3131770	42095	
1089.90115	8-	1588751	45937	
1099.28326	8-	4475318	47837	
1142.93277	8-	2078606	41182	
1218.41048	7-	2959064	47296	
1218.45346	7-	33703564	40603	
1220.45608	7-	5035817	40776	
1221.59502	7-	5038561	40603	
1223.87731	7-	6831766	42225	
1226.73906	7-	3071868	38671	
1237.46280	7-	17418304	40978	
1239.46552	7-	2222809	34958	
1240.60451	7-	3193946	40228	
1242.88335	7-	2698829	42100	
1245.74897	7-	1644146	38893	
1255.83968	6-	2288532	36519	
1256.47049	7-	3961305	39921	
1306.35561	7-	3221556	39367	
1325.35619	7-	1244990	37890	
1370.86034	6-	3256012	40078	
1421.47031	6-	7198988	42552	
1421.69886	6-	50770008	33801	
1424.03587	6-	8101219	32945	
1425.14594	6-	1944711	39153	
1425.36556	6-	8251568	35690	
1427.80395	6-	1312308	53959	
1428.02748	6-	10323276	33382	
1431.36688	6-	3922639	28266	
1435.87919	6-	3808975	30008	
1443.81418	6-	2971956	40496	
1443.87551	6-	22150406	33496	
1446.21299	6-	3860618	29935	
1447.54143	6-	4259397	32964	
1450.37126	6-	3938053	35272	
1453.54783	6-	2082029	35324	
1466.05372	6-	3416073	34992	
1524.25344	6-	2940192	34629	
m/z	z	I	Res.	
255.23592	1-	7497641	185542	
281.25194	1-	5089273	175278	
283.26761	1-	8227313	179013	
425.36923	1-	6239486	115809	
453.40090	1-	4166964	114374	
485.28920	1-	13395322	104030	
614.29819	1-	29773636	80378	
681.54116	1-	5023129	73050	
695.55760	1-	5027929	71315	
710.34347	12-	8130765	65827	
711.51137	12-	1616480	71141	
721.43124	12-	4691548	65308	
747.35388	1-	15377853	67013	
753.09820	10-	4758342	66161	
757.71414	5-	3145492	65531	
762.73446	11-	2245296	68413	
764.82618	11-	3512829	44937	
766.40483	10-	1955825	62315	
770.28381	11-	1432450	55069	
775.01203	11-	80719352	62411	
776.28637	11-	10742172	63582	
777.01147	11-	4939334	66298	
777.83319	11-	1658535	61835	
778.46159	11-	2416036	60297	
780.56062	11-	1140518	61814	
782.74285	11-	1268536	64623	
787.10818	11-	38389296	61844	
788.38148	11-	5656143	58118	
789.59421	6-	9006590	62611	
799.20444	11-	7307507	66375	
803.10728	9-	1306517	54602	
818.10895	10-	4382980	65142	
822.10991	10-	5005663	58802	
