m/z,z,intensity,name
458.07148,1,29619979,a02-G
914.16244,1,124354795,a03
803.11955,1,124401493,a03-C
1360.33899,1,29587297,a04+CMC-C
1565.23451,1,74861248,a05
1414.18050,1,228479566,a05-G
706.58868,2,367763964,a05-G
934.63383,2,158836220,a06
879.11267,2,221762592,a06-C
859.11063,2,50900164,a06-G
1087.64557,2,31189212,a07
1012.12421,2,29135809,a07-G
1413.17929,2,295066551,a09
1463.26005,2,217709290,a09+CMC-G
1337.65757,2,301798764,a09-G
891.43624,3,75788611,a09-G
1145.47693,3,101591685,a11
1844.30651,2,30597292,a11+CMC
1229.20773,3,100856792,a11+CMC
1788.79366,2,38697177,a11+CMC-C
1192.19166,3,51848566,a11+CMC-C
1247.15360,3,296728335,a12
1996.83844,2,29648375,a12+CMC
1330.89074,3,271398781,a12+CMC
1293.87793,3,96042564,a12+CMC-C
1534.90660,3,66422012,a14+CMC
1636.91561,3,66522305,a15+CMC
1586.56346,3,41345565,a15+CMC-G
1701.58123,3,205713670,a16+CMC-A
1275.93366,4,264453823,a16+CMC-A
1696.24746,3,33653494,a16+CMC-G
1358.19667,4,229775828,a17+CMC-A
1295.39895,4,42038832,a17-A
1291.40007,4,110180025,a17-G
1430.70701,4,62006568,a18+CMC-G
1520.96791,4,68515784,a19+CMC-A
1516.96536,4,285698493,a19+CMC-G
1458.16839,4,53748783,a19-A
1464.17224,4,27539216,a19-C
1163.13631,5,231503461,a19-G
1603.22929,4,143644783,a20+CMC-G
1282.38028,5,312270701,a20+CMC-G
1434.80684,5,119776230,a22+CMC
1404.59729,5,62536406,a22+CMC-G
1362.35664,5,71113097,a22-C
1473.60532,5,130123021,a23+CMC-C
1052.28676,7,21830429,a23+CMC-C
1423.36526,5,39292742,a23-C
1415.36526,5,93161150,a23-G
1301.18610,6,111994813,a24+CMC
1534.60968,5,67105739,a24+CMC-A
1278.67657,6,751634243,a24+CMC-A
1276.01194,6,67312436,a24+CMC-G
1236.80941,6,1135772355,a24-A
1316.82588,6,68294789,a25
1333.52018,6,178929760,a25+CMC-G
1291.65251,6,112307133,a25-G
1384.52387,6,69851377,a26+CMC-G
344.03988,1,14683515,c01
689.08711,1,640086634,c02
538.03814,1,110664147,c02-G
994.13010,1,1921050344,c03
883.08625,1,59330295,c03-C
843.08052,1,66486293,c03-G
1300.15262,1,968548672,c04
649.57350,2,911739947,c04
1551.35663,1,59056320,c04+CMC
1189.10916,1,25017227,c04-C
594.05249,2,13536525,c04-C
1149.10421,1,137554175,c04-G
574.04867,2,20446279,c04-G
1645.20480,1,36859664,c05
822.09803,2,2047944367,c05
766.57455,2,49410741,c05-C
1494.15724,1,28805507,c05-G
746.57247,2,205051003,c05-G
974.61743,2,3566191468,c06
1100.21754,2,138023496,c06+CMC
919.09622,2,190851822,c06-C
899.09279,2,210682989,c06-G
1127.63045,2,1427330813,c07
751.41777,3,77242508,c07
1253.22875,2,1792633607,c07+CMC
1177.70663,2,44188036,c07+CMC-G
1072.10624,2,40243182,c07-C
1052.10568,2,230927345,c07-G
1280.64089,2,1241772913,c08
853.42527,3,187132651,c08
1406.24359,2,1913006490,c08+CMC
937.16000,3,65286662,c08+CMC
1330.72214,2,130463971,c08+CMC-G
1225.11968,2,130142232,c08-C
1205.11601,2,263279648,c08-G
1453.16640,2,324082378,c09
968.44261,3,414505119,c09
1578.76567,2,772037873,c09+CMC
