m/z 	z 	I 	fragment 
344.03968	1	10378190	c01
689.088092	1	74667832	c02
538.03841	1	13005099	c02-G
995.114551	1	140283976	c03
649.57355	2	228102888	c04
802.585957	2	639368857	c05
975.109205	2	619303735	c06
899.584958	2	51300357	c06-G
1147.632765	2	332849636	c07
764.753479	3	108334203	c07
1072.10902	2	40533291	c07-G
1320.15878	2	87405278	c08
879.768279	3	99275516	c08
829.419528	3	39589997	c08-G
1472.680353	2	246603343	c09
981.449729	3	501139034	c09
1397.148254	2	20707264	c09-G
931.100459	3	42344171	c09-G
1096.465692	3	323767461	c10
822.097946	4	21369789	c10
1046.116517	3	58091937	c10-G
1797.723184	2	22908795	c11
1198.144887	3	536790364	c11
898.356784	4	35854456	c11
1147.789592	3	30636756	c11-G
1307.82814	3	586939952	c12
980.621415	4	570512019	c12
1894.712166	2	18006828	c12-A
946.857754	4	65830243	c12-A
1257.47842	3	82313433	c12-G
942.858142	4	75659205	c12-G
1422.844794	3	179536968	c13
1066.882977	4	112586917	c13
1524.529389	3	942455266	c14
1143.1435	4	341045460	c14
914.312998	5	142234120	c14
1474.177303	3	132727649	c14-G
1105.381433	4	28585853	c14-G
1608.257391	3	86692258	c14+CMCT
1205.939506	4	22909091	c14+CMCT
1639.542067	3	115709378	c15
1229.404516	4	121045910	c15
983.321563	5	60653952	c15
1589.18875	3	27050312	c15-G
1191.643127	4	29887028	c15-G
1741.552315	3	89189658	c16
1305.910293	4	326573520	c16
1044.527486	5	221820815	c16
1368.71063	4	29132046	c16+CMCT
1843.227322	3	39221218	c17
1382.17167	4	465430367	c17
1105.536783	5	308129939	c17
921.11077	6	58848957	c17
1344.408234	4	69028961	c17-G
1075.326113	5	53087393	c17-G
1444.970204	4	69624944	c17+CMCT
1155.778739	5	25367456	c17+CMCT
1464.431653	4	274314959	c18
1171.345881	5	158113738	c18
975.954521	6	118537905	c18
1430.669169	4	40574811	c18-A
1426.668454	4	36314907	c18-G
1527.23438	4	44874534	c18+CMCT
1546.696377	4	92640848	c19
1237.154498	5	131519978	c19
1030.794857	6	106723472	c19
1206.945279	5	19064279	c19-G
1609.49751	4	12595386	c19+CMCT
1623.210006	4	80573975	c20
1298.363385	5	375068945	c20
1081.798591	6	435771455	c20
1059.293461	6	24838462	c20-A
1056.624012	6	50155539	c20-G
1686.006222	4	402684406	c20+CMCT
1348.604376	5	308759716	c20+CMCT
1123.667412	6	183076468	c20+CMCT
1648.242383	4	25154906	c20+CMCT-G
