m/z	z	I	Res.	
255.22923	1-	14866805	179918	
281.24496	1-	6086731	171045	
283.26059	1-	16610876	160915	
485.27794	1-	5923501	107710	
639.56112	4-	2003832	95432	
642.06415	5-	1763048	90201	
644.56992	6-	2263471	82332	
655.60616	13-	3640262	75831	
666.05133	1-	88116080	72566	
674.19308	8-	1425573	69603	
695.74028	6-	2389548	71161	
699.06937	12-	2811235	76431	
701.06982	12-	7915816	64751	
706.33704	4-	3340223	72692	
710.32286	12-	68463944	68588	
711.49034	12-	9263820	68118	
712.15413	12-	4119900	69016	
713.48534	12-	4678899	64483	
731.25578	12-	16865464	67696	
732.42333	12-	3945130	70816	
743.62115	11-	3359271	65246	
747.25923	11-	4295418	68548	
753.07602	10-	3736283	66376	
755.57247	2-	2196766	66177	
757.68949	5-	3428363	59611	
762.71133	11-	2709079	63470	
764.80265	11-	5384263	68468	
766.35035	11-	1569520	44171	
770.26144	11-	4412236	51243	
771.53520	11-	2425842	68849	
774.98776	11-	152827152	61722	
776.26209	11-	22414010	61989	
776.98650	11-	13415952	62077	
777.71724	11-	2936470	63044	
778.29632	10-	2949503	65521	
778.43752	11-	12233056	65242	
779.71200	11-	1688108	70032	
780.34241	11-	2478939	64412	
782.58242	4-	3674372	73825	
789.40287	6-	4800910	66923	
797.82378	11-	36665496	60978	
799.18869	11-	9855364	58850	
799.82169	11-	2277920	62801	
800.73461	11-	1844800	61680	
801.27401	11-	3112380	62472	
802.74744	9-	3418809	59880	
803.05774	1-	4983271	58474	
809.08212	5-	4215945	57183	
818.08311	10-	4198947	64007	
820.65894	11-	2471201	58080	
822.08345	10-	7484894	48969	
831.26767	6-	1954602	57480	
836.86097	9-	4956514	59577	
841.58178	10-	2592102	44329	
847.38715	10-	6078492	39387	
848.78828	10-	3038625	61778	
852.58574	10-	227883936	57994	
853.96657	10-	2137799	79321	
853.98711	10-	27163628	56195	
854.78363	10-	17276600	51321	
855.18564	2-	4223230	57899	
855.68812	10-	2875066	53305	
856.38094	10-	21813988	57570	
856.78184	10-	1721765	58970	
857.78173	10-	3598934	56804	
858.97503	10-	1940783	66258	
864.77103	9-	3240974	57866	
870.29869	10-	2704954	60325	
872.50433	10-	2135621	48831	
877.70528	10-	55033672	56548	
878.83768	11-	2567350	57871	
879.20650	10-	11420876	54853	
879.90316	10-	4095058	43789	
881.50014	10-	5101038	57536	
902.82211	10-	2686428	59772	
904.22595	10-	1818136	62565	
909.09060	9-	4546033	40430	
913.53571	9-	7182371	52359	
936.98156	9-	1795454	45483	
941.33226	18-	2229253	43689	
941.65012	9-	3767194	39812	
943.20523	9-	2131272	54770	
947.42662	9-	169542496	50093	
948.98446	9-	24479896	51577	
949.83972	9-	1667746	72583	
949.86922	9-	16878322	49229	
950.65267	9-	3554204	52374	
951.09331	9-	1504460	44305	
951.64427	9-	22990430	50610	
953.20242	9-	2687533	41641	
954.41604	9-	2516243	52989	
955.85911	9-	1864589	58969	
967.10589	9-	4221032	50910	
969.33719	3-	2061342	46673	
971.11411	9-	1422233	50208	
972.86467	8-	1617150	53272	
975.33731	9-	50060364	50416	
976.89406	9-	10996542	50687	
977.77884	9-	3604411	51828	
979.55232	9-	5694638	46469	
997.71715	5-	3778274	48818	
1003.24599	9-	3587672	50338	
1022.84855	8-	1817244	46578	
1027.85085	8-	5074568	48271	
1059.47978	8-	3230083	36309	
1065.97825	8-	119860792	46924	
1067.73018	8-	16456370	47883	
1068.22901	1-	3165702	45290	
1068.72608	8-	14282269	44419	
1070.72170	8-	17294116	46911	
1071.34808	8-	2057596	41930	
1073.36169	8-	3575085	54950	
1073.83890	4-	2578404	43898	
1075.46436	8-	2780657	40976	
1076.24462	7-	2877432	43473	
1097.37662	8-	29652828	43609	
1099.25381	8-	6760599	46758	
1100.12521	8-	3885450	44809	
1102.12109	8-	6609201	47851	
1129.02495	4-	2786185	48021	
1174.82209	7-	2043013	44186	
1218.35638	7-	6278197	55305	
1218.39957	7-	63855020	40609	
1220.40159	7-	7501275	42948	
1221.53941	7-	8202882	40795	
1223.60735	7-	1749035	59044	
1223.81926	7-	13734329	38763	
1226.83616	7-	2498191	48957	
1226.94975	7-	2106079	40363	
1229.23964	7-	2815922	39886	
1254.28132	7-	20849618	38011	
1254.43443	8-	1667468	47275	
1255.77961	6-	1954252	40550	
1256.28392	7-	3854845	41906	
1257.42444	7-	2847816	46510	
1259.70419	7-	7007493	37894	
1288.70694	7-	2635155	38148	
1290.16287	7-	2179159	35986	
1370.78706	6-	2795456	41108	
1421.53885	6-	8340141	32887	
1421.62131	6-	42587092	29899	
1423.87863	6-	1688514	47418	
1424.12314	6-	5518104	25008	
1425.28581	6-	8672407	32753	
1427.52683	12-	1631930	30826	
1427.94768	6-	12288783	30607	
1431.46193	6-	4861327	25850	
1434.14478	5-	1506320	27795	
1435.80506	6-	7898863	32269	
1463.23558	6-	3291109	38146	
1463.48702	6-	18236776	30477	
1465.98607	6-	2302294	35801	
1467.14582	6-	2767327	23046	
1469.80630	6-	4163139	28412	
1473.32133	6-	1611560	36656	
1477.66911	6-	2368068	31201	
