m/z	z	I	Res.	
255.22924	1-	17481426	176961	
281.24503	1-	10157827	174796	
283.26067	1-	14420983	165075	
485.27823	1-	5811058	113707	
639.78019	7-	2535727	80370	
639.80979	2-	2566832	58054	
642.06638	5-	3013617	82300	
644.56984	6-	3598071	80316	
655.60599	13-	1905970	76653	
666.05138	1-	64353292	72699	
674.19260	8-	2287929	74647	
683.49731	7-	2111173	74085	
691.88252	5-	2251200	64154	
699.06832	12-	2957987	73482	
701.06967	12-	7535488	68933	
702.66405	5-	1777953	80336	
706.33731	4-	5045300	76369	
710.32267	12-	77061864	67306	
711.49055	12-	12081676	65090	
712.15481	12-	3854712	68076	
713.48551	12-	3364095	62659	
722.33736	3-	2859783	65933	
730.84603	2-	2595205	68220	
731.25580	12-	14643298	67761	
732.42350	12-	4203775	66112	
743.62111	11-	4649301	61665	
747.25862	11-	6290509	64758	
753.07534	10-	7803606	63274	
754.47736	10-	1575899	48372	
757.69103	5-	4656765	68876	
761.25654	11-	4221688	66637	
762.71130	11-	5086047	67492	
764.89352	11-	11329333	62555	
766.44136	11-	3324657	51364	
770.26120	11-	6288074	52922	
771.53602	11-	3543703	67423	
774.98793	11-	244269824	63138	
775.42319	1-	10718926	76714	
776.26197	11-	35335964	60651	
776.98661	11-	17914724	63353	
777.62658	11-	4669708	59796	
778.43766	11-	11114307	59918	
779.71046	11-	2003870	70713	
783.08272	1-	4976790	54206	
789.40236	6-	8940945	62472	
793.18691	11-	3003873	62959	
797.82358	11-	49520412	61704	
797.99761	11-	3652290	67284	
799.09799	11-	12214780	61511	
799.82246	11-	4166288	62985	
801.27374	11-	2610539	52082	
802.85959	9-	4641673	62102	
802.94236	7-	2228990	51626	
809.08357	5-	5485579	60354	
818.08300	10-	7615730	62529	
819.58340	10-	2270823	67054	
820.65845	11-	3997831	59972	
822.08346	10-	13400636	59687	
823.38262	10-	1670450	69216	
831.08234	2-	2896615	51232	
831.10345	3-	3785615	48047	
836.86122	9-	9650676	62012	
837.48142	10-	2514402	61342	
839.08046	10-	3616212	53592	
841.48158	10-	4512398	57505	
843.18458	10-	4183231	41756	
847.29708	2-	4470264	53607	
847.38646	10-	10474613	54034	
848.78852	10-	7300548	55395	
852.58563	10-	405665632	57931	
853.98736	10-	55826940	57396	
854.65983	10-	2551405	70276	
854.78386	10-	30614404	55505	
855.48843	10-	5926416	53782	
855.68584	10-	2305136	48452	
856.38109	10-	23609160	56656	
