m/z	z	I
255.22924	1-	20082875.94
281.24503	1-	11669435.73
283.26067	1-	16567001.44
485.27823	1-	7101381
639.78019	7-	1397939.317
639.80979	2-	2189376.14
642.06638	5-	1910360.786
644.56984	6-	2079599.671
655.60599	13-	780526.4204
666.05138	1-	84321764.16
674.1926	8-	1194096.957
683.49731	7-	1225509.114
691.88252	5-	1470554.84
699.06832	12-	1296927.924
701.06967	12-	3310701.816
702.66405	5-	1168969.82
706.33731	4-	3874439.973
710.32267	12-	34190971.15
711.49055	12-	5367032.03
712.15481	12-	1713726.452
713.48551	12-	1497704.405
722.33736	3-	2362482.404
730.84603	2-	2395915.604
731.2558	12-	6651560.358
732.4235	12-	1912021.76
743.62111	11-	2189499.983
747.25862	11-	2970730.848
753.07534	10-	3884556
754.47736	10-	784952.5773
757.69103	5-	3191084.848
761.25654	11-	2016212.33
762.7113	11-	2432484.293
764.89352	11-	5430013.047
766.44136	11-	1595879.052
770.2612	11-	3029609.295
771.53602	11-	1709783.075
774.98793	11-	118251476.9
775.42319	1-	14760773.34
776.26197	11-	17125787.96
776.98661	11-	8689327.526
777.62658	11-	2266185.706
778.19737	10-	1198549.468
778.43766	11-	5398418.084
779.71046	11-	974341.2113
783.08272	1-	6888453.332
789.40236	6-	6049331.171
793.18691	11-	1481019.038
797.82358	11-	24536518.48
797.99761	11-	1809982.421
799.09799	11-	6061375.651
799.82246	11-	2068898.15
801.27374	11-	1298685.963
802.85959	9-	2538552.874
802.94236	7-	1352668.788
809.08357	5-	3921829.495
818.083	10-	3945702.277
819.5834	10-	1177869.527
820.65845	11-	2032023.984
822.08346	10-	6961875.991
823.38262	10-	868703.5568
831.08234	2-	2901371.258
831.10345	3-	3578757.651
836.86122	9-	5338260.623
837.48142	10-	1321275.221
839.08046	10-	1903135.256
841.48158	10-	2379432.95
843.18458	10-	2209197.081
847.29708	2-	4538369.887
847.38646	10-	5552834.134
848.78852	10-	3874640.106
852.58563	10-	216021606.3
853.98736	10-	29767752.84
854.65983	10-	1361367.233
854.78386	10-	16334037.28
855.48843	10-	3163942.292
855.68584	10-	1231183.161
856.38109	10-	12614126.93
856.98209	10-	1281674.063
857.78336	10-	1814639.692
858.4787	10-	1529681.062
860.2737	10-	853453.8219
864.77166	9-	1692241.401
868.19742	10-	1157573.271
870.29441	10-	963944.0822
870.48395	5-	2442727.567
872.60703	10-	1583291.784
873.90883	10-	1489253.314
877.70519	10-	47913829.73
879.10648	10-	9018671.465
879.90333	10-	2856130.723
880.70678	10-	1289634.678
881.49984	10-	2380618.279
882.30731	10-	1159584.37
902.82303	10-	3810578.271
903.33466	8-	1626181.45
904.42663	10-	1391377.899
909.09109	9-	3155555.848
910.8641	9-	1011022.789
