m/z	z	I	Res.	
255.22935	1-	11753681	176200	
283.26074	1-	13156649	155302	
485.27822	1-	8223598	107779	
644.73796	2-	2093116	76162	
666.05172	1-	64093728	72595	
695.57360	6-	2515664	73771	
701.06958	12-	4455564	69911	
706.33771	4-	3698232	47289	
710.32313	12-	33467290	70441	
711.49107	12-	5598171	67709	
731.25602	12-	21526688	65058	
732.42338	12-	3955567	70239	
743.62126	11-	2403320	61735	
747.25894	11-	3923679	69356	
752.18866	12-	6644297	66975	
753.07621	10-	5650620	65323	
757.69132	5-	5180983	68971	
761.34856	11-	2751386	60629	
762.62035	11-	3899868	68626	
764.89436	11-	6588740	62535	
766.35378	11-	2429655	32973	
770.17049	11-	4321298	58014	
774.98841	11-	171917424	63015	
776.26252	11-	24928610	62038	
776.98769	11-	6680838	62774	
777.80786	11-	3089189	60611	
778.19525	10-	4809191	55138	
778.43496	11-	1969048	56389	
785.63773	11-	2153957	53630	
787.72989	11-	3084474	60569	
789.40341	6-	7087898	64306	
793.09783	11-	3397176	61703	
794.37009	11-	1691263	55320	
797.82394	11-	102442624	61167	
799.09885	11-	17936238	61953	
799.82338	11-	3870979	58171	
800.91424	11-	1878556	48763	
801.91626	11-	2870853	60793	
802.86032	9-	4171170	58791	
818.08387	10-	4520567	48783	
820.65950	11-	28409450	58638	
821.93184	11-	2523596	47260	
822.08469	10-	10246543	47500	
830.65801	9-	2591499	60640	
831.26872	6-	4636022	58197	
836.86167	9-	7669301	52743	
841.48196	10-	5373279	56523	
843.03557	11-	2861343	32856	
843.41789	7-	2855290	51883	
843.51891	7-	2245745	29717	
847.19102	10-	9952879	52226	
847.20009	10-	4782674	53645	
847.39787	2-	2382781	58123	
848.78800	10-	5558187	54050	
852.58617	10-	358388640	57744	
853.98757	10-	43610596	58507	
854.46596	10-	2340983	72582	
854.78401	10-	14365550	57237	
855.68870	10-	5231491	54534	
856.38238	10-	8765477	55210	
864.29879	10-	2183450	59762	
864.77147	9-	7083979	58900	
868.30493	10-	2358032	55919	
872.50632	10-	6068661	57048	
873.90656	10-	4620832	53492	
877.70565	10-	227509360	54862	
879.10675	10-	33617576	55204	
879.90305	10-	7804720	53360	
880.80784	10-	4621401	53902	
881.50153	10-	4363325	50552	
882.20888	10-	5726474	49846	
898.77502	9-	2057932	59558	
902.72333	10-	29629490	56498	
902.79947	10-	5327074	83408	
903.02463	10-	45591004	48758	
904.22651	10-	12166056	55916	
905.12245	10-	2681293	51764	
907.32685	10-	3270202	55292	
909.09040	9-	5066170	58168	
913.53668	9-	10549903	53507	
928.04390	10-	8262966	51440	
936.99349	9-	4477759	35882	
941.44779	9-	9419406	52334	
941.54041	9-	9430507	51985	
941.59191	8-	5643722	52045	
943.20735	9-	5587845	51362	
947.42666	9-	307616224	51353	
948.98494	9-	39867204	52373	
949.40161	3-	3392619	77641	
949.42872	3-	3875771	50954	
949.87011	9-	14302054	49588	
950.87651	9-	5812600	48119	
951.64477	9-	9226455	48754	
957.43148	9-	1594993	50088	
969.56207	9-	7259789	44198	
971.11758	9-	4479095	51028	
972.99239	8-	4216177	48742	
975.33746	9-	229076912	50193	
976.89489	9-	34982280	51060	
977.57297	10-	1822202	61634	
977.77953	9-	10042419	44197	
978.89559	9-	4331222	48065	
979.55543	9-	5745664	51622	
980.33888	9-	4746008	51110	
997.71821	5-	10241281	45418	
1003.24712	9-	58881676	47962	
1003.43446	9-	2842927	54339	
1003.58166	9-	2902719	47943	
1004.80422	9-	10418234	48203	
1005.80237	9-	1640324	52448	
1008.24968	9-	3276243	47706	
1022.85257	8-	2311854	51301	
1027.85219	8-	9271994	48569	
1031.26847	9-	8846433	48604	
1054.37232	8-	2338451	35162	
1059.22664	4-	1827548	51661	
1059.36842	8-	8107378	44954	
1059.72902	2-	4069822	48482	
1059.85362	2-	5256359	47774	
1059.86262	4-	1802557	46936	
1065.97842	8-	201722512	46418	
1067.73106	8-	31199640	47508	
1068.72838	8-	11894545	44891	
1069.10140	4-	1709046	42359	
1069.85459	8-	3696725	50707	
1070.72304	8-	6400799	44007	
1073.36119	8-	2590826	53613	
1076.24601	7-	5238137	46645	
1090.87616	8-	3879106	48217	
1093.00554	2-	2471693	54657	
1097.33862	8-	8657403	46055	
1097.37621	8-	118729680	42292	
1097.84519	1-	3845020	47875	
1098.37778	1-	5193650	41728	
1098.76945	11-	1782513	48224	
1099.12858	8-	20383790	49147	
1099.25215	1-	4047465	40273	
1099.60525	1-	5966293	56612	
1100.23235	5-	3925714	45074	
1100.37663	1-	6323188	41622	
1100.50154	1-	6582513	37884	
1100.62897	2-	3329276	39820	
1100.75219	1-	8892409	39000	
1100.87467	1-	6686833	38244	
1102.12415	8-	3668544	43598	
1102.88061	8-	3075324	47496	
1104.88418	8-	2792688	52129	
1112.13081	7-	4066648	49905	
1128.73262	8-	4106850	50708	
1128.77584	8-	47085584	43356	
1130.52866	8-	6803648	41011	
1131.64825	8-	2787304	36537	
1133.51582	8-	1773734	46283	
1160.17518	8-	5507757	45218	
1174.82636	7-	3945881	36676	
1204.94576	6-	2716372	30221	
1210.71042	7-	3364234	43512	
1218.20406	7-	8013169	28789	
1218.39987	7-	90284808	39548	
1218.52804	9-	3287009	44796	
1220.40231	7-	13248774	40416	
1221.54338	7-	7021332	42593	
1223.82037	7-	3945650	40070	
1246.63735	6-	3639303	33795	
1254.28230	7-	59372344	37262	
1255.08396	2-	4176955	34475	
1255.78340	6-	2899303	32003	
1256.28366	7-	9422877	36808	
1257.42434	7-	5777999	38217	
1259.70597	7-	4253609	41375	
1262.57166	7-	2036954	35167	
1290.11587	7-	3554138	52289	
1290.16930	7-	27316320	39760	
1292.16835	7-	3840922	41418	
1296.59373	7-	1522842	40427	
1297.64368	6-	4291117	39781	
1326.04998	7-	3048950	32140	
1370.79149	6-	5677626	37527	
1412.65478	6-	4639469	35442	
1421.37820	6-	12134045	22958	
1421.62190	6-	85915512	29039	
1422.03472	2-	2955474	27294	
1423.95679	6-	10649596	23025	
1424.22039	6-	2460267	49252	
1425.28532	6-	8066782	31855	
1427.94621	6-	5823792	28423	
1431.46361	6-	3630954	31686	
1435.80452	6-	8916258	31448	
1454.82183	6-	2407187	40931	
1463.08300	2-	3828467	36681	
1463.41782	6-	14843526	36486	
1463.48694	6-	93368360	31669	
1464.55429	2-	3296840	43147	
1464.91909	6-	2054938	50318	
1465.82274	6-	12488261	28391	
1467.15122	6-	6145697	32860	
1468.49296	6-	1982395	28156	
1469.80756	6-	4177948	26923	
1470.80856	6-	2168641	26046	
1473.32274	6-	3252539	23123	
1477.66916	6-	6840080	32790	
1505.28113	6-	6514917	30746	
1505.35398	6-	35032788	31515	
1507.68875	6-	5701044	31000	
1509.18740	6-	3349043	28714	
1512.84927	6-	2031891	27396	
1519.85617	2-	1821994	34484	
1547.21292	6-	4501781	29077	
m/z	z	I	Res.	
255.22940	1-	10594273	179968	
283.26073	1-	11697610	158739	
485.27828	1-	10049321	104003	
639.80982	4-	2190024	94369	
