c17+CMCT-G	4		
	m/z	z	I
	1374.44027		5855153
7160000	1374.69118		6798483
	1374.942		5685875
			
			
y15	5		
	m/z	z	I
5226788	941.31668		5976254
9716285	941.51722		10597818
7548246	941.71796		10645917
6315631	941.91862		7769637
	942.11886		4555425
	942.31953		2257340
			
			
	m/z	z	I
	941.31777		5226788
	941.51789		9716285
	941.71796		7548246
	941.91712		6315631
			
			
y18	4		
	m/z	z	I
8100097	1405.92463		3260129
	1406.17532		6870447
11177179	1406.42624		8062693
8997422	1406.67705		6820355
	1406.9279		4610046
	1407.17819		2629947
			
	m/z	z	I
	1405.92234		8100097
	1406.42831		11177179
