m/z_theo 	z 	I 	fragment 	error_/ppm 	S/N	quality
1374.44027	4	7911940	c17+CMCT-G			0.7	
941.31668	5	31706757	y15			0.14	
1405.92463	4	29047644	y18			0.36	



m/z_theo 	z 	I 	fragment
1374.44027	4	2526001	c17+CMCT-G	
1374.69118	4	2932967	c17+CMCT-G	
1374.942	4	2452972	c17+CMCT-G	
941.31668	5	4532938	y15	
941.51722	5	8038354	y15	
941.71796	5	8074837	y15	
941.91862	5	5893203	y15	
942.11886	5	3455251	y15	
942.31953	5	1712173	y15	
1405.92463	4	2936076	y18	
1406.17532	4	6187532	y18	
1406.42624	4	7261270	y18	
1406.67705	4	6142419	y18	
1406.9279	4	4151813	y18	
1407.17819	4	2368533	y18	
