m/z	z	I	Res.	
208.26852		5048757	534676	
208.76824		4611812	609484	
211.68769		4349551	651103	
213.06305		4618496	701240	
216.10846		4429341	553951	
217.27888		4401862	460908	
222.70348		4582140	543990	
224.61830		4441673	747419	
226.54833		4881737	701818	
227.21694		4378878	623720	
232.67069		5053879	602763	
237.80439		4448086	496721	
241.40928		4747750	723581	
242.42837		4927855	641123	
243.49295		4318575	524051	
247.22588		4609913	585879	
247.39405		4574828	522614	
248.06613		4313961	674171	
248.15418		4488473	579471	
249.16535		4398795	657968	
249.89178		4575597	630468	
253.06052		4390949	536608	
255.03527		4420540	489075	
259.76648		4366608	474185	
262.18145		4479741	339197	
262.79718		4318659	454443	
263.61802		4507862	526195	
263.69572		4330329	425613	
264.45418		4648191	329956	
265.22478		4357572	600973	
266.88720		4835340	455297	
267.54882		4347998	637210	
270.55144		4540242	489730	
273.63497		4300937	385848	
273.93046		4407228	478359	
273.94140		4429018	526995	
275.38676		4400797	388833	
275.52131		4647945	501148	
275.85706		4340087	427621	
279.12616		4494235	517640	
279.54810		4560544	461238	
282.59665		4949060	502886	
284.57048		4378410	476231	
285.64457		4630024	391123	
286.01009		4353437	498843	
286.44930		4303785	400877	
286.57131		4328443	379710	
286.61294		4438166	332695	
288.62999		4468277	558488	
288.80189		4422946	392090	
290.64924		4506500	366971	
290.84912		4321424	407747	
292.04557		4782622	491213	
292.79818		14486105	439111	
292.80884		4810648	465669	
292.83111		34095444	401335	
292.86427		47636820	410563	
292.89753		43639632	390089	
292.93096		24688716	377446	
292.93199		5200077	552731	
292.96458		15839306	430465	
292.98331		4399944	361299	
292.99821		8379655	363067	
293.03180		5146884	481589	
293.13749		4583675	516118	
296.72925		4520797	463916	
296.79754		4463065	457493	
299.20549		4651455	420369	
299.52446		4305260	499859	
299.76299		4620575	410550	
301.85548		5372473	416742	
303.47721		4777467	477890	
304.30159		4797538	394199	
304.99751		4417103	458923	
305.40465		5128262	466542	
306.09340		4595640	422869	
306.65004		4807535	434011	
306.75725		4319342	565522	
307.53685		4386917	396773	
308.47546		4319072	539250	
309.67812		4482338	424156	
310.17382		4345894	496527	
310.77987		4476620	275088	
311.38535		4562038	349456	
312.14680		4485509	440521	
312.74388		4386579	481288	
313.38687		4348966	346368	
313.39422		4382406	318881	
313.53207		4661930	463771	
313.83734		4333493	137062	
316.00545		4357392	485600	
317.32106		4329625	500432	
317.42220		4373855	556828	
317.99239		4347139	496309	
318.06515		4517640	415559	
319.04898		4933132	414376	
320.05334		4414746	363207	
322.42786		5204979	419452	
322.48913		4783737	433035	
322.74476		4380883	271697	
323.47112		4582112	332499	
325.14050		4976163	488193	
325.31418		4314680	346677	
325.79310		4435701	356623	
326.26466		4419251	414328	
326.49903		4401618	263336	
328.85268		4318569	380063	
332.69719		4431430	391431	
333.01329		4370467	261487	
333.20438		4452585	319839	
333.25937		4545652	385836	
333.36912		4544810	290435	
333.51660		4528615	389264	
333.78263		4408476	422749	
333.97043		4450115	296901	
334.37298		4578262	336516	
336.33920		4779586	339279	
336.66345		5555724	290177	
336.74634		4705951	410679	
337.99248		4960391	359521	
339.34028		4425882	388853	
340.52913		4762196	427390	
341.29328		4335909	450920	
342.21010		4351529	412997	
342.26064		5287607	334175	
342.55334		4417676	411278	
342.56717		4448336	332095	
343.47946		4759199	384992	
343.49323		4572195	363662	
344.04004		7002442	385811	
344.12252		4496099	418799	
345.76767		4454638	234757	
345.78740		4736501	349021	
347.01111		4442509	320226	
347.02803		4309011	400799	
347.43391		4342143	205331	
347.51224		4401594	335378	
347.67978		4521972	364758	
348.29755		4428813	297849	
348.36931		4472551	186824	
348.39130		4375471	282800	
349.53851		4419343	410465	
349.71330		4562640	394423	
350.59228		4481051	243233	
351.51321		4345280	343286	
351.55139		4325007	423383	
352.31221		4359998	316093	
353.31390		4333495	271841	
353.74703		4348043	343826	
353.86618		4451966	318537	
354.34799		4454410	401159	
355.05653		5018235	323614	
355.12879		4327899	391061	
355.48048		4813557	340372	
355.63504		4589881	396514	
355.78660		4350077	459653	
356.27307		4422806	306133	
356.37849		5225606	346873	
356.77640		4351995	319332	
357.91891		4345677	417013	
358.24359		4409255	201675	
359.06860		4314611	432199	
361.07656		4572445	281013	
361.98384		4750642	393079	
362.21535		4364460	381038	
363.72060		4312403	305119	
364.48399		4361848	279231	
366.05287		5111281	178522	
366.82242		4439089	403468	
368.01152		4475891	253627	
368.41732		4421096	447978	
368.98504		4966467	441168	
369.23624		4353374	310221	
369.72865		4451087	339321	
370.11969		4475396	367769	
370.60272		4511669	367239	
371.60096		4352565	326949	
373.59664		4606938	400152	
374.16030		4610263	394543	
374.18035		4613733	311857	
374.76158		4377650	287253	
375.11340		5225700	277768	
375.13248		4726129	365332	
375.14994		4818557	252438	
375.17679		5131024	407389	
376.28242		4523029	385605	
376.82001		5160338	350091	
377.05956		4486205	315269	
377.75645		4497586	371574	
377.98330		4952662	311349	
378.51587		4963291	261935	
380.14765		4419223	407333	
380.50289		4845219	312070	
380.88477		4398917	401503	
380.92323		5583203	273850	
381.85562		4375790	266382	
382.56552		4814294	363340	
382.63394		4857420	273650	
383.95000		4507804	322556	
384.14702		4372793	355784	
385.80514		4502328	197247	
385.94910		5321455	304905	
387.09234		5874338	324050	
388.50813		4719179	405461	
388.66583		4467538	372039	
388.91087		4629667	331880	
390.00317		4540497	290994	
390.52214		4517910	297298	
390.66701		4520468	330362	
391.09707		4332942	337151	
391.59032		4345154	311150	
391.79224		4433014	266008	
391.96309		4621262	292006	
391.97912		4354396	261017	
392.28679		4572719	298902	
393.17174		4841675	297536	
393.91463		4724334	225083	
393.95165		4450576	413342	
395.88760		4430605	272946	
396.14550		4359935	488078	
397.00762		4485227	242572	
397.60110		4419552	330325	
399.22611		4654076	348173	
399.32061		4887128	351315	
399.62005		4711932	332846	
399.84110		4573396	325399	
399.95589		4392516	210810	
400.00265		4337906	370976	
401.12087		4581185	285730	
402.44730		5135343	324175	
402.83792		4391673	281272	
403.70998		4462063	231148	
405.13520		4840871	329099	
405.45315		4388081	291180	
406.91491		4558954	328688	
408.04640		4501914	124601	
408.40052		4767508	312573	
408.49168		4547701	238834	
408.57513		5044687	391112	
409.52457		5767884	307298	
409.72214		4514722	271388	
409.92611		4625279	351728	
410.66214		4683297	316634	
411.19565		4671721	391301	
411.24645		4361313	106840	
411.25544		4497835	304967	
411.63182		4560841	263513	
411.90572		4384951	250746	
412.59244		4351345	312720	
414.16097		4376014	368020	
414.27127		4451914	384968	
414.82174		4541881	319086	
415.53719		4413672	273893	
415.62518		4874060	360809	
417.56093		4486402	250125	
417.78852		5031883	189200	
418.24423		5699999	258732	
418.54239		4522107	385374	
419.24463		4833332	272929	
419.78703		5272629	354794	
419.79269		4868283	259893	
421.33980		5065582	176870	
421.45048		4486131	321317	
421.71176		4381100	167875	
421.91546		4385825	268935	
423.82288		4417707	283171	
424.31651		4445703	287333	
424.98489		4583997	310783	
425.50628		5520577	235022	
426.36792		4534895	379238	
427.00401		5453833	303978	
427.36857		4663762	330444	
428.15552		4416561	304913	
428.99026		4480081	232627	
429.00941		5272554	239060	
430.19044		4396492	304799	
430.41027		4411686	233555	
430.70129		4641371	286459	
430.82957		4422273	400670	
431.01867		5365236	254605	
431.29957		4878430	288287	
431.55907		4719533	280889	
431.76096		4705586	308110	
433.94361		4435666	289154	
434.91580		4952148	297519	
435.61856		5266423	288123	
435.64873		4418336	349814	
435.91618		4595460	307762	
436.15810		4675398	305559	
436.17450		4590172	326204	
436.41425		4513052	341918	
436.82385		4385727	288183	
437.15201		5380344	361835	
437.16639		4829707	362797	
437.50191		4607054	256579	
438.88269		4880919	342039	
439.21173		4460758	272275	
439.28952		4452928	301327	
440.08816		4391169	282723	
440.57919		4418594	306579	
441.21626		4712333	379196	
442.00044		4524999	335810	
442.73465		4646593	355943	
442.76426		5352938	318571	
443.86101		4864867	268479	
444.38487		5050177	281599	
444.63681		4644131	321497	
444.76137		5799762	238965	
444.82442		5253802	249073	
444.91112		4638117	199629	
444.94885		4402650	289033	
446.47935		4563278	253216	
447.65964		4440927	290468	
449.31633		4681514	268231	
449.76750		4597174	296518	
449.91833		4468880	323107	
450.02505		4500266	179518	
450.19901		4576295	370286	
450.42748		4605810	289514	
450.56881		4678719	301495	
450.84111		4539723	273533	
451.01791		5046732	349541	
451.38141		4867038	404325	
451.64028		5255128	192283	
451.76224		4509194	248226	
451.90365		4487129	345814	
452.32783		4834502	249466	
453.22778		4788336	170555	
453.71642		4586561	322219	
453.71921		4403525	261713	
454.32719		4707400	305031	
455.07054		4475160	348803	
455.58863		4406811	320111	
456.92642		4799724	275728	
457.00555		5028963	334484	
457.39478		5023276	247831	
457.74112		4586293	193711	
458.74870		4875048	256691	
458.87544		4493927	245504	
459.00413		4764458	208434	
460.19519		4594622	203550	
460.78888		5646280	312623	
461.15701		4532220	335140	
462.23968		4494970	278224	
463.94509		4553414	214853	
464.04598		5166178	316789	
464.09118		4642600	293319	
464.52275		4679751	253289	
464.88469		5069435	310569	
465.35585		4712410	278718	
465.58685		4544450	336472	
466.40040		4680380	264695	
467.80113		4436568	333526	
468.03968		4771569	149554	
468.76341		4516681	289799	
468.78341		4504937	303235	
468.84254		4673479	260006	
469.00375		4825030	323610	
469.03713		4447611	244484	
469.96271		4777146	244912	
470.09204		4486537	339373	
470.46321		4796376	360301	
473.29538		4829466	254792	
474.12626		4452570	289307	
474.80645		4591913	309893	
475.10395		4602892	374059	
475.92412		5107396	230133	
476.02550		4601769	205915	
476.31611		4688196	138410	
476.91523		4599704	328468	
477.09789		4466371	108818	
477.16045		5236521	136698	
478.44649		4567146	284204	
478.57074		4524855	292854	
478.77718		4669707	285306	
478.97811		5101782	264641	
479.47415		4636425	342394	
479.64863		4516906	360587	
479.69840		10306428	296575	
479.81183		9010744	310281	
479.82814		4703571	222204	
479.92318		4815088	249132	
479.97678		4835145	282250	
479.97862		4698956	328189	
480.23997		4586877	142497	
480.30881		4753775	329182	
480.34691		4593838	258556	
480.64472		6757788	289415	
481.16557		4616958	239362	
481.27646		5057334	245411	
481.72127		4747419	236601	
481.92278		5155051	301735	
482.16313		5145468	311123	
482.39071		4990968	331967	
482.54025		5072114	284279	
482.89426		5015106	282817	
483.90811		4697189	238523	
484.24205		4460566	295705	
484.53986		4677643	235616	
484.76498		4669318	308800	
484.81264		4934743	239584	
485.28684		5316854	232954	
485.90874		4537104	307805	
486.18597		5469157	306137	
