m/z	z	I	Res.	
217.94878		4582707	662989	
219.79730		4361440	623216	
220.23523		4308607	464854	
220.99642		4358598	580222	
223.89204		4280559	557107	
226.83064		4934177	557385	
228.53546		4355370	609200	
230.36503		4468529	620465	
230.56122		4281517	509173	
232.27756		4868800	619503	
234.42541		4842954	620832	
235.46428		4382155	627601	
235.94854		4351680	530979	
237.03646		4342206	522978	
241.87264		4569554	417324	
244.98172		4419505	463527	
245.28451		4303357	451766	
246.31652		4510562	429027	
246.96315		4275241	449698	
248.75164		4324303	609495	
249.61765		4363318	428649	
250.59039		4457369	620890	
250.93388		7050652	456989	
250.96226		25723382	479700	
250.99024		6356338	854609	
250.99086		29668466	418601	
251.01883		5828781	553598	
251.01954		30378348	418295	
251.04825		22307560	492196	
251.07700		12916834	475389	
251.10575		4949629	648947	
251.22187		4304840	352333	
252.06797		4557521	552240	
252.45798		4980428	257375	
253.32620		5115264	484457	
254.61151		4296170	330787	
254.69889		4341810	289905	
256.14914		4946038	548479	
257.03956		4525559	477135	
260.34575		4399448	312367	
260.57746		4492383	594741	
263.08412		4303579	303882	
266.39412		4319460	432158	
266.67387		4370564	386008	
270.46021		4258133	537444	
272.11580		4467079	551935	
273.68054		4371628	489431	
273.77239		4425565	480962	
277.62858		4861165	462185	
277.67776		4358150	478189	
278.30113		4250090	436798	
278.53732		4579271	402661	
279.06911		4666298	486070	
279.52343		4612025	459667	
281.18482		4269487	386842	
281.32473		4448284	523624	
282.65752		4407976	565541	
284.74976		5178138	487079	
288.63962		4272911	435049	
290.74131		4306865	441566	
291.35283		4448500	485608	
292.64859		4397144	397160	
294.17193		4421425	442096	
295.15640		4385920	404310	
297.99354		4297521	391016	
298.19341		4882180	470078	
298.34565		4347786	273990	
298.57192		4390540	332704	
298.68694		4399812	347545	
299.21972		4641476	361341	
299.59807		4310190	481568	
302.12227		4709617	416147	
303.48682		4264637	423035	
305.82784		4314174	388532	
306.64562		4247568	359433	
307.93338		4515235	500801	
308.47413		4292577	516242	
309.57222		4342306	441725	
310.00094		4296613	403315	
310.30581		4516456	448255	
310.58014		4505707	404095	
311.75846		4249150	440508	
312.77738		4373654	377800	
313.44361		4249850	269333	
313.70037		4757746	410120	
313.73602		4608436	483771	
313.77169		4428725	476692	
315.34994		4356725	389073	
315.42395		4420152	190292	
317.72146		4408505	404358	
317.93605		4316039	496890	
318.32248		4390689	397871	
318.61043		4462134	324314	
318.91410		4241100	425863	
320.04731		4330917	397968	
320.39361		4314370	350168	
320.77049		4679939	290648	
320.92750		4238130	382842	
322.99314		4298943	521330	
323.58760		4447040	384068	
323.75206		4278739	397813	
325.45290		4284002	288334	
327.22844		4532118	404647	
327.35986		4247337	372351	
327.86407		4563508	385364	
329.46923		4442098	424214	
331.29615		4512976	237206	
331.76504		4332199	276529	
333.59173		4301614	363616	
334.61809		4476038	478617	
335.88635		4350367	358241	
336.35632		4344139	359913	
336.45439		4655714	343439	
336.71978		4264417	402613	
336.88226		4273991	389624	
337.12918		4264387	445645	
337.44557		4306831	468469	
338.34870		4329072	338469	
338.88186		4398073	414198	
339.45200		4253582	455229	
339.51428		4330399	470419	
340.65445		4971285	347013	
341.01177		4343417	333944	
342.27196		4311461	433789	
342.71887		4534954	378561	
342.86169		4242901	378800	
343.06248		5760274	393871	
343.11744		4522787	496817	
343.35368		4245867	337952	
344.03897		7733568	405708	
344.42703		4426555	386482	
344.83812		4998720	403773	
345.09284		4254035	342616	
346.88491		4737711	340863	
347.55241		4605657	373282	
349.11533		4314003	346618	
349.17945		4389674	327006	
349.45261		4849553	381103	
351.09938		4434447	318075	
351.53882		4488255	408855	
351.83170		4269877	408746	
352.65651		4557576	362349	
353.01697		4400031	335321	
353.03248		4402853	426727	
353.04307		4345674	246618	
353.63253		4820900	313414	
355.16460		4334914	316270	
355.65498		4863807	245334	
356.73253		4527439	231158	
357.09627		4437306	348632	
359.22054		4815617	295733	
359.73373		4525187	238268	
359.77623		4359449	265809	
359.94363		4337070	362902	
360.19758		4306735	364107	
361.28418		4544483	426166	
363.32420		4332401	338169	
364.02935		4393275	429433	
364.24925		4412344	451861	
364.69333		4310836	255243	
367.00773		4352260	240774	
367.54680		4282699	439313	
367.56317		4319125	310288	
367.61534		4953973	127431	
367.62464		4358586	287427	
368.81553		4343515	163836	
370.78111		4269507	443156	
370.96122		4300985	255330	
372.28562		4317607	300181	
372.42313		5051907	372941	
374.49548		4977425	437873	
374.59798		4412377	439002	
374.82505		5312761	346959	
375.40437		4795282	339226	
376.61708		4708922	276367	
376.84426		4759839	152814	
377.03184		4277544	341409	
377.07953		4811339	248697	
377.27898		4531421	240100	
377.46186		4261987	333728	
377.81433		4668008	389874	
378.96495		5196229	431248	
379.73250		4343436	327052	
379.75864		4284512	272867	
381.72220		4957974	220574	
381.95568		4589647	399459	
383.37126		4287932	397494	
384.72553		5100047	375969	
385.25726		4812040	283955	
385.55298		4587583	358893	
386.18648		4924882	330852	
386.66618		4766056	329023	
388.05313		4267789	361282	
389.14247		4958018	335379	
390.25232		4309144	335657	
390.88959		4701650	299347	
392.03119		4799771	261766	
392.41061		4535478	291195	
392.43629		4275917	392250	
392.63346		4724482	324530	
393.17822		4691064	395708	
393.45969		4582397	338179	
393.51000		4450476	342421	
393.76747		4330267	357038	
394.15101		4300162	310412	
394.57572		4409360	326559	
395.72824		4795284	274358	
