m/z	z	I	Res.	
207.87173		3336053	337932	
209.28072		3540999	297302	
211.43817		3353067	314455	
214.92686		3302122	315135	
215.48308		3192646	330007	
217.22811		3299234	448973	
220.19148		3384509	302390	
226.78106		3423102	301322	
230.86953		3268420	271200	
233.83516		3393302	278442	
235.59611		3300164	341519	
239.15766		3493204	293364	
240.62648		3713560	261426	
240.63340		3291159	332405	
251.30364		3511008	198283	
252.35741		3253157	275747	
259.08730		3523789	302990	
263.93015		3540506	276584	
265.70297		3220387	360425	
266.15525		3157912	296105	
266.55173		3523429	311083	
266.85429		3651342	225532	
268.89375		3443067	279689	
271.06051		3336101	326363	
276.51629		3289166	229893	
278.14311		3298943	255823	
279.40224		3184550	217067	
283.62543		3474677	225696	
284.55946		3226876	303414	
292.79795		5739335	220268	
292.80053		3353974	330725	
292.83045		9703108	216041	
292.83424		3306724	404179	
292.86349		11527810	274886	
292.86735		4060642	393652	
292.89669		7665856	307842	
292.89769		6111648	303995	
292.90434		3297823	254474	
292.93037		6268509	147775	
292.96393		6974587	236547	
292.99779		5408633	308536	
293.16339		3187414	214613	
293.54923		3602420	204455	
295.43058		3682590	276863	
299.59420		3373946	208316	
299.82081		3367664	321000	
300.00032		3157705	251047	
300.41573		3442440	261106	
305.44908		3306443	236865	
306.25685		3294047	215040	
307.52978		3202387	246856	
307.74265		3288161	247800	
307.82262		3159473	298084	
308.10527		3155228	116870	
308.53439		3184799	212032	
313.45727		3440646	192126	
313.80249		3293695	233613	
315.19711		3265545	264249	
317.87598		3483624	232810	
321.65839		3538159	220472	
323.43594		3158713	191684	
325.53466		3390215	250516	
328.39529		3242522	250221	
329.86197		3174732	239665	
330.84248		3351252	175622	
336.59054		3234903	180708	
338.46907		3191520	210629	
340.23363		3334846	223874	
342.44081		3234614	245846	
342.52889		3285898	247405	
342.57871		3900021	182340	
343.03823		3401517	193477	
344.03917		4706149	273937	
349.89957		3194881	242096	
350.59739		3166219	211060	
351.75049		3228900	165792	
352.13310		3405673	176977	
355.69011		3202344	197713	
