m/z	z	I	Res.	
207.65996		3353522	269069	
225.74611		3278681	372381	
227.14554		3269357	288194	
228.44655		3373550	185742	
229.44969		3232947	319787	
236.83613		3391798	294652	
240.70759		3239114	405177	
243.57677		3336871	350183	
249.34811		3234321	277039	
254.27017		3271437	351271	
254.43678		3289602	256628	
259.20835		3889372	240324	
259.71971		3337253	360776	
266.48717		3561066	290022	
272.73993		3240472	283573	
278.72101		3620469	175682	
279.48873		3391808	294851	
280.26531		3581315	261672	
282.14526		3223907	278444	
291.29825		3362295	307027	
292.79865		6133481	336348	
292.83150		8016743	193940	
292.86460		9629540	251920	
292.89778		10336674	322234	
292.89880		5984994	316852	
292.93157		7554256	216942	
292.96538		6128829	221574	
292.99890		4715259	326004	
293.62208		3237008	246306	
295.53119		3311158	248111	
297.46354		3216937	340512	
300.82563		3244247	211958	
301.10488		3421365	264119	
303.45021		3308762	274077	
303.72912		3256995	209154	
304.43535		3324482	318083	
308.73361		3249457	279695	
308.86578		3581569	255942	
309.68538		3221235	265998	
311.01207		3279469	161585	
311.15719		3231711	254535	
313.50529		3441115	203076	
314.98539		3221047	282979	
315.69196		4174576	187246	
317.39577		3364601	281355	
320.14688		3956692	236416	
320.98149		3240996	181915	
321.19577		3436059	193299	
321.44263		3460701	205914	
323.20514		3744824	264393	
324.41984		3244723	241188	
326.80210		3596499	267104	
326.94807		3380947	199088	
330.08095		3713694	228753	
331.10741		3216713	299372	
332.03169		3414093	176786	
332.86387		3470122	324294	
332.98359		3350460	227712	
335.06526		3468524	249315	
335.90706		3516125	222470	
336.84206		3880165	251816	
337.88618		3600985	175302	
339.65221		3517688	130709	
342.16584		3227239	213597	
343.90152		3602141	182310	
344.04004		4328031	315033	
344.41687		3442171	183788	
345.47176		3551459	184167	
345.96666		3507459	171500	
346.07609		3338383	170419	
346.11033		3483944	193159	
347.99145		3420610	208222	
349.20620		3322682	229779	
350.63286		3234174	232412	
350.83207		3285659	261673	
351.22842		3275956	276866	
352.38816		3296574	263146	
360.28931		3620700	237392	
361.21882		3282959	235803	
364.54002		3228937	276278	
365.14528		3598549	201854	
365.33339		4166889	195700	
365.94569		3725820	208952	
365.98519		3277614	217263	
366.22193		3231898	253955	
366.84365		3457431	171776	
368.98595		3456813	190999	
370.84596		3292451	213607	
373.70666		3666441	172585	
378.70880		3365314	195145	
379.14352		3526302	216964	
379.18640		3347399	161511	
380.12639		3245952	139650	
381.31878		3826633	207852	
382.21080		3359464	189042	
382.70768		3574521	257979	
383.84432		4084732	219852	
386.14040		3275140	138172	
386.35148		3581629	190687	
386.60629		3276595	180156	
387.57557		3466848	182213	
389.46341		3314865	120367	
390.83572		3721980	213192	
395.40494		3481324	118202	
396.95410		3633378	222185	
398.93744		3354519	233937	
401.12462		3469356	110886	
402.11312		3254802	221918	
403.33391		3665530	203385	
403.35473		3370219	166949	
405.60029		3430447	124130	
405.93083		3308749	114473	
406.24787		3267153	181369	
407.13695		3678799	137677	
408.44427		3298105	128892	
410.90853		3395806	176521	
411.50648		3344545	147262	
413.20951		3479210	215709	
413.77645		3331453	190706	
414.14353		3582497	164739	
415.94075		3437346	163190	
418.18549		3355284	164564	
418.71056		3409301	173254	
419.43865		3339924	218082	
422.72645		3446682	133962	
422.97977		3752906	186232	
423.39772		3268552	107123	
424.64712		3527396	158925	
426.00084		3307809	188942	
427.58217		3495402	201692	
428.84294		4087046	200520	
433.39132		3478347	159222	
433.75038		3475739	229823	
435.97055		3900111	222003	
436.55432		3841615	110505	
436.75663		3815170	172874	
437.96546		3693078	112267	
438.03788		3694530	139608	
438.52884		3339688	183381	
438.76021		3768956	137308	
438.96543		3871894	196138	
438.98323		3429352	197078	
441.45583		3297079	200584	
443.94246		3312635	179115	
443.99031		3521936	176192	
444.40186		4225137	170433	
444.57720		3336753	218154	
447.03138		3407553	171116	
447.76841		3294740	147553	
447.97627		3649372	170812	
453.76056		3729134	223450	
453.76410		4030130	158052	
455.68063		3655126	191642	
456.88413		3782381	123363	
458.74905		3504501	165609	
460.59341		3321975	164396	
461.98746		3367826	218167	
463.77329		3386477	148684	
464.52991		3659132	192036	
464.65943		3770200	166465	
464.84670		3725115	180631	
467.20957		3777071	184513	
468.72214		3599530	168102	
473.11383		3883047	100054	
473.26001		3922397	173357	
473.95456		3533634	186992	
476.61459		3848373	136297	
476.87013		3977497	168932	
477.13628		3423657	174131	
478.33831		3736287	164442	
479.47283		3587941	139136	
479.72788		3390955	141903	
479.73960		3529498	155711	
480.14576		3423841	165910	
480.96712		3384446	200555	
481.10336		3339885	217408	
481.25384		3404526	143234	
481.26217		3386553	154100	
482.01200		3916862	153165	
482.18872		3845345	176925	
482.20934		3463420	179925	
483.09393		3974257	139499	
483.40720		3499047	158715	
483.87810		3773672	148510	
484.70914		3395678	113694	
485.24729		3483546	130254	
486.98308		4069043	135594	
487.31514		3700901	204877	
487.99561		7252641	223758	
491.22442		3347202	175846	
491.31962		3554176	173775	
491.87828		3585764	138804	
491.89740		3356350	187511	
492.64067		3709849	187117	
493.69109		3625360	106963	
494.37127		3659164	143170	
496.35704		3532224	173632	
496.99351		3949847	152641	
497.61046		3780758	174502	
498.06277		3518807	137829	
498.31994		3568274	168741	
498.50770		3572463	134100	
499.44963		4107849	169843	
500.03850		3432967	112334	
502.06764		3481963	144993	
502.47112		3696337	155926	
502.57256		3374139	133134	
502.62417		3755234	195202	
502.63746		3504916	76863	
503.90785		3371451	197182	
506.82500		3676381	112722	
506.86610		3966614	130783	
507.62090		3474950	90697	
507.89028		3554009	173996	
509.40687		3450857	97813	
509.43237		3480012	118416	
