m/z	z	I	Res.	
210.03238		4479250	638823	
219.51241		5114461	657737	
222.33588		4776530	608026	
225.35609		4484295	507545	
225.74552		4421959	540044	
225.77792		4513268	587124	
226.12189		4512337	592331	
227.93295		4465579	588597	
229.44905		5062746	581938	
235.67585		4700973	555239	
244.55473		4407489	581789	
247.51517		4616131	500356	
249.34755		4650195	565331	
254.17394		4513549	611227	
256.37205		4817798	511712	
256.99800		4431511	557730	
257.60170		4498476	431462	
259.20794		4462271	372695	
259.71920		5048708	425288	
259.94489		4401948	298465	
260.24141		4514936	561190	
261.16293		4378982	416448	
266.63830		4473057	495306	
268.05486		4340689	503278	
269.60904		4553486	488485	
271.37784		4414748	400690	
271.46500		4372894	427829	
272.73935		4791089	512611	
273.07525		4521564	493355	
275.60725		4630194	504696	
275.76469		4343098	595349	
277.66516		4561565	452449	
278.72040		4993475	406524	
279.50632		4461363	424815	
280.26464		4401992	345445	
281.76005		4415195	503803	
282.92779		4618688	514141	
285.18825		4395105	322263	
285.56546		4337075	462299	
285.88940		4581836	471359	
287.53945		4504331	522593	
288.62912		5047153	387876	
289.96536		4630211	591973	
290.71071		4606199	424452	
290.79004		4659727	299858	
291.13137		4802413	329786	
292.79812		7876271	513094	
292.83093		8867884	439509	
292.83171		6266540	393252	
292.86415		10774185	449245	
292.86491		5500009	441552	
292.89736		11919398	376054	
292.89821		6795878	382193	
292.93108		7130147	207303	
292.96446		5405088	467714	
292.96508		6114528	441791	
292.99841		5279837	446320	
293.31507		4764865	378109	
293.69030		4596608	362987	
293.89047		4482191	518093	
295.24381		4461023	348536	
295.53057		4738537	331454	
295.54850		4749191	400497	
297.46304		4924668	423170	
299.79154		4399340	454926	
299.96814		4472323	406613	
300.25953		4458387	392727	
301.10440		4406249	517718	
303.05833		4743574	476847	
303.71962		4455679	457024	
304.43481		5092074	401807	
304.49436		4405736	526165	
304.77527		4616481	366038	
304.93134		4713149	355549	
305.39396		4660754	351424	
305.67469		4523148	473260	
307.17330		4761460	451879	
308.05300		4405421	371288	
308.17464		4417068	530729	
308.44974		4461515	348575	
308.55666		4639595	376860	
308.76689		4379691	508875	
308.86553		4479147	222371	
311.01176		4343291	274966	
311.52198		4399427	537304	
315.69156		5119790	242039	
317.39517		4556268	411825	
317.92197		4397710	390246	
319.76144		4633300	390866	
320.90869		4355126	396548	
321.44222		4708967	495907	
322.78897		4880877	360291	
323.20460		4331865	291572	
324.18218		4415048	438541	
324.31455		4412183	530992	
324.61934		4690748	348848	
325.01223		4346860	368516	
325.01848		4357485	346561	
326.80152		4938584	359163	
327.78701		4471975	364300	
328.46653		5158094	484786	
329.74062		4429211	336487	
330.00530		4827080	471586	
330.08045		4507284	375775	
331.10693		4851848	470298	
333.37470		4768856	173349	
333.57967		4544737	387296	
333.58168		4603170	339515	
335.06495		4470106	310609	
335.14155		4393067	362056	
335.90646		4542805	342123	
336.42052		4664523	419075	
336.84179		5003661	253178	
338.42652		4734512	425047	
339.56265		4505429	370628	
339.95285		4832573	366288	
339.96450		4732352	431480	
340.14343		4546033	406549	
340.25308		4603150	403100	
341.62475		4418701	373550	
342.92825		5156427	298600	
343.06184		4591859	290161	
344.03965		6394463	410951	
345.00272		4885329	312934	
345.03799		4374684	497725	
346.11017		4446398	261766	
346.88748		4515974	339775	
347.17026		4503016	376434	
348.85643		4420291	321461	
349.08571		4464919	391021	
349.20614		4741572	287563	
350.44230		4745496	475579	
350.83149		5201071	293657	
351.52633		4471297	332932	
351.54689		4355274	421484	
354.33603		4613586	376697	
354.44890		4957059	337645	
356.20919		4427411	382965	
359.43007		4480147	397717	
359.72830		4464425	393637	
359.75402		4548661	334001	
360.28904		4638212	315713	
360.51701		4451768	371520	
362.28340		4731093	348703	
364.53968		4881967	427293	
365.36286		4443909	465380	
366.22161		4946040	400609	
366.46896		4615050	379973	
366.80348		4363600	441651	
366.84327		4762216	338327	
366.99958		4396997	367447	
367.58258		4424356	227976	
367.98538		4889369	394920	
368.79854		4915725	310339	
368.98568		4669186	315184	
369.13130		4528221	411331	
369.96647		4429035	411478	
370.09253		5708604	337600	
370.23906		5390745	334469	
371.22762		4624024	326113	
372.92260		4597243	324207	
372.98967		4505640	293900	
373.55929		4618411	343868	
374.23183		4438648	436026	
374.51782		4925630	368789	
377.05172		4701637	341210	
377.70884		4390308	402781	
379.14319		4614221	230743	
379.69780		4799984	407866	
379.83554		4425048	348109	
379.85340		4846566	361860	
381.31856		5349069	362070	
381.81692		4585682	353422	
382.70726		4526865	302566	
383.84393		5787040	310409	
383.94202		4357615	309469	
384.76827		4591248	423336	
385.99394		4545542	350046	
386.35138		5085617	262576	
386.60640		4390663	436139	
387.02711		4518762	341186	
387.98493		5069466	235266	
388.03591		5064006	364998	
388.61098		5030197	356483	
388.67217		4670442	331692	
389.19409		5030704	397306	
389.30774		4614803	414825	
389.55244		4784105	297692	
389.81442		4532942	331252	
389.86994		4486143	415924	
390.55872		4782688	337909	
390.75057		5125003	377279	
