m/z,z,I,Res.
210.71367,,5626597,544527
214.26992,,5978282,500899
220.97505,,5653716,566811
228.5511,,5732410,623553
230.22719,,5687968,285654
235.05585,,5630695,557285
235.10123,,5763499,481219
236.49338,,5785755,566672
237.52252,,5790066,416797
237.53564,,5843134,488253
240.87249,,5968812,525974
241.41674,,5877721,590320
243.82378,,6203414,483936
245.25002,,5741498,594447
248.67862,,5637940,345434
249.41049,,6367588,555345
250.53151,,5694596,537314
250.96671,,5973064,547958
251.29699,,6009994,449890
252.44159,,5925282,448230
253.46369,,6189501,630024
254.90592,,5665967,379054
255.81402,,5682779,519031
256.71724,,6349592,377438
257.08976,,13138093,301073
257.10043,,8138347,566378
257.10943,,31535784,324478
257.1147,,7170791,631694
257.12931,,52209316,394755
257.14832,,8582429,602563
257.14913,,61171100,387731
257.15456,,6101403,459647
257.16913,,53086360,417965
257.18915,,46789264,415452
257.20866,,8671115,657988
257.20929,,28257420,437364
257.22953,,15649478,279648
257.24926,,7644864,544607
257.24984,,7377248,435190
257.60919,,5989977,326814
257.81741,,5940574,263304
257.86851,,6670031,286997
257.88843,,6400010,266479
257.90807,,7767556,378828
257.92856,,7023486,282990
257.98579,,6052654,358674
258.09616,,6531822,532260
258.71261,,6104831,405506
265.03477,,5865779,424814
266.31663,,5935381,394477
266.7373,,6049603,403807
267.52122,,5787567,361749
272.8881,,6236699,503231
273.36155,,5894436,461776
275.29558,,5665802,547254
276.75253,,5773807,474831
278.59491,,6098375,416253
283.83867,,6453615,440867
285.25705,,5791133,454397
286.9358,,5654634,350440
287.40461,,5667863,417299
287.75484,,6979099,495398
290.16237,,5881297,382507
290.69753,,5647615,478737
290.75591,,6066294,386371
292.55581,,5680595,293730
292.94898,,7120509,451263
296.42446,,5617820,477814
297.42325,,6623799,523283
298.65221,,5929287,538634
299.04001,,5898214,327432
299.77992,,6114028,502693
300.03837,,5688664,402037
300.12109,,6140242,460661
301.20819,,5667849,326375
302.64846,,5672953,371864
303.38243,,5629720,466977
304.10954,,6207613,462632
304.31696,,5744086,331847
304.47074,,5789106,387654
306.08547,,5893710,451724
307.34482,,6065222,471023
307.44178,,5683718,443320
308.97894,,5627028,457146
309.00594,,5661845,444855
309.40503,,5676189,406881
312.95261,,5681332,282065
313.12926,,5658752,365609
313.97955,,5619260,452868
314.48491,,5778404,492218
