m/z	z	I	Res.	
216.99671		2268334	253902	
220.22824		2254495	154148	
226.85550		2747609	156744	
227.30453		2247701	191490	
234.76360		2340017	227217	
235.47111		2299482	253815	
238.93317		2256144	172806	
239.48330		2316082	199798	
244.26887		2335584	203710	
249.44790		2250746	81469	
259.24265		2245137	182307	
261.25288		2294859	185375	
264.94692		2479776	194437	
266.08770		2324237	165422	
271.32873		2458470	176701	
274.00578		2595962	153505	
274.49236		2287190	184488	
278.65149		2396781	144496	
279.12693		2670666	172800	
285.63407		2256413	180706	
286.51351		2294582	191290	
287.01666		2252499	128922	
288.10201		2363530	147713	
288.39443		2761946	160201	
291.60240		2452767	80122	
292.81120		2393065	100142	
293.55716		2331528	119646	
296.11508		2375077	180649	
296.15484		3671504	216477	
296.18809		6154463	184345	
296.22147		7195293	193379	
296.25470		5002716	204763	
296.28789		2657963	196456	
297.95466		2593774	162951	
298.35112		2316403	172641	
301.96370		2346728	130223	
302.92745		2286989	159968	
307.08686		2328460	133344	
309.63759		2324359	107262	
313.18455		2451240	140689	
316.30802		2264724	158028	
316.85765		2397451	137489	
316.91267		2263343	96314	
317.38537		2317874	96618	
323.86747		2351337	184935	
323.88874		2442883	154849	
324.41398		2263757	149761	
324.76354		2272493	134865	
325.14802		2515756	128214	
326.26087		2241426	202965	
326.27199		2267831	68614	
328.06198		2819402	125437	
331.53626		2298873	133548	
332.20903		2322586	154329	
339.34804		2302929	150714	
339.78772		2360475	48279	
340.59900		2436450	97723	
340.77854		2624861	84716	
341.55305		2250591	151836	
342.02734		2243805	123773	
342.73606		2376597	83387	
343.09165		2563851	143695	
343.15794		2272258	106721	
346.09393		2261638	145075	
348.78325		2459033	158400	
349.21698		2293430	112271	
349.41324		2377846	140680	
349.78218		2350548	112649	
351.64226		2438043	140046	
352.42103		2381978	82124	
352.50692		2349803	99854	
353.97397		2584656	111270	
354.01669		2480249	123507	
357.26187		2392611	101766	
358.40596		2332885	111470	
360.75389		2581029	141944	
361.44923		2282933	160726	
362.05835		2379416	113662	
362.78736		2280660	100638	
365.62297		2728602	144212	
366.67433		2416408	105293	
367.92020		2600508	161133	
371.56460		2440853	92827	
372.64865		2328199	69721	
373.44807		2289043	127497	
373.70851		2336064	88207	
376.01142		2488113	75766	
377.99989		2260930	132789	
378.29932		2476790	124830	
380.31183		2259849	97959	
382.49673		2426684	130906	
382.66747		2264131	66874	
383.23495		2524672	107435	
383.44934		2291658	111913	
383.61440		2348623	100022	
385.76031		2557558	116233	
385.95270		2594738	117056	
386.66660		2503810	117246	
388.18960		2376319	109945	
389.33202		2577516	124082	
389.72609		2475456	144113	
392.17482		2263244	55958	
396.45477		2514240	122746	
396.52740		2366596	95350	
399.24337		2297809	137605	
401.13290		2372084	145275	
401.44024		2300677	128509	
401.84137		2262208	100274	
402.33284		2292020	97823	
402.51087		2291451	147414	
404.10505		2291489	124619	
406.27015		2377550	127785	
409.39861		2917535	65259	
409.75628		2798762	85114	
411.93367		2527928	121860	
412.87145		2275092	100515	
414.26970		2525549	74624	
414.59168		2320957	116762	
414.80483		2457660	98352	
420.94597		2731730	121057	
422.29085		2424930	124279	
422.30853		2380765	101967	
422.33071		2398988	128080	
424.03771		2385901	117471	
424.80705		2392669	100884	
426.44191		2330307	118773	
426.74256		2310296	107053	
429.07035		2293978	100036	
431.94111		2430822	70350	
433.47076		2604435	100567	
434.78010		2581057	94308	
435.07988		2437537	111094	
436.46822		2385592	105100	
436.73343		2305434	75257	
437.17510		2405432	107725	
438.18422		2304480	101931	
438.78343		2462840	138645	
439.11904		2286735	74697	
443.02891		2532029	101561	
443.70402		2391754	98496	
447.48653		2499189	100172	
447.50830		2476621	139947	
449.17108		2343533	138065	
450.48137		2440316	134763	
451.77290		2725907	112691	
453.26749		2356365	114487	
454.89221		2606133	42058	
456.68194		2394920	99831	
456.91072		2490763	101873	
458.66899		2479283	109461	
461.73309		2432338	65372	
464.12297		2318552	85172	
466.37421		2398777	83987	
470.24435		2965920	108113	
470.86496		2755701	104292	
470.99616		2776066	100419	
471.55195		2313762	116558	
473.40091		2385161	62773	
473.80115		2486754	38293	
474.18608		2668383	66403	
474.25288		2585311	129915	
474.83159		2625400	108854	
479.12532		2509576	84969	
479.44915		2367214	122301	
479.72030		2352072	114775	
480.98707		2736982	70559	
485.08801		2495092	56382	
485.46796		2369810	100469	
488.49845		2327526	118028	
490.05012		2449122	83753	
493.72081		4429589	145295	
493.83420		5711579	86745	
497.70656		2495058	33438	
498.12380		2471646	89359	
498.22846		2395678	125023	
500.24316		2355298	72902	
500.38003		2632479	78910	
500.58865		2382191	82811	
503.77962		2742110	103230	
504.84637		2441747	71826	
505.19128		2415699	86805	
508.91558		2707823	121431	
509.04014		2424244	112804	
510.16112		2669808	62420	
510.38435		2393186	104880	
511.33496		2383073	119287	
513.85794		2609921	66926	
515.99057		2762570	113193	
517.36026		2565380	85020	
517.83422		2397320	71728	
518.44635		2398001	88387	
518.52826		2675679	94746	
518.65689		2553562	98667	
519.54107		2385545	76732	
520.80025		2411793	85208	
522.75342		2950024	58878	
523.99190		2451091	90918	
524.03313		2838219	100572	
525.46200		2502961	81953	
