m/z	z	I	Res.	
215.27866		2188252	203766	
215.52373		2201249	248203	
229.78192		2168826	273756	
233.09614		2218874	158879	
234.07185		2306396	170503	
239.24543		2244503	244297	
242.25114		2172086	199841	
243.09973		2169516	192994	
244.95949		2211923	228348	
246.02355		2275497	227571	
248.88719		2199048	192689	
249.00453		2186019	173970	
250.05308		2495691	193243	
253.35134		2330953	194055	
255.24701		2211725	120773	
255.31985		2176639	211530	
257.96036		2208982	254506	
258.63531		2375046	183850	
259.19873		2178808	216642	
261.15782		2321843	226367	
270.73383		2167799	126317	
276.30153		2236329	224610	
279.86387		2206837	222166	
280.00802		2298664	185199	
280.13972		2187759	167757	
280.88662		2407069	185591	
281.59627		2533069	217228	
282.85842		2320689	252506	
284.73215		2640102	144149	
289.38850		2258703	216158	
291.56913		2291002	127913	
291.60251		2437373	201488	
293.06414		2180270	161621	
294.91436		2396726	157026	
296.14632		3686518	230401	
296.17958		4610677	217456	
296.21285		4630596	185044	
296.24627		2980610	244379	
296.27984		2278665	134962	
296.96612		2253281	202424	
297.13471		2374148	102722	
297.48563		2558022	198462	
302.28453		2300638	215804	
302.57137		2506974	143167	
304.61170		2169578	151244	
306.48220		2322352	157786	
306.94103		2195983	182778	
307.18759		2268047	181235	
309.98167		2607874	176767	
310.48839		2242086	217936	
311.26581		2167255	182180	
314.34288		2190614	178471	
316.19672		2176776	176088	
319.73513		2185001	223373	
321.87967		2408534	133494	
323.40530		2701209	96877	
324.92601		2591830	175301	
325.38567		2386092	124059	
328.26988		2216107	142850	
328.35493		2200262	131391	
330.66938		2176347	217572	
332.50454		2285182	158709	
338.53304		2326749	168327	
339.19391		2189393	157651	
340.64897		2423258	157569	
343.33443		2193755	72182	
344.04030		2575511	188787	
344.46037		2461728	168007	
346.30797		2167384	79735	
350.16152		2430634	191321	
351.51461		2239597	184435	
352.91926		2228437	172665	
357.84659		2298997	158178	
357.88441		2204782	170363	
358.29881		2198039	162416	
358.39031		2204713	97981	
362.50842		2340260	131588	
362.92978		2320803	162203	
363.92955		2255334	118992	
364.06208		2346729	118757	
364.41248		2340785	141638	
367.55941		2576090	99062	
368.58074		2280080	141185	
369.77849		2359521	123088	
372.49284		2225861	157798	
375.17615		2257777	124803	
378.84362		2474254	102208	
383.67299		2278141	129246	
383.77982		2278934	152629	
384.32092		2248828	106285	
384.85438		2175625	112113	
384.99200		2285159	121396	
386.84204		2386344	116925	
388.80577		2245195	115647	
389.97418		2568315	156414	
391.65883		2356472	143127	
392.43528		2432407	114984	
394.70651		2235951	179558	
394.78719		2226643	157364	
397.65546		2261801	110212	
397.66990		2285936	188325	
400.08150		2193112	118497	
403.43838		2268764	140649	
404.23781		2201558	185136	
406.97775		2316229	146268	
408.98572		2218445	136032	
409.03424		2251478	131204	
409.58608		2827397	96487	
414.42653		2196586	138154	
415.77002		2345082	142446	
416.06771		2225686	101441	
417.40674		2228510	102874	
418.92237		2584970	129502	
419.42224		2695477	154921	
