m/z	z	I	Res.	
211.12846		3249020	372867	
215.93097		3263099	268996	
219.07554		3310298	262525	
221.78924		3418303	257719	
222.68046		3324398	375823	
224.55123		3238287	252811	
224.78171		3249396	286643	
234.06988		3391210	418176	
237.90697		3311679	291982	
241.48623		3353096	362813	
243.84562		3673818	330132	
244.25995		3335123	233478	
251.35242		3737118	317244	
258.89179		3460070	246527	
260.00658		3323581	296333	
263.65593		3333396	311976	
267.27487		3347614	254030	
272.92091		3458810	285168	
275.07808		3253356	293389	
282.63116		3278850	315358	
284.43101		3316414	294663	
286.81823		3276398	149026	
290.28476		3289607	209354	
291.83190		3525792	262549	
292.40759		3290966	338336	
292.79755		6640442	259791	
292.83026		7764792	191927	
292.86327		11473525	309594	
292.86437		5133302	287426	
292.89657		10640499	328133	
292.89761		4222259	280781	
292.93012		7721201	235607	
292.96413		5912591	182273	
292.99767		5014124	281950	
293.07810		3320135	212105	
293.21033		3568125	297345	
297.76647		3949914	228185	
298.64813		3257199	305378	
299.03040		3285917	271649	
306.08664		3281446	241633	
306.63346		3263391	211713	
316.24103		3499647	161991	
316.47169		3227585	332645	
319.04164		3859234	204514	
319.56073		3239329	309380	
320.17743		3989431	185068	
321.24117		3339008	221099	
321.78210		3362712	284512	
324.51234		3273214	212118	
324.58021		3295812	229463	
326.79574		3275524	210038	
327.13644		3245385	266560	
327.25177		3232022	218933	
328.05888		3255011	220500	
328.29632		3238415	283787	
329.10776		3291314	292328	
333.64295		3397444	187805	
334.72912		3288212	207446	
334.77695		3314780	205594	
335.99223		3396237	171117	
338.62790		3448634	205871	
340.07062		3297711	234935	
342.71458		3362261	231073	
344.03923		4175439	258592	
345.25225		3759739	277249	
346.28471		3395301	294586	
346.40657		3234693	152257	
348.23739		3354966	190344	
351.63639		3375745	226600	
352.99764		3500944	241281	
356.56396		3507503	192099	
358.45155		3249028	232391	
359.73989		3289906	138713	
360.17586		3237276	254822	
360.52724		3371143	181658	
360.97933		3469660	230094	
361.26738		3593648	251233	
361.44654		3249657	137573	
363.22100		3847996	172948	
364.61648		3314679	217419	
365.67016		3322668	288723	
366.16349		3421771	192042	
367.48469		3687822	172510	
369.84188		3377915	226099	
370.32226		3242537	209199	
370.74180		3300634	226879	
371.97785		3533869	235163	
374.26658		3239038	205295	
374.51883		3306982	155401	
375.83131		3421521	209794	
375.84345		3665432	211151	
376.72779		3336195	209666	
382.52958		3630227	222802	
386.69557		3355139	205636	
386.70552		3379818	148157	
393.28222		3319987	252861	
393.84525		3252389	145412	
395.68553		3435003	88083	
396.49443		3353838	105564	
397.05855		3337009	233159	
397.49650		3396631	193554	
401.46384		3469506	121950	
403.20327		3304774	108965	
404.77665		3286109	226106	
405.29120		3391038	203572	
406.59436		3366697	232380	
407.08974		3474050	139672	
409.29939		3360346	187638	
409.73134		3318184	129668	
410.59561		3317961	172420	
410.75562		3639698	173310	
412.19514		3561915	137938	
413.42200		3520154	232844	
414.61426		3577269	163308	
414.72467		3960983	193867	
414.75750		3342741	193339	
415.76847		3530682	190120	
416.64991		3343218	175540	
421.56266		4169020	235359	
421.71137		3750792	202073	
422.41456		3377502	186128	
423.87174		3344775	169947	
424.62470		3404824	163126	
425.55276		3332503	192737	
426.04986		3674137	67198	
428.54654		3288198	121330	
432.48751		3652274	134087	
433.14777		3715090	197907	
433.39696		4113616	75900	
434.87915		3325249	219591	
436.73662		3467719	152551	
437.00233		3353885	189840	
437.27987		3826111	164898	
437.61652		3358304	182277	
439.71051		3490115	193865	
440.10913		3645739	119044	
440.47163		3606829	225849	
443.58006		3561473	227486	
444.78760		3426693	128077	
445.76983		3367611	122802	
447.01746		3390268	205974	
447.98243		3504875	236858	
448.12198		3355590	200285	
448.76779		3645431	174111	
450.12209		3609478	198272	
450.24939		3814038	186970	
451.35911		3494075	144337	
451.87406		3459107	156237	
452.30146		3326057	192011	
455.69535		3950433	174196	
455.95869		4175954	147019	
456.24427		3501981	170138	
458.88430		3528360	121666	
461.50782		3709092	142911	
461.58496		3687711	155929	
463.51696		3742050	188478	
464.73691		3346397	210813	
466.24546		3350461	184494	
466.42389		3528149	228422	
468.86063		4604209	123850	
469.30182		3605070	181040	
469.91616		3750114	145003	
470.11908		3523323	184267	
471.15355		3333464	116305	
472.13734		3452411	167097	
473.44077		3635121	138939	
473.55814		3429987	163332	
474.04923		3433736	161960	
474.28220		3796716	183054	
474.80185		3656886	175697	
476.49389		3740486	204629	
476.55754		3785494	113567	
476.70905		3401301	75155	
