m/z	z	I	Res.	
211.89465		4574227	402567	
214.49853		4580309	669535	
215.16829		4401527	557011	
216.14018		4438520	430363	
217.32523		4547240	540667	
217.55231		4469676	538010	
220.87499		4660035	440130	
226.79536		4376903	483951	
227.20058		4725864	521486	
230.72605		4309945	559146	
231.70629		4851639	647927	
232.95458		4482419	551309	
234.07031		4598118	506680	
235.79064		4433274	441063	
241.48667		5056444	584993	
246.00474		4315312	705801	
247.47757		4352641	581384	
247.69577		4330123	496120	
250.23628		4354958	448367	
252.92385		4527523	478859	
258.67501		4320918	535425	
260.34695		4528734	444614	
261.47924		4607463	564152	
263.63564		4514110	414982	
265.85586		4481103	468101	
266.22254		4602736	498313	
266.54411		4453722	501148	
266.71068		4406589	507528	
266.76476		5351124	483692	
266.82224		4420642	328632	
268.48569		4375122	444120	
268.50302		4364399	395609	
269.88417		4523050	391947	
271.30108		4450434	354431	
271.42493		5562062	378832	
272.27800		4321892	546897	
272.87054		4584966	493837	
274.24410		4318285	602748	
275.52521		4507272	508767	
276.96247		4481071	493415	
277.16842		4500912	532589	
278.08874		4394313	541542	
282.15201		4601392	383377	
282.63165		4798161	311949	
284.43127		4378153	495438	
286.81858		4418056	471123	
286.86686		4697858	386383	
289.68719		4391242	481136	
289.76350		4542402	464114	
291.69022		4307297	256722	
291.83231		5511347	390631	
292.13219		4498199	464120	
292.40783		4592893	368756	
292.79799		6725785	271456	
292.83061		8842774	425002	
292.83138		5332726	341258	
292.86371		12604819	332197	
292.86450		5849939	235463	
292.89601		5104657	741691	
292.89685		12235408	473879	
292.89804		5185680	547139	
292.93048		8528781	369337	
292.93124		5743501	538749	
292.96349		4657226	438209	
292.96461		6067978	412185	
292.99803		5059143	322336	
293.04498		4332547	233263	
293.21055		4572852	338744	
295.61180		4515117	456156	
296.02212		4486029	334115	
296.46876		5120236	398365	
297.07081		4388481	491243	
297.76667		5485906	411878	
303.54488		4475440	532622	
305.10362		4385091	413987	
306.27640		4392107	532364	
307.65021		4687642	500816	
308.31397		4409558	407097	
308.36124		4720406	389223	
308.81191		4421845	411031	
310.86705		4455843	310840	
311.00385		4338725	456688	
314.27199		4670843	508850	
315.39971		4399627	293316	
317.31821		4499730	363668	
318.09443		4497668	382942	
318.26680		4527887	424958	
318.71763		4843375	380757	
321.71572		4510443	429129	
323.86102		4451085	398932	
323.88770		4621392	379897	
324.58038		4707809	411899	
326.35899		4561605	383414	
326.79617		4489602	414111	
327.81420		4619029	352422	
327.99535		4308400	429973	
328.29669		4820382	420682	
328.85671		4892917	342810	
330.59287		4422935	447772	
330.98012		4419035	364757	
332.28643		4459340	398531	
333.64352		4410584	318618	
334.77738		4323333	310764	
337.71761		4571177	392574	
338.56081		4558139	159876	
338.85265		4364486	388658	
339.36629		4351499	441708	
339.93685		4639586	344827	
341.14653		4644910	312718	
342.71470		4310580	395644	
343.26195		5074072	337533	
344.03947		5251272	458892	
344.23694		4404933	285250	
344.49497		4594839	319423	
345.18241		4791220	391181	
345.25248		5314379	360588	
345.40747		4983549	389452	
346.28498		4404641	345287	
346.33056		4371184	390217	
348.14344		4347560	376986	
348.23751		4511818	387216	
348.76265		4760136	194965	
348.94462		4486475	429097	
351.63679		4764373	377481	
351.90891		4315266	343330	
352.70294		4575622	410489	
352.80163		4549231	267230	
352.99789		5689729	416590	
353.03634		4357009	410239	
353.81238		4677720	422117	
353.81770		4959706	378225	
355.85149		4633687	323870	
357.97548		4643508	307508	
358.12409		4574651	246707	
358.16022		4594316	358253	
358.92273		4614911	375940	
360.16422		4969258	323802	
360.33470		4324545	211948	
360.52775		4582692	400192	
360.83315		4896001	232974	
361.52458		4963049	261562	
361.75174		4318752	429690	
362.49215		4390187	334066	
362.87236		4311672	132393	
363.81562		4486910	375872	
365.31956		4824017	321323	
365.67048		4345307	280637	
365.67718		4637343	461244	
366.43759		4785116	438656	
366.53244		4688340	317785	
367.48502		4627917	288218	
367.58728		4934667	349225	
367.63092		4768230	307971	
