m/z	z	I	Res.	
216.37909		3336934	349328	
224.43155		3213407	379977	
228.74155		3296011	287681	
230.19621		3384377	278234	
237.45057		3243895	395519	
240.95519		3327105	316409	
245.84017		3291865	382286	
246.48471		3306867	376591	
246.78512		3245975	233420	
247.64804		3891904	380191	
249.27946		3439237	402753	
250.01848		3675410	307514	
257.07125		3207093	174815	
260.39202		3273557	302169	
265.03714		3451382	274141	
266.29326		3650041	328824	
270.47569		3231583	253985	
271.53034		3231431	181896	
272.61176		3206742	245295	
276.61366		3237425	297694	
278.93334		3230788	326928	
279.14520		3206964	234075	
280.11951		3321594	275202	
282.59128		3482080	293525	
282.78689		3355948	285869	
286.93164		3274162	246800	
291.77869		3217831	342067	
292.06032		3303314	236560	
292.79704		4386878	146355	
292.82962		12572395	319229	
292.83069		6442668	341010	
292.83354		3306219	337166	
292.86271		16003305	331016	
292.86386		7140329	330058	
292.86700		3287049	451839	
292.89592		13425127	311896	
292.89708		6738023	367758	
292.92851		3850725	487176	
292.92939		7473573	370490	
292.93044		5947301	260679	
292.96326		4155234	188682	
292.96414		5347874	366009	
292.99618		3569088	325421	
293.50151		3369086	222880	
294.10796		3234309	253478	
294.97511		3287558	256779	
297.59798		3636298	184413	
297.60290		3239097	277816	
298.99298		3410406	237469	
299.13306		3308935	137845	
299.19543		3469357	284168	
300.98341		3300851	263975	
301.34137		3211926	212572	
303.89800		3450425	206995	
304.22839		3285682	304869	
311.73685		3291683	227397	
312.19608		3280746	260208	
313.34808		3222002	253578	
315.28910		3427516	220959	
320.27952		3503140	214138	
323.53655		3251321	281453	
327.08110		3227571	233010	
330.70961		3440526	213356	
330.94536		3419166	221383	
337.13164		3589859	200128	
339.29921		3211547	235242	
340.84865		3499980	232419	
344.03893		5582527	275899	
344.99481		3357128	232216	
346.44525		3615625	157508	
347.43113		3497214	215572	
350.68902		4044475	253422	
350.78765		3282009	219746	
352.24231		3210230	181978	
353.00179		3562055	245770	
353.28555		3853506	247528	
353.55760		3319514	266475	
353.62201		3233167	153310	
357.41599		3608520	219326	
360.40633		3600944	233052	
361.31119		3824183	225753	
364.39033		3721339	181164	
364.51195		3346623	171452	
366.75425		3443830	201720	
366.90189		3417337	128901	
369.59293		3364974	213660	
371.86718		3372917	220521	
371.88347		3316350	221894	
373.94919		3309738	201542	
373.95636		3322862	185296	
376.74430		3737297	217743	
377.22805		3240798	176771	
378.01406		3239480	223006	
378.11968		3252516	159406	
379.09844		3368675	246997	
382.14989		3232109	207570	
382.84944		3426742	190867	
382.89546		3246386	211321	
384.75495		3454835	103096	
384.76744		3995931	212484	
385.64113		3530244	195979	
385.79922		3407304	208925	
388.61564		3338129	249695	
389.59617		3276895	148041	
389.83252		3903646	172179	
391.33643		3230174	160301	
391.46340		3545429	234399	
394.57144		3786555	172016	
395.86355		3325438	124074	
395.95918		3498244	171349	
397.09272		3308610	234452	
398.61424		3243629	169003	
398.62184		3502066	145889	
402.87392		3282353	251550	
403.23763		3317071	204411	
403.29149		3758970	173387	
404.74497		3266204	177367	
406.14982		3507080	87824	
406.70597		3362701	211792	
408.71124		3280225	207590	
409.23931		3506009	199784	
411.47726		3256492	116266	
412.02554		3253809	211977	
412.39700		3256464	225289	
412.92437		3305463	213744	
414.93608		3288481	149666	
415.41357		3291350	216219	
417.76350		3428743	219175	
418.11653		3428614	224385	
418.24773		3578940	131634	
419.86716		3342143	162856	
420.03371		3413720	93244	
421.45103		3311284	247998	
423.07023		3325628	69655	
423.94699		3326294	183525	
424.97315		3256165	176452	
429.01261		3437160	179671	
429.92711		3364844	178825	
430.06099		3422480	189420	
431.79900		3675760	172538	
432.74778		3480488	165494	
433.43829		3420225	122340	
435.22432		3308729	151940	
435.72768		3486716	211062	
436.47040		3336408	91503	
437.93692		3453159	205211	
438.61454		3588841	215266	
439.40984		3357418	191498	
439.83811		3606508	207404	
440.39749		3737594	182510	
441.27671		3514397	217527	
441.85166		3505280	231940	
441.88253		3630241	129580	
443.19761		3545183	205006	
443.35972		3624845	134808	
443.51227		3387761	197594	
444.25902		4129749	144319	
444.42199		3341541	141198	
445.40276		3488876	204786	
445.86627		3346084	206323	
447.97722		3390961	107231	
448.18838		3512150	185422	
448.73563		3447090	194485	
448.83354		3335038	163861	
449.45133		3782923	147240	
450.13578		4043781	137702	
451.27892		3700738	66291	
451.62572		3434344	175168	
453.54499		3501469	160721	
455.76867		3620372	100689	
456.57172		3433822	141729	
457.20050		3857170	185726	
457.44580		3442222	169812	
459.35863		3368025	173774	
459.63803		3601439	188537	
462.04803		4145386	161238	
462.34899		3753870	186440	
463.53959		3508791	119567	
464.60333		4088321	136346	
464.76022		3298716	128244	
465.11548		3422788	146109	
465.77486		3685529	141775	
466.01971		3428607	53527	
466.11182		3506637	117746	
467.59786		3351722	158466	
468.06674		3424961	180752	
469.43712		3422783	147093	
469.46547		3427809	172533	
471.16915		3639553	210019	
472.66042		3443560	58440	
473.83296		3475342	199042	
474.26146		3837281	162959	
474.82888		3860897	155095	
475.13865		3352417	197287	
475.95080		3321748	178588	
476.07057		3386857	141673	
476.17725		3606382	190246	
477.09349		3468071	200034	
477.99893		3365238	127950	
478.27567		3960305	134771	
479.65615		3394300	164014	
480.47606		4716872	207518	
482.55455		3748312	140769	
483.25380		3369621	156036	
483.32872		3409716	149448	
483.73049		3337942	160397	
484.03515		3470140	156600	
485.27887		3494008	166297	
485.38160		3529148	153005	
485.92484		3685591	129831	
486.79716		3896092	151456	
487.28103		3577934	211765	
487.31526		3825274	229937	
487.93966		7253666	221284	
487.99509		12227562	229952	
488.00880		11481084	208978	
488.09345		52007016	252789	
488.14877		53981360	253431	
489.37617		3503724	142014	
489.66608		3442246	127568	
489.90037		3602455	141094	
490.72014		3429380	167561	
490.93702		3792736	187999	
491.13884		3393064	155889	
491.91146		3580636	167110	
491.99764		3340205	129018	
492.32421		3602169	204149	
492.99013		4064611	214879	
494.22300		3680059	108696	
494.40922		3417265	122144	
494.78367		3444831	179179	
495.02242		3595291	172790	
496.56953		3472220	170899	
497.00393		3560669	179639	
498.44064		3421205	117600	
498.99792		3392957	203037	
499.90697		3418876	146095	
500.56512		4045357	140606	
501.31366		3472154	165855	
503.51753		3810288	165174	
505.00604		3398221	212787	
506.64899		3667905	169162	
506.98704		3853965	134166	
508.70686		3412596	135623	
509.71340		3386579	163882	
510.10834		3512047	172494	
510.98897		3422085	101715	
511.79833		3481980	192649	
512.01861		3721322	150016	
512.65640		3374039	126778	
514.63077		3586423	100832	
515.70506		3369284	214428	
516.59449		3690322	146148	
516.62708		3688960	138876	
517.06366		3411229	144546	
518.35329		3382234	121727	
519.26918		3606868	156024	
519.53283		3533699	147250	
520.95452		4080192	179631	
521.39300		3582115	89883	
522.35166		3501726	191135	
522.54906		3702163	119320	
525.95199		3911605	108696	
526.82391		3749215	150675	
527.27584		3399771	204024	
529.16086		3773947	163971	
529.63956		3420447	126713	
531.92802		3643810	109542	
531.97177		3862720	142029	
532.56847		3429325	104804	
532.79885		3732051	142007	
532.98978		4305634	136523	
534.45467		3489471	147397	
536.14403		3602719	103790	
536.29554		3738103	150226	
536.97913		3539139	133114	
537.66479		3626836	166295	
538.01380		3534213	131037	
538.03767		5577447	165772	
540.33830		3484855	155611	
540.36288		3960282	159882	
540.38908		4168447	155742	
540.96614		4357431	107770	
541.49909		3524848	139367	
541.75311		3998267	120818	
543.31132		3623631	124741	
543.77188		3775586	116021	
544.20714		3450897	146526	
544.22834		3440239	141611	
544.28810		3978885	151983	
546.45550		3426917	141582	
546.64673		3453239	189792	
546.75193		3536270	157384	
546.75968		3440154	153184	
547.02035		3864079	123773	
548.10302		27073568	160603	
548.36016		3500305	153243	
549.10618		6488000	172023	
550.10677		3687901	191807	
552.78262		4093218	126252	
554.56989		3518189	98672	
556.30516		3496686	150532	
557.63082		3665698	129427	
557.96573		3554308	114425	
558.03144		3445155	186719	
558.23290		3569669	119657	
558.79281		3700795	91557	
559.97993		3616857	133957	
560.69582		3749856	169246	
562.19660		3488466	98242	
563.11302		4652154	146238	
565.36325		3783332	161538	
569.57661		3535640	134310	
570.08248		3543921	147867	
571.29658		3465668	148925	
572.02105		3620374	131096	
574.53031		4224687	144306	
574.54573		3961157	195150	
574.70894		3526000	73753	
575.46937		3629172	135089	
575.62683		3695735	87663	
575.94345		3603805	134903	
576.62860		3594998	60985	
577.40381		3925902	84554	
579.72696		3675028	134727	
579.78133		3488354	135293	
580.47406		3570435	187581	
581.12994		3757743	133637	
581.28060		3586374	129192	
581.87400		4146392	162420	
582.22711		3527666	107688	
582.59672		3474083	152665	
582.85402		3967315	171720	
585.86326		3729312	124882	
586.45184		3629032	155859	
586.91028		3966902	118919	
589.87540		3660854	121559	
591.36084		3562934	93060	
591.37268		3583879	166597	
592.11100		3632704	70381	
594.27402		3556442	115866	
595.07168		4148611	97839	
595.70747		3571463	140550	
597.62425		4784858	123266	
598.40181		3667586	110711	
598.57762		3742874	156297	
598.68934		3688312	103014	
600.14872		3535485	101870	
600.21397		3699033	137167	
601.25480		3901967	113868	
605.13722		3493515	139086	
606.53275		3964965	140183	
608.26566		3850640	135807	
609.03665		3522622	157436	
609.87689		4175819	145551	
610.59763		31431728	142299	
610.82534		3762284	167329	
611.04266		4157464	121854	
611.09943		12065511	154569	
611.37662		3552294	126715	
611.38842		3899446	131681	
611.60093		4745628	139446	
611.75640		3589939	116179	
611.77275		3616201	138217	
612.34783		3690947	61160	
612.60663		5070600	140941	
613.58363		3520137	105240	
613.78872		3949860	116775	
613.92247		3581852	181819	
615.07608		4173900	139540	
617.62530		3988783	123447	
617.98122		3914132	113323	
619.55111		3616111	114404	
