m/z	z	I	Res.	
210.51044		4459419	638651	
214.07650		4971785	670686	
214.53726		4312124	676676	
215.34676		4441681	655920	
216.38003		4314647	366588	
217.74552		4382228	595843	
220.07686		4652222	522052	
221.02271		4452536	707328	
222.42033		4413846	528600	
228.39208		4758466	515586	
228.75639		4450611	447236	
228.88454		4487018	560684	
230.27733		4365912	587050	
230.30952		4313468	548114	
232.29305		4465650	459797	
234.68944		4356319	601109	
236.35712		4307589	497933	
236.56118		4345046	494856	
237.42703		4312034	562446	
238.63398		4783542	605583	
238.89858		4963388	508527	
243.36517		4697163	508590	
245.66181		4470411	677476	
245.68650		4381015	413014	
246.48559		4805952	439818	
247.64893		5423882	480623	
249.02979		4597150	472680	
249.28033		4317763	445542	
250.01927		4880708	507022	
252.64429		4469853	579215	
258.29566		4448580	479843	
259.22157		4307828	428535	
260.39299		4359657	461664	
262.22133		4490942	526622	
263.12474		4466211	440128	
263.16136		4461309	471277	
263.90082		4530623	320274	
265.31363		4642607	521102	
266.29402		5251083	516397	
268.65679		4463044	455933	
269.79437		4588618	547081	
272.80445		4459532	508382	
274.73835		4694594	551557	
276.27384		4373692	530852	
277.07939		4323046	558018	
277.55884		4716448	442458	
277.70578		4661675	365068	
278.72839		4592985	456267	
280.52900		4328415	364463	
282.59213		4336301	427327	
282.92095		4359555	525262	
283.69984		4819616	581261	
284.89659		4695820	483321	
285.85035		4460314	334871	
286.22797		5158126	412849	
287.18656		4514400	340216	
289.02561		4486199	491760	
290.70199		4567564	410046	
292.79785		5491335	593164	
292.79844		4470407	258711	
292.83050		15236612	449596	
292.83141		6967172	329779	
292.86238		5004033	457193	
292.86358		17092866	376816	
292.86454		7510529	334861	
292.89607		7225982	432421	
292.89679		15535358	457333	
292.89791		6995198	417620	
292.92913		4587003	589935	
292.92957		4324091	495455	
292.93026		9515515	517820	
292.93107		6346235	238050	
292.96410		5360888	531226	
292.96518		6373368	523383	
293.50225		4456138	387470	
294.41728		4519069	376405	
300.83834		4630873	535602	
302.34575		4534998	481139	
303.03275		4563964	392495	
304.07185		4384602	436519	
304.22926		5013910	436898	
304.32959		4300435	429690	
306.55601		4651939	420907	
307.77457		4319510	500622	
309.15489		4555026	386032	
309.27653		4386707	387344	
310.39228		4951386	437903	
312.41315		4362429	462057	
313.61720		4529567	442757	
314.15197		4301682	431085	
314.99541		4619091	400540	
315.28995		4427872	417460	
316.26854		4607311	399276	
316.79233		4617579	380655	
318.13018		4460221	508529	
318.27746		4395719	424291	
320.08226		4544269	376794	
320.92976		4435988	384135	
323.01389		4311198	443736	
323.04006		4367968	550276	
