m/z	z	I	Res.	
216.39572		3765019	388362	
217.91404		3466133	328679	
220.97086		3219085	347189	
226.76022		3313522	389733	
227.27906		3187004	292606	
228.53623		3284290	328060	
228.63647		3165798	356232	
229.27009		3242523	285880	
231.02252		3265855	263858	
236.76315		3159514	335537	
236.86004		3246514	359108	
240.59507		3327588	271241	
247.14247		3193172	257555	
247.47983		3207129	219772	
250.61785		3454965	394645	
258.56264		3275133	361860	
264.54388		3310778	222748	
267.16024		3303397	177590	
269.78821		3327802	276145	
270.46867		3305700	349111	
274.57624		3297406	285112	
275.03275		3233919	274786	
275.07143		3255971	247590	
279.84406		3166391	262797	
282.90374		3302832	240163	
283.98691		3405029	238554	
287.55848		3151796	286216	
288.10124		3242005	333769	
292.79781		6420072	305660	
292.83050		12038469	305631	
292.86362		13591747	294285	
292.89695		12058753	260608	
292.93044		10468159	261044	
292.96393		6262940	205505	
292.99792		5500506	336690	
294.52985		3194149	265586	
297.54439		3370487	227586	
297.56178		3179590	275131	
297.74290		3212317	278137	
297.74680		3224189	316547	
300.89051		3286898	273946	
303.12586		3306553	104324	
310.37495		3292703	217589	
312.85246		3179747	271929	
315.09652		3222801	241339	
316.81637		3405539	183157	
317.00197		3185900	272586	
318.81829		3187639	266917	
319.47702		3251725	135929	
319.91860		3604760	200192	
320.64280		3362391	260247	
321.92135		3397330	232281	
322.80873		3411895	253384	
324.18292		3561756	210028	
324.70026		3704859	260404	
324.90704		3211567	331819	
325.38953		3336941	263613	
326.89447		3256040	231361	
333.13125		3155394	236849	
335.19787		3427277	223930	
336.45436		3179526	279904	
336.74703		3394587	174588	
337.73192		3540592	198509	
340.19748		3669975	252799	
342.01283		3229437	256001	
343.73716		3421064	243461	
343.74009		3488713	201978	
344.03911		4849424	270141	
349.10389		3159627	92413	
349.26120		3279560	144577	
349.45539		3616448	258739	
350.14104		3599750	245256	
350.14894		3322825	248768	
350.43344		3465884	205088	
350.80887		3230220	250212	
351.66709		3545936	211886	
351.70179		3421338	242332	
352.91604		3232374	236157	
353.81073		3333879	181597	
353.81903		3158682	230584	
356.15550		3477583	239753	
356.81414		3207095	257680	
357.23472		3446958	237631	
358.41438		3475901	249423	
358.79143		3377114	173386	
364.61876		3320637	195352	
365.39445		3288625	232750	
368.54277		3308529	250087	
368.95364		3767380	221588	
371.96075		4261691	199771	
372.81683		3270576	173589	
374.24605		3243130	131996	
375.24598		3668400	200738	
375.39064		3422477	146281	
375.68427		3219484	168378	
376.17466		4089480	212263	
376.47025		3373610	130824	
377.66148		3313344	204105	
380.36496		4044655	171874	
380.53494		3191219	189848	
382.57794		3323832	234008	
385.86208		3201891	153126	
387.65978		3991322	173133	
387.88486		3253486	195380	
388.09069		3497109	188946	
389.87450		3367639	204306	
390.05008		3627917	148870	
390.29568		3529779	197009	
390.49946		3239101	249842	
390.69134		3829471	221302	
391.43082		3611321	195822	
391.84605		3444566	191563	
392.46529		3367459	161867	
392.62063		3830448	192765	
393.91611		3583966	171345	
394.67808		3191612	202712	
395.46721		3332498	183348	
395.80744		3917544	190668	
396.53714		3899515	185238	
396.79234		3240598	195451	
396.85195		3251137	214037	
396.89104		3556414	172002	
396.95073		3422538	142905	
397.90661		3353979	133453	
398.54928		3412106	277126	
398.58114		3188002	201120	
401.61795		3326791	217931	
405.84540		3510580	189172	
405.91021		3293064	169178	
406.05831		3305664	216241	
406.42570		3421610	139206	
408.12717		3897883	183969	
408.23281		3404434	194205	
408.46572		3376051	211606	
410.66727		3326533	261976	
413.62187		3409481	128336	
416.35180		3358728	192031	
417.14976		3302800	186051	
418.44888		3276832	249567	
420.79253		3255036	176589	
423.27945		3311783	127859	
423.94820		3256381	187364	
426.46742		3847774	186854	
427.61386		3355250	202526	
428.01489		3279800	175422	
428.58154		3246496	202303	
429.19532		3236953	128197	
430.19979		4022038	164840	
430.46174		3792409	210402	
432.56154		3982022	147590	
432.99469		3446010	191857	
433.80836		3250895	104122	
435.85553		3256469	190908	
439.35516		3504961	168827	
440.05430		3292096	148977	
441.65745		3461823	191960	
