m/z	z	I	Res.	
210.27609		4869787	519894	
216.39655		4628693	573156	
222.80117		4467166	548990	
226.46945		4857351	692175	
227.48510		4488348	588240	
229.53408		4348354	569220	
230.32577		4593220	540043	
231.41474		4552278	419782	
234.41699		4345206	480452	
239.98862		4559169	332305	
244.97475		4393965	611747	
246.74794		4413399	386903	
247.14318		4470354	397510	
250.61856		5066601	536308	
251.38468		4287056	479493	
251.63745		4561971	659788	
251.87113		4599001	514056	
252.84109		4369339	663024	
253.50200		4433684	448941	
254.30556		4352803	454137	
257.09397		4494653	516822	
258.56324		4456500	527313	
259.78875		4771321	544406	
261.34461		4336579	579536	
262.73527		4365100	463792	
264.04294		4572165	558541	
264.54471		4350317	229368	
266.16267		4304627	593514	
267.16153		4332263	409530	
268.19357		4303335	402136	
268.30546		4751780	448170	
269.78901		4440746	527681	
270.46937		4547864	524369	
271.42969		4326458	478880	
272.47070		4586224	426063	
272.88419		4543949	482153	
274.37603		4576767	506199	
278.20390		4454646	606899	
278.64477		4372789	522168	
280.87768		4286646	432360	
281.14818		4467280	399806	
281.32833		4338871	527710	
282.29182		4425268	461195	
282.67656		4382144	537639	
283.98755		4298740	409244	
284.27687		4560399	431802	
286.94520		4325031	386479	
288.09805		4299267	283506	
288.10179		4990050	433586	
288.98369		4654304	416343	
289.70740		4744658	393444	
290.79890		4449697	422864	
291.24907		4445652	473584	
291.29358		4331215	506002	
292.79843		6546687	353393	
292.83113		14723836	475749	
292.83189		6535868	323076	
292.86424		15413753	409535	
292.86517		8252793	493160	
292.89755		13327990	394762	
292.89834		6841782	248887	
292.93105		11647219	397306	
292.96445		6976112	426780	
292.96520		5862832	425115	
292.99868		6391533	434625	
294.51746		5020456	481046	
297.74369		4635444	416743	
297.74744		4450996	468291	
297.97421		5018917	476791	
301.05829		4543827	316965	
301.62013		4770777	421287	
301.71793		4610197	387799	
303.58095		4485131	430726	
304.98422		4454434	453749	
305.73529		4500241	362861	
306.61542		4568161	347213	
308.16169		4426098	442481	
308.94044		4789041	390764	
309.94818		4567093	418826	
310.30154		4601592	491569	
312.75414		4279590	519782	
312.85311		4360169	509073	
314.07685		4436049	462990	
314.69300		5277417	329861	
315.24305		4276321	352864	
317.00257		4904542	471829	
319.72713		5078941	389252	
320.38217		4296180	271568	
320.64341		4500267	456346	
320.85340		4376062	416476	
321.02149		4307789	427548	
322.20101		4318335	431600	
323.97428		4341121	431767	
324.63033		4357007	399796	
324.66212		4493459	445155	
324.70080		4903832	337403	
325.39013		4522927	361477	
326.26991		4691684	508066	
326.34401		4404654	344517	
327.24654		4340014	340213	
328.01145		4363745	393480	
329.20858		4693471	339363	
329.59097		4594270	505132	
330.18965		4468100	263995	
330.90097		5377474	424716	
332.14074		4659368	412561	
335.19832		4330529	424467	
336.45483		4618113	355026	
338.10774		4605907	361639	
338.87147		4417879	232945	
339.15391		4386785	486535	
340.19804		4400890	273887	
341.42774		4765779	405099	
343.10974		4438855	397915	
343.33578		4450828	410537	
343.50482		4612673	365485	
343.74070		4339018	331777	
344.03969		5643497	343119	
344.14930		4372939	315814	
344.67031		4466098	459578	
347.35027		4636543	223246	
347.40407		4629458	403649	
350.14161		4710218	364735	
350.63123		4524105	336725	
350.80935		4523856	443693	
351.66770		4515112	366059	
352.50146		4453758	413653	
352.59545		4516262	354367	
352.66379		4464834	382765	
352.74182		4579299	461050	
352.91660		4533932	373020	
353.58421		4369544	306484	
354.51506		4443549	239507	
354.83360		4837227	385322	
355.47094		4688521	412796	
356.67189		4579506	433911	
357.03710		4388254	333650	
357.23510		4290684	279105	
357.63757		4526845	355079	
358.28264		4502582	359836	
358.41480		5099383	395988	
358.79232		4380337	339181	
359.62470		4763538	304313	
359.90324		4296416	413214	
360.27044		4564124	379664	
360.91987		4497390	438034	
360.97807		4580429	214883	
361.12730		4999515	369006	
362.03792		4353089	412426	
365.82080		4462425	255615	
366.32819		4746694	307455	
366.35476		4847957	309663	
368.23837		4292625	306684	
368.24389		4360725	236922	
368.73067		4606853	353557	
368.95425		4970770	317932	
369.55269		4502798	285960	
370.32850		4376002	319766	
371.96124		5194679	301619	
372.26429		4491907	279425	
373.68626		4386319	266802	
373.73620		4377329	351699	
374.18942		4558125	448788	
374.26236		4522208	423474	
375.07578		4876701	342604	
375.92863		4368736	230946	
376.17514		6017842	347895	
376.44549		4354006	231714	
376.58458		4312091	336130	
377.49883		4465275	418460	
377.66207		4436213	328835	
377.77449		4777416	394962	
378.29314		4554956	310952	
378.32618		4354533	321114	
379.82755		4494747	253103	
379.94947		4363321	393867	
380.36538		6310011	339556	
380.53522		4844159	208638	
380.97278		4458709	413436	
382.10399		5510995	357994	
382.11905		4334815	270495	
382.94492		5027063	312481	
383.41967		4375928	337512	
384.17213		4404064	401410	
384.36095		4668027	273251	
385.21839		4644932	374031	
385.61588		4569745	380036	
386.66322		4336968	316587	
387.66032		4545921	210714	
388.06590		4323905	376556	
388.09073		4398422	279992	
388.96268		4987729	338602	
390.00870		4334321	344865	
390.69184		5469270	310236	
391.04135		4387217	253346	
391.12928		4481505	275703	
391.44888		4478275	233994	
391.84641		4934510	297480	
392.46604		4422311	129876	
392.62096		4778677	387211	
393.53844		4435850	409372	
393.91624		4893803	304764	
394.41345		4959423	365614	
394.78979		4337315	276814	
395.80791		5226863	269675	
396.53765		4963375	302965	
396.89137		4583814	310351	
397.18954		4678824	365334	
397.39246		4373998	366998	
398.03425		4365509	243856	
398.54961		5517026	279031	
398.59135		4459019	382634	
399.20584		4318575	287996	
400.32263		4401617	337307	
400.33436		4356380	253178	
400.36399		4319418	286848	
401.72849		4340457	339460	
402.04010		4687785	263764	
402.58724		4817246	356386	
402.99970		4531338	387436	
403.06076		4426954	344994	
405.41090		4755191	306372	
405.85950		4495958	186548	
406.42621		4336951	280522	
406.88909		4735915	324875	
408.05700		4327586	350582	
408.12763		4753520	284395	
408.56308		4616014	304452	
408.69053		5035354	385128	
409.24159		4520891	294007	
410.17486		4572233	273306	
410.40868		4421710	304907	
410.83874		4436529	326751	
410.88138		4431713	351686	
411.59561		4352135	357711	
414.40839		4600736	250427	
414.78072		4388177	193708	
415.36827		4448511	419217	
415.66417		4380378	335536	
416.39093		4387762	346884	
417.07270		5030745	299252	
417.07978		4394722	248883	
417.14982		4500789	399018	
417.84662		4442228	302622	
418.81650		4681344	285974	
419.08978		4716234	297627	
419.64757		4485869	342178	
421.53052		4457964	379493	
421.73669		4450155	312393	
423.60110		4370681	369449	
424.20276		4409580	321297	
424.93786		4577675	344716	
425.61151		4822369	233945	
425.76554		4608549	336615	
426.46757		4872613	323232	
426.79777		4835533	338588	
427.61428		4500327	306802	
428.29665		4564762	192378	
430.20005		4687631	215814	
430.46188		4358376	249477	
430.96267		4388860	372493	
431.02608		4853328	385651	
432.05635		5110183	298556	
432.56217		5180490	161772	
433.56810		4832142	305569	
434.24636		4618401	288387	
434.70582		4524302	294224	
435.51180		4447958	175417	
435.56875		4463779	328504	
435.80504		4643430	355755	
436.43722		4550982	320940	
437.04146		4701188	306518	
437.45465		5055934	225797	
437.71448		4448804	280545	
437.84891		4834014	225375	
438.18702		4425778	344437	
438.35955		4641314	296212	
439.35553		4658188	279584	
440.31624		4468813	204577	
440.47195		4809384	271006	
441.65764		4927153	225079	
442.37942		4445489	293858	
442.62578		4383760	263878	
442.72221		4774937	330397	
442.75221		5493828	317971	
443.26393		4632990	138267	
444.41963		4395672	254934	
445.83560		4459798	308314	
446.08162		4389115	301946	
449.03781		4940774	319227	
449.25361		5169701	323147	
449.56208		4628461	273272	
449.88798		4656464	282625	
450.12059		4753450	213510	
450.39786		5046726	273909	
451.87664		4904038	177702	
451.91819		4770981	374915	
451.92247		4540331	274792	
452.01325		4518068	281429	
452.20535		4472148	324822	
452.40798		5260548	285320	
452.63449		4527449	298412	
453.48786		5606497	249232	
454.19214		5171723	189891	
454.44603		5060749	284642	
454.51070		4423791	285675	
454.85955		5106562	256765	
455.44052		4466935	269479	
455.73810		4481726	278013	
455.80535		4786597	320720	
