m/z	z	I	Res.	
206.14736		3252831	324729	
206.33521		3155516	438010	
206.35890		5196906	430918	
206.38270		8555307	374358	
206.40645		8078213	414613	
206.43040		4463582	413959	
206.45427		3223503	442899	
212.04801		3096847	390918	
215.02829		3173113	360314	
216.42510		3319240	413642	
217.00910		3230503	341450	
219.61876		3273105	252374	
219.83930		3196671	385619	
221.38023		3104765	334528	
221.59974		3219034	253676	
223.72113		3199758	137158	
229.73873		3139868	256764	
233.16857		3414264	347047	
238.03193		3267479	288585	
241.93749		3209203	314450	
243.47511		3087231	333476	
245.17237		3115648	326605	
245.68352		3131787	345869	
247.39028		3619939	299238	
247.94717		3244875	319068	
248.46830		3206879	214242	
250.88006		3142427	287934	
252.11301		3340745	283139	
253.88005		3255580	236029	
255.79949		3112994	302991	
255.87805		3134879	366678	
256.03490		3111785	254663	
258.36153		3512448	274537	
258.84157		3094698	156834	
261.97595		3794513	281487	
265.04610		3082701	271063	
266.86593		3422126	292484	
267.72305		3207166	190235	
271.21729		3163802	346622	
273.37166		3226635	256838	
273.53627		3603775	286994	
276.02196		3334027	281483	
277.47837		3310565	206487	
278.08924		3116193	313218	
278.26990		3104409	146361	
281.95477		3424665	261632	
283.27954		3251910	238001	
283.51351		3674303	248491	
283.89644		3131531	233786	
284.79060		3080807	143116	
286.34452		3093867	354492	
287.75625		3271442	267518	
288.86574		20829512	305690	
288.89891		72117448	274184	
288.93219		99597504	270215	
288.96553		98355392	271135	
288.99897		72790720	276812	
289.03249		39318972	283961	
289.06613		14960440	332181	
289.64742		3089195	277222	
289.78157		3385896	245221	
290.03994		3340685	158197	
290.84903		3340705	226745	
292.19872		3273938	296620	
294.21029		3166306	259728	
296.20649		3450226	253157	
296.30692		3164205	299315	
296.77991		3277813	316502	
296.82327		3088395	229993	
297.38429		3201592	318233	
298.66521		3333071	293112	
298.68475		3124334	286665	
299.05817		3094367	267145	
299.73760		3173317	228075	
299.89812		3158591	312818	
302.12779		3172810	268475	
302.90075		3143688	243376	
303.80124		3160342	243534	
304.27894		3376270	260182	
305.31180		3548112	274651	
306.24395		3455913	242487	
307.52834		3218677	258750	
307.72295		3235158	341023	
308.16401		3398983	252593	
310.60931		3397297	295618	
311.13690		3233307	231127	
311.42521		3572962	261173	
311.45305		3354930	261801	
312.09811		3318850	242992	
313.22987		3385378	183517	
317.99361		3193983	259859	
318.09936		3360134	183155	
318.89033		3251192	242185	
320.08631		3550268	335682	
320.98733		3291122	262414	
321.68891		3135115	255505	
322.78162		3089756	247415	
323.39818		3237958	244380	
324.59947		3159470	165086	
325.45582		3445257	236282	
325.96995		3721795	274577	
326.47778		3235486	215166	
326.95261		3178198	195086	
329.80749		3290188	226550	
330.64914		3202949	227966	
330.76205		3227638	250188	
331.37883		3404723	253066	
331.62110		3349240	212799	
334.72686		3570975	251534	
334.78868		3122490	210580	
335.04356		3459768	198917	
335.49655		3083179	201367	
335.92279		3232762	208434	
335.92658		3258459	255271	
336.04715		3336114	174358	
338.27159		3118507	273636	
339.28265		3088225	272567	
340.12273		3118681	228345	
340.78591		3124174	232733	
341.72831		3353673	223567	
344.03915		9293442	259832	
344.10952		3341205	210071	
344.53054		3814786	218245	
346.66611		3319763	163649	
347.48985		3187132	193740	
347.58836		3184969	234967	
348.14061		3250617	209443	
349.78242		4047223	174143	
350.00044		3141498	292101	
350.27715		3147857	164714	
350.38972		3303620	138288	
350.75420		3312167	241837	
351.90993		3160092	218692	
353.01762		3798446	202692	
353.59264		3167427	125194	
354.29470		3265631	134148	
354.65626		3193831	256006	
354.66188		3343049	251378	
355.86669		3532604	180222	
356.59168		3586377	261018	
356.64815		3200286	246257	
356.86702		3425312	174074	
357.03342		3107823	224419	
358.33888		3157670	102756	
358.44584		3177808	184936	
359.44276		3717693	188386	
361.06800		3476346	182581	
361.07755		3443038	302580	
361.08926		3099747	179085	
361.11920		9189103	214012	
361.16078		9073921	216120	
361.17523		4077767	257438	
