m/z	z	I	Res.	
206.16772		4829520	584088	
209.92260		4405919	452457	
214.22708		4740121	606323	
214.24663		4608963	581049	
220.35334		4561500	702416	
221.40611		4393717	674409	
222.57374		4486975	670902	
227.27584		4516338	467499	
227.28168		4480373	581468	
227.43450		5014926	592831	
227.75725		4546365	659193	
227.92797		4936847	443639	
228.38799		4451860	639601	
228.62987		4545846	540863	
228.88123		4431783	548800	
229.27959		4393200	590860	
229.66957		4430178	611640	
230.70536		4449475	443916	
232.74373		4439812	409613	
234.14550		4672623	515564	
236.39766		5100601	512953	
236.47683		4507931	486787	
242.62858		4423551	464760	
245.27845		5076636	412096	
245.68200		5252253	573343	
246.78897		4624962	543691	
247.56261		22110312	440969	
247.59102		69901920	412972	
247.61956		102231648	416587	
247.64813		100052056	433366	
247.67680		67854416	416112	
247.70557		39910220	471289	
247.73436		11077318	468792	
260.44923		4433262	640088	
260.91103		4388499	496006	
261.78902		4457829	425416	
262.18506		4641271	526399	
262.92542		4669189	526637	
263.31365		4746953	368553	
266.82030		4527092	512570	
266.87012		4686187	481046	
268.29963		5045949	452576	
270.26385		4482225	614004	
270.92403		4351353	417478	
274.94953		4685940	542577	
275.08391		4465405	411950	
275.53014		4586673	387480	
277.31268		4545961	569839	
277.35330		4456034	576441	
279.13334		4673349	546590	
281.23031		4367300	476244	
283.65718		4490214	637255	
285.11173		4632287	570583	
285.43289		4612085	579981	
286.59177		4383263	526869	
288.33031		4357706	434663	
288.47007		4414586	455123	
291.39744		4412663	500702	
291.98419		4751868	512368	
292.05684		4485012	286844	
292.22258		4440292	551910	
292.33430		4559769	465637	
292.50678		4557480	341620	
294.05907		4432761	448738	
294.42249		4418265	385849	
295.22959		4752310	279722	
295.32891		4503118	328097	
295.35996		4506635	445758	
299.61383		4518379	466288	
299.89357		4523740	185018	
299.95320		4548793	344075	
302.26379		4352307	508577	
302.66464		4859364	380212	
302.66695		4834916	460791	
302.94627		5150427	428888	
304.58557		4668592	491125	
305.05392		4531687	361029	
305.32399		4368931	370956	
305.84428		4709788	459416	
306.98951		4757588	345278	
308.48906		4724952	367213	
309.45020		5660772	361459	
309.48575		8340581	411362	
309.52130		15589477	367865	
309.55709		11217638	374522	
309.59287		5458407	467663	
311.03045		4913160	341060	
312.92351		4775821	323594	
314.79449		4331503	383466	
314.93391		4544439	523556	
316.41012		4833819	375051	
316.91363		4655554	396035	
317.35961		4527334	395722	
320.44463		5036433	419305	
321.15414		4408354	199835	
321.50136		4421515	345359	
321.75883		4840427	257412	
321.98336		4377159	363884	
322.46753		4560837	389079	
323.60159		4803935	375072	
324.48413		4371488	508102	
325.65360		4790423	338390	
326.71602		5153161	358453	
327.47326		4375055	458044	
328.25895		4521760	289674	
328.70774		4361846	464745	
328.97914		4972587	484727	
329.73447		4353219	500765	
331.17362		4875637	418307	
331.36797		4987936	398276	
333.14428		5118141	480046	
334.80650		4460767	492100	
335.58700		4466350	199718	
335.73635		4540695	394077	
336.20076		4536406	426452	
337.43635		4886006	158684	
337.79865		4989088	483027	
337.80941		4413028	341816	
338.08701		4532854	489089	
338.41659		4726490	344163	
338.69413		4461998	173973	
338.81748		4402708	391416	
339.97113		4569664	359710	
341.14637		4652483	393272	
342.68786		4490969	432733	
342.71719		4518307	307959	
343.64810		4638004	419580	
343.71828		4470286	284838	
344.03909		7407557	353628	
344.34432		4529464	437337	
346.12325		4439274	415168	
346.40343		4351451	287740	
346.62534		4664629	375120	
346.73098		5128928	379779	
347.29669		4721545	332713	
347.56361		4915000	402621	
348.23535		4395989	379342	
348.89729		5093235	423340	
349.57123		4507292	310466	
349.60010		4572073	444206	
350.23211		4663750	352708	
352.09504		4794285	403195	
352.18982		4815066	349705	
352.51274		4483127	362285	
352.62622		4480942	344773	
353.33964		4436942	298130	
353.90243		4366632	435182	
354.22711		4609869	353834	
354.37086		4611735	409300	
355.21801		4358862	364416	
355.39413		4425643	390260	
355.75065		4422311	330703	
356.06075		4435213	196770	
356.61350		4379512	305167	
357.45298		4992775	423361	
358.95446		4754204	321204	
360.62562		4402809	231725	
361.35006		4417842	189301	
361.41124		4470808	295860	
362.18124		4508663	351175	
362.34660		4869471	301334	
362.79869		4576957	171906	
362.98863		4534839	279318	
363.48839		4452024	393839	
363.95943		4497771	336177	
365.34404		4856707	211631	
365.45124		4634572	347692	
365.55123		4799119	347777	
366.40847		4375514	335035	
366.45850		4760828	293348	
367.29127		5229377	461137	
367.51332		4900958	388681	
367.88799		4385256	410000	
367.98134		4765354	356013	
368.55653		4540487	308896	
368.63406		4651007	269097	
369.42539		4442176	406510	
370.10298		4579509	292408	
370.33402		4934817	277059	
371.04042		4434037	301878	
371.22830		4462180	245634	
371.81966		4770376	381091	
372.17457		4819674	361808	
372.43428		4596003	135599	
373.39400		4631700	360619	
374.51222		4367378	355632	
375.64235		4592171	308642	
375.95277		4380203	377007	
376.12232		4647479	288241	
376.51753		4591616	358420	
377.12407		4553214	324176	
377.33181		4802605	351460	
378.04334		4365195	339712	
378.18331		4472963	359049	
378.40067		4990654	279195	
378.83497		4439989	260919	
379.85675		4512434	315552	
380.05203		4446815	221560	
380.20085		4367074	299236	
380.30568		4806847	350555	
380.41147		4503325	454907	
380.70891		4728102	422728	
380.80390		4415483	437092	
381.46984		4410193	312712	
381.52310		4407169	341943	
381.97457		4805403	374523	
382.84993		4739773	359091	
383.56700		5298645	271844	
384.99957		4618905	351652	
385.96732		4532535	437153	
386.17444		5543295	303548	
386.41539		4566504	349032	
386.63257		4423227	301505	
386.91652		4614863	285824	
387.25161		4434199	357132	
387.54102		4571187	271044	
388.62096		4574433	301083	
389.57123		4413979	378380	
389.86449		4623556	250811	
390.38268		4865619	314253	
390.43857		4937996	254748	
390.49300		4428740	346641	
390.72497		4439089	232327	
390.83282		5195680	329517	
390.96242		4727141	224615	
391.94370		4530204	368496	
392.04301		4439299	323016	
392.34694		4445377	343756	
392.39151		4787183	318780	
392.52907		4749567	345000	
393.39467		4744975	306919	
394.15091		4871348	343791	
394.53157		4612171	326353	
394.79179		4426851	176155	
394.90285		4606811	395290	
395.10239		4490034	173915	
395.88363		4530178	347071	
396.10218		4447600	272660	
396.30334		5183181	253181	
396.82975		4562191	263103	
397.07167		4613914	282268	
397.54824		4554986	120366	
398.65492		4537726	355205	
400.08480		4488147	344337	
400.35228		4975492	274030	
400.91920		4810127	212949	
401.07113		4939966	329466	
401.26585		4470047	293832	
401.49489		5021608	252741	
401.61400		4524594	325581	
402.62205		4783690	294660	
403.68323		4492076	288750	
403.86052		4827775	338139	
403.97721		4537609	173713	
404.33311		4492209	318362	
404.52719		4421784	256903	
404.88587		4430534	175677	
405.02897		4685169	353729	
405.14735		4590336	268025	
405.21280		4396558	189463	
405.49400		10940961	401694	
405.53894		6262871	384266	
405.63512		5939147	441221	
405.63765		6905550	368042	
405.73377		5236034	363717	
406.16027		4844743	350433	
406.20613		7803007	310265	
406.20953		4733315	443432	
406.25580		7880891	314012	
406.30181		8823283	366542	
406.35124		6882607	340009	
406.39664		5384102	230737	
406.44628		4467363	369600	
406.54774		4520222	403027	
406.67822		4561085	402840	
407.30271		5044665	468825	
407.31276		5028678	319700	
407.40015		4689201	393467	
407.46333		4419839	180423	
407.49372		6784420	446340	
407.54037		5161437	359949	
407.54163		4811743	569379	
407.54273		4690400	530908	
408.16264		4937437	404885	
408.68738		4546407	459741	
408.77580		4485717	291503	
409.12979		4479630	294406	
409.30563		4811882	347788	
409.85885		4656031	270626	
410.51532		4614746	396226	
410.94802		4601598	297621	
411.73331		5543142	265627	
411.78339		7322278	283403	
411.83143		9250531	266259	
411.87648		4998941	413211	
411.87955		9991456	368488	
411.92502		7832923	263639	
411.97222		4423063	402035	
411.97545		4543387	337695	
412.55584		11417732	343594	
412.65173		20884736	286911	
412.69950		18645820	250336	
412.74719		18195322	283127	
412.79473		10405816	258607	
413.26323		4480021	372730	
413.30099		4482630	294099	
413.30620		7197773	462450	
413.35034		5129350	534784	
413.45244		16733706	210242	
413.49752		7330629	391148	
413.54787		6359174	124064	
413.59582		4592836	256061	
413.68728		4752699	269868	
413.68861		4674365	410515	
413.73698		6161276	349342	
413.78351		6781112	300606	
414.77714		6034634	244251	
414.80635		4499568	270442	
414.88076		4594129	234397	
415.47338		5146205	232312	
415.94336		4446410	276290	
416.22761		4790595	325857	
416.50033		4893357	343571	
416.95345		4620297	413974	
417.08887		4618430	253942	
417.26008		5300258	299726	
419.23642		4755724	340900	
419.64070		4516274	325138	
420.00724		4575271	316597	
420.01122		5211564	234094	
420.80927		4893043	376519	
421.04018		4619825	213522	
421.21468		4560674	311724	
421.85094		5431442	80893	
422.01932		4791291	347228	
422.82757		4459553	223011	
423.02286		5865714	279038	
423.36248		4783182	291175	
423.80518		4670652	273819	
424.85024		4502272	335844	
424.90039		4494535	291155	
425.10297		5138278	230523	
425.53130		4636360	260577	
425.71162		4486217	340636	
425.89690		5109073	369421	
426.33222		4435264	268566	
426.84198		4697500	349575	
427.32680		4938582	372573	
427.51844		4668267	208706	
427.75907		4852679	320821	
428.83747		4915429	214639	
429.24354		4648501	343441	
429.25875		4599116	237341	
430.13935		5152599	150296	
430.40637		4521568	311773	
430.75538		4906211	332093	
431.32710		4606320	250718	
432.00135		4509082	335029	
432.02394		4626619	240604	
432.31915		4590707	110417	
432.41203		4806014	387576	
