m/z	z	I	Res.	
206.35808		6514462	394422	
206.38183		8542858	399272	
206.40566		7646949	423814	
206.42948		4888659	456389	
206.45343		3835563	463627	
206.90982		3437319	260654	
207.44216		3349944	417832	
210.28136		3210789	312785	
210.42339		3131637	342877	
211.48947		3363701	274243	
217.68195		3171525	465487	
226.47808		3151734	417594	
228.05705		3083893	151649	
228.58390		3239170	300392	
228.96234		3236032	293738	
230.54421		3141642	139399	
232.32114		3160715	389353	
236.75052		3580656	334876	
240.18423		3492298	266867	
244.74058		3239954	327080	
245.73908		3208081	357160	
246.52104		3101299	281538	
247.19558		3114075	288524	
247.27955		3290043	219440	
248.28549		3255859	374379	
249.20419		3192680	287869	
252.00077		3294817	307895	
252.74294		3155785	331736	
254.09117		3090602	278820	
255.79409		3322840	249160	
256.65355		3141396	238043	
256.81362		3099017	247359	
260.86134		3505016	310478	
263.21038		3551588	189984	
263.70651		3104726	231870	
264.85679		3405878	304505	
266.94829		3143174	261086	
267.21511		3234378	296406	
267.40702		3099488	290102	
269.39626		3143717	271349	
274.22908		3421783	281180	
275.26419		3403752	252368	
276.50242		3275251	314934	
277.93561		3266803	271530	
278.32027		3207471	277367	
279.29555		3199896	218441	
283.12485		3550230	234211	
283.75852		3458710	290896	
285.40623		3100838	279208	
286.31122		3162257	277822	
287.68741		3714334	206979	
287.75041		3328129	285663	
288.86498		23764482	300871	
288.89809		73431808	285765	
288.93011		5706493	537024	
288.93135		97805568	276963	
288.96344		5015290	641131	
288.96468		95831800	277354	
288.99808		70963448	277907	
289.03161		41916404	291676	
289.06526		15411314	316222	
289.09878		4285871	358981	
290.28266		3254592	275430	
290.65734		3087299	284913	
291.54722		3089489	308970	
292.54535		4077946	222174	
293.76033		4008009	243558	
295.33524		3621376	174977	
296.75591		3096938	266715	
297.56851		3303954	220694	
298.58299		3090039	123387	
299.03883		3164175	260932	
300.27872		3127343	222873	
303.17863		3421419	268290	
305.53207		3127182	183052	
306.01037		3161058	236042	
309.33504		3446712	289885	
309.36271		3387752	191033	
311.15918		3178421	308241	
313.20927		3433054	275447	
314.16385		3145456	293035	
314.20805		3458210	137597	
315.16449		3173219	194101	
316.82346		3214767	291490	
316.95488		3158454	155764	
320.34939		3561277	169245	
321.35893		3175600	271350	
322.16511		3368344	207054	
323.05593		3194204	228649	
324.91157		3414797	281926	
325.36580		3088193	240065	
325.44705		3172362	269231	
326.03892		3166639	266159	
326.43583		3427215	247028	
327.22178		3273633	207916	
329.28289		3120001	189216	
333.30490		3392569	230039	
333.58534		3141099	250863	
333.82883		4569686	215051	
334.19331		3346760	215655	
334.68806		3375059	197209	
334.84572		3093921	177252	
337.65633		3375873	258688	
338.50533		3199015	126766	
338.75786		3488911	193585	
340.20519		3129975	281991	
340.44876		3149008	202586	
340.49676		3279740	273010	
340.77996		3357311	161094	
341.62720		3524524	189692	
