m/z,z,I,Res.
208.74092,,4134759,248738
208.76476,,3693327,338133
208.78864,,3894846,404328
218.65743,,3835573,343677
224.16032,,3430554,304528
227.49275,,3321770,310191
227.89244,,3426978,268347
228.33658,,3395275,250137
231.13417,,3210746,296653
233.6063,,3307056,229011
233.77116,,3404743,302269
238.94559,,3207175,315562
242.05553,,3113000,211773
245.35596,,3203333,308309
247.25727,,3212342,308863
252.62847,,3120481,354417
256.92145,,3327342,322040
268.95401,,3529561,308010
274.25099,,3137035,241928
276.60805,,3552656,284483
277.87846,,3181469,258941
278.05204,,3204714,221563
279.62238,,3118176,207004
281.88679,,3439055,227274
285.0802,,3118891,224510
286.96627,,3311872,252707
287.9866,,3143797,274035
289.8614,,3234324,278348
292.1683,,9161154,324207
292.19302,,3183313,320843
292.20141,,28870912,277341
292.23459,,46508796,268325
292.26789,,42675964,267514
292.30129,,30197754,274589
292.30285,,3862873,340009
292.3285,,3151960,356983
292.33485,,15818871,285619
292.36842,,7561173,282835
294.0073,,3496591,219140
296.21103,,3247478,274324
300.26392,,3127843,177898
302.25434,,3215537,156527
303.05152,,3314551,219495
305.547,,3356665,224535
308.97717,,3295592,252954
310.57916,,3174476,294660
314.35468,,3171363,249245
315.71737,,3146219,183720
315.74449,,3344077,236817
315.90397,,3325012,248979
317.27986,,3496650,236260
317.93589,,3614431,214822
319.93457,,3096049,231200
324.51084,,3582170,189736
325.59051,,3120363,217205
327.32194,,3201025,217484
332.36557,,3331961,188878
332.66323,,3269240,187042
332.76572,,3115952,86021
333.67764,,3278493,126415
334.47175,,3304163,220143
335.08076,,3361662,259453
338.77116,,3604400,192731
341.78224,,3401649,270715
343.64013,,3364093,207563
344.03844,,6342479,234069
344.74049,,3336817,186041
345.94837,,3529788,192371
346.55396,,3138831,211557
346.7869,,3139214,212943
347.62347,,3196454,159859
350.73386,,3207996,201788
350.93151,,3222009,199937
351.44051,,3127881,161783
353.14704,,3305697,232842
353.68987,,3131319,260099
353.69216,,3196055,205581
353.97102,,3392406,212347
354.38112,,3139250,142307
356.01769,,3207424,203657
356.70592,,3304250,206927
357.31348,,3518442,164725
357.47121,,3673316,186181
359.00247,,3171932,190981
359.51428,,3735972,216681
359.92646,,3117543,214777
359.97721,,3175515,203674
360.6412,,3524454,191276
360.90866,,3278930,164705
363.11929,,3356144,216968
364.08101,,3227394,155249
365.2891,,4622540,100389
366.30777,,3130493,217950
366.50452,,3344792,175137
367.39473,,3428440,205308
367.79287,,3175717,180608
367.88008,,3320591,137212
368.16803,,3325960,157362
368.80923,,3308350,211509
368.88709,,3284260,225458
371.0764,,3238469,181083
372.76654,,3161773,170314
372.83967,,3181651,172315
373.05851,,3244166,142139
375.80633,,3298834,192786
377.90138,,3210829,182393
379.51267,,3528851,172823
379.75007,,3160799,217819
380.15673,,3403632,177568
382.11115,,3244840,208830
382.93855,,3115813,225889
385.63865,,3290204,177274
386.1274,,3341351,193778
387.15552,,3181190,220821
388.2787,,3607548,131838
388.71693,,3269265,180462
389.21191,,3153918,198337
389.46032,,3470981,190029
389.80549,,3248975,239708
391.22736,,3432318,150662
391.38047,,3174504,177377
391.4184,,3534819,183715
391.53596,,3165716,195503
391.98138,,3222378,190037
393.46672,,3380769,172212
393.71786,,3524372,202776
395.39483,,4265388,197353
396.40413,,3129518,183009
396.51959,,3317843,143766
396.54783,,3161816,144560
397.6186,,3211634,206902
398.10567,,3165222,135993
398.73301,,3157782,134785
399.00941,,3312903,138358
399.23919,,3780885,155328
400.80754,,3187526,85793
401.70616,,3303039,227854
403.38897,,3251019,160707
405.37611,,3363362,192506
407.76693,,3321479,187962
407.98746,,3260925,183088
408.3195,,3381233,190726
409.37907,,3430599,77693
410.62848,,3179943,155248
410.91735,,3362029,126569
411.01404,,3357583,173729
411.14209,,3139229,92185
411.55061,,3172794,222245
411.67923,,3430344,159923
411.9882,,3156274,157376
413.14839,,3269789,210682
413.58601,,3237578,74539
414.06288,,3497819,150319
415.22612,,3907515,188720
415.80608,,3349821,213013
415.97033,,3369935,190761
416.0022,,3425516,138503
416.67522,,3172068,166395
416.97286,,3909103,101272
417.28178,,3595173,187720
417.28462,,3361223,147689
417.56372,,3196483,115391
417.63091,,3414335,175234
418.48465,,3419573,113341
419.767,,3315864,140758
419.99515,,3370921,176495
421.95317,,3754079,106824
422.69663,,3515255,169194
424.04666,,3200017,191252
425.65691,,3341521,124690
426.29026,,3215891,176805
427.88251,,3307066,65934
428.22616,,3165065,173968
429.97789,,3253412,196504
431.74101,,3192574,166373
434.06639,,3829991,159465
434.52372,,3253208,174237
437.06438,,3182986,167996
437.24156,,3650401,157853
437.63337,,3355752,105016
438.0831,,3321452,180829
438.14916,,3250353,172296
440.64524,,3500078,184977
443.25175,,3821160,154497
444.14443,,3366441,131778
444.74614,,3179668,180295
444.81756,,3237633,52988
445.50237,,3207784,157869
446.40559,,3915104,162369
446.48455,,3311159,135646
446.50387,,3235564,188975
447.24311,,3278198,191131
448.04592,,3180105,142235
449.02813,,3809990,148447
449.16792,,3320577,160478
450.74061,,3271224,89130
450.81495,,3612267,69215
451.41549,,3293900,81668
454.19133,,3267883,148038
454.72821,,3289134,157652
454.92547,,3253039,162325
454.98557,,3518484,169427
456.85121,,4012399,165893
458.07076,,3424623,173397
459.41386,,3295400,156648
461.01857,,3247420,129784
462.24578,,3189792,138497
463.32429,,3526012,139598
463.5009,,3864654,167889
463.83222,,3565527,164966
464.87594,,3256050,187973
465.02614,,3376933,141274
465.08403,,3534602,113531
466.49537,,3358149,157385
468.76607,,3385785,113341
469.2287,,3945003,108618
470.14551,,3272710,172630
470.99738,,3546230,116887
472.3676,,3813542,188483
474.21945,,3453043,134662
474.30959,,3277154,128387
474.63038,,3257680,194323
475.19552,,3230957,149628
475.26742,,3251126,120996
476.43814,,3405848,159284
