m/z,z,I,Res.
208.74202,,5084677,397388
208.76583,,4730815,447999
208.78965,,3185486,319598
216.18026,,3237901,323154
219.72025,,3478302,385481
222.04148,,3108321,359811
225.95662,,3489581,253066
230.19459,,3174414,370765
231.95853,,3134588,324702
235.91125,,3216422,298377
241.2837,,3097613,317563
245.60193,,3072712,216600
246.25382,,3304749,301751
246.85766,,3196527,251999
248.00831,,3316034,219713
252.25008,,3174243,280004
253.931,,3259778,109922
255.40942,,3306533,297653
260.79017,,3188636,255089
264.90112,,3402875,257842
266.37776,,3070387,220764
268.7337,,3081207,278464
269.80376,,3420497,275720
272.26581,,3452579,266358
273.62169,,3153098,221290
273.71959,,3203030,192845
286.6861,,3121721,308709
287.78049,,3544717,263921
288.26713,,3083870,153662
289.70057,,3823574,174847
290.77474,,3344823,227293
292.1692,,10653031,279108
292.17051,,3326375,332696
292.20242,,40477540,261021
292.23568,,58083940,254505
292.26902,,49539424,250410
292.30243,,34723936,254686
292.33592,,17194588,267098
292.36939,,6963098,273047
292.40247,,4008568,302284
292.76114,,3192096,275298
294.04119,,3199281,179418
294.49204,,3541206,206421
296.93848,,3525413,222436
300.31394,,3071851,144493
301.61153,,3145971,249139
302.44795,,3267101,224294
307.04626,,3354786,168292
308.5828,,3200485,152777
309.36147,,3126180,203309
310.03176,,3103268,201372
310.29427,,3270248,250608
310.92024,,3101378,263153
312.44628,,3088102,241419
312.60818,,3195770,226946
314.24624,,3414000,209906
322.44898,,3257231,216884
322.54946,,3379847,197675
324.05839,,3415317,210346
327.02532,,3120536,233362
328.98954,,3066752,262629
331.31345,,3651656,240754
331.79941,,3248818,218354
337.17868,,3157851,244548
337.23712,,3097926,162120
340.26643,,3096244,113251
340.45943,,3809767,224391
342.53445,,3176453,201581
342.93086,,3070821,180347
343.92202,,3655545,238691
344.03873,,4640215,268524
344.08957,,3097395,214649
345.79298,,3433982,210675
346.91643,,3689648,167160
347.1673,,3164918,179843
351.33222,,3129937,132719
353.4627,,3167851,242019
354.85335,,3154346,214591
356.85846,,3114206,210033
360.52661,,3147184,231738
361.33771,,3825246,172797
361.9335,,3221992,139573
365.33205,,3178124,240502
365.38894,,3272758,112916
367.31592,,3080776,205922
368.81685,,3124285,180346
369.80145,,3103301,191657
372.82174,,3549336,174102
373.17777,,3084581,180999
373.52044,,3134156,152429
373.6945,,3171626,202795
377.45639,,3476453,159471
377.91868,,3140607,164382
378.24388,,3227067,185978
378.86492,,3196342,173106
379.88046,,3264239,84972
380.87473,,3321284,134497
381.49533,,3138493,176634
381.5024,,3116210,196828
381.94354,,3121280,149877
382.56119,,3553342,206027
385.959,,3121840,161543
387.26611,,3441291,223442
387.33276,,3152359,76031
387.40668,,3263624,157656
387.46987,,3367282,179357
388.24436,,3130488,102060
388.24819,,3365563,173993
389.91678,,3363496,216655
391.38057,,3723071,216872
392.67576,,3135120,200217
393.23694,,3197280,237839
396.57854,,3563958,139362
397.55172,,3222558,187615
401.21609,,3633626,114852
401.30075,,3216764,211086
401.43764,,3237256,203390
403.78125,,3190508,154832
404.35598,,3114395,230688
405.09443,,3704146,149378
405.22505,,3692540,168662
406.06466,,3758043,141373
406.12898,,3112576,197313
406.78046,,3521209,152874
406.93979,,3223453,174639
407.03897,,3357167,161326
409.64775,,3262014,144575
410.00815,,3200281,85543
410.46005,,3392882,155025
