m/z	z	I	Res.	
207.73905		4484077	418731	
208.12216		4742169	575685	
208.83550		4983856	711217	
209.35772		4978960	605786	
209.49519		4984134	667821	
210.19801		4510213	536057	
210.67645		4517075	467686	
212.81693		4431085	493355	
216.75089		4422722	811955	
217.04297		4629649	651969	
217.12712		4576093	623358	
220.54137		5164951	672665	
220.93297		4457409	772506	
221.76741		4602188	502494	
223.52616		4517265	541309	
223.98509		4429833	592135	
224.23467		4379656	559466	
226.02317		4436019	707604	
229.41109		5049595	531818	
229.84910		4383736	533709	
230.77784		4390383	609223	
231.01944		4389145	379793	
231.52565		4639545	583202	
232.21412		4376090	569109	
232.25888		4522483	520738	
235.41828		4463895	474364	
236.59347		4481037	460192	
237.70196		4861140	449080	
239.70477		4518256	569729	
240.34275		4936276	461937	
240.45566		4585992	503715	
241.30073		4547118	546627	
245.00716		4375438	510586	
247.35383		5068961	588224	
247.59023		4495092	663142	
247.59164		5510675	610403	
247.59207		5065683	651209	
247.62032		14264814	573018	
247.64829		5604200	739256	
247.64888		13657064	461704	
247.67768		8704035	487244	
250.75889		4502851	540229	
251.97862		4394023	477245	
253.05022		4806807	422597	
255.67176		4596667	594670	
259.62746		4455104	545790	
262.08757		4842907	393087	
263.22663		4399444	504941	
264.62686		4379822	546602	
265.12247		4393858	328480	
266.51924		4753264	525770	
269.86280		4422614	439533	
269.91164		4672269	465795	
270.84972		4415560	540016	
274.31729		4553017	399334	
275.92348		4541235	444591	
277.81598		4561127	446169	
279.11259		4458721	468859	
279.60583		4953974	524700	
279.68840		4660618	411880	
284.09399		4724798	395320	
288.35906		4778544	443128	
290.97509		5095768	532445	
291.69052		4374353	410310	
291.88679		4368190	519428	
291.93135		4402490	495888	
292.65255		4501110	470166	
295.49838		4400069	414812	
296.50267		4584667	373388	
296.97316		4808538	373120	
297.01818		5343255	434331	
298.46135		4643068	477600	
298.92829		4523169	423947	
300.59352		4373643	355077	
301.08695		4492789	359633	
301.78440		4662681	330431	
302.79176		4370549	516200	
303.06047		4979885	409842	
304.03227		4616723	595250	
304.35634		4398220	490087	
305.32861		4734906	484985	
305.52832		4435000	462203	
307.76294		5722412	411914	
308.11433		4559662	377777	
308.86989		4738100	285319	
309.52189		4769981	356622	
311.92303		4971130	305501	
312.89508		4929631	410663	
313.22120		4807341	381624	
313.97368		4514833	429539	
314.63333		4490357	277473	
316.82149		4539012	473678	
317.21247		4888930	366046	
320.22347		4905974	257031	
320.61409		4417311	509173	
321.37916		4546997	373811	
321.59506		4786958	521116	
322.93698		4531316	414706	
323.08829		4437576	438019	
323.29265		4610083	365998	
323.70580		4478683	321079	
325.40284		4734577	264723	
328.98813		5112375	246188	
329.24276		5028455	364558	
329.63993		4404084	369109	
330.04026		4857347	324548	
330.48413		4701469	407796	
330.66109		4622594	295617	
330.85576		4458058	292129	
331.81607		4454967	249987	
332.14286		4450943	450138	
332.24889		5025175	393734	
332.39443		4566135	367070	
332.55295		4558427	308961	
332.90651		5334956	396932	
332.95704		4560823	359286	
333.41007		4393441	372760	
333.83424		4466310	393799	
334.33651		4671680	309146	
334.96912		4474270	328604	
