m/z	z	I	Res.	
207.12695		4009922	598811	
207.55700		3842123	627554	
208.84635		3956139	773337	
210.32215		4486130	652353	
211.05281		4116942	599987	
211.48609		3854834	689367	
211.52764		4161364	666983	
213.69979		3913279	573927	
214.23152		3913117	636578	
214.26181		4048364	649996	
214.37165		4277532	591203	
214.93787		3857636	743956	
215.42171		3843156	514431	
216.62680		4255259	559961	
217.50575		4047143	634517	
217.64883		4060337	666733	
218.87354		4187746	471219	
220.33904		3892168	761460	
220.48015		3958689	484219	
221.60413		4236804	584060	
222.44851		3911866	509613	
222.62734		3834560	798608	
222.63926		3961354	617042	
222.94130		3999008	589616	
224.99092		4048061	675554	
225.04663		4149710	693487	
225.64708		3854885	662902	
226.79881		4510612	530237	
227.44009		3893713	469717	
228.04940		4030149	546231	
228.80037		3887169	538882	
230.90744		4331242	665343	
231.05436		3844053	566310	
231.45317		4340292	487592	
231.47218		4059833	537199	
231.97598		3953192	497460	
232.50333		3879388	537233	
234.02417		4127618	517528	
234.15720		4066013	586350	
234.48755		4284452	469005	
235.10908		4058996	610824	
235.17282		4014819	595260	
235.65030		3926281	602311	
236.83154		3916816	611933	
237.82417		4423570	454569	
238.94732		4086381	551763	
238.99395		4026485	508476	
239.20506		3872387	660653	
239.85349		3844473	399493	
240.86737		4235073	454189	
241.34746		4056673	468928	
241.90771		4641507	451762	
242.87307		4137856	614902	
243.30420		4421766	400117	
243.99966		4001231	549859	
244.71498		4587588	476920	
244.75128		4579902	454386	
245.76478		4047646	611373	
246.17014		3996984	560575	
246.25030		4435050	462823	
246.75427		3967666	527579	
247.09403		3852838	367535	
248.17523		4450616	590649	
248.20913		4138466	440458	
248.23976		3977052	491413	
249.00514		4215701	552162	
249.19494		4036307	591633	
250.45575		4123651	633846	
250.94158		9905276	320366	
250.94226		6779500	546452	
250.94436		6357676	365285	
250.97005		16122471	182048	
250.97052		15890087	331224	
250.97126		5360199	381616	
250.97327		6852774	312337	
250.99809		4945634	914915	
250.99866		23413090	451815	
250.99912		18971714	277357	
251.00189		5894257	262393	
251.02736		21622332	214810	
251.02867		4449693	692832	
251.03054		4711068	353272	
251.03112		4972700	562230	
251.05602		17054488	172180	
251.05946		4291447	260474	
251.08407		4273683	950265	
251.08509		12768242	270004	
251.08580		5772306	689348	
251.11370		8419021	555742	
251.11416		6932365	522705	
251.14203		4115592	616804	
251.14246		4136888	368381	
251.14283		4434056	609300	
251.14368		4282728	640500	
251.43146		4110212	523085	
251.64116		3845183	499284	
252.35356		3948879	540193	
252.50606		4608788	574022	
254.26953		4019191	556103	
254.55941		3921443	532030	
255.12015		3923662	543347	
255.25734		4099749	558743	
255.87886		3982165	564462	
255.91318		3845311	510844	
257.17158		3854093	444574	
257.39197		3890629	450700	
257.79194		3889213	646857	
258.20527		4221651	501087	
258.30184		4142258	425312	
258.72325		3846326	620564	
258.79050		3961978	420055	
259.09884		3982035	572472	
259.33120		3913817	502703	
259.43992		4185078	461065	
259.74336		4137215	534057	
260.06982		4157237	388963	
261.27542		4119446	320771	
264.26082		3920191	565279	
266.78822		3839016	363616	
266.94377		3949101	459415	
267.02057		3945824	466599	
268.19606		4017335	541426	
269.29313		4044350	267828	
269.98345		3910571	493230	
270.01144		3999286	301256	
270.63114		4372079	329354	
271.00484		4182465	506844	
272.54691		3843302	330351	
272.92161		4021769	457811	
274.13927		4023111	443331	
274.62040		4165467	411958	
274.80592		3906462	467706	
275.06315		3935702	563841	
275.38060		3979141	539269	
275.58991		4006596	518287	
275.60305		4036258	234606	
275.72561		4302256	529644	
275.73447		3904062	345856	
276.71474		3876696	183406	
277.91240		3965381	460047	
277.93068		3907362	456907	
277.97926		3839259	476588	
278.12487		3894293	391313	
278.50575		3882605	447027	
279.09076		3923416	443900	
279.85908		4086714	236783	
279.97052		3977210	466178	
280.80761		4302276	401444	
281.04583		4127971	557704	
281.43377		3851421	266715	
281.59280		3948952	512821	
282.87957		4074474	457960	
283.08063		4249424	491162	
283.22268		4072221	477301	
283.49656		3903481	483529	
283.75371		3998680	251473	
283.79256		3846547	314124	
284.21735		4193692	404000	
284.64823		3877541	387543	
284.93115		3842626	504560	
285.43479		4089923	375727	
285.48012		3995518	396246	
285.99705		3970206	539096	
286.02834		3871611	445435	
286.13950		4283725	476166	
286.16045		3855531	490571	
286.95560		4225388	464842	
287.12262		3879577	459676	
287.30853		3836771	488370	
287.59736		3872386	317351	
288.26198		4023638	366280	
288.48855		4138461	440001	
288.63298		4256749	490543	
290.18652		4268103	407517	
291.05264		3925806	426893	
291.50053		3896002	442231	
291.95612		3864214	466043	
291.98782		3942035	477275	
292.11713		4054406	511164	
293.08534		3852204	512062	
293.57752		3997952	526557	
294.39766		3939770	351268	
294.46053		4243764	479264	
294.68609		3834498	416566	
295.63732		3885461	478453	
295.75570		3982188	323465	
296.38391		3858332	479245	
296.39979		3828795	436376	
296.44239		3825432	415259	
297.43411		4196497	537148	
298.22740		3940700	470542	
298.60451		5107653	372963	
298.68280		4229888	435741	
298.74638		4793788	358215	
298.80826		3955128	419619	
298.99813		3872748	525895	
299.92034		3856215	429267	
300.24812		5051301	400915	
300.45424		3824731	507833	
300.96824		4625857	434864	
301.21375		3958997	333793	
301.61140		4056866	435597	
301.99160		3990929	468128	
302.08257		3945613	309534	
302.19815		3857992	438572	
302.34798		3884834	396471	
302.94248		4202507	380300	
303.53623		3913046	483233	
303.82611		3893452	486526	
303.94866		3913544	418493	
304.16149		4160114	274211	
304.31032		4148445	331636	
305.41729		4376737	295310	
305.84039		3886040	433700	
306.58711		3912715	527203	
306.75403		3943241	479166	
308.01072		3857213	457907	
308.76464		4012090	386188	
308.79328		4282299	480229	
308.89094		4068986	487814	
308.99000		4098619	305053	
309.52647		3838844	452253	
309.82578		4227806	336312	
310.49912		4757764	245247	
310.55864		3989445	288494	
310.57497		4834949	402544	
310.67014		4309958	435828	
310.73975		3866215	305441	
310.85166		4096649	356559	
310.94396		4204874	349189	
311.17733		4215118	535001	
311.66598		4232086	456412	
311.73225		3886552	351982	
312.10033		3863599	256663	
312.44358		3904424	469788	
312.79908		3939601	331451	
313.51020		3878087	400790	
313.68895		5830989	395302	
313.72483		4604558	159677	
313.74490		3985551	211559	
313.75536		4296015	434610	
313.75982		5142735	351139	
313.76068		7254159	389005	
313.79616		4814993	333315	
313.81667		4000273	487254	
313.96322		3826679	340832	
314.30535		3995363	432127	
314.71749		4493652	188676	
314.72465		3844340	368383	
315.24947		3884044	333808	
315.30506		4245934	276760	
315.70204		4046177	477894	
315.91565		3905836	529291	
316.73459		3957016	326064	
318.25448		3985849	380126	
318.35217		3961087	467627	
318.42889		3966821	347030	
318.80795		3972000	418718	
319.00861		4281007	403264	
320.04971		4936514	353009	
321.08697		4156157	327406	
321.42889		3938109	415920	
321.72419		3924186	372449	
322.73170		4211457	464062	
322.74649		4170050	381095	
323.00578		4179294	405577	
323.01252		3973599	465035	
323.42782		4334285	420342	
323.49726		4146004	340297	
323.57270		4543325	281585	
324.65095		3965980	378828	
324.65768		3982557	477429	
324.72938		3956518	454110	
325.53056		3945675	500350	
325.55164		3860046	377191	
325.60700		3962965	571627	
325.93444		4030017	226676	
326.30833		3913620	280396	
326.44391		3923398	492828	
327.42387		3853011	462113	
327.61181		3881326	440658	
328.70402		3867671	410430	
329.61402		4973996	426774	
329.74170		4037569	394446	
329.75221		4103043	408647	
330.99834		3976861	443552	
331.08527		4387693	398044	
331.10737		4199921	414103	
331.22392		4183302	399863	
332.03877		4000958	284504	
332.38029		4308128	421804	
332.45280		3944110	394833	
333.21926		4167751	363893	
333.40731		3835949	362576	
333.59868		3979732	401723	
333.77816		4149049	343293	
