m/z	z	I	Res.	
212.17145		3110873	318071	
213.72570		3034803	284579	
216.18410		3193073	391084	
217.05477		2969401	322533	
227.15386		3258154	355534	
229.47226		2950859	235738	
230.99314		3157556	367130	
232.12253		2984508	365590	
238.12179		2963282	320720	
240.72449		3113055	330519	
247.80376		3205437	293056	
248.20757		3469539	368066	
250.93396		3077943	319776	
250.96252		13453228	340338	
250.99106		17307784	341857	
251.01969		16890244	349541	
251.04846		11973473	334204	
251.07705		5201389	329041	
251.35647		3108982	226646	
251.42154		3287842	365211	
252.80039		3041773	293505	
253.62071		2942721	329962	
255.38382		3179830	207608	
255.94211		2988576	323444	
257.75146		3084331	323115	
260.29919		2980263	293808	
266.32167		3169683	339586	
269.86575		2988180	257711	
279.69908		3042967	170286	
279.88975		3158420	273494	
281.81873		3095279	262939	
285.42913		3044022	240487	
287.84792		3212445	243537	
290.74113		2959682	303803	
290.78794		2946119	237467	
294.99935		3122144	220934	
296.21142		2987374	215626	
297.51422		3057748	153552	
298.03854		2984836	320578	
299.29898		3169365	217926	
302.11181		2993897	242856	
302.80104		2920133	250791	
304.87651		3006934	163912	
307.93632		3077892	189898	
313.77225		3029342	323646	
315.32761		3041226	253014	
316.12175		2995430	201839	
316.97608		2950855	312459	
320.34445		3421107	254946	
320.84814		3099314	197336	
321.60436		3283748	223153	
321.76694		3323855	262864	
323.14862		2943700	270721	
323.38821		3511046	206374	
326.97271		2930703	160295	
327.31944		2954042	135396	
330.01678		3204919	255421	
334.11522		3038685	301563	
334.50208		2960071	232468	
336.01863		2943556	258172	
340.64319		2943870	245404	
342.27179		3261159	254958	
342.27419		3226824	198976	
343.46796		2989990	247142	
344.03861		3818467	273963	
348.03604		3166811	191142	
348.08784		3101896	224770	
348.19826		3053604	332463	
351.11195		3063152	230776	
352.84678		2953858	213839	
354.67405		2982108	215901	
354.87268		3500201	166212	
354.89724		3022289	201173	
356.03049		3116185	209988	
357.37996		3363509	170423	
358.49058		3191727	228256	
360.35623		3307714	259389	
360.57640		3194322	225644	
361.15475		3454151	166613	
361.23712		3305893	220132	
362.63107		3017267	233407	
363.10123		3057416	246207	
363.37674		3471268	141311	
364.01453		3237519	233263	
365.79754		3186433	170183	
365.98762		3058064	192237	
369.26727		2952883	262627	
369.35014		3189400	261294	
369.49393		2979656	141266	
369.56781		3339098	265559	
371.76440		3069832	227838	
372.38682		3237133	219910	
373.25410		3016075	219322	
376.44070		3368823	246766	
376.89615		2960848	122134	
377.03340		2989831	206845	
381.79446		3059389	176923	
382.19588		3013917	224880	
383.07829		3892782	195038	
383.96165		3021815	139631	
385.77457		3089958	180615	
388.04126		3066837	154117	
389.21938		2993992	192522	
389.34488		3048149	143294	
389.72275		3406272	225592	
390.93492		3037977	127087	
391.42121		3421997	183899	
395.84043		3215384	175179	
395.92337		3559439	183114	
396.35440		3343218	164519	
397.04525		2954167	178467	
398.75489		3513215	162300	
404.02386		3133652	196513	
405.04561		2976278	133490	
408.35702		3574217	189970	
408.90599		2961134	174287	
409.22996		3084392	234895	
410.14827		3075601	153358	
411.11276		3421093	327776	
411.16398		5632589	212995	
411.21138		3916146	217833	
411.92257		3031332	317442	
