spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0203_1x_134.csv
limit_error:	6
noise_limit:	1850000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 
1460.526168	6	29413187038.32	RNA+2DEPC+H2O-CO	-4.17	0.04	C261H330N102O192P26	
1445.185544	6	810096819.2826242	RNA+2DEPC+H2O-CO-2Eth	0.4	0.03	C257H318N102O190P26	
1422.677938	6	87382735.04812816	RNA+2DEPC+H2O-CO-2Eth-A	1.44	0.08	C252H313N97O190P26	
1426.674686	6	56968707.05129	RNA+2DEPC+H2O-CO-2Eth-C	-2.16	0.15	C253H313N99O189P26	
1420.007374	6	328177680.71	RNA+2DEPC+H2O-CO-2Eth-G	-1.9	0.05	C252H313N97O189P26	
1417.00742	6	75251391.08813953	RNA+2DEPC+H2O-CO-2Eth-G-H2O	-0.63	0.11	C252H311N97O188P26	
1442.188815	6	192244254.36	RNA+2DEPC+H2O-CO-2Eth-H2O	3.88	0.06	C257H316N102O189P26	
1438.021349	6	619528086.8315302	RNA+2DEPC+H2O-CO-A	-1.27	0.04	C256H325N97O192P26	
1439.018553	6	43442367.30173597	RNA+2DEPC+H2O-CO-C-H2O	-3.29	0.29	C257H323N99O190P26	
1452.860271	6	11495508515.279993	RNA+2DEPC+H2O-CO-Eth	1.14	0.02	C259H324N102O191P26	
1430.350606	6	616314692.9842484	RNA+2DEPC+H2O-CO-Eth-A	0.75	0.04	C254H319N97O191P26	
1434.34861	6	680037178.0905781	RNA+2DEPC+H2O-CO-Eth-C	-1.95	0.46	C255H319N99O190P26	
1431.348953	6	80386607.0724611	RNA+2DEPC+H2O-CO-Eth-C-H2O	-0.48	0.09	C255H317N99O189P26	
1427.686003	6	1939590574.7056532	RNA+2DEPC+H2O-CO-Eth-G	1.6	0.02	C254H319N97O190P26	
