m/z,z,I,Res.
229.38104,,6699737,427485
242.21757,,6977685,482871
244.35169,,6497050,394699
248.03579,,6548827,504832
254.17947,,6343567,416727
257.09009,,22036424,380015
257.10067,,8347078,521965
257.10993,,56234948,380345
257.12893,,11916349,435899
257.12973,,93780160,383786
257.13512,,8341499,519258
257.14061,,6359769,535275
257.14959,,117058744,410776
257.16878,,15730352,441797
257.16951,,107200688,429502
257.18868,,12491946,562390
257.18955,,76597928,403411
257.20884,,10356388,556713
257.20962,,51206820,425931
257.22983,,28816670,378772
257.25008,,14060695,460972
257.86879,,9101784,626467
257.86926,,6918616,762166
257.88876,,13906386,248799
257.89348,,6744208,210562
257.90866,,19513548,355324
257.92878,,16047045,473338
257.94888,,11121279,431848
267.55652,,9051184,499232
271.99507,,6406215,492100
276.82772,,6451399,448653
276.85057,,6377601,375904
280.49527,,6365447,521481
281.43107,,6411631,519555
285.6469,,6418083,411682
291.19636,,6503159,330034
307.64016,,6287969,511650
316.23092,,6439557,407985
316.64168,,8041588,147195
316.75313,,8132097,276723
316.86466,,7545999,479273
320.98295,,6386166,419816
321.41034,,6286532,469631
321.45815,,7069389,463999
325.07886,,6579921,168274
331.74903,,6360315,462383
333.53566,,6326406,186038
338.92568,,6482567,270156
339.20839,,7173327,297352
342.23504,,6879128,359088
342.38207,,6381927,326242
344.03939,,7826692,309927
347.84709,,7067679,606554
347.92815,,6597460,471217
348.09924,,6339012,503163
357.14677,,7488086,285082
359.89443,,6734286,440891
360.0795,,6385911,327855
360.12306,,6340255,290545
362.23324,,6424422,408846
371.14936,,6480542,286794
378.74983,,6668470,388174
383.56498,,6505381,240833
385.36817,,6741332,323804
387.78543,,6530399,301894
391.02997,,6709356,353786
393.61367,,7038348,309685
396.92597,,6700654,238204
398.4759,,6674100,298981
398.59107,,7972345,269269
399.66607,,7073589,321831
401.96929,,6476538,266945
407.59922,,6626567,388521
409.376,,6393625,290781
411.74348,,6691797,304226
412.56709,,6994965,289636
414.73725,,6609986,273199
416.22209,,7327317,232978
420.15932,,6764969,478757
420.22782,,6901815,435851
420.9883,,6993760,314715
423.43037,,7797345,400275
423.43213,,14207076,325250
423.46512,,12962986,260393
423.49291,,7153637,219545
423.4975,,11191022,413281
423.52755,,6722350,420438
423.52897,,6604081,528952
423.5363,,9410881,337059
423.55559,,7940970,469124
423.55965,,6542962,387173
423.56135,,8972662,389847
423.56381,,10772859,347025
423.59299,,6539705,484331
423.63081,,8554505,470945
423.63234,,14575628,336766
423.66426,,7954000,504525
423.73395,,8455907,398322
423.73528,,7984358,404558
423.93239,,7049864,413744
423.93358,,6938251,461467
423.99263,,7439624,346328
423.99816,,13097748,273602
424.05975,,7259543,480864
424.06301,,9439645,328552
424.09655,,8514532,373822
424.12709,,7388198,437650
424.23409,,15570697,272154
424.26504,,7266891,371282
424.36755,,6509093,486166
424.69885,,8942311,379472
424.72991,,7761705,486253
424.73358,,9032497,428337
424.75985,,7138665,470567
424.76171,,8659821,412920
424.76382,,12730737,375538
424.76702,,14947704,285790
424.79517,,7627188,450673
424.79808,,19240378,233485
424.82693,,6568952,464476
424.82876,,10370556,451338
424.83141,,17966594,173614
424.86145,,8525889,483109
424.86273,,6895684,481711
424.89294,,7591557,321864
424.89546,,6681226,381874
424.89698,,10784909,332587
424.93033,,6503125,441021
424.932,,14589144,268200
424.9635,,6777628,377006
424.96469,,7654686,389014
424.96855,,9791782,357169
424.9808,,6491713,369991
425.03284,,6998960,404471
425.03426,,6812595,206156
425.06727,,7107578,481731
425.2966,,11183588,435851
425.36596,,7081337,235165
425.43117,,7432964,309492
425.46505,,7122765,401776
425.56669,,7072807,398680
425.59967,,6480238,291579
426.03197,,6792719,426842
426.06499,,7860822,324640
426.09739,,6463643,491808
426.13311,,10087144,353526
426.19841,,7288565,176431
427.29817,,8578750,403194
427.33239,,8192008,212187
427.36586,,8103249,242648
427.39874,,8814488,285450
427.43011,,7003101,402779
427.43247,,7551458,206163
427.46455,,7078439,427712
427.46558,,7255082,417149
427.6671,,9216735,273453
427.73156,,7044716,494468
427.76586,,6525367,152718
427.79685,,7687418,493610
427.79815,,7711485,511788
427.86694,,6760851,464314
427.86943,,7949208,213490
427.90365,,11982306,276533
427.90526,,6475238,421720
427.9154,,8683516,124781
427.93416,,6949925,258462
427.99063,,12821151,309796
428.001,,8964534,296958
428.03513,,11232513,337656
428.13902,,6941923,377171
428.46201,,29238436,216017
428.52869,,47037748,203497
428.56214,,52039040,242553
428.56744,,226239888,403258
428.60065,,261432784,411371
428.63399,,223815200,419403
428.66756,,143009376,348219
429.07238,,8177629,359924
429.1029,,7899168,402547
429.10511,,7589413,405114
429.13266,,7506017,446588
429.17099,,10271413,192776
429.17352,,7056571,481969
429.20065,,15224566,365179
429.20437,,14128894,365745
429.22769,,7566642,306629
429.23297,,11071293,351002
429.29427,,9725636,175678
429.29698,,9668554,486738
429.3065,,8381407,282078
429.36422,,8699997,506947
429.3998,,9852844,297096
429.40892,,8242880,405218
429.46504,,9545531,394551
429.46646,,7377726,463649
429.49975,,6443912,313343
429.5011,,6665610,441051
429.86595,,35504300,390686
429.89921,,25383160,334794
429.93253,,20332864,328615
431.41019,,6695946,271714
433.60083,,6767668,338490
435.46445,,7201203,307298
436.05926,,6875648,291257
441.65255,,6448305,326148
444.0109,,6872193,257213
445.99619,,7388430,234413
447.30434,,7472737,319950
450.50463,,7165396,305016
451.37004,,6492195,284689
451.74993,,6525131,234270
452.05505,,6612668,326246
453.87983,,6652518,303482
457.70691,,6941921,246519
460.31588,,6796990,320503
461.11997,,7002820,305138
464.14103,,7399962,321056
465.46623,,6635138,295941
468.37072,,6728216,285700
470.78245,,6985948,215766
473.74271,,6530432,270219
475.27694,,7090298,254708
476.49417,,6640436,345236
478.93052,,6802378,306939
480.97673,,7460709,312530
481.97348,,6655477,252139
482.3294,,7019452,391897
483.51497,,6718039,336323
483.99218,,6832492,264003
486.07846,,6747316,286350
488.16657,,7061785,205313
488.44046,,8997131,280785
488.73185,,6620973,230179
489.57411,,6813950,148707
489.99676,,6701005,331019
491.28655,,6739641,162838
492.58913,,7303762,171332
493.48847,,7035537,297664
493.967,,6668995,127516
496.61045,,6798725,312582
497.78552,,6626646,286355
500.13637,,7846412,244708
500.98848,,6679394,253754
501.31385,,6811892,308994
503.30943,,6705373,308202
503.7081,,6903872,238000
504.57329,,6921157,279874
508.50387,,6904864,331419
509.35347,,7074691,251982
510.20765,,7177719,237523
510.80323,,6652814,284530
512.61065,,7072147,324163
516.04299,,6991271,152326
519.74677,,7090895,254459
520.2356,,6943806,292781
521.01905,,7150197,184254
521.11184,,6871549,219310
521.64051,,8355295,253756
523.13801,,6966663,195127
524.2124,,7745403,238748
524.80794,,6725148,218673
530.18818,,7472375,236239
531.47348,,7379265,192540
531.82676,,7159599,271677
532.31411,,7102106,139568
532.80921,,6912539,260474
533.77827,,6842078,181402
534.93591,,7410106,228390
538.03806,,9845794,264845
538.89961,,6724014,208063
541.98866,,6747611,285722
546.83428,,6869320,287979
547.11478,,8738397,243728
547.11946,,57006188,230724
548.12253,,11682160,224240
550.58392,,7372911,262456
553.3833,,7745800,279945
553.73821,,7581415,258488
554.40904,,7163190,239135
559.15056,,7836587,199683
560.43473,,6783369,211200
567.4327,,6830978,244130
568.79889,,7998980,219337
569.60377,,7336075,212110
574.8828,,6915600,212693
576.79696,,7395074,247688
578.9492,,6924623,291763
579.72357,,6984270,218928
580.44984,,7286472,233473
583.86093,,6860720,247509
584.44382,,7542429,164182
585.03627,,6973601,194320
586.65768,,7466758,190392
587.27065,,7315508,252784
589.01348,,7107249,220711
589.05172,,6951955,244475
591.0273,,6909892,174628
592.17019,,7285016,239895
592.74639,,7747017,200304
593.33533,,6938263,273993
593.64681,,7131305,198930
594.05202,,7341476,258700
599.56631,,6969139,259605
599.89501,,7015002,220705
600.7223,,7000133,248679
602.10999,,7398781,290834
603.64313,,7208959,116905
604.03838,,7046072,238509
604.80208,,7386341,261693
605.00072,,6991554,212372
605.30191,,7341972,255831
606.29485,,7287513,275117
606.68106,,6890097,294158
606.92695,,7429561,210698
608.22459,,7150268,223565
608.47747,,6969105,238557
609.72236,,7068800,174330
610.0596,,16224661,220382
611.39661,,7103940,176927
611.68311,,7477341,192403
614.30635,,7028730,110668
618.0999,,20751748,233101
618.10336,,85271952,204075
618.21291,,7662209,227304
618.60103,,9251301,261142
618.60537,,36202988,212460
619.10602,,11286090,261001
619.31194,,7166996,240840
619.34716,,7203426,153010
619.74696,,7006938,150337
620.06182,,7576724,235146
620.08696,,7155915,242714
621.07054,,6938437,157314
621.53116,,6989113,227797
624.4885,,7284818,170584
625.41655,,7137305,148970
625.87176,,7258597,251413
627.08548,,19202552,233194
627.29703,,7300791,190255
629.5701,,7925842,199216
629.60786,,7982241,169891
630.06297,,7280209,224069
630.86434,,7306953,154769
631.41623,,7405367,181336
631.5757,,6958462,164412
633.08606,,16276099,214288
634.07094,,7846984,227876
634.44847,,8543038,213877
635.98232,,8206639,168197
636.52622,,7336803,239362
636.55181,,7230102,186400
640.41863,,7980778,203494
641.12253,,7180839,176462
641.57599,,13496194,160784
642.02501,,7060178,227809
642.58134,,7904999,253744
642.58539,,10342638,191672
642.61736,,8718123,197407
642.63256,,8277320,164536
642.63594,,7085901,296335
642.67687,,10867610,199457
642.68506,,14996906,153628
642.72144,,13032430,194259
642.7267,,18382840,169929
642.73086,,8536063,318898
642.73624,,25242634,230779
642.77591,,30997588,141231
642.78064,,10581084,143655
642.78505,,24786020,201021
642.82594,,37563568,179663
642.83488,,20088002,211932
642.87117,,8405254,260544
642.87499,,24163598,229683
642.87819,,10192147,240538
642.88458,,16995614,242042
642.91239,,7563091,254436
642.92508,,16726379,229678
642.93721,,9969537,186646
642.97524,,7202249,389437
642.978,,7173581,320223
643.02668,,16707113,240991
643.07866,,8121993,259896
643.12775,,9103077,218997
643.17999,,7146311,247153
643.78146,,7286182,194276
643.87519,,7336531,269933
643.9263,,10203314,240725
643.97717,,7068432,225403
644.58069,,7930219,106085
644.6165,,7115693,234865
644.67379,,8583702,192772
644.68032,,7919138,184497
644.72618,,7010167,56874
644.90734,,7678916,236177
645.02749,,7235232,193456
646.13989,,7194766,227398
647.27088,,7025032,180359
647.48855,,7562766,242106
648.74659,,7775950,201663
649.07439,,7258386,286642
649.08155,,23476510,190805
649.57337,,151764096,189268
649.737,,9868703,219542
650.0653,,22712284,144844
650.07068,,16979942,228302
650.07502,,58408940,199676
650.57278,,11455313,301939
650.5764,,18474838,212268
651.06862,,7815853,249693
651.07809,,7556797,195599
651.95154,,7057564,240201
652.22178,,7857771,245548
654.50585,,7952250,204063
654.51355,,7823239,217916
654.58291,,7545850,205628
654.62654,,7087939,151357
655.64869,,7413471,245529
655.82167,,7184380,206090
658.0658,,7040820,166190
658.08264,,7607374,399124
658.08622,,26262612,210521
658.58863,,12353397,256848
659.83682,,7848489,159418
660.12466,,8805099,194873
661.08672,,21507778,179990
661.58832,,13564357,177231
662.15427,,7646502,215004
663.69743,,7112253,197269
663.91769,,7125638,203482
663.94286,,7170475,220983
665.84041,,7681679,178819
665.94944,,7564589,201264
666.40953,,7227846,266033
666.71555,,7800958,166178
671.87522,,7101778,98097
672.00379,,7115773,199258
673.04072,,7187280,198739
673.09247,,16384403,186365
674.00741,,7114802,198138
674.05721,,7853171,252533
675.08308,,7218571,208278
676.37684,,7034328,205334
678.8245,,7128418,203358
679.37209,,7154150,106178
680.8343,,7679611,208064
683.04357,,7581205,216691
684.89792,,7127507,154244
686.04296,,7723127,239636
686.13287,,7642323,195551
687.09623,,7185060,239145
687.74823,,9292590,177639
688.86442,,7803764,165412
688.9661,,7299031,146924
689.08736,,63266892,168276
690.09103,,17701898,181826
692.43652,,7506043,197072
692.5911,,7491334,135405
692.67586,,7300434,207902
693.07126,,7460530,200635
693.56544,,8464998,210008
694.33179,,8122114,217489
695.78029,,7248849,214176
697.36933,,7144941,188853
697.38868,,7103484,164750
698.27863,,8414404,144356
703.19162,,8276779,126912
703.79924,,7611862,183421
704.46961,,7710376,145139
705.65163,,7155914,179831
706.26642,,8310116,103849
707.20204,,7050694,156812
707.81105,,7375949,193405
708.25886,,7585128,172952
708.63148,,8782930,209439
708.93174,,7077901,167796
709.58565,,7628191,131124
710.02142,,7265191,91816
710.49498,,7839940,180161
711.60783,,7980371,165522
712.35358,,8897792,196748
712.39453,,7228695,225116
713.62646,,7312843,195553
713.97038,,7220872,187991
714.40333,,8149364,180303
714.44773,,7488908,282872
714.49017,,7612835,167479
715.95786,,7960238,182470
716.26279,,7321933,180483
716.32689,,7864174,231164
717.29369,,7680859,240536
717.31166,,7079781,158718
717.88179,,8689282,187712
718.35828,,7317613,151327
719.15031,,7119598,202936
719.59934,,7180740,242968
722.33297,,7090859,118248
723.77973,,7093023,208546
724.26683,,7611374,176590
725.12159,,8089938,169802
725.43924,,8116180,176697
725.74025,,7540815,155183
726.93145,,7620650,178793
726.99747,,8093251,172311
727.0614,,7699037,132413
727.52081,,8068879,187764
727.56233,,7458079,253111
728.54342,,7120021,187245
728.57234,,8386720,150010
729.04806,,12626769,177733
729.06484,,9071448,151008
729.24691,,8736667,167852
729.42479,,9464285,189711
730.77936,,7570374,190210
731.86204,,7244096,145207
732.05556,,7276930,143220
732.14536,,7911329,159125
732.1747,,9712555,202271
732.64369,,7846986,226208
732.77837,,8781944,222179
