m/z,z,I,Res.
215.16181,,4262671,313964
229.19152,,4578021,348248
241.41265,,4312950,299199
241.69725,,4228155,333935
249.32917,,4210308,225527
260.89789,,4438255,269781
267.55108,,4453866,337595
275.34764,,4574845,226333
282.35935,,4333463,322666
285.68025,,12782793,286631
285.68806,,5059144,327386
285.70221,,26992518,253511
285.70571,,4818406,222952
285.71042,,5910566,296571
285.7224,,4646308,293379
285.72425,,46340356,261606
285.72561,,5301316,339160
285.72752,,4314275,316462
285.74636,,54396928,278785
285.76746,,5733631,558012
285.76856,,52959232,287638
285.7909,,36267516,273807
285.81321,,27042552,279269
285.83564,,11933878,238068
285.85796,,7845715,255121
285.88076,,5292273,308977
286.52422,,4700195,320634
286.54616,,4825201,249981
286.5682,,8744158,224351
286.59037,,7316059,273340
286.61253,,5130553,161347
286.89574,,4674503,265571
292.04187,,4200888,218062
297.17465,,4229616,177949
313.25878,,4538024,232551
320.99928,,4201303,222962
321.34382,,4413405,222861
328.54987,,4388441,242035
331.40515,,4235526,248372
333.2073,,4220656,149350
333.80642,,4322075,217325
333.88798,,4295182,175547
334.70803,,5056579,134256
337.36901,,4238420,124147
337.76792,,5012242,146984
337.80159,,4537243,197212
338.58516,,4231033,209293
340.6931,,4213919,186688
344.03572,,6901408,267876
346.89586,,4619676,193442
350.9555,,4248640,169840
351.23055,,4429976,183122
351.54831,,4537573,192950
352.02701,,4265259,135787
354.95403,,4289690,211795
356.20662,,4737226,151985
356.42708,,4564218,178212
357.18001,,4871869,190696
360.76986,,4461264,150967
362.29888,,4706744,147883
362.80385,,4583077,229615
366.45034,,4735528,192948
366.95385,,4872465,181891
370.89548,,4268821,92614
372.1465,,4293368,133138
372.64378,,4676323,189565
381.49786,,4276190,177387
381.98868,,4259775,233608
384.66713,,4434652,216046
390.0538,,4315033,164907
395.31304,,4277745,176006
396.43458,,4510954,197797
403.98888,,4539487,133839
409.61614,,4722716,161052
410.02456,,4422204,217716
411.78627,,4560101,191731
412.23067,,4576024,129683
413.21089,,4666645,174903
415.11532,,4488839,99977
418.96058,,4487013,178107
424.07071,,4727531,173259
425.17018,,4445527,185744
426.34602,,4750068,169781
427.33221,,5139871,165807
439.83056,,4450752,177781
439.93203,,4558739,175242
441.68961,,4799451,165302
442.19327,,4311936,159997
442.80973,,4409229,162437
449.2558,,4308642,134494
449.51793,,4376514,87336
449.97246,,4451786,144405
451.33534,,4314937,164473
453.02756,,4723093,165654
454.75019,,4622741,174623
458.89999,,4611701,166773
459.71296,,4520392,123174
460.59525,,4870414,162364
460.97414,,5258799,203847
461.02608,,4358147,164324
462.1573,,4548003,181240
463.81629,,4436261,193615
463.93064,,5917151,210217
465.63103,,5073080,201097
466.33705,,4394494,183687
469.73069,,4434855,170342
470.62445,,5646840,167328
470.6297,,4493568,145777
470.63244,,5579141,305961
470.66672,,4768830,254155
470.6696,,5419459,258648
471.08086,,4750258,150870
471.22206,,5136989,286945
471.22453,,5112930,367848
471.26164,,4588447,286093
471.29841,,5557981,255116
471.30859,,4550382,184137
471.41268,,6215708,144963
472.0383,,5386932,270621
472.32697,,4423832,224509
472.37698,,4585323,205551
472.52315,,6490337,209724
472.55679,,4726809,226341
473.72072,,4656640,80015
474.33742,,4459856,213799
474.41799,,4663640,205052
474.53348,,4396188,218500
475.00574,,5435066,196055
475.49495,,4769143,235976
475.61239,,5103806,253749
476.0708,,15119432,194632
476.10832,,24033416,167939
476.1455,,33643208,173400
476.18253,,37384964,171394
476.19142,,33584916,82359
476.92231,,4905456,274076
476.93058,,4999167,114063
476.95356,,4701478,267212
476.95959,,6189616,219057
476.967,,6814525,84458
476.96965,,6796865,306223
476.9896,,4752099,238053
476.99387,,5067754,237108
476.99658,,5354735,204548
476.9989,,5438707,214911
477.00237,,6381689,145885
477.00472,,6133245,116234
477.0065,,6317952,190558
477.03379,,7884718,237642
477.03682,,5882931,231234
477.03971,,5959097,107472
477.04335,,7259839,176026
477.06775,,6197992,194807
477.07044,,7685101,171539
477.07621,,7315191,201426
477.07844,,6881530,233962
477.11463,,6069816,264200
477.15343,,6951290,275508
477.51372,,8735328,158567
477.52083,,6163437,169149
477.55109,,10274336,141748
477.55753,,7592747,165944
477.55997,,9678895,177244
477.56148,,8863794,147867
477.58807,,11916127,199257
477.59132,,6704741,136535
477.59509,,9740651,113645
477.59823,,12275824,184906
477.63237,,10338730,202470
477.6352,,9610928,168508
477.66219,,9945309,204335
477.66957,,9093994,133414
477.70495,,5997863,215377
479.07424,,4579405,171917
479.43734,,4504508,165616
479.74378,,4595818,125852
480.31223,,4420635,175742
480.36522,,4949079,76696
480.43984,,4454327,170621
483.18109,,5254520,118883
487.96324,,4487766,132079
490.15122,,4555493,106948
491.54347,,4572612,161816
491.84334,,4525432,119243
494.03756,,4762197,109258
494.30599,,4597684,104026
496.06485,,4595707,147886
497.67529,,4529124,129116
497.81412,,4458749,104183
499.10999,,4684569,155757
499.93305,,4894246,160615
500.8019,,4733511,117976
502.58303,,4499777,95246
503.11622,,4770281,162525
507.58373,,4527161,162943
508.29431,,4521293,139896
510.80376,,5804300,125919
511.01642,,4442898,159193
511.80136,,4888855,82882
514.69637,,4520022,96974
514.77563,,4904040,125806
519.4248,,4703893,170000
520.82034,,4452218,154924
521.10652,,4543119,118898
522.84199,,4484339,147601
523.21429,,5166250,117013
525.66311,,4997258,105891
525.96585,,4489729,135612
527.42905,,4556020,170307
529.69993,,5096342,126432
529.84369,,5008100,135279
530.36979,,4837823,135142
532.58371,,4671103,147639
532.70414,,4708289,103205
532.9822,,4561260,125095
533.64731,,4863758,117982
533.66194,,5692586,100281
534.31463,,4537462,151880
535.48261,,4672460,102893
536.33346,,4582862,178889
537.30076,,4700140,172728
539.88414,,4640753,127762
540.72718,,4543207,144840
540.77121,,4594041,152420
543.27981,,4529366,103237
547.11783,,21921984,147613
548.064,,4775849,61559
553.10134,,4810070,151113
553.19366,,4506948,107457
553.26674,,4506830,101051
556.31935,,4926789,116111
560.02727,,5077254,97833
562.25439,,4831966,124355
563.20072,,5269005,147934
564.39385,,5195339,92281
564.99539,,4741554,150658
566.19957,,4676929,135650
567.83876,,5162427,133040
571.69425,,5099540,171259
574.2438,,4807642,97727
577.49589,,4569765,99797
577.75179,,4922814,64797
579.90837,,4910028,118153
582.19542,,4945469,80945
583.51839,,4772089,132504
585.07673,,4948767,102714
586.18471,,4638856,138553
587.42433,,5598301,128968
590.17876,,4723564,120599
592.30825,,5226744,124733
598.65389,,4929073,109168
598.7551,,4667941,145049
599.71887,,4753432,43239
600.7265,,4596949,138469
601.77362,,4736020,99346
602.13225,,5057294,113891
602.9849,,5014639,106513
603.36894,,5064148,111543
