m/z,z,I,Res.
216.58537,,6293699,576140
220.13396,,6301037,611323
224.18334,,6273153,457076
226.70122,,6219859,451420
227.90253,,6188188,547294
237.30123,,6192040,594307
237.41105,,6759262,499094
250.4459,,6267085,461042
257.10932,,10720321,303216
257.12923,,27675772,469099
257.14915,,34736504,441171
257.16819,,6991921,679352
257.16914,,31834224,459506
257.18921,,21828588,412761
257.20934,,13735398,464748
257.22953,,7477217,514962
257.85878,,6318618,535607
257.88823,,7433203,359333
282.76122,,6419638,438630
285.58592,,6396982,390182
288.50826,,6315671,442741
292.69848,,6459337,395653
295.76994,,7311400,411352
296.11518,,6177413,484503
298.84049,,6417169,450059
300.45977,,7066717,396257
301.41919,,6137316,468149
303.36486,,6688072,411252
306.8204,,6112124,424820
307.36962,,7186619,366215
309.05141,,6700617,474133
327.65607,,6378059,408534
328.00496,,6517024,384390
328.35633,,6251768,316894
328.52937,,6172003,328138
328.56599,,6608812,466676
329.22113,,6334166,412234
329.61743,,6265151,449997
329.79817,,6551920,343565
332.5886,,6627549,314708
332.76198,,6756820,359658
333.47839,,6111673,349930
333.71149,,6141637,324474
337.36378,,6556697,437339
344.02859,,6200574,392395
345.64383,,6194991,326651
345.66208,,6651321,345091
346.21268,,6235994,389571
347.27053,,6283156,466945
350.38132,,6410514,420344
350.41432,,6442534,351604
356.00546,,6175222,314807
357.30498,,6175453,273376
361.71199,,6202233,351235
365.2212,,6477231,307039
366.9185,,7662127,314547
367.61157,,6508851,308211
367.847,,6450191,330787
370.43917,,6320083,284230
371.67146,,6802340,368967
375.56799,,6135322,340117
378.77595,,6610448,266243
379.85647,,6203502,388635
382.4239,,6794834,308945
383.37042,,6140754,330092
383.68105,,6786127,374089
384.17939,,6661559,315232
384.60748,,6813899,376197
391.10535,,6575324,326022
391.43205,,6247705,203920
391.75891,,6429272,367979
397.75716,,6946196,288199
401.00316,,6773634,341588
406.77064,,6406588,323566
407.0844,,6289077,250127
411.07835,,6743381,331932
414.59394,,6588325,361389
414.89543,,6410156,282836
415.34609,,6273976,319043
419.31866,,6688782,274311
419.41269,,6362806,382468
419.74248,,6823429,309219
420.6953,,6545338,358152
420.85634,,6357853,261654
423.56719,,12263994,368422
423.63222,,8537266,366337
423.71191,,6504261,251005
424.06433,,9564114,374112
424.0766,,6500840,295454
424.18967,,6487994,320688
424.20019,,7111117,337955
424.80032,,7340841,397487
424.82999,,8109409,395696
424.86405,,7477664,178363
424.89678,,6469597,405737
424.89832,,7329760,403601
424.96133,,7383637,382620
425.3628,,6293827,444325
425.59261,,6415218,265310
427.33243,,6906049,281943
427.67177,,6315845,306393
428.19756,,6816046,339371
428.60052,,69938992,501671
428.63397,,55562096,560438
428.66733,,34232240,251594
428.70098,,25071600,299434
429.20325,,7549363,317852
429.29438,,8963170,412395
429.29701,,6752360,533903
429.29863,,9429610,396331
429.32751,,7644322,447532
429.36437,,8713448,402803
429.69778,,6957163,364624
429.69939,,8462701,262455
429.72583,,7854241,253067
429.76992,,7375862,488419
429.80347,,10752054,338963
429.99842,,7006126,424390
430.24879,,6575250,313814
433.92267,,6373414,247480
436.32899,,7177572,233955
436.3426,,6613120,230232
436.45376,,7204703,253560
436.92569,,6838037,267477
442.80296,,6288294,208126
443.94418,,7280760,328255
443.9874,,6344146,299511
444.69846,,7275944,313279
445.39696,,7236201,316921
447.76132,,6489356,292256
448.20156,,7282875,160549
449.03899,,6363201,257611
451.17081,,6405318,277958
452.23375,,7178644,198729
454.76076,,6875273,277751
454.91525,,7587550,316255
455.48664,,6282961,319108
457.97259,,7095675,275601
458.07548,,6966754,233610
458.24558,,7627232,320682
458.35031,,6934731,270495
458.3919,,6318377,342901
459.92539,,6914987,264764
463.57524,,6412330,228762
465.7241,,6533510,236729
466.59042,,6959455,162177
