m/z,z,I,Res.
225.59938,,3488897,322725
247.2217,,3547603,300738
247.62312,,3443637,280286
247.76504,,3409371,217504
251.44351,,3383468,257654
262.66418,,3425293,292848
273.33774,,3737691,248474
276.49053,,3461920,175847
285.76849,,3356601,265553
287.87514,,3425891,280564
292.83995,,7936930,306319
292.87315,,10186655,318454
292.90647,,11357213,281608
292.93998,,7226748,262305
292.97376,,4828954,330697
298.08139,,3347306,185173
301.63962,,3393364,181218
305.24852,,3439188,225103
306.33243,,3817340,220120
307.84731,,3400666,264246
307.86486,,3344986,247942
308.38448,,3356428,183480
319.36683,,3514746,172000
329.54964,,3373968,238198
337.37639,,3385997,184183
337.98067,,3699725,125329
339.08476,,3637713,246286
349.44694,,3454441,212751
353.66296,,3679776,174622
365.7024,,3405323,190313
368.98101,,3347385,207370
370.70163,,3435803,185573
378.01736,,3623703,177109
378.41465,,3945166,173716
390.9085,,3718150,155916
392.10332,,3541874,198368
392.1386,,3838090,133484
399.73646,,3459354,175571
403.48715,,3502616,163826
408.0254,,3936294,75775
408.04353,,3822324,207409
414.22042,,3525212,152053
414.95749,,3416511,195953
419.18311,,3647097,166305
422.99544,,3520767,222444
425.10012,,3379065,175269
431.19381,,3409319,170622
431.83705,,3593190,164991
432.71845,,3474377,179539
434.67869,,3542333,123125
436.69895,,3395843,168307
439.85277,,3685253,170468
449.82804,,3665510,81987
452.75422,,3665475,116606
455.60974,,3611874,126756
456.69064,,3576984,146987
460.68879,,3471522,163558
461.24057,,3419495,162626
462.43399,,4351961,133191
465.91978,,3632815,160000
471.47492,,3599769,87134
472.902,,3457366,167615
473.30396,,3499052,132371
483.76506,,3598015,141601
486.08533,,3581161,169071
486.90358,,3474803,113281
488.05595,,9576410,224510
488.11156,,8777503,221146
488.89215,,3474592,132406
490.77327,,3531959,172325
490.84684,,3585170,151856
493.95107,,3509711,134760
497.47239,,3462174,103578
499.88105,,3996780,132948
503.31044,,4010058,130734
503.48641,,3734316,166938
504.364,,3467988,109107
505.5777,,3656592,124576
506.40106,,3814039,131989
510.39648,,4187739,121963
514.68031,,3613511,177027
515.84934,,3611915,88426
516.17087,,3526772,128892
517.34476,,3607235,48161
517.74628,,3485718,164827
