spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0301_neoRibo_6.csv
limit_error:	6
noise_limit:	2470000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 
1421.669599	6	40688139.73	RNA	-1.71	0.18	C253H315N91O194P26	
1463.537394	6	37616459808.62	RNA+CMCT	-0.87	0.02	C267H340N94O195P26	
1441.02855	6	1266776090.14	RNA+CMCT-A	-0.71	0.02	C262H335N89O195P26	
1445.031302	6	383793710.09	RNA+CMCT-C	-0.1	0.03	C263H335N91O194P26	
1438.362738	6	2507701646.1	RNA+CMCT-G	-0.71	0.01	C262H335N89O194P26	
1435.361117	6	161340372.14	RNA+CMCT-G-H2O	-0.61	0.05	C262H333N89O193P26	
1460.535466	6	1064533970.6194693	RNA+CMCT-H2O	-0.98	0.02	C267H338N94O194P26	
706.5897	2	11081430.55	a05-G	0.57	0.06	C43H53N15O32P4	
1701.579865	3	23903069.2	a16+CMCT-A	-0.4	0.21	C158H204N49O116P15	
1772.553541	3	10484105.327834351	a17	2.21	0.38	C159H196N56O121P16	
1516.967564	4	35867443.02	a19+CMCT-G	0.92	0.16	C187H239N61O136P18	
1458.158051	4	13428657.78	a19-A	-4.74	0.44	C173H214N58O136P18	
1454.165765	4	28130300.46	a19-G	-0.32	0.14	C173H214N58O135P18	
1603.224163	4	24031167.12	a20+CMCT-G	-2.41	0.27	C197H251N66O143P19	
1418.556321	5	9703407.313401585	a23-A	-3.7	0.42	C210H261N71O165P22	
1534.607767	5	43334793.46	a24+CMCT-A	-2.78	0.19	C234H298N79O172P23	
689.087718	1	25551754.88	c02	0.18	0.06	C20H24N10O14P2	
994.128544	1	71833870.58	c03	-0.34	0.05	C29H36N13O21P3	
1300.155548	1	22179693.84	c04	1.05	0.11	C38H47N15O29P4	
649.573152	2	34164744.47	c04	-0.46	0.11	C38H47N15O29P4	
822.097446	2	66032646.61	c05	0.34	0.08	C48H59N20O36P5	
974.618518	2	116235805.16844848	c06	0.72	0.08	C57H71N23O43P6	
899.09429	2	5880105.31	c06-G	1.31	0.43	C52H66N18O42P6	
1127.629954	2	51569497.12	c07	-0.45	0.06	C66H82N25O51P7	
1253.230549	2	53672767.82	c07+CMCT	0.16	0.11	C80H107N28O52P7	
1280.640918	2	35219054.39	c08	-1.72	0.14	C75H93N27O59P8	
853.426225	3	10455136.01	c08	-0.11	0.24	C75H93N27O59P8	
1406.244309	2	115570148.79	c08+CMCT	0.93	0.02	C89H118N30O60P8	
968.441931	3	23963712.8	c09	-0.2	0.13	C85H105N32O66P9	
1578.77042	2	47554642.0	c09+CMCT	2.35	0.06	C99H130N35O67P9	
1070.447814	3	34703670.24	c10	-2.57	0.19	C94H116N34O74P10	
1731.779264	2	31267658.49	c10+CMCT	-0.06	0.21	C108H141N37O75P10	
1154.184129	3	31045982.26	c10+CMCT	0.27	0.17	C108H141N37O75P10	
1172.130389	3	61089616.29	c11	-0.51	0.08	C103H128N37O81P11	
1884.303976	2	28107167.22	c11+CMCT	2.11	0.22	C117H153N40O82P11	
1255.863611	3	60722309.47	c11+CMCT	-0.51	0.11	C117H153N40O82P11	
1273.809795	3	71196890.83	c12	-1.28	0.05	C112H140N40O88P12	
1357.542545	3	92868627.5	c12+CMCT	-1.57	0.06	C126H165N43O89P12	
1375.818599	3	40559229.85	c13	-0.91	0.1	C121H151N42O96P13	
1459.548054	3	73899951.84	c13+CMCT	-3.46	0.13	C135H176N45O97P13	
1477.833019	3	33677448.41	c14	3.2	0.12	C130H162N44O104P14	
1561.561799	3	112464955.0	c14+CMCT	0.16	0.05	C144H187N47O105P14	
1663.567009	3	176981681.76	c15+CMCT	-1.79	0.04	C153H198N49O113P15	
1613.22522	3	23461099.23	c15+CMCT-G	3.13	0.27	C148H193N44O112P15	
1773.26081	3	139550405.94	c16+CMCT	3.75	0.04	C163H210N54O119P16	
1882.942743	3	64215319.81	c17+CMCT	2.35	0.2	C173H222N59O125P17	
1411.949986	4	38473446.9	c17+CMCT	-1.37	0.14	C173H222N59O125P17	
1425.665852	4	28007130.3	c18	5.29	0.17	C168H208N58O132P18	
1984.951205	3	48593512.58	c18+CMCT	2.24	0.11	C182H233N61O133P18	
1488.456746	4	119321102.99	c18+CMCT	-1.01	0.04	C182H233N61O133P18	
1574.720191	4	306310066.69	c19+CMCT	0.05	0.03	C192H245N66O140P19	
1536.954191	4	40953954.56	c19+CMCT-G	-2.32	0.25	C187H240N61O139P19	
1660.980169	4	139283656.94	c20+CMCT	-1.08	0.06	C202H257N71O147P20	
1623.219861	4	37493176.25	c20+CMCT-G	0.15	0.16	C197H252N66O146P20	
1737.491033	4	129249031.75	c21+CMCT	1.58	0.05	C211H268N73O155P21	
1699.727092	4	37542341.11	c21+CMCT-G	0.68	0.14	C206H263N68O154P21	
1813.752695	4	120326364.65	c22+CMCT	2.25	0.07	C220H280N76O162P22	
1450.795911	5	15029534.145174619	c22+CMCT	-1.05	0.44	C220H280N76O162P22	
1775.98951	4	14546542.58	c22+CMCT-G	1.83	0.36	C215H275N71O161P22	
1461.570063	5	99533487.64900148	c23	2.96	0.15	C215H267N76O168P23	
1890.012132	4	58793325.19	c23+CMCT	1.69	0.11	C229H292N79O169P23	
1511.803473	5	170597326.26	c23+CMCT	-1.47	0.04	C229H292N79O169P23	
1481.594658	5	20622952.6	c23+CMCT-G	-0.78	0.24	C224H287N74O168P23	
1577.617024	5	215015073.85	c24+CMCT	0.52	0.05	C239H304N84O175P24	
1547.406523	5	33016706.77	c24+CMCT-G	0.13	0.26	C234H299N79O174P24	
1646.626695	5	147190816.75	c25+CMCT	0.61	0.06	C249H316N89O182P25	
1616.417876	5	23324146.03	c25+CMCT-G	1.28	0.39	C244H311N84O181P25	
1423.024842	6	89203212.08	c26+CMCT	0.3	0.1	C258H327N91O190P26	
1397.842852	6	23229260.9	c26+CMCT-G	-4.76	0.26	C253H322N86O189P26	
628.06993	1	8135759.27	w02	0.08	0.18	C18H25N5O16P2	
973.11753	1	20149128.727650173	w03	0.22	0.02	C28H37N10O23P3	
1302.17664	1	8268364.22	w04	5.23	0.34	C38H49N15O29P4	
1108.633794	2	33118167.36	w07	-1.28	0.07	C65H84N23O51P7	
1281.163052	2	20020567.56	w08	3.21	0.24	C75H96N28O58P8	
1070.796668	3	13957205.04	w10	2.08	0.31	C94H119N35O73P10	
1180.47748	3	35491383.75	w11	-0.96	0.08	C104H131N40O79P11	
1450.946061	4	6980861.216230302	w18+CMCT-G	-5.34	0.57	C177H231N57O131P18	
1474.410704	4	10152839.29	w19-G	-3.41	0.57	C173H218N59O137P19	
1362.745722	5	11840131.85	w22-G	-2.77	0.43	C200H252N66O160P22	
1461.97216	5	75227947.00178917	w23	2.25	0.11	C215H269N76O168P23	
1419.355318	6	79625604.09576961	w26+CMCT	-2.23	0.2	C257H329N89O191P26	
548.103245	1	19587384.7	y02	-0.55	0.04	C18H24N5O13P1	
893.151317	1	96931687.42	y03	0.38	0.09	C28H36N10O20P2	
1222.20421	1	80043270.29	y04	0.58	0.03	C38H48N15O26P3	
610.598302	2	21820788.37	y04	0.31	0.13	C38H48N15O26P3	
763.119363	2	60141245.71	y05	0.8	0.05	C47H60N18O33P4	
915.639329	2	90179797.41	y06	-0.08	0.06	C56H72N21O40P5	
1068.652225	2	96738905.22	y07	0.16	0.05	C65H83N23O48P6	
661.74564	3	5050881.45	y07-G	-5.29	0.48	C60H78N18O47P6	
1241.175675	2	219806037.91	y08	-0.07	0.02	C75H95N28O55P7	
827.114414	3	15792661.0	y08	-0.41	0.26	C75H95N28O55P7	
1413.698061	2	90149194.14	y09	-1.01	0.05	C85H107N33O62P8	
942.130591	3	63734976.63	y09	0.03	0.03	C85H107N33O62P8	
1566.710397	2	27739505.73	y10	-1.11	0.15	C94H118N35O70P9	
1044.139232	3	84602455.58	y10	0.22	0.07	C94H118N35O70P9	
1153.823074	3	150494189.18	y11	-0.09	0.03	C104H130N40O76P10	
1263.508023	3	187946426.19	y12	0.54	0.03	C114H142N45O82P11	
1365.517138	3	112258382.18	y13	0.99	0.06	C123H153N47O90P12	
1449.247402	3	27431383.97	y13+CMCT	-1.13	0.21	C137H178N50O91P12	
1467.525493	3	83770789.06	y14	0.87	0.06	C132H164N49O98P13	
1551.258609	3	40207776.99	y14+CMCT	0.74	0.1	C146H189N52O99P13	
1569.527517	3	71566820.21584037	y15	-3.27	0.08	C141H175N51O106P14	
1176.897748	4	51402526.51	y15	0.07	0.08	C141H175N51O106P14	
1653.268637	3	67096116.27	y15+CMCT	1.65	0.08	C155H200N54O107P14	
1671.206525	3	50177129.77	y16	-3.92	0.17	C150H187N54O113P15	
1253.1582	4	68561631.61	y16	0.17	0.08	C150H187N54O113P15	
1754.945039	3	37644780.6	y16+CMCT	-0.74	0.22	C164H212N57O114P15	
1772.887744	3	11612881.573290827	y17	-3.25	0.35	C159H199N57O120P16	
1329.419848	4	55603895.34	y17	1.16	0.09	C159H199N57O120P16	
1856.624791	3	34411297.9	y17+CMCT	-1.06	0.12	C173H224N60O121P16	
1405.926113	4	72505634.89	y18	1.05	0.1	C168H210N59O128P17	
1468.731449	4	29230691.57	y18+CMCT	4.68	0.22	C182H235N62O129P17	
1492.186296	4	140778792.46	y19	-0.13	0.03	C178H222N64O135P18	
1554.989854	4	47339470.77	y19+CMCT	2.2	0.12	C192H247N67O136P18	
1568.691986	4	71986883.2875492	y20	-0.53	0.11	C187H233N66O143P19	
1631.489852	4	65864344.62	y20+CMCT	-1.78	0.1	C201H258N69O144P19	
1707.99608	4	154753417.09	y21+CMCT	-1.76	0.05	C210H269N71O152P20	
1670.231019	4	12582525.7	y21+CMCT-G	-3.42	0.47	C205H264N66O151P20	
1784.258626	4	107862837.81	y22+CMCT	-0.44	0.06	C219H281N74O159P21	
1870.525321	4	102029829.88	y23+CMCT	2.17	0.07	C229H293N79O166P22	
