m/z,z,I,Res.
257.43895,,3494587,271391
265.82049,,3373737,263362
277.61219,,3785163,246115
290.97616,,3365247,248897
296.15073,,5293218,257852
296.184,,10052288,275213
296.21733,,9770687,283110
296.25075,,5676190,285443
306.2162,,3532273,158438
312.06805,,3538762,225408
314.29064,,3462809,225139
315.66723,,3454876,230444
318.14184,,3415810,228159
322.99496,,3387021,233162
336.06717,,3505131,137599
337.28364,,3393835,200674
342.94528,,3682508,114148
347.10441,,3506689,181828
348.7352,,3581283,178123
356.66433,,3412435,233950
361.46108,,3538925,172503
370.17961,,3635745,210027
376.82772,,3408303,160172
383.36213,,3575060,198510
383.62808,,3612282,154532
384.8291,,3624376,151177
389.82132,,3823226,116792
393.19504,,3550502,70478
394.35006,,3384714,122963
400.78709,,3450166,157995
403.55898,,3468234,161548
411.31072,,3606830,139392
418.07549,,3675977,144215
430.92368,,3493127,174675
432.70722,,3689763,127043
434.29874,,3890945,111559
435.18216,,3723768,122995
437.98883,,3472908,146533
439.0262,,3493802,147267
440.26842,,3832019,124647
440.5398,,3672153,120707
441.10021,,3476407,130296
444.40911,,4787900,142093
445.06531,,3625445,130157
459.28852,,3608992,133785
463.9003,,3485903,146451
468.48929,,3490315,122412
469.83336,,3757766,157305
471.42588,,3519776,148174
477.67732,,3777745,188834
478.83201,,3517319,114666
481.20359,,3625932,115602
481.56711,,3503764,151700
483.62237,,3488607,167120
484.51801,,3734655,167778
491.85751,,3508898,109103
493.03402,,3732754,136799
493.61325,,12563217,177168
493.66889,,8746581,109310
493.72142,,6747925,146636
493.72463,,8881049,245661
494.34228,,3782281,222954
496.09468,,3699108,142780
497.13328,,4328093,158371
498.1264,,4262498,149404
502.55953,,3946131,162733
503.7986,,3535069,137892
507.20069,,3555338,154163
508.27899,,3576858,106359
509.86453,,3635953,89960
512.06215,,3689434,180017
513.23085,,3578349,149805
517.25143,,3686163,153793
520.71557,,3589745,102097
521.10741,,3805453,169460
522.81209,,3548341,167055
523.42884,,3575065,133171
531.25825,,3737274,168570
532.09223,,3840392,147868
534.13426,,3951512,100430
537.72092,,3626488,117075
