m/z,z,I,Res.
227.35481,,2768595,399536
249.2398,,2755179,312279
261.18919,,2809087,152827
274.77388,,3017030,270705
277.25329,,2736419,235944
292.80718,,3779750,239648
292.83867,,2729253,251609
292.83993,,8136789,283293
292.87302,,12875667,261232
292.90633,,11028561,266928
292.93985,,8342544,263491
292.97333,,5154126,254262
293.00712,,4034444,266409
294.48068,,3146150,226584
303.83537,,2872878,246075
305.19066,,2829647,211961
313.4527,,2855203,175526
323.20243,,2887013,158500
339.61776,,2945559,205405
344.03937,,4635133,267221
346.98114,,2822085,132624
349.95059,,2764464,179596
351.80186,,2737397,189787
356.72025,,3080852,199708
357.78552,,3011020,227532
380.30275,,2763619,146696
387.76206,,3083314,140144
388.33696,,3151855,173460
393.12038,,2780623,212017
395.10969,,2783747,154587
398.65376,,2918022,113730
407.22614,,2771549,195811
409.02566,,2881176,213133
417.81228,,2770923,192052
420.16442,,2893448,222494
424.8582,,2798439,150739
425.89549,,2799815,149111
426.07625,,2871280,154267
428.72487,,3147390,164558
430.89737,,2779724,140921
433.6163,,3139150,114836
435.62677,,2852984,172169
443.9176,,2814846,156542
447.10642,,2846255,149793
451.88756,,3012175,119389
452.70625,,3297512,130643
454.21932,,2877425,161975
455.33983,,2946826,94455
456.12804,,3608491,140192
458.07106,,2895540,192674
461.06431,,2941817,132211
463.18744,,2818803,129207
464.11535,,3306201,131282
464.20092,,2894505,104553
466.2381,,2883852,121344
467.46047,,2953846,175491
469.16173,,2949616,162986
469.23955,,2875835,159702
470.24027,,2878045,198583
474.8515,,2868991,140711
476.96722,,2983873,83340
476.99172,,3713689,152290
477.70323,,2963881,118574
478.0786,,3049389,152556
479.92897,,3031230,171392
487.15809,,2978372,256069
488.05635,,13546587,212364
488.11196,,14579348,211174
502.42256,,2955044,152924
502.86256,,3002329,120152
507.23814,,3022120,127920
508.02118,,3207604,156123
510.86003,,3021202,139143
511.01836,,3047134,99407
512.11038,,3086528,138783
515.39136,,3051132,177570
518.08412,,2920966,136294
524.50303,,2979199,110294
526.22145,,3270071,115183
529.16209,,3072938,95458
529.58594,,3035045,138910
530.37223,,3059093,154828
533.48734,,3197055,110940
533.84953,,3136214,128158
534.24066,,2877646,187560
538.03764,,3286923,179205
539.30216,,3203169,108121
540.23536,,2907906,142584
542.93596,,3008570,138866
543.78441,,2935805,129292
545.33349,,2981471,112722
547.76009,,2980011,127156
548.10331,,16042226,149964
549.10687,,3193515,168381
552.28186,,3279702,129973
558.016,,3085498,152631
558.99315,,2917658,149396
559.19654,,3136835,133796
560.29761,,3228114,122339
562.74069,,3067493,127186
566.07994,,3001053,153706
568.41584,,3213015,105356
569.84379,,3435135,136269
571.62229,,3013305,125062
575.84369,,3163813,137943
576.84629,,3108642,145213
577.11191,,2934227,170043
587.28565,,3227756,119053
588.96349,,3214789,174644
589.85095,,3149112,166400
592.20723,,3054002,129487
593.79984,,3305539,115714
594.1759,,3140783,130794
598.6131,,3550865,113163
600.30042,,2958659,123173
607.94126,,3075785,132823
609.01026,,2973811,80906
610.05958,,3079493,161381
610.4047,,3799110,125614
610.58973,,3449620,147810
610.59773,,17606940,131657
611.10004,,5619788,166506
618.23191,,3011552,96974
619.13944,,3496901,113080
619.40668,,3019019,113391
621.30866,,3027311,67357
628.07011,,6108163,140302
629.07574,,3386559,118398
636.53042,,3038935,115744
642.04589,,3854907,99796
645.55003,,3158257,107564
647.74128,,3121154,87254
649.08039,,3056350,112791
649.15176,,3513223,53717
649.57327,,24436308,122498
650.06451,,3982538,146266
650.07499,,9888341,145491
650.57594,,3741523,124258
651.70085,,3268490,104800
651.81352,,3443196,129646
652.03471,,3424476,123671
652.50239,,3009653,45698
655.41642,,3082475,120384
660.47338,,3185930,135669
665.16595,,3328238,115746
665.74282,,3351003,100214
669.24584,,3050169,149072
673.34561,,3173302,79165
674.35193,,3053761,105178
674.89853,,3129214,94338
675.18628,,3753865,107813
679.30772,,3427863,121069
679.54195,,3250284,71683
679.7612,,3145203,76517
679.80572,,3223452,80935
681.28986,,3118619,56475
683.23558,,3349999,89608
683.77869,,3077651,122425
683.85736,,3184025,54516
684.04346,,3425535,129226
686.02388,,3233819,123334
686.56199,,3066805,125452
686.88316,,3405263,90368
689.08747,,18720470,120028
689.53824,,3483741,99861
689.99676,,3051115,89829
690.09054,,3774396,125116
692.05988,,3102108,130568
692.4485,,3219625,93236
697.37684,,3650932,100705
697.95526,,3280599,93987
698.28301,,3173417,113543
699.6048,,3934642,112957
699.76033,,3082259,74360
700.42186,,3778581,85021
700.45948,,3125429,100213
700.81557,,3333914,100394
701.1615,,3191479,107194
702.04037,,3410056,87670
702.87452,,3292850,91818
703.47689,,3057500,98479
703.53999,,3331152,129360
705.86581,,3893738,95681
