spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0303_neoRibo.csv
limit_error:	6
noise_limit:	2029999.9999999998
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 
1421.670817	6	142887084.16	RNA	-0.86	0.07	C253H315N91O194P26	
1463.536235	6	63170185937.71	RNA+CMCT	-1.66	0.03	C267H340N94O195P26	
1441.028303	6	2045072655.26	RNA+CMCT-A	-0.89	0.01	C262H335N89O195P26	
1445.03046	6	624368174.0	RNA+CMCT-C	-0.69	0.03	C263H335N91O194P26	
1438.363433	6	4208373108.95	RNA+CMCT-G	-0.23	0.01	C262H335N89O194P26	
1435.361748	6	297930658.42	RNA+CMCT-G-H2O	-0.18	0.05	C262H333N89O193P26	
1460.537093	6	1797917008.3930447	RNA+CMCT-H2O	0.13	0.02	C267H338N94O194P26	
1418.662585	6	17938338.6	RNA-H2O	-5.42	0.28	C253H313N91O193P26	
458.07106	1	3434655.34	a02-G	-1.73	0.16	C15H18N5O10P1	
706.589463	2	15142472.53	a05-G	0.23	0.12	C43H53N15O32P4	
1413.18492	2	16915081.97	a09	0.89	0.46	C85H104N32O63P8	
1701.579561	3	51348592.74	a16+CMCT-A	-0.58	0.07	C158H204N49O116P15	
1856.288162	3	20891301.555186875	a17+CMCT	2.84	0.21	C173H221N59O122P16	
1811.267911	3	21148949.87	a17+CMCT-A	1.76	0.27	C168H216N54O122P16	
1958.300302	3	9717849.700421328	a18+CMCT	4.59	0.33	C182H232N61O130P17	
1516.96491	4	55625055.63	a19+CMCT-G	-0.83	0.07	C187H239N61O136P18	
1454.160898	4	24627770.036473334	a19-G	-3.67	0.17	C173H214N58O135P18	
1603.228523	4	51635006.17	a20+CMCT-G	0.31	0.11	C197H251N66O143P19	
1468.806596	5	23853646.09836535	a23+CMCT-A	3.45	0.19	C224H286N74O166P22	
1534.610353	5	50541625.06	a24+CMCT-A	-1.09	0.15	C234H298N79O172P23	
1600.42321	5	47255376.56	a25+CMCT-G	0.42	0.12	C244H310N84O178P24	
344.03937	1	5264111.12	c01	-2.29	0.12	C10H12N5O7P1	
689.087743	1	24523508.14	c02	0.22	0.07	C20H24N10O14P2	
538.03764	1	3923212.11	c02-G	-1.01	0.16	C15H19N5O13P2	
994.130148	1	81873375.51	c03	1.28	0.04	C29H36N13O21P3	
1300.153518	1	35863312.75	c04	-0.51	0.08	C38H47N15O29P4	
649.573453	2	40477585.32	c04	0.0	0.05	C38H47N15O29P4	
822.097793	2	78199888.54	c05	0.76	0.07	C48H59N20O36P5	
746.57346	2	4638316.71	c05-G	1.33	0.37	C43H54N15O35P5	
974.618007	2	130138094.47633399	c06	0.2	0.02	C57H71N23O43P6	
899.09359	2	6731859.61	c06-G	0.54	0.23	C52H66N18O42P6	
1127.631181	2	59994571.73	c07	0.64	0.04	C66H82N25O51P7	
1253.231981	2	78971565.18	c07+CMCT	1.3	0.04	C80H107N28O52P7	
1280.640147	2	40405248.41	c08	-2.32	0.06	C75H93N27O59P8	
853.426321	3	14972657.25	c08	0.0	0.32	C75H93N27O59P8	
1406.243518	2	150482924.46	c08+CMCT	0.37	0.03	C89H118N30O60P8	
1330.715993	2	10063937.38	c08+CMCT-G	-1.73	0.45	C84H113N25O59P8	
1453.168768	2	14954102.530547654	c09	1.33	0.14	C85H105N32O66P9	
968.443104	3	25155655.11	c09	1.01	0.14	C85H105N32O66P9	
1578.76787	2	68189956.38	c09+CMCT	0.73	0.04	C99H130N35O67P9	
1052.176012	3	12511674.94	c09+CMCT	0.6	0.16	C99H130N35O67P9	
1503.241561	2	15228099.98	c09+CMCT-G	-0.3	0.35	C94H125N30O66P9	
1070.448921	3	31518835.8	c10	-1.54	0.08	C94H116N34O74P10	
1731.780838	2	57127424.18	c10+CMCT	0.85	0.06	C108H141N37O75P10	
1154.185224	3	48970486.8	c10+CMCT	1.22	0.07	C108H141N37O75P10	
1172.13053	3	66191842.68	c11	-0.39	0.03	C103H128N37O81P11	
1884.305587	2	39547596.0	c11+CMCT	2.96	0.19	C117H153N40O82P11	
1255.864266	3	93966162.57	c11+CMCT	0.01	0.07	C117H153N40O82P11	
1273.811309	3	88309783.32	c12	-0.09	0.05	C112H140N40O88P12	
2036.817652	2	36071331.83	c12+CMCT	-1.47	0.1	C126H165N43O89P12	
1357.543819	3	140310188.3	c12+CMCT	-0.63	0.04	C126H165N43O89P12	
1223.461675	3	9442216.43	c12-G	0.05	0.36	C107H135N35O87P12	
1375.820892	3	43104044.61	c13	0.75	0.1	C121H151N42O96P13	
1459.547261	3	82303021.53	c13+CMCT	-4.01	0.23	C135H176N45O97P13	
1477.832956	3	44891033.72	c14	3.16	0.07	C130H162N44O104P14	
1561.561644	3	168198013.53	c14+CMCT	0.06	0.03	C144H187N47O105P14	
1511.211549	3	8198081.708176503	c14+CMCT-G	-0.13	0.47	C139H182N42O104P14	
1579.840902	3	21185283.08	c15	2.64	0.21	C139H173N46O112P15	
1663.569221	3	256441499.58	c15+CMCT	-0.46	0.02	C153H198N49O113P15	
1613.223559	3	40129981.28	c15+CMCT-G	2.1	0.07	C148H193N44O112P15	
1266.886915	4	9022819.81	c16	-1.53	0.44	C149H185N51O118P16	
1773.258948	3	211075111.73	c16+CMCT	2.7	0.04	C163H210N54O119P16	
1722.90795	3	27921397.27	c16+CMCT-G	2.09	0.16	C158H205N49O118P16	
1349.153097	4	12948765.7	c17	0.82	0.35	C159H197N56O124P17	
1882.939527	3	108823782.79	c17+CMCT	0.64	0.04	C173H222N59O125P17	
1411.952869	4	48851003.53	c17+CMCT	0.67	0.11	C173H222N59O125P17	
1832.589851	3	14044600.730367199	c17+CMCT-G	0.73	0.29	C168H217N54O124P17	
1984.949202	3	84897372.27	c18+CMCT	1.23	0.08	C182H233N61O133P18	
1488.456183	4	227007340.93	c18+CMCT	-1.39	0.03	C182H233N61O133P18	
1450.693406	4	22480151.985560257	c18+CMCT-G	-1.72	0.26	C177H228N56O132P18	
1387.895606	4	11271636.31	c18-G	-0.25	0.36	C163H203N53O131P18	
2099.964011	3	31236256.29	c19+CMCT	0.69	0.17	C192H245N66O140P19	
1574.721903	4	474818594.37	c19+CMCT	1.14	0.01	C192H245N66O140P19	
1536.956943	4	61935178.58	c19+CMCT-G	-0.53	0.1	C187H240N61O139P19	
1660.982219	4	220443648.72	c20+CMCT	0.15	0.05	C202H257N71O147P20	
1623.222678	4	51970798.04	c20+CMCT-G	1.89	0.09	C197H252N66O146P20	
1737.490702	4	216017736.93	c21+CMCT	1.39	0.03	C211H268N73O155P21	
1699.723816	4	47505429.12	c21+CMCT-G	-1.25	0.1	C206H263N68O154P21	
1813.750437	4	203102639.64	c22+CMCT	1.0	0.04	C220H280N76O162P22	
1450.79524	5	30979592.820669256	c22+CMCT	-1.51	0.13	C220H280N76O162P22	
1775.986691	4	60372946.53	c22+CMCT-G	0.24	0.1	C215H275N71O161P22	
1461.57215	5	107200503.04338528	c23	4.39	0.14	C215H267N76O168P23	
1890.009483	4	113941094.47	c23+CMCT	0.29	0.05	C229H292N79O169P23	
1511.805255	5	267298160.0061662	c23+CMCT	-0.29	0.03	C229H292N79O169P23	
1852.241319	4	24816853.29	c23+CMCT-G	-2.84	0.26	C224H287N74O168P23	
1481.596475	5	52643715.91	c23+CMCT-G	0.45	0.09	C224H287N74O168P23	
1577.616849	5	393489605.68	c24+CMCT	0.41	0.02	C239H304N84O175P24	
1547.40785	5	61511694.12	c24+CMCT-G	0.99	0.09	C234H299N79O174P24	
1646.627113	5	236545885.69	c25+CMCT	0.87	0.04	C249H316N89O182P25	
1616.41716	5	50080034.08	c25+CMCT-G	0.84	0.09	C244H311N84O181P25	
1423.024474	6	163018333.31	c26+CMCT	0.05	0.09	C258H327N91O190P26	
1397.85152	6	23160966.35	c26+CMCT-G	1.44	0.18	C253H322N86O189P26	
628.07011	1	7848031.0	w02	0.37	0.05	C18H25N5O16P2	
973.11732	1	24099935.169576164	w03	0.01	0.02	C28H37N10O23P3	
1108.634023	2	51809178.66	w07	-1.08	0.03	C65H84N23O51P7	
1281.161977	2	32332847.39	w08	2.38	0.12	C75H96N28O58P8	
1453.679924	2	2347901.617484241	w09	-1.88	0.47	C85H108N33O65P9	
1070.7964	3	21892508.03	w10	1.83	0.11	C94H119N35O73P10	
1180.477955	3	51776982.48	w11	-0.56	0.06	C104H131N40O79P11	
1832.926828	3	7124339.496014199	w17+CMCT-G	-3.04	0.32	C168H220N55O123P17	
1425.918773	4	43498471.87	w18	1.79	0.1	C168H211N59O131P18	
1727.989529	4	13714492.31	w21+CMCT	-0.66	0.35	C210H270N71O155P21	
1804.250805	4	60943446.19	w22+CMCT	-0.1	0.1	C219H282N74O162P22	
1461.975601	5	91913129.73599419	w23	4.6	0.12	C215H269N76O168P23	
1634.417515	5	34070115.82	w25+CMCT	-2.83	0.22	C247H317N84O184P25	
1419.356406	6	156293102.55	w26+CMCT	-1.46	0.21	C257H329N89O191P26	
548.103644	1	20382482.72	y02	0.18	0.04	C18H24N5O13P1	
799.30305	1	4435337.04	y02+CMCT	-0.32	0.29	C32H49N8O14P1	
893.151655	1	118975135.84	y03	0.75	0.06	C28H36N10O20P2	
1222.204012	1	97224519.4	y04	0.42	0.03	C38H48N15O26P3	
610.598212	2	27415303.4	y04	0.16	0.14	C38H48N15O26P3	
763.11907	2	76555776.46	y05	0.41	0.06	C47H60N18O33P4	
915.640646	2	104242070.26	y06	1.36	0.02	C56H72N21O40P5	
1068.652429	2	125837706.49	y07	0.35	0.03	C65H83N23O48P6	
1241.175088	2	299182874.5	y08	-0.55	0.01	C75H95N28O55P7	
827.115082	3	16426189.38	y08	0.4	0.16	C75H95N28O55P7	
1165.652048	2	11035415.97	y08-G	0.85	0.22	C70H90N23O54P7	
1413.698688	2	119265177.94	y09	-0.56	0.05	C85H107N33O62P8	
942.130678	3	69779679.49	y09	0.12	0.03	C85H107N33O62P8	
1338.178009	2	14679150.85	y09-G	2.41	0.13	C80H102N28O61P8	
1566.709509	2	40783410.08	y10	-1.68	0.07	C94H118N35O70P9	
1044.13947	3	114231013.58	y10	0.45	0.04	C94H118N35O70P9	
1153.823618	3	218560947.15	y11	0.39	0.02	C104H130N40O76P10	
1263.50766	3	238216674.21	y12	0.25	0.02	C114H142N45O82P11	
1347.239897	3	9992298.63	y12+CMCT	-0.52	0.48	C128H167N48O83P11	
1365.515757	3	147786776.73	y13	-0.02	0.03	C123H153N47O90P12	
1449.247584	3	32630653.66	y13+CMCT	-1.0	0.11	C137H178N50O91P12	
1467.525211	3	130846337.22374833	y14	0.68	0.05	C132H164N49O98P13	
1551.258915	3	35311443.5	y14+CMCT	0.93	0.18	C146H189N52O99P13	
1569.531738	3	117068453.60772604	y15	-0.58	0.07	C141H175N51O106P14	
1176.897775	4	76815750.17	y15	0.09	0.07	C141H175N51O106P14	
1653.269388	3	92426232.85	y15+CMCT	2.11	0.08	C155H200N54O107P14	
1671.211271	3	78833964.94	y16	-1.08	0.05	C150H187N54O113P15	
1253.158366	4	96253206.59	y16	0.3	0.05	C150H187N54O113P15	
1754.943779	3	63828085.71	y16+CMCT	-1.45	0.05	C164H212N57O114P15	
1772.88497	3	24665041.95	y17	-4.81	0.37	C159H199N57O120P16	
1329.418693	4	104420205.09	y17	0.29	0.06	C159H199N57O120P16	
1856.624657	3	20096193.13382101	y17+CMCT	-1.13	0.16	C173H224N60O121P16	
1405.925065	4	124962618.88	y18	0.31	0.04	C168H210N59O128P17	
1958.633612	3	17695442.169256676	y18+CMCT	-0.81	0.23	C182H235N62O129P17	
1468.730686	4	44830406.64	y18+CMCT	4.16	0.06	C182H235N62O129P17	
1492.186152	4	248936741.21	y19	-0.23	0.03	C178H222N64O135P18	
1554.987437	4	73659325.89	y19+CMCT	0.64	0.05	C192H247N67O136P18	
1454.423607	4	14300780.779978892	y19-G	-0.37	0.31	C173H217N59O134P18	
1568.690603	4	131773641.79535528	y20	-1.41	0.04	C187H233N66O143P19	
1631.491643	4	100850251.33	y20+CMCT	-0.69	0.07	C201H258N69O144P19	
1530.931549	4	12141367.11	y20-G	0.71	0.35	C182H228N61O142P19	
1707.997197	4	279521396.7	y21+CMCT	-1.11	0.03	C210H269N71O152P20	
1670.235026	4	37895981.73	y21+CMCT-G	-1.02	0.21	C205H264N66O151P20	
1784.261196	4	180565398.94	y22+CMCT	1.0	0.02	C219H281N74O159P21	
1746.492046	4	30195315.36	y22+CMCT-G	-2.87	0.12	C214H276N69O158P21	
1870.525382	4	140610647.97	y23+CMCT	2.2	0.03	C229H293N79O166P22	
1496.216982	5	88471161.51	y23+CMCT	0.95	0.06	C229H293N79O166P22	
1832.760367	4	25076668.52698032	y23+CMCT-G	0.79	0.29	C224H288N74O165P22	
1557.421344	5	288264524.32	y24+CMCT	0.47	0.03	C238H304N81O174P23	
1527.213241	5	19660770.21	y24+CMCT-G	1.64	0.43	C233H299N76O173P23	
1618.431363	5	227768694.84	y25+CMCT	1.54	0.05	C247H316N84O181P24	
1588.220832	5	23428709.08	y25+CMCT-G	1.16	0.18	C242H311N79O180P24	
1687.439816	5	481806891.68	y26+CMCT	0.86	0.03	C257H328N89O188P25	
1657.228795	5	77972408.5	y26+CMCT-G	0.19	0.06	C252H323N84O187P25	

 
 



Original data of remodelled ions:
m/z 	z 	I 	fragment 	error 	shape_error 	formula 
973.11732	1	23069614.92	w03	0.01	0.02	C28H37N10O23P3	
974.618007	2	131861109.87	c06	0.2	0.02	C57H71N23O43P6	
1329.168048	4	93917902.73	a17	5.75	0.21	C159H196N56O121P16	
1405.674417	4	113082864.54	a18	5.47	0.2	C168H207N58O129P17	
1412.203584	4	41382869.76	w17+CMCT	-4.43	0.14	C173H225N60O124P17	
1438.028147	6	3321814215.84	RNA+CMCT-A-H2O	0.23	0.28	C262H333N89O194P26	
1442.030743	6	163771724.4	RNA+CMCT-C-H2O	0.73	0.15	C263H333N91O193P26	
1450.693406	4	30679671.56	c18+CMCT-G	-1.72	0.26	C177H228N56O132P18	
1450.79524	5	37679729.27	c22+CMCT	-1.51	0.13	C220H280N76O162P22	
1453.679924	2	10360348.53	w09	-1.88	0.47	C85H108N33O65P9	
1453.168768	2	17673703.92	c09	1.33	0.14	C85H105N32O66P9	
1454.423607	4	21746756.01	y19-G	-0.37	0.31	C173H217N59O134P18	
1454.160898	4	30309099.94	a19-G	-3.67	0.17	C173H214N58O135P18	
1461.975601	5	171428449.48	w23	4.6	0.12	C215H269N76O168P23	
1461.57215	5	175622152.63	c23	4.39	0.14	C215H267N76O168P23	
1460.537093	6	1799089372.49	RNA+CMCT-H2O	0.13	0.02	C267H338N94O194P26	
1468.469864	4	24227209.31	a18+CMCT	2.18	0.3	C182H232N61O130P17	
1467.525211	3	131883675.68	y14	0.68	0.05	C132H164N49O98P13	
1468.806596	5	31464158.21	a23+CMCT-A	3.45	0.19	C224H286N74O166P22	
1481.997558	5	31339335.71	w23+CMCT-G	-0.93	0.21	C224H289N74O168P23	
1488.707952	4	176721887.07	w18+CMCT	-5.51	0.1	C182H236N62O132P18	
1491.935508	4	225473505.14	a19	4.64	0.19	C178H219N63O136P18	
1495.815823	5	70777593.44	a23+CMCT	2.27	0.28	C229H291N79O166P22	
1512.207023	5	145289184.46	w23+CMCT	-1.19	0.11	C229H294N79O169P23	
1511.805255	5	269127333.58	c23+CMCT	-0.29	0.03	C229H292N79O169P23	
1511.211549	3	10970724.07	c14+CMCT-G	-0.13	0.47	C139H182N42O104P14	
