spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0403_0x_134_7.csv
limit_error:	6.5	2020-03-23
noise_limit:	2000000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
1251.741447	7	37955188656.15	RNA+2DEPC+H2O-CO	0.44	0.04	C261H330N102O192P26	283.1
1238.58766	7	986682833.9	RNA+2DEPC+H2O-CO-2Eth	1.28	0.04	C257H318N102O190P26	7.4
1219.291813	7	44096768.892416775	RNA+2DEPC+H2O-CO-2Eth-A	-0.63	0.08	C252H313N97O190P26	0.5
1216.722405	7	42047166.99631513	RNA+2DEPC+H2O-CO-2Eth-A-H2O	2.27	0.24	C252H311N97O189P26	2.3
1217.007754	7	80803874.73990113	RNA+2DEPC+H2O-CO-2Eth-G	0.13	0.05	C252H313N97O189P26	0.7
1214.440931	7	65878985.57329388	RNA+2DEPC+H2O-CO-2Eth-G-H2O	5.17	0.12	C252H311N97O188P26	1.1
1232.446715	7	971544177.6704994	RNA+2DEPC+H2O-CO-A	-0.56	0.04	C256H325N97O192P26	7.2
1235.877275	7	513334517.53	RNA+2DEPC+H2O-CO-C	-0.24	0.06	C257H325N99O191P26	4.7
1233.303458	7	67552194.64004432	RNA+2DEPC+H2O-CO-C-H2O	-0.96	0.11	C257H323N99O190P26	1.0
1245.161683	7	16412595822.75	RNA+2DEPC+H2O-CO-Eth	-1.45	0.03	C259H324N102O191P26	110.8
1225.872371	7	708197146.3848754	RNA+2DEPC+H2O-CO-Eth-A	1.94	0.03	C254H319N97O191P26	4.8
1226.72941	7	30865727.345708054	RNA+2DEPC+H2O-CO-Eth-C-H2O	1.78	0.18	C255H317N99O189P26	0.9
1223.58586	7	1800983803.063928	RNA+2DEPC+H2O-CO-Eth-G	0.7	0.03	C254H319N97O190P26	12.2
1221.012291	7	71361813.53305024	RNA+2DEPC+H2O-CO-Eth-G-H2O	0.18	0.15	C254H317N97O189P26	1.6
1242.589893	7	632964570.3737811	RNA+2DEPC+H2O-CO-Eth-H2O	-0.53	0.06	C259H322N102O190P26	5.8
1230.161284	7	2130607773.08	RNA+2DEPC+H2O-CO-G	-0.92	0.03	C256H325N97O191P26	14.4
1227.590039	7	167311575.16588387	RNA+2DEPC+H2O-CO-G-H2O	0.46	0.07	C256H323N97O190P26	1.7
1457.526286	6	5462604.163744564	RNA+2DEPC+H2O-CO-H2O	-2.89	0.59	C261H328N102O191P26	10.0
1249.169513	7	702604460.34	RNA+2DEPC+H2O-CO-H2O	1.24	0.05	C261H328N102O191P26	5.8
1241.454319	7	105780434.74415484	RNA+DEPC+H2O-CO	1.73	0.17	C258H326N102O190P26	2.9
1222.159947	7	60721231.19094882	RNA+DEPC+H2O-CO-A	1.05	0.09	C253H321N97O190P26	0.7
1219.579933	7	14171740.551831631	RNA+DEPC+H2O-CO-A-H2O	-4.75	0.21	C253H319N97O189P26	0.6
1219.874581	7	13173306.246923609	RNA+DEPC+H2O-CO-G	0.74	0.46	C253H321N97O189P26	6.6
1217.292533	7	44967940.03876674	RNA+DEPC+H2O-CO-G-H2O	-6.74	0.11	C253H319N97O188P26	0.7
1224.444629	7	29524434.384149544	RNA+DEPC-C-H2O	1.95	0.18	C255H317N99O188P26	0.9
1221.299596	7	57712390.064946644	RNA+DEPC-G	-0.34	0.09	C254H319N97O189P26	0.7
1218.724639	7	17820493.744229734	RNA+DEPC-G-H2O	-2.0	0.26	C254H317N97O188P26	1.2
1240.305879	7	82656559.51589295	RNA+DEPC-H2O	0.25	0.11	C259H322N102O189P26	1.2
1213.298312	7	488854258.0184141	RNA-A	1.68	0.04	C251H315N97O188P26	3.6
1211.013154	7	109042120.43537442	RNA-G	1.55	0.13	C251H315N97O187P26	2.0
458.07143	1	3421691.2	a02-G	-0.92	0.16	C15H18N5O10P1	0.1
1108.15989	1	13560959.74	a04-G	-0.62	0.31	C34H42N13O24P3	1.5
1031.635232	2	12179071.200203218	a07-A	1.52	0.08	C62H77N23O46P6	0.1
1348.680163	2	19328403.94	a09-A	-0.3	0.17	C81H101N31O59P8	0.5
1146.828641	3	9760343.43	a11+2DEPC+H2O-CO-A	-2.44	0.34	C104H135N37O77P10	1.5
1306.159736	3	8028945.38435104	a13-A	-2.0	0.46	C117H147N41O89P12	4.0
1452.526934	3	4879331.880937813	a14+2DEPC+H2O-CO-A	-1.24	0.48	C131H169N44O100P13	3.0
1517.524597	3	17907104.8	a15-G	-1.55	0.34	C136H171N49O102P14	2.7
1257.663567	4	11117251.121118762	a16+2DEPC+H2O-CO-G	-4.9	0.33	C151H193N54O113P15	1.5
1632.546202	3	15953743.27	a16-G	2.11	0.3	C146H183N54O109P15	1.6
1477.182647	4	24907737.496451423	a19-A	-0.93	0.21	C175H218N66O132P18	1.0
1261.764307	5	21108365.77644904	a20+2DEPC+H2O-CO-Eth-G	3.02	0.23	C188H234N71O140P19	1.1
1270.965507	5	19256623.0	a20+2DEPC+H2O-CO-G	-2.64	0.24	C190H240N71O141P19	1.1
1559.446508	4	11544195.42	a20-A	-0.41	0.41	C185H230N71O138P19	3.5
1659.718027	4	10926795.2	a21+2DEPC+H2O-CO-Eth-G	1.48	0.46	C198H246N76O146P20	5.4
1327.574196	5	70777615.71	a21+2DEPC+H2O-CO-Eth-G	2.41	0.1	C198H246N76O146P20	1.0
1336.777955	5	38206033.600051545	a21+2DEPC+H2O-CO-G	-1.06	0.12	C200H252N76O147P20	0.6
1313.173256	5	9440174.84248192	a21-A	4.94	0.32	C195H242N76O144P20	1.2
1761.48247	4	16756641.84	a22+2DEPC+H2O-CO-A	-2.35	0.32	C210H264N81O155P21	2.1
1253.488094	6	48596939.29	a24-A	-1.6	0.37	C223H277N86O166P23	9.8
344.04061	1	4273661.21	c01	1.31	0.12	C10H12N5O7P1	0.1
689.087678	1	27983762.91	c02	0.12	0.08	C20H24N10O14P2	0.3
538.03803	1	6151029.82	c02-G	-0.29	0.16	C15H19N5O13P2	0.2
994.129911	1	133273525.35	c03	1.04	0.06	C29H36N13O21P3	1.2
1066.15143	1	4804457.67	c03+DEPC	1.33	0.3	C32H40N13O23P3	0.5
843.07922	1	8643586.84	c03-G	-0.3	0.23	C24H31N8O20P3	0.4
669.084913	2	27924645.12	c04	0.59	0.13	C39H48N18O28P4	0.5
822.097646	2	83358562.02	c05	0.58	0.07	C48H59N20O36P5	0.8
746.57327	2	4172061.23	c05-G	1.08	0.37	C43H54N15O35P5	0.8
974.618185	2	130038981.28	c06	0.38	0.02	C57H71N23O43P6	0.8
899.094615	2	9493042.43	c06-G	1.68	0.2	C52H66N18O42P6	0.4
