spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0403_5x_134.csv
limit_error:	6
noise_limit:	2210000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
1460.526293	6	61176964169.29	RNA+2DEPC+H2O-CO	-4.09	0.04	C261H330N102O192P26	413.0
1445.186219	6	1418228280.3518326	RNA+2DEPC+H2O-CO-2Eth	0.86	0.04	C257H318N102O190P26	9.6
1422.677973	6	130001157.62983996	RNA+2DEPC+H2O-CO-2Eth-A	1.46	0.09	C252H313N97O190P26	1.4
1426.677322	6	35964250.318595715	RNA+2DEPC+H2O-CO-2Eth-C	-0.31	0.23	C253H313N99O189P26	1.6
1420.008666	6	422429708.56	RNA+2DEPC+H2O-CO-2Eth-G	-0.99	0.04	C252H313N97O189P26	2.9
1417.010668	6	80252633.21	RNA+2DEPC+H2O-CO-2Eth-G-H2O	1.66	0.11	C252H311N97O188P26	1.1
1438.021411	6	1281918162.326255	RNA+2DEPC+H2O-CO-A	-1.23	0.03	C256H325N97O192P26	7.8
1442.020107	6	340017440.33	RNA+2DEPC+H2O-CO-C	-3.43	0.07	C257H325N99O191P26	3.1
1439.018255	6	109952235.76847635	RNA+2DEPC+H2O-CO-C-H2O	-3.5	0.29	C257H323N99O190P26	9.0
1452.860279	6	23308264245.82994	RNA+2DEPC+H2O-CO-Eth	1.14	0.03	C259H324N102O191P26	142.4
1430.35143	6	947562754.2473785	RNA+2DEPC+H2O-CO-Eth-A	1.33	0.04	C254H319N97O191P26	6.4
1431.354211	6	70114222.52634443	RNA+2DEPC+H2O-CO-Eth-C-H2O	3.19	0.48	C255H317N99O189P26	38.6
1427.686328	6	2707299253.284078	RNA+2DEPC+H2O-CO-Eth-G	1.83	0.02	C254H319N97O190P26	15.0
1424.68248	6	188449676.82852465	RNA+2DEPC+H2O-CO-Eth-G-H2O	0.37	0.08	C254H317N97O189P26	1.9
1449.861412	6	682487261.4273471	RNA+2DEPC+H2O-CO-Eth-H2O	3.14	0.06	C259H322N102O190P26	5.6
1435.35597	6	2824720854.94	RNA+2DEPC+H2O-CO-G	-0.97	0.03	C256H325N97O191P26	17.3
1432.358386	6	297166192.83475065	RNA+2DEPC+H2O-CO-G-H2O	1.95	0.05	C256H323N97O190P26	2.2
1457.529653	6	917179993.1175505	RNA+2DEPC+H2O-CO-H2O	-0.58	0.04	C261H328N102O191P26	6.2
1450.197201	6	214407128.94079372	RNA+DEPC	3.04	0.12	C259H324N102O190P26	3.2
1448.528409	6	95732864.19457553	RNA+DEPC+H2O-CO	-0.23	0.07	C258H326N102O190P26	0.9
1426.022113	6	29673072.68	RNA+DEPC+H2O-CO-A	1.72	0.45	C253H321N97O190P26	12.1
1430.018007	6	85108936.89050166	RNA+DEPC+H2O-CO-C	-2.46	0.26	C254H321N99O189P26	5.2
1423.350981	6	26384084.256685436	RNA+DEPC+H2O-CO-G	-2.01	0.12	C253H321N97O189P26	0.4
1445.52142	6	226460944.35132062	RNA+DEPC+H2O-CO-H2O	-3.85	0.22	C258H324N102O189P26	9.2
1428.687526	6	80635615.53970274	RNA+DEPC-C-H2O	2.59	0.2	C255H317N99O188P26	2.7
1425.018015	6	55161485.547662765	RNA+DEPC-G	0.08	0.21	C254H319N97O189P26	2.0
1422.010373	6	27936277.819958907	RNA+DEPC-G-H2O	-4.05	0.33	C254H317N97O188P26	3.4
1447.188317	6	145372353.66461477	RNA+DEPC-H2O	-1.88	0.12	C259H322N102O189P26	2.2
1415.678962	6	447841506.24192744	RNA-A	-0.87	0.05	C251H315N97O188P26	3.3
1413.013869	6	178264823.5227501	RNA-G	-0.36	0.08	C251H315N97O187P26	1.8
1108.160115	1	22458325.65	a04-G	-0.41	0.09	C34H42N13O24P3	0.2
1414.183758	1	7265267.141618203	a05-G	-1.5	0.13	C43H53N15O32P4	0.1
859.11486	2	5921172.22	a06-G	5.72	0.43	C52H65N18O39P5	2.0
1031.634813	2	40560311.65	a07-A	1.12	0.07	C62H77N23O46P6	0.4
1184.15706	2	15487623.727207286	a08-A	2.33	0.11	C71H89N26O53P7	0.2
1348.683395	2	36384121.43	a09-A	2.1	0.06	C81H101N31O59P8	0.3
898.785571	3	16472697.38	a09-A	1.06	0.18	C81H101N31O59P8	0.5
1407.848655	3	17259206.229384296	a14-A	4.18	0.05	C126H159N44O96P13	0.1
1402.50962	3	159323368.6	a14-G	-1.08	0.14	C126H159N44O95P13	2.9
1517.526167	3	47151505.92060926	a15-G	-0.51	0.21	C136H171N49O102P14	1.7
1632.536877	3	43672920.75557313	a16-G	-3.6	0.13	C146H183N54O109P15	0.7
1747.55016	3	19645736.06	a17-G	-4.81	0.39	C156H195N59O116P16	4.4
