spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0503_2x_134_7.csv
limit_error:	6.5	2020-03-26
noise_limit:	1890000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
1251.739776	7	38882328443.0	RNA+2DEPC+H2O-CO	-0.9	0.03	C261H330N102O192P26	277.7
1238.58631	7	1014496416.0	RNA+2DEPC+H2O-CO-2Eth	0.19	0.02	C257H318N102O190P26	6.6
1219.292907	7	44964644.0	RNA+2DEPC+H2O-CO-2Eth-A	0.27	0.09	C252H313N97O190P26	0.6
1216.723276	7	27937492.0	RNA+2DEPC+H2O-CO-2Eth-A-H2O	2.99	0.22	C252H311N97O189P26	1.3
1220.149546	7	13380601.0	RNA+2DEPC+H2O-CO-2Eth-C-H2O	-0.22	0.44	C253H311N99O188P26	5.8
1217.009565	7	118701474.0	RNA+2DEPC+H2O-CO-2Eth-G	1.62	0.07	C252H313N97O189P26	1.3
1214.439895	7	58833922.0	RNA+2DEPC+H2O-CO-2Eth-G-H2O	4.31	0.12	C252H311N97O188P26	1.0
1236.020046	7	143202067.0	RNA+2DEPC+H2O-CO-2Eth-H2O	5.59	0.04	C257H316N102O189P26	1.1
1232.446481	7	946130059.0	RNA+2DEPC+H2O-CO-A	-0.75	0.03	C256H325N97O192P26	6.8
1235.877351	7	361125627.0	RNA+2DEPC+H2O-CO-C	-0.18	0.04	C257H325N99O191P26	2.9
1233.303301	7	68571119.0	RNA+2DEPC+H2O-CO-C-H2O	-1.08	0.22	C257H323N99O190P26	3.3
1245.161972	7	16358536526.0	RNA+2DEPC+H2O-CO-Eth	-1.22	0.03	C259H324N102O191P26	116.8
1225.870374	7	568742373.0	RNA+2DEPC+H2O-CO-Eth-A	0.31	0.03	C254H319N97O191P26	4.1
1226.727525	7	28860698.0	RNA+2DEPC+H2O-CO-Eth-C-H2O	0.24	0.17	C255H317N99O189P26	0.8
1223.585382	7	1612196890.0	RNA+2DEPC+H2O-CO-Eth-G	0.31	0.01	C254H319N97O190P26	9.4
1221.011942	7	85492041.0	RNA+2DEPC+H2O-CO-Eth-G-H2O	-0.1	0.13	C254H317N97O189P26	1.7
1242.590388	7	410774198.0	RNA+2DEPC+H2O-CO-Eth-H2O	-0.13	0.08	C259H322N102O190P26	4.8
1230.161501	7	2143597412.0	RNA+2DEPC+H2O-CO-G	-0.74	0.04	C256H325N97O191P26	16.9
1227.590127	7	241139104.0	RNA+2DEPC+H2O-CO-G-H2O	0.53	0.06	C256H323N97O190P26	2.3
1249.167587	7	631728904.0	RNA+2DEPC+H2O-CO-H2O	-0.3	0.02	C261H328N102O191P26	4.1
1242.877635	7	170601016.0	RNA+DEPC	-0.7	0.2	C259H324N102O190P26	6.7
1241.458854	7	60871379.0	RNA+DEPC+H2O-CO	5.39	0.12	C258H326N102O190P26	1.1
1222.161295	7	78384915.0	RNA+DEPC+H2O-CO-A	2.15	0.09	C253H321N97O190P26	1.0
1219.582733	7	9141406.0	RNA+DEPC+H2O-CO-A-H2O	-2.46	0.21	C253H319N97O189P26	0.4
