m/z,z,I,Res.
205.64838,,3688865,253180
206.88367,,4087830,229940
207.72934,,3860468,360938
209.15216,,3839372,370398
209.2826,,4250117,359689
210.99609,,4570066,352181
215.69297,,3625502,348480
216.93112,,4157596,387963
217.42549,,4517773,255571
217.91649,,3936949,315806
218.13661,,3628167,248513
218.43256,,4067369,306705
218.86527,,3959862,326403
219.03722,,4224577,363911
219.18908,,3675207,275187
220.40389,,3850696,285177
220.81213,,4029307,327884
222.91928,,3839391,390255
224.64392,,3738153,275417
224.85798,,3667971,222306
225.3419,,4964426,307185
227.1969,,3725025,332140
227.24949,,3929978,267585
228.09061,,3812426,380925
229.31872,,3633279,311535
229.73564,,3674270,302315
229.92618,,3628264,341943
230.722,,3694821,335776
230.81122,,3736325,293687
231.13739,,3679545,402794
231.53739,,4649317,215378
231.57013,,3700989,367216
232.01906,,4082058,305187
232.06761,,3679288,368654
232.76011,,3837215,314425
234.7121,,3678824,344732
235.7314,,3693882,192602
236.77315,,3857073,161233
236.81683,,4805385,138387
236.93201,,3660269,284944
238.43756,,3743316,209229
238.78536,,3900875,244986
238.96343,,3789340,290796
243.13019,,3994933,372777
243.85003,,3846922,334745
245.32851,,3767130,308535
246.24335,,4017518,178166
246.60303,,3624710,218853
246.8708,,3930211,258975
249.46887,,3688871,180366
250.01941,,3785215,306779
251.61245,,3898564,337064
252.16745,,4168506,317139
252.50795,,3627941,220192
252.90986,,4151076,334605
252.9718,,3746355,273061
253.04922,,3789599,172990
253.21904,,3941206,340308
253.71645,,3787093,272818
253.84413,,3992150,99182
254.41212,,4277062,318662
254.53675,,3709107,330712
254.6092,,3690876,229341
255.85041,,3946201,112127
256.82037,,3819730,348829
257.55064,,3645518,224629
257.96412,,3743377,329899
258.27609,,3755587,309736
258.63488,,4317573,156046
260.61655,,3772628,336597
260.90579,,3726066,298847
261.08782,,4013440,238445
261.70736,,3788150,278564
261.96723,,4142344,252321
261.98207,,3641054,320393
264.53943,,3845435,218696
264.67328,,3841396,302507
268.24595,,3813992,221051
268.52774,,3779658,327650
268.95546,,3937655,181749
269.57894,,4394763,277814
269.99743,,4141866,257023
270.80862,,4063285,317542
271.73524,,3618594,290941
272.24444,,4454280,259154
273.93254,,3618286,181833
274.75743,,4355685,247287
275.53225,,3878581,239096
276.32206,,3883179,257473
276.36185,,4410351,256042
280.4218,,4119931,228898
280.96979,,4256775,204929
281.33797,,4588430,282535
281.55524,,3721727,199260
281.56643,,4019525,333534
281.5986,,4244306,252218
281.74584,,3682674,275678
282.63188,,3727955,255267
282.76459,,3700709,267489
283.63447,,3925971,188418
284.01147,,3754197,235896
284.75064,,3686779,278769
286.04089,,3661182,314113
286.72713,,3613086,248574
287.74659,,4121233,233464
287.78868,,3813102,250785
288.43358,,3859637,212719
289.1446,,3786697,110006
289.74446,,3926487,311376
289.91808,,4042057,151113
290.86579,,3657358,99889
290.90216,,4409915,202388
290.91414,,3637396,158136
291.57159,,3798328,279117
291.81993,,3692102,339289
293.00001,,3894338,232448
293.33916,,3784203,254906
293.73244,,3841728,260501
294.11404,,3968439,329008
294.18157,,4330371,272992
294.27376,,4125269,185542
295.92123,,3819018,331001
296.16162,,3714653,383032
296.49857,,3989082,224825
297.00781,,3873407,215378
297.60658,,4032177,241010
297.98547,,3803590,211849
298.84036,,4067448,220271
299.21886,,3795191,288600
299.61263,,3896919,243559
299.6733,,3707293,193386
299.97353,,4487641,272941
300.03224,,3636887,239502
302.25325,,3646159,255845
302.31198,,3945757,275472
302.76325,,4016834,270321
303.06677,,3662459,254645
303.23725,,3982983,286142
304.42789,,3926224,227714
305.36417,,3702532,247715
306.07336,,3705678,252283
306.35438,,3864380,315192
307.06423,,3617209,157664
307.27921,,4008329,189086
307.97224,,4213370,249928
308.59502,,5832829,297694
308.61482,,12353341,266852
308.63464,,21699262,266847
308.65452,,22707006,263741
308.67444,,23405502,261464
308.69443,,19856958,267312
308.71451,,14500670,285359
308.73463,,11131966,292270
308.75477,,5824447,306635
308.93294,,3736720,73423
308.93925,,3898264,187575
309.58622,,4005575,233919
309.90772,,4114571,199306
311.09635,,3648785,209542
311.5642,,3683755,276711
314.67404,,3858148,190793
314.77498,,3787737,208747
314.87734,,3792733,257454
315.55682,,4054109,269544
315.73428,,3696406,229746
316.0854,,3785496,269267
316.59021,,3621411,224173
316.92994,,3864359,134557
316.94661,,3697407,172505
317.77695,,3795754,179137
318.0539,,3935452,220446
318.15173,,3754770,231429
318.23995,,4264824,220193
318.46105,,3621015,217591
318.83229,,3901073,188831
319.41462,,3752651,195981
320.32192,,4957297,210453
321.1505,,4030775,172570
321.31618,,3650357,250535
321.57782,,3750892,235054
321.89216,,3736169,227018
322.06874,,3707913,285196
322.42619,,3618923,268427
322.7993,,3648367,229093
322.88807,,3735511,230585
323.51106,,3651094,248544
323.56853,,3807388,219496
324.61085,,3806300,226502
324.91862,,3727023,239886
325.12639,,3723991,84671
325.50637,,3693939,183691
325.85405,,3869980,169472
