spectrum:	/users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0512_10g3.csv
limit_error:	6
noise_limit:	2500000.0
shape_limit:	0.7
stddev_limit:	0.7

Observed fragments: 
m/z 	z 	I 	fragment 	error 	std-dev 	formula 
1517.192907	10	271041611.6	RNA	-0.83	0.17	C449H554N182O329P46	
1542.310937	10	91988599525.22	RNA+CMCT	-2.08	0.02	C463H579N185O330P46	
1909.016097	8	15484705.85	RNA+CMCT-A-H2O	2.47	0.64	C458H572N180O329P46	
1696.792742	9	45578416.37	RNA+CMCT-A-H2O	3.34	0.32	C458H572N180O329P46	
1527.012042	10	5941312140.78	RNA+CMCT-A-H2O	2.88	0.18	C458H572N180O329P46	
1697.01552	9	56622913.43	RNA+CMCT-G	2.64	0.17	C458H574N180O329P46	
1527.212298	10	6807727858.27	RNA+CMCT-G	2.02	0.02	C458H574N180O329P46	
1525.410923	10	318001824.07	RNA+CMCT-G-H2O	1.82	0.12	C458H572N180O328P46	
1540.516883	10	2017398270.95	RNA+CMCT-H2O	2.46	0.06	C463H577N185O329P46	
1502.086015	10	29970935.11	RNA-G	-2.14	0.38	C444H549N177O328P46	
1515.402116	10	238057986.75	RNA-H2O	5.94	0.17	C449H552N182O328P46	
803.11802	1	7781475.66	a03-G	-1.58	0.25	C25H30N10O17P2	
1557.859238	3	17171964.11	a15-G	-1.19	0.44	C139H170N54O103P14	
1513.501429	4	50938111.42	a18+CMCT	6.49	0.54	C187H236N75O125P17	
1412.935191	4	15808333.42	a18-G	4.16	0.36	C168H206N67O123P17	
1536.957471	4	23967354.79	a19	2.57	0.58	C183H223N77O131P18	
1279.596828	5	22733046.0	a19+CMCT	-3.51	0.35	C197H248N80O132P18	
1043.663487	6	11036422.07	a19+CMCT-A	5.77	0.45	C192H243N75O132P18	
1503.18589	4	15936179.58	a19-A	-2.67	0.51	C178H218N72O131P18	
1337.169334	5	22925644.2	a21-A	-0.84	0.36	C198H242N82O144P20	
1061.560859	7	11773964.58	a23	-2.26	0.57	C221H269N91O160P22	
1536.823256	5	38904330.82	a23+CMCT	-5.32	0.43	C235H294N94O161P22	
1506.618393	5	14945017.22	a23+CMCT-G	-2.09	0.57	C230H289N89O160P22	
1547.596781	5	50816198.18	a24	-1.91	0.35	C230H281N94O167P23	
1520.587363	5	24266615.08	a24-A	-0.97	0.39	C225H276N89O167P23	
1517.393929	5	175072170.04	a24-G	2.69	0.13	C225H276N89O166P23	
1069.499654	8	11761694.87	a27-A	-4.57	0.45	C253H311N99O189P26	
1708.621531	5	14690015.85	a27-G	5.19	0.53	C253H311N99O188P26	
1516.380667	6	21502358.11	a28+CMCT-G	-1.44	0.6	C276H348N105O196P27	
1309.729894	7	14991847.87	a29-A	-0.11	0.43	C271H334N104O204P28	
1525.521835	6	79748452.15	a29-G	0.92	0.35	C271H334N104O203P28	
914.90819	10	14619780.75	a29-G	-1.27	0.46	C271H334N104O203P28	
1237.302836	8	14955934.9	a30+CMCT	1.82	0.41	C300H376N117O212P29	
1627.561251	6	14155615.71	a30+CMCT-A	0.29	0.61	C295H371N112O212P29	
1138.052049	9	12192607.01	a31+CMCT	2.31	0.52	C310H388N122O219P30	
1299.680721	8	13771911.36	a32+CMCT-G	0.17	0.52	C314H395N120O225P31	
2190.276197	5	18126914.62	a34	-0.66	0.44	C324H398N129O240P33	
1580.790082	7	19783167.08	a34+CMCT-A	1.06	0.42	C333H418N127O241P33	
1349.671632	8	14037923.93	a34-G	5.2	0.43	C319H393N124O239P33	
1389.915976	8	12244208.6	a35-A	-0.84	0.53	C328H404N126O248P34	
1850.893785	6	20716136.16	a35-G	0.53	0.44	C328H404N126O247P34	
1110.135635	10	22805840.64	a35-G	2.58	0.51	C328H404N126O247P34	
