m/z,z,I,Res.
210.99609,,4570066,352181
217.42549,,4517773,255571
225.3419,,4964426,307185
231.53739,,4649317,215378
236.81683,,4805385,138387
258.63488,,4317573,156046
269.57894,,4394763,277814
272.24444,,4454280,259154
274.75743,,4355685,247287
276.36185,,4410351,256042
281.33797,,4588430,282535
290.90216,,4409915,202388
294.18157,,4330371,272992
299.97353,,4487641,272941
308.59502,,5832829,297694
308.61482,,12353341,266852
308.63464,,21699262,266847
308.65452,,22707006,263741
308.67444,,23405502,261464
308.69443,,19856958,267312
308.71451,,14500670,285359
308.73463,,11131966,292270
308.75477,,5824447,306635
320.32192,,4957297,210453
340.90599,,4426556,257160
343.1749,,4325695,221467
346.94128,,4541834,195298
366.85312,,4417977,146999
374.07897,,4341218,241684
374.47287,,4334026,174736
378.53395,,4449063,165549
383.11069,,4564908,157843
387.96865,,4459889,231799
388.61911,,4579582,140891
388.9395,,4426650,69919
397.28455,,4575911,164970
403.49606,,4518015,191586
404.33182,,4454015,175762
406.9551,,5027345,213079
408.62964,,4625103,135177
410.62858,,4872920,177256
413.43438,,4799308,169666
413.79997,,5005038,181485
414.93952,,4510116,136297
418.07121,,4950921,135101
423.03551,,4704467,162640
430.76946,,4747692,163692
431.18314,,4413880,167393
433.64299,,4818498,153993
439.32156,,4521566,161572
445.95925,,4742080,177641
448.23908,,4666043,157153
452.53854,,4972501,68088
453.4005,,5355551,117554
455.44261,,4538590,136344
455.55375,,4450798,173169
458.48326,,4482196,142602
458.49383,,4510050,177791
460.65394,,4524866,214033
462.2874,,4658497,167566
463.22661,,4427756,103704
468.3635,,4473873,119656
468.48242,,5203284,103987
475.16865,,5269772,120364
477.28032,,4558599,169045
478.98765,,4968855,114151
486.40125,,5142296,104283
489.55842,,4869937,174241
490.09022,,4639182,54486
491.16888,,4546402,138525
491.63984,,4476775,153811
494.36216,,4487680,115902
495.02004,,4503689,123507
497.36326,,4637418,171772
498.2733,,5104481,87080
498.82693,,4840567,176943
501.79538,,5066735,154733
506.77949,,4558647,115332
507.08588,,5451931,140155
512.67944,,4502313,157421
513.67365,,4806055,87998
514.28506,,10093887,129396
514.38531,,12306401,220946
514.41862,,15719446,207329
514.45182,,12074060,225655
519.13964,,4579646,174364
519.44224,,4951083,102742
524.97447,,4966058,151170
525.14699,,5084679,124102
533.39647,,4619461,149991
536.57933,,5068093,154508
537.5582,,4674230,152186
538.03727,,4821283,127543
541.08042,,4984153,130416
547.11879,,5845252,148130
549.00262,,4643251,69232
550.07865,,5060598,85027
552.83292,,4933338,142305
558.41395,,4789140,139176
558.76042,,4645746,102802
558.85709,,4700954,155781
560.14838,,4606703,138450
560.69354,,4871050,93637
563.35091,,4828579,110971
563.74855,,5328158,92021
564.1922,,4681450,89917
567.38634,,4715687,139735
570.21111,,5282983,143041
576.89756,,4666559,132152
578.33475,,6131325,98672
579.67666,,5039315,111781
583.13152,,5303655,138652
588.79457,,5586038,115268
590.10256,,6056732,147213
591.81507,,4789209,111030
591.82968,,4938356,88744
592.77693,,4694806,125276
592.80206,,5090882,40185
593.29281,,4647027,145407
593.74517,,5123102,120988
595.0853,,4733569,134827
595.46483,,4640426,137907
598.46075,,4916267,132978
604.76777,,4889961,114408
605.68876,,4882271,127626
607.45749,,4839431,112581
607.79889,,4813868,94309
608.66896,,4674054,125078
612.377,,4796934,106218
612.83425,,4710203,107114
613.33753,,4788801,112819
617.45039,,4735697,138873
619.43516,,5402676,117651
619.56891,,4789923,115467
621.22694,,4767163,108975
622.68347,,4827624,60872
622.94855,,6019394,107982
624.29266,,4726501,82895
627.64436,,4806788,105312
630.29332,,5504244,104830
631.50012,,4818521,160442
635.19443,,5097212,112897
635.52536,,4824007,179724
637.46462,,4897076,109064
638.34469,,5140938,119266
638.94344,,5262061,131753
639.90927,,4882456,121398
640.0341,,5010676,129965
640.55253,,4958792,105491
642.40914,,5105941,93820
647.21403,,4795925,62344
652.14034,,4876221,103702
652.5378,,4848305,132599
652.63715,,4818590,103458
657.17135,,4864868,112122
662.72571,,5288787,97757
662.94116,,5671301,84671
665.56579,,4969495,149509
668.81866,,4790211,84442
669.57604,,11477706,107537
670.07657,,5099676,127039
670.31976,,5642873,101420
670.5792,,4777457,145990
673.25904,,4997351,103274
673.38957,,4799939,111273
673.45985,,4946553,119870
677.92702,,4822344,125058
678.23448,,5404746,119297
679.44322,,4964652,123339
679.73755,,5114902,106342
680.05384,,5273317,103194
681.71708,,5485490,85311
681.80826,,5154313,114300
683.17675,,5513188,123868
686.35962,,4952291,109605
686.40639,,5486448,101410
686.89099,,5048140,116439
688.48119,,4994361,92517
689.08748,,23946712,115400
690.09013,,5433660,129492
692.30975,,5001303,130477
693.69571,,4887835,129924
696.22159,,5016774,99910
696.8611,,5132682,101111
697.76726,,5369144,102600
698.43878,,5267436,102950
698.55101,,4857760,62661
699.57353,,5226499,118635
703.14085,,4931374,113722
706.13233,,5412068,65074
706.83004,,5877869,106256
709.09128,,4980806,118852
709.5062,,4907727,143421
711.32263,,5023328,149894
711.74106,,5181866,82886
712.33952,,4949644,117919
712.49716,,4897154,106228
713.14963,,5163317,83955
713.23785,,4924798,115311
713.70578,,4888403,128946
716.49719,,5672486,103185
717.59573,,5513406,115732
718.12241,,5299686,70999
719.77444,,12728133,108730
719.90211,,5318920,96093
720.10936,,10114116,102874
720.12008,,5625044,156387
722.88708,,5218501,107256
725.64754,,5221521,101642
726.71337,,5270612,118060
727.95174,,5081431,83305
728.88097,,5028358,102883
731.14926,,5230908,94469
732.22311,,5566712,65395
733.86301,,5119220,86378
734.09559,,4954508,94669
735.79157,,5630224,94917
737.50438,,5526371,109716
738.69996,,5191608,67526
743.11557,,19120842,119440
743.61717,,11720095,121828
743.96388,,5296403,93332
744.34016,,5076786,115378
747.81874,,5555508,97700
748.07504,,4964387,101179
749.08616,,5053381,111965
751.745,,6072070,133619
753.42302,,5701769,90315
753.60185,,5423685,95766
754.24187,,5791114,74416
756.42541,,4914115,113349
756.85451,,5122332,82978
757.97282,,4945461,48654
758.28897,,5232109,93615
760.53552,,5496223,100859
760.71987,,5404062,115220
761.32448,,6566434,64447
765.21245,,6695880,91129
767.52542,,4923165,102414
768.60704,,4979484,86392
768.84412,,5102238,102672
770.41484,,4981356,116861
771.34965,,7572570,93172
771.40026,,6803485,125058
771.44981,,8146272,111190
771.49945,,7579300,83709
771.55097,,10228200,134845
771.58814,,5266715,98471
771.60021,,5075499,117583
771.62157,,9508423,116638
771.65055,,6857583,129025
771.67137,,5176715,137610
771.72063,,5484365,103527
771.77165,,5886225,113452
771.81846,,5630865,78559
772.06679,,5015199,99113
772.9763,,5135813,61128
773.51806,,5355452,110602
775.60442,,4959585,93258
778.29168,,5391827,78691
778.54696,,5170789,134865
781.06452,,5045468,88235
781.13445,,5277752,111987
784.79896,,5205616,79723
785.03857,,5784231,67511
786.25351,,5054289,113573
786.3675,,5613156,121554
786.61939,,8031147,120717
