spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0512_10g_3_3p2.csv
limit_error:	6
noise_limit:	3200000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 
1517.192907	10	247718186.84826893	RNA	-0.83	0.17	C449.0H551.0N182.0O331.0P47.0	
1542.310937	10	91988599525.22	RNA+CMCT	-2.08	0.02	C463.0H576.0N185.0O332.0P47.0	
1696.793898	9	20419424.332636327	RNA+CMCT-A-H2O	4.02	0.33	C458.0H569.0N180.0O331.0P47.0	
1697.016678	9	38979097.28619659	RNA+CMCT-G	3.32	0.22	C458.0H571.0N180.0O331.0P47.0	
1527.212298	10	6807727858.27	RNA+CMCT-G	2.02	0.02	C458.0H571.0N180.0O331.0P47.0	
1525.411973	10	306923377.25341654	RNA+CMCT-G-H2O	2.5	0.11	C458.0H569.0N180.0O330.0P47.0	
1540.516883	10	2017398270.95	RNA+CMCT-H2O	2.46	0.06	C463.0H574.0N185.0O331.0P47.0	
1502.086015	10	23249266.40406827	RNA-G	-2.14	0.38	C444.0H546.0N177.0O330.0P47.0	
1515.402116	10	121173268.66382502	RNA-H2O	5.94	0.17	C449.0H549.0N182.0O330.0P47.0	
803.11802	1	7781475.66	a03-G	-1.58	0.25	C25.0H30.0N10.0O17.0P2.0	
891.76443	3	14782753.49	a09-G	-0.51	0.26	C80.0H98.0N26.0O63.0P8.0	
1536.957471	4	23967354.79	a19	2.57	0.58	C183.0H223.0N77.0O131.0P18.0	
1279.596828	5	13662632.312123481	a19+CMCT	-3.51	0.35	C197.0H248.0N80.0O132.0P18.0	
1337.169334	5	22925644.2	a21-A	-0.84	0.36	C198.0H242.0N82.0O144.0P20.0	
1547.59624	5	34014215.93601868	a24	-2.26	0.3	C230.0H281.0N94.0O167.0P23.0	
1520.587363	5	24266615.08	a24-A	-0.97	0.39	C225.0H276.0N89.0O167.0P23.0	
1525.524563	6	41164159.514928766	a29-G	2.71	0.5	C271.0H334.0N104.0O203.0P28.0	
1850.893785	6	13246790.429536087	a35-G	0.53	0.44	C328.0H404.0N126.0O247.0P34.0	
1524.465343	8	41533689.679117866	a37+CMCT	2.99	0.41	C367.0H458.0N144.0O263.0P36.0	
1556.443527	8	23136784.42347123	a39-G	0.49	0.3	C368.0H452.0N146.0O273.0P38.0	
1545.638751	9	83933672.03487806	a43	-0.96	0.21	C412.0H504.0N168.0O301.0P42.0	
2001.842483	7	16875138.61	a43+CMCT-G	-2.11	0.43	C421.0H524.0N166.0O301.0P42.0	
1528.857666	9	2453441618.61	a43-G	0.46	0.31	C407.0H499.0N163.0O300.0P42.0	
1582.206308	9	18356461.210520934	a44	2.96	0.36	C422.0H516.0N173.0O307.0P43.0	
1677.891407	9	20584358.7	a46+CMCT	-4.92	0.44	C454.0H565.0N182.0O322.0P45.0	
689.087543	1	31567669.29	c02	-0.07	0.05	C20.0H24.0N10.0O14.0P2.0	
538.03727	1	5754596.97	c02-G	-1.7	0.16	C15.0H19.0N5.0O13.0P2.0	
1034.134793	1	39657477.65	c03	-0.23	0.09	C30.0H36.0N15.0O21.0P3.0	
1340.15854	1	13190204.57	c04	-1.34	0.16	C39.0H47.0N17.0O29.0P4.0	
669.575649	2	19555964.24	c04	-1.31	0.05	C39.0H47.0N17.0O29.0P4.0	
822.589294	2	60249681.7	c05	0.14	0.06	C48.0H58.0N19.0O37.0P5.0	
975.110644	2	94230321.64	c06	0.84	0.08	C57.0H70.0N22.0O44.0P6.0	
1128.122064	2	79921207.57	c07	-0.36	0.1	C66.0H81.0N24.0O52.0P7.0	
1281.136648	2	112551650.99	c08	1.19	0.04	C75.0H92.0N26.0O60.0P8.0	
853.754534	3	104860445.46	c08	0.25	0.04	C75.0H92.0N26.0O60.0P8.0	
1453.662648	2	36659409.63	c09	2.62	0.12	C85.0H104.0N31.0O67.0P9.0	
968.770795	3	167327021.27	c09	0.68	0.04	C85.0H104.0N31.0O67.0P9.0	
1308.48477	3	201627091.45	c12	-0.89	0.02	C115.0H140.0N46.0O87.0P12.0	
1423.499233	3	51809001.08	c13	-1.76	0.2	C125.0H152.0N51.0O94.0P13.0	
1525.183037	3	50683598.32731345	c14	0.57	0.33	C134.0H164.0N54.0O101.0P14.0	
1634.862219	3	48739360.79	c15	-2.52	0.14	C144.0H176.0N59.0O107.0P15.0	
1288.698521	4	131000647.6	c15+CMCT	0.5	0.06	C158.0H201.0N62.0O108.0P15.0	
1312.162285	4	49420719.17	c16	1.9	0.11	C154.0H188.0N64.0O114.0P16.0	
1851.560903	3	19930097.717071377	c17	-0.91	0.42	C163.0H200.0N67.0O121.0P17.0	
1470.685121	4	75858459.52	c18	1.27	0.16	C173.0H212.0N72.0O127.0P18.0	
1556.947771	4	58577666.29570893	c19	1.71	0.1	C183.0H224.0N77.0O134.0P19.0	
1245.353037	5	193968200.43	c19	-1.28	0.05	C183.0H224.0N77.0O134.0P19.0	
1314.364946	5	30807138.7	c20	0.63	0.27	C193.0H236.0N82.0O141.0P20.0	
1750.512381	4	25846481.91	c21+CMCT-G	2.68	0.39	C212.0H268.0N85.0O147.0P21.0	
1801.972301	4	18661804.42	c22	-2.29	0.41	C212.0H259.0N89.0O155.0P22.0	
1502.589578	5	9825871.872634498	c23	3.22	0.54	C221.0H270.0N91.0O163.0P23.0	
1251.986964	6	174548001.95	c23	0.71	0.03	C221.0H270.0N91.0O163.0P23.0	
1552.831383	5	31155186.32	c23+CMCT	4.31	0.35	C235.0H295.0N94.0O164.0P23.0	
1293.851146	6	105188780.82	c23+CMCT	-1.2	0.09	C235.0H295.0N94.0O164.0P23.0	
1302.824955	6	65389013.73	c24	-1.02	0.13	C230.0H282.0N94.0O170.0P24.0	
2017.545891	4	56038801.33	c24+CMCT	1.43	0.26	C244.0H307.0N97.0O171.0P24.0	
1344.69269	6	110949492.17	c24+CMCT	-0.17	0.08	C244.0H307.0N97.0O171.0P24.0	
1402.200505	6	35099012.79	c25+CMCT	-0.23	0.18	C254.0H319.0N102.0O178.0P25.0	
1453.209672	6	31205391.37	c26+CMCT	3.19	0.37	C263.0H330.0N104.0O186.0P26.0	
1504.049269	6	32677453.2	c27+CMCT	2.67	0.26	C272.0H342.0N107.0O193.0P27.0	
1289.03569	7	15955379.1	c27+CMCT	-1.6	0.45	C272.0H342.0N107.0O193.0P27.0	
1296.729596	7	31938236.44	c28	0.16	0.18	C267.0H329.0N107.0O199.0P28.0	
1332.614983	7	52450463.36	c28+CMCT	-0.07	0.11	C281.0H354.0N110.0O200.0P28.0	
1564.023816	6	17252615.969460063	c29	0.49	0.43	C276.0H340.0N109.0O207.0P29.0	
1340.445338	7	63999155.791862085	c29	-1.46	0.14	C276.0H340.0N109.0O207.0P29.0	
1927.271924	5	57222965.77	c29+CMCT	1.48	0.11	C290.0H365.0N112.0O208.0P29.0	
1376.332243	7	97385283.14	c29+CMCT	-0.53	0.07	C290.0H365.0N112.0O208.0P29.0	
1538.84497	6	55997890.64	c29-G	-2.07	0.43	C271.0H335.0N104.0O206.0P29.0	
1389.741227	7	45065152.35	c30	1.04	0.3	C286.0H352.0N114.0O214.0P30.0	
1996.278219	5	28330416.46	c30+CMCT	-0.17	0.31	C300.0H377.0N117.0O215.0P30.0	
1425.627073	7	105334874.99	c30+CMCT	1.13	0.05	C300.0H377.0N117.0O215.0P30.0	
1439.030153	7	30356627.04	c31	-1.48	0.26	C296.0H364.0N119.0O221.0P31.0	
1474.916129	7	28590053.2	c31+CMCT	-1.24	0.37	C310.0H389.0N122.0O222.0P31.0	
1482.604819	7	24663898.66	c32	-3.23	0.39	C305.0H376.0N122.0O228.0P32.0	
1771.749499	6	18534304.26	c32+CMCT	2.14	0.44	C319.0H401.0N125.0O229.0P32.0	
1518.49495	7	56934108.59689246	c32+CMCT	-0.22	0.25	C319.0H401.0N125.0O229.0P32.0	
2187.508361	5	89039749.19	c33+CMCT	3.2	0.15	C328.0H412.0N127.0O237.0P33.0	
1822.754026	6	102959905.2	c33+CMCT	2.25	0.16	C328.0H412.0N127.0O237.0P33.0	
1562.213828	7	116090497.34	c33+CMCT	0.41	0.07	C328.0H412.0N127.0O237.0P33.0	
1611.504298	7	47737734.72	c34+CMCT	-0.85	0.2	C338.0H424.0N132.0O244.0P34.0	
1931.262814	6	82705447.62028055	c35+CMCT	0.4	0.13	C347.0H435.0N134.0O252.0P35.0	
1655.228615	7	103455654.87	c35+CMCT	3.04	0.11	C347.0H435.0N134.0O252.0P35.0	
1988.764881	6	78031188.31	c36+CMCT	-2.55	0.13	C357.0H447.0N139.0O259.0P36.0	
1704.515168	7	84374278.6	c36+CMCT	-0.53	0.13	C357.0H447.0N139.0O259.0P36.0	
1503.054803	8	33830556.536151424	c37	-1.2	0.33	C353.0H434.0N141.0O265.0P37.0	
2046.276019	6	54447068.72	c37+CMCT	-0.9	0.17	C367.0H459.0N144.0O266.0P37.0	
1534.460311	8	94306636.40192048	c37+CMCT	2.43	0.19	C367.0H459.0N144.0O266.0P37.0	
1575.583316	8	40591360.87	c38+CMCT	-3.06	0.34	C377.0H471.0N149.0O272.0P38.0	
1616.72408	8	65947765.91	c39+CMCT	2.7	0.25	C387.0H483.0N154.0O278.0P39.0	
1894.828499	7	37396787.58	c40+CMCT	-1.35	0.32	C397.0H495.0N159.0O284.0P40.0	
1657.853168	8	110559568.93926306	c40+CMCT	1.14	0.15	C397.0H495.0N159.0O284.0P40.0	
1700.983271	8	119394521.84	c41+CMCT	0.63	0.08	C407.0H507.0N164.0O291.0P41.0	
2243.127243	6	20392704.5	c41+CMCT-G	-4.41	0.49	C402.0H502.0N159.0O290.0P41.0	
1742.11271	8	63354696.47083797	c42+CMCT	-0.61	0.24	C417.0H519.0N169.0O297.0P42.0	
1933.668245	7	16622023.37	c42-G	0.7	0.49	C398.0H489.0N161.0O295.0P42.0	
1582.435875	9	60984381.46325125	c43+CMCT	-0.37	0.17	C426.0H530.0N171.0O305.0P43.0	
1537.737885	9	56966636.18	c43-G	-2.75	0.25	C407.0H500.0N163.0O303.0P43.0	
1652.892024	9	71119060.14	c45+CMCT	0.42	0.25	C445.0H554.0N179.0O318.0P45.0	
1518.001021	10	188829043.8368705	c46+CMCT	-3.01	0.18	C454.0H566.0N182.0O325.0P46.0	
1502.903423	10	18163826.44383471	c46+CMCT-G	1.84	0.41	C449.0H561.0N177.0O324.0P46.0	
947.62532	2	8391862.84	w06	0.22	0.46	C56.0H73.0N21.0O42.0P6.0	
1543.454103	4	273444926.35	w19	3.46	0.49	C182.0H226.0N75.0O133.0P19.0	
1547.799193	5	19280886.895818215	w24	1.5	0.32	C228.0H285.0N91.0O169.0P24.0	
1720.449645	5	35724407.32	w26+CMCT	1.57	0.26	C260.0H332.0N98.0O186.0P26.0	
1766.583843	6	21759911.986496184	w32+CMCT	-1.23	0.36	C319.0H404.0N126.0O226.0P32.0	
1525.194295	7	21713720.032202005	w33	-0.14	0.46	C315.0H391.0N128.0O231.0P33.0	
1561.077823	7	46813416.08	w33+CMCT	-1.51	0.29	C329.0H416.0N131.0O232.0P33.0	
1545.748375	9	56790564.30741483	w43	-0.89	0.23	C410.0H508.0N165.0O303.0P43.0	
1515.803374	10	205960686.4972143	w46+CMCT	-1.76	0.11	C453.0H568.0N180.0O326.0P46.0	
547.11879	1	7112767.4	y02	-1.35	0.18	C18.0H25.0N6.0O12.0P1.0	
852.16124	1	25091363.78	y03	0.5	0.26	C27.0H37.0N9.0O19.0P2.0	
1181.213455	1	32092167.67	y04	0.1	0.1	C37.0H49.0N14.0O25.0P3.0	
590.10256	2	8144964.51	y04	-0.8	0.33	C37.0H49.0N14.0O25.0P3.0	
1487.23881	1	11160271.25	y05	0.11	0.39	C46.0H60.0N16.0O33.0P4.0	
743.115677	2	35283967.48	y05	-0.01	0.13	C46.0H60.0N16.0O33.0P4.0	
907.642048	2	81650875.82	y06	0.12	0.05	C56.0H72.0N21.0O39.0P5.0	
1080.166245	2	99486207.03	y07	0.54	0.08	C66.0H84.0N26.0O46.0P6.0	
1205.767249	2	16236932.2	y07+CMCT	1.42	0.24	C80.0H109.0N29.0O47.0P6.0	
1244.690747	2	56193324.92	y08	-0.94	0.1	C76.0H96.0N31.0O52.0P7.0	
829.458763	3	19238077.2	y08	-0.11	0.24	C76.0H96.0N31.0O52.0P7.0	
1409.221631	2	58544827.29	y09	2.45	0.07	C86.0H108.0N36.0O58.0P8.0	
939.143219	3	41116641.61	y09	0.2	0.16	C86.0H108.0N36.0O58.0P8.0	
1534.819441	2	25255759.21927668	y09+CMCT	0.9	0.47	C100.0H133.0N39.0O59.0P8.0	
1573.742981	2	37635091.58	y10	-0.93	0.14	C96.0H120.0N41.0O64.0P9.0	
1699.34137	2	25666727.64	y10+CMCT	-1.74	0.43	C110.0H145.0N44.0O65.0P9.0	
1746.268958	2	26774563.42	y11	0.46	0.36	C106.0H132.0N46.0O71.0P10.0	
1871.870251	2	27101132.21	y11+CMCT	1.18	0.2	C120.0H157.0N49.0O72.0P10.0	
1278.857628	3	90748528.6409449	y12	-0.94	0.08	C116.0H144.0N51.0O78.0P11.0	
1362.590968	3	19476777.23	y12+CMCT	-0.82	0.31	C130.0H169.0N54.0O79.0P11.0	
1380.86623	3	65269140.92	y13	-0.74	0.05	C125.0H155.0N53.0O86.0P12.0	
1464.596206	3	17908377.77	y13+CMCT	-2.94	0.44	C139.0H180.0N56.0O87.0P12.0	
1495.884744	3	89212716.0	y14	1.12	0.12	C135.0H167.0N58.0O93.0P13.0	
1597.893617	3	66540809.0	y15	1.32	0.08	C144.0H178.0N60.0O101.0P14.0	
1681.624504	3	33843349.9	y15+CMCT	-0.15	0.2	C158.0H203.0N63.0O102.0P14.0	
1547.544181	3	37109757.81065407	y15-G	1.6	0.21	C139.0H173.0N55.0O100.0P14.0	
1699.575392	3	51461641.76	y16	2.04	0.15	C153.0H190.0N63.0O108.0P15.0	
1783.306928	3	19158279.24	y16+CMCT	0.98	0.36	C167.0H215.0N66.0O109.0P15.0	
1814.587968	3	74371267.42	y17	0.12	0.11	C163.0H202.0N68.0O115.0P16.0	
1360.687733	4	18911678.19	y17	-0.92	0.35	C163.0H202.0N68.0O115.0P16.0	
1929.605536	3	63328212.38446607	y18	1.03	0.16	C173.0H214.0N73.0O122.0P17.0	
2013.344518	3	43413001.09	y18+CMCT	3.83	0.16	C187.0H239.0N76.0O123.0P17.0	
1523.458141	4	46603253.95904102	y19	0.64	0.29	C182.0H225.0N75.0O130.0P18.0	
2115.345313	3	16590654.29	y19+CMCT	0.03	0.43	C196.0H250.0N78.0O131.0P18.0	
