m/z,z,I,Res.
207.41471,,4330497,343954
210.54849,,4041621,381682
215.65291,,3957949,358728
217.53035,,4063976,359602
218.11797,,4178418,370322
221.58833,,4082591,316279
222.33526,,3968186,359854
222.79197,,4022748,246781
224.77799,,4201693,199666
227.84297,,4273657,235959
229.56208,,4113139,264007
229.57454,,3972455,220394
232.33181,,3963604,275497
232.81567,,3988085,249439
237.56404,,3978738,294072
238.10977,,3991270,235912
239.59452,,4057148,284020
243.41402,,3935307,296029
243.48217,,3994008,365573
249.77056,,4165914,208824
250.77395,,4062431,198054
252.72815,,4073346,221923
264.48157,,4045606,241043
266.29536,,3957981,305282
266.46938,,4142833,243795
268.81446,,4016810,257440
270.46871,,4252728,297692
271.2284,,4224579,234475
272.82124,,3911945,201117
273.53444,,4085031,193438
274.6597,,4182825,188381
275.9,,4094675,191446
277.4298,,4051232,214875
279.18595,,4180474,255182
280.53739,,10281481,301089
280.55537,,21034950,277872
280.5735,,24041796,270997
280.59161,,24518082,276789
280.60985,,18445696,271924
280.62814,,15461053,280212
280.64652,,7639387,294062
280.66481,,5500761,354809
282.10711,,4685331,261202
283.47658,,4034205,279765
284.49069,,4071358,186885
284.6163,,3998808,276823
284.6746,,4053393,298150
286.44033,,3924916,229438
290.23241,,4211632,275011
292.64036,,3913247,319257
293.61274,,4015906,189839
296.08071,,4057731,314845
296.42558,,4440973,264293
297.13608,,4065626,171738
301.52121,,3997441,232973
302.97832,,4023604,241509
303.66781,,3935539,252679
303.85436,,4171694,175953
306.14026,,4610877,215491
307.89968,,3919369,207449
308.59478,,4171005,172794
308.77469,,4094190,83263
310.31029,,4129844,259202
310.91198,,4744401,278292
312.62997,,4326148,175796
312.84854,,4303380,152548
313.01167,,4082002,199667
313.91283,,3976471,270001
315.73116,,3997340,160668
316.34538,,3994729,229162
317.28477,,4063095,253741
317.30997,,4011065,268487
319.52161,,4424567,214284
322.59427,,3984119,230618
322.59949,,4077112,179956
324.34389,,4363688,262275
325.05034,,4308723,183491
325.59834,,3971181,231991
326.7871,,4678806,219118
328.43036,,4505892,182674
330.61263,,4214827,200504
331.63992,,4105931,284908
333.7136,,4177084,185094
334.15551,,4221034,234724
334.19737,,4497139,254308
334.43209,,4012422,254578
335.87468,,4410010,188857
336.67493,,4379527,109464
337.00569,,3987127,150689
341.40029,,3954677,186285
341.65542,,4039295,171056
342.36474,,4412576,170444
342.76568,,3954617,220364
342.93431,,3981292,210254
344.21562,,3952571,242377
344.28171,,4197072,226215
344.44137,,4256259,139079
345.81652,,4231382,148108
347.3562,,3964824,236180
348.15357,,4198933,225907
348.66615,,4149824,189297
348.91383,,4040300,208532
351.93523,,4317456,161126
351.9774,,3990993,163920
352.633,,4099838,193360
353.00293,,3973016,218146
353.09119,,3938297,123299
353.9444,,3930855,194474
355.10785,,4257891,211561
355.16803,,4226974,173428
355.65877,,4163097,204104
358.36228,,4015272,110684
360.22343,,4474434,174993
360.33578,,4122043,88970
362.67766,,4467750,184888
364.17889,,3937181,239932
365.62087,,4250207,162662
366.67143,,3998355,208722
367.29378,,4632676,192078
369.68228,,4013592,210568
370.07177,,3955405,219539
370.36562,,4305255,209573
370.50231,,4006302,139303
371.42545,,4079406,215481
373.01248,,4125153,191027
373.74203,,4113707,164726
375.94497,,4120119,171378
376.51009,,4207334,166528
378.9802,,4117311,203023
379.96058,,4084792,196123
381.09149,,4269806,178754
382.13355,,3972302,199563
382.31939,,4117342,183854
383.00416,,4073972,220510
383.30733,,4094402,171386
384.75345,,3946848,158489
385.26745,,4078815,248493
385.87309,,4246283,225099
387.37825,,3952804,229936
389.07086,,4453718,75936
391.30145,,4542077,238381
391.92572,,4175874,148348
392.63688,,4471512,157104
394.18237,,3988421,177599
395.18103,,4338004,209763
399.91805,,4404037,194636
401.72831,,4163245,209831
401.86882,,4249175,163057
403.53495,,4231986,217070
403.59455,,4187502,177019
403.67268,,4111677,173267
404.69295,,4119619,196078
405.19224,,4202464,194587
406.03753,,4443586,175160
406.10463,,3988135,140811
406.42951,,4439894,180378
407.79937,,4058182,213011
409.357,,4044016,174959
409.39869,,4018940,133509
409.70679,,4314276,163485
411.37594,,4972131,140600
413.26059,,4210409,142058
414.35852,,4432997,140382
414.87274,,4732513,176675
416.00513,,4061492,150716
416.77364,,4136695,151871
417.00193,,3977978,174634
418.00997,,4084885,137345
419.11555,,4227754,195406
419.52216,,4211200,165550
420.31016,,4186994,161960
421.4766,,5166438,188170
422.06026,,4150869,136839
422.54654,,4115411,212892
424.00235,,4169272,157444
427.75339,,4226845,205074
428.29101,,4153331,154332
429.39295,,4103047,189555
429.89666,,3991386,159124
430.21862,,4115340,179637
432.26188,,4054807,186204
432.35917,,4281042,148905
432.49515,,4108511,135789
432.65389,,4271816,185223
433.38611,,4802764,147963
434.42902,,4030435,206381
434.98521,,4369839,131200
436.67995,,3993730,65303
437.30676,,4381300,176674
437.54192,,4041959,177803
437.97129,,4009050,186606
438.48641,,4224767,132204
438.70785,,5078755,186442
440.2793,,4044804,165939
440.73462,,4922915,116098
442.90744,,4162215,131325
443.12776,,4398640,129941
443.60721,,4119673,186141
445.33344,,4050088,178024
446.25236,,4272341,200932
446.45621,,4599854,183763
446.48831,,4518010,125619
447.03519,,4176492,159236
447.4937,,4110790,156703
448.39626,,4402026,172998
448.82615,,4257408,169097
448.96486,,4030082,167664
449.60069,,4039706,161957
449.97945,,4348109,182230
452.96605,,4167879,180113
452.99331,,4027054,183958
454.17808,,4542760,112229
454.76745,,4196373,180822
455.02339,,4966724,119252
455.89493,,4738603,137370
456.28924,,4490212,137866
456.43721,,4294250,52319
457.44775,,4139187,155154
457.4854,,4553738,135678
457.77436,,4521742,103839
459.84361,,4436959,148641
460.05524,,4891414,156403
460.06721,,4265704,159644
460.13013,,4175876,162695
461.97071,,4195361,131121
462.17446,,4087087,105925
462.76982,,4051843,109290
463.04892,,4526115,235693
463.17489,,4611166,206613
466.61707,,4807114,123434
467.52823,,15238253,202439
467.55859,,17055898,190233
467.589,,18287816,206229
467.64964,,13741861,222109
468.3292,,5407533,281175
468.42281,,4197308,282297
468.43034,,4321351,177807
468.47013,,4392195,124883
469.13539,,4098233,59122
469.40707,,4217752,151789
469.53636,,4112797,152582
470.12548,,4311138,110793
470.65821,,4688979,156806
471.56949,,4101387,132228
473.25474,,4347190,177789
473.51619,,4222475,150202
474.16533,,4157658,127755
475.25486,,4740443,161248
476.32267,,4373472,185745
477.09618,,5134109,150371
479.14314,,4412277,164128
479.2306,,4151871,148030
480.04805,,4231565,142948
480.34863,,4157226,121193
480.90829,,4159619,99530
483.08408,,4086385,71603
483.92759,,4570266,139598
484.31431,,4504486,99232
485.2769,,4160947,153349
485.47414,,4236721,118482
485.9227,,4069284,134087
486.48486,,4232273,66572
488.37807,,4371214,129089
488.51851,,4858802,145973
488.54704,,4271617,111633
489.36456,,4377108,171205
490.44598,,4112442,194607
492.03936,,4131948,159449
492.74565,,4515254,171394
493.06182,,4119166,144795
493.46699,,4099738,216020
493.79911,,4526141,125761
495.17452,,4202974,166867
495.48819,,4517413,168820
496.77548,,4728573,168133
497.60456,,4449249,158010
497.8661,,4597013,155924
499.59795,,4243808,89263
500.02464,,4427819,170995
501.72076,,4457737,127226
506.07647,,4202086,114621
506.39458,,4196386,79032
507.37042,,4322556,124642
507.55337,,4315476,200461
507.80562,,4594305,160080
508.29417,,4125633,181147
508.38314,,4497849,132617
509.28206,,4460759,144525
509.44491,,4939181,152709
510.80242,,4250942,124661
510.94819,,4146648,49317
511.70428,,4141160,94668
511.91511,,4212658,137860
511.9647,,4321223,168262
513.54304,,4815263,104867
516.81821,,4354290,97144
517.01973,,4496655,114973
517.22567,,4544691,153961
517.62487,,4284327,146644
518.63678,,4222657,134088
518.80491,,4244069,182028
518.96974,,4418499,145235
519.28679,,4718506,149853
520.27384,,4199005,161569
520.80758,,4202493,163291
520.99149,,4198206,188048
521.38352,,4453961,105872
522.84465,,4456541,112044
525.67308,,6082479,109617
525.87499,,4161681,115861
527.16482,,4547047,161107
527.66727,,4430681,71870
527.98056,,4288511,129946
529.97947,,4499707,112936
530.10593,,4603802,171719
530.62018,,4248611,160421
533.05761,,4255855,57302
533.45052,,4300837,112796
533.97417,,4147459,113879
534.71031,,4324697,171718
534.99659,,4210387,126686
536.02501,,4980207,95645
536.42794,,4473465,154822
538.36968,,4402796,146555
539.44684,,4692645,117361
539.84939,,4223983,150659
