m/z,z,I,Res.
212.51064,,3335921,347142
251.26052,,3352203,267499
276.08474,,3287057,222287
292.80599,,5962740,232791
292.83891,,15948850,264668
292.87194,,26637744,265408
292.87328,,4131568,477628
292.90521,,21892014,279677
292.9386,,14323884,297754
292.97229,,8273834,360280
292.97351,,3660618,361348
293.00599,,4463144,238518
317.23863,,3284568,177685
317.98959,,3372153,191629
320.06493,,3351623,213356
324.91296,,3803656,285050
333.01419,,3573104,212346
339.93675,,3307741,263249
343.47862,,3436316,216039
344.03912,,6032996,250739
344.73047,,3395856,164728
356.44973,,3321433,163032
364.44841,,3353187,209109
366.0437,,3366884,163626
366.79533,,4152505,163913
367.96271,,3337238,200788
376.83744,,3362632,189653
377.8389,,3447797,150364
388.29436,,3521059,121923
391.24491,,3331568,171601
398.10846,,3432899,192084
398.53441,,3380508,149311
403.51148,,3369338,76874
408.5092,,3390219,218505
413.79193,,3598156,155338
416.1564,,3400360,183553
423.67365,,3717329,146165
428.12037,,3376616,135942
428.49925,,3409107,166386
429.88227,,3669926,145257
430.01603,,3419623,147059
432.18466,,3387818,219310
433.05967,,3626631,120848
438.26442,,3365264,175805
438.46223,,3865626,138039
447.5834,,3390100,131919
458.07091,,4657673,169371
460.8867,,3380015,120642
463.16448,,3554621,112742
463.69832,,3649911,171443
468.39379,,3394191,77672
469.78744,,3392483,178915
470.49645,,3933486,158085
478.00492,,3642906,172903
480.87893,,3557928,125515
481.93433,,4210882,178057
481.99111,,3904073,169900
486.29979,,3618283,148330
487.28231,,3743839,158659
487.32813,,4686425,164276
488.00827,,10155443,92124
488.05603,,25278576,189582
488.06598,,12463484,153483
488.22305,,17392450,203642
489.81366,,3535969,166418
494.4247,,3475970,127004
495.39287,,3533824,106887
496.00937,,3418939,104748
496.30798,,3629404,170939
496.81299,,3473385,139688
498.22132,,3840457,160686
499.8282,,3768754,172426
508.70057,,3452009,134564
509.22049,,3778300,147414
509.30285,,3450954,42679
514.19944,,3960437,111259
514.88111,,3524872,103667
517.69205,,3707056,122164
524.68614,,3573409,166263
525.22961,,3521062,125985
525.2625,,3549299,170729
531.9968,,3702079,108006
532.6733,,3605794,145880
537.51899,,3590080,130395
538.03797,,7205710,137294
540.78949,,3660786,132005
541.44027,,3504505,150408
542.78698,,3893318,74591
543.65272,,3482425,107857
544.67047,,3750207,94366
545.45026,,3966908,145961
547.44674,,3975062,98076
548.10309,,32680808,135265
549.10643,,5552095,163933
552.0665,,3525631,115307
557.01273,,3856730,82755
557.82381,,3689831,180402
558.82102,,3504665,99635
562.98201,,3680017,67348
568.36083,,3648429,135940
571.5812,,3678206,113601
573.76872,,3688425,122185
573.77818,,3563110,108037
574.34494,,4057741,107742
578.25695,,3638549,119271
584.2532,,3795771,99715
584.8874,,3549642,113177
590.4,,3649066,112797
592.11553,,3594627,98313
594.29217,,3718385,154678
598.19712,,3794482,94835
600.27047,,4112541,123519
601.39332,,3565653,182499
604.59007,,3881349,112736
604.77476,,3739583,86184
606.42272,,4095793,110443
606.70091,,3812968,117604
609.24812,,3781260,123872
609.70946,,3663479,133014
610.05902,,6749451,132909
610.59771,,29920478,130496
611.04332,,5860275,140660
611.09941,,12014205,141471
612.98689,,3800727,125826
617.04671,,3674920,105378
617.10521,,3624245,64704
618.50341,,3907052,75174
620.33631,,4087832,100887
627.31778,,4045827,74972
627.47387,,3704557,116178
627.86646,,3668520,141793
628.06958,,15043246,123755
628.35232,,3631003,123798
630.17876,,4131279,56504
632.02541,,3734659,99722
634.71944,,3742310,121270
639.54805,,3917954,66922
641.14219,,3853413,156427
641.3984,,3772515,132639
648.54453,,3813480,108066
648.57014,,3786919,93971
649.08161,,3765043,110066
649.57306,,52037572,119200
650.04215,,4062075,133459
650.06543,,10424344,105818
650.07514,,22995492,126754
650.58136,,6052486,138209
650.70694,,4038844,90593
650.84137,,3843902,110451
651.66467,,3777627,102636
652.2068,,4180901,73384
654.44185,,4180684,107433
655.21147,,3713436,129487
655.34018,,3647925,139292
655.86273,,3759326,120589
662.17081,,3785045,116368
663.45671,,3758807,86587
663.95048,,3755403,118081
664.65082,,3685737,143541
664.81312,,3964514,116260
666.65213,,4037124,97999
667.6731,,4068736,109057
669.23102,,3901902,107245
669.29091,,3891664,81099
670.01212,,4281330,93204
672.48303,,3747608,134356
672.85598,,3748016,93062
676.71235,,4583236,98577
677.92401,,3969555,142620
678.86146,,4234808,100965
681.36035,,4075519,60366
681.59975,,3703994,112186
682.3775,,3985316,94866
682.61472,,4011035,110521
683.54799,,3679330,121692
687.4267,,4077728,125453
688.19943,,4339116,96118
688.28632,,3665859,117372
688.40049,,4083702,121708
689.08742,,42001192,109199
690.02555,,5257425,144365
690.09075,,10889234,111335
691.7255,,4316649,109453
692.30658,,3859109,111608
692.38219,,3913072,81876
695.23399,,3857297,109341
696.58667,,4274668,92753
697.18987,,3807087,124347
697.53328,,3717624,86612
699.40677,,3817136,88382
700.08964,,4420726,109972
702.4275,,3921799,120096
703.3122,,3695103,95283
704.40896,,3723286,65800
705.79699,,3762034,98253
706.4229,,3695086,93648
706.57695,,3948666,100466
706.58931,,20364934,116115
707.09104,,10106447,125392
708.8708,,3754010,103626
711.46528,,4340141,107676
711.5432,,4778099,128816
713.89641,,3710290,112675
716.12679,,3806446,88568
717.38491,,4165359,67782
718.01311,,3749771,119426
719.69319,,4568875,112883
724.15085,,3785947,123516
727.28168,,3882364,105657
729.15179,,4115702,114239
729.45236,,3791466,107739
729.84839,,3762796,103485
731.84727,,5882108,99169
731.88115,,3720663,90354
731.93106,,7084863,106037
731.99792,,4223733,109785
732.01439,,14039938,95727
732.03746,,13892500,106595
732.09738,,11360964,81507
732.12115,,11913688,105396
732.15083,,4352304,100369
732.1687,,4223102,103229
732.18215,,7823625,128580
732.20373,,17307674,98023
732.26408,,6419275,119136
732.28742,,9305437,108546
732.31193,,3839729,110310
732.34842,,4374415,124288
732.3714,,7026849,112191
732.42936,,4056911,71115
732.45478,,5268964,106878
733.02341,,4856939,96251
733.12288,,3923579,78699
734.55065,,4111980,68517
735.40184,,4137807,78711
738.50325,,3786452,83312
739.80498,,4043209,113316
741.08249,,3947493,87262
746.13989,,3951352,110941
746.57132,,7424446,107509
747.07375,,4060728,156335
747.9822,,4019426,109543
748.7866,,3739835,118948
751.68004,,4261279,121222
753.46433,,3898815,126188
753.48468,,4151502,138541
753.99312,,4224323,80887
754.07011,,3766651,98654
755.23781,,3829838,39634
755.8489,,3822539,101226
756.74789,,3782679,116640
760.15221,,4373863,86398
761.636,,4263752,102148
763.11853,,90031328,100132
763.62075,,45014596,102872
764.12178,,18843048,98449
764.62209,,6720264,104431
768.37845,,4094410,69573
768.58988,,3818076,59344
768.76957,,3811161,113369
769.23947,,3995615,61701
772.14545,,4023667,104431
774.27982,,3780136,90427
775.46657,,3868688,94888
775.51786,,3806707,72674
777.39356,,4101098,83088
778.81948,,4415020,116190
780.60786,,4110302,103305
781.01645,,4537392,77755
781.33065,,4324098,75787
784.15461,,3879836,79339
786.13739,,3938687,58351
786.38029,,4356703,103981
787.25345,,3885664,28131
787.32863,,3802257,104261
787.70172,,4016071,35845
790.48316,,4215147,74753
791.55398,,3959399,63117
792.00799,,4314320,106747
792.79689,,4260435,84364
794.09748,,6674850,95678
794.85459,,4163726,100776
798.32934,,3966040,109786
799.6507,,4430829,74149
800.52892,,3943522,72396
800.58875,,4451336,90584
801.0362,,4626089,54715
802.0942,,5034192,102230
802.33031,,4023912,107989
803.10209,,6846040,121216
803.12014,,6090083,104702
803.60328,,4934169,103085
804.02904,,3920809,121651
806.35664,,4145659,84867
806.4964,,3960788,81339
806.6674,,3840385,75863
806.7836,,4338443,56028
806.87419,,3934597,76841
807.12763,,4830695,108988
807.88781,,4850188,83469
808.14805,,4354930,106747
808.72618,,4851555,101685
809.02,,4081566,108640
809.56265,,3926136,99447
811.60483,,4045707,86706
811.83091,,4127259,105350
812.0603,,3848237,62341
812.74337,,3892575,100063
813.24418,,3892061,74839
814.58746,,4463026,87972
814.67475,,4562217,108421
817.08546,,3878498,73350
817.37492,,4050330,61793
819.3867,,3852180,56285
821.97617,,4476476,86344
822.03124,,4427103,108698
822.09741,,87985288,93974
822.59896,,51312072,94817
822.62792,,3916377,120321
822.94825,,4899876,91626
823.09979,,20982020,93500
823.60101,,5147969,117133
826.05016,,4160912,79203
826.14746,,3849102,118969
826.67805,,4168926,94332
827.11491,,16017138,100490
827.44925,,16213958,94513
827.78421,,7961242,114150
828.11763,,6160365,97299
829.00506,,4116256,72246
829.97246,,3992837,85887
832.85071,,4137576,87539
836.31376,,3776834,84502
836.34849,,4359063,69928
838.11543,,4322110,109381
838.32331,,4077378,85554
838.4704,,4334496,87862
839.46983,,4039134,77045
840.0397,,3871114,101830
843.95759,,3920215,62981
844.6114,,3915835,81271
844.98657,,3786092,107530
845.08824,,3961518,63283
845.86518,,3902097,68081
846.47674,,3976619,95906
847.61648,,3863819,111883
848.07434,,4114610,45457
850.62061,,3824418,62641
851.55649,,3891329,118029
852.06396,,4955724,82443
853.4261,,9609154,94430
853.76051,,9750429,43747
854.0768,,4139755,83845
854.095,,7200887,48199
856.80978,,4059560,76301
858.03882,,4126096,84054
859.07814,,4317885,72044
861.10679,,4178042,81331
861.63722,,3897817,88318
861.6955,,3822912,35390
862.85516,,4074019,68019
863.07376,,3916565,101920
863.1783,,4286938,110143
864.00482,,4014337,74685
865.37419,,4124437,94705
865.64869,,3896781,92308
869.51942,,4272765,94815
870.54199,,4854706,73909
872.74602,,3930769,105711
874.40371,,4420416,70421
875.1392,,6027131,101546
875.75685,,3806180,72511
877.03265,,4332567,102503
879.11195,,5964860,92830
879.61456,,5658267,87547
881.65032,,4395054,109490
881.77262,,4259332,107493
882.0308,,4224186,88056
882.17718,,4498401,69686
882.49803,,4944387,78081
882.56493,,4155826,109893
