spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0603_2x_7-.csv
limit_error:	6.5	2020-03-12
noise_limit:	3030000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
1218.43016	7	200301091.68	RNA	-1.62	0.12	C253H315N91O194P26	2.2
1254.316542	7	81837858906.55	RNA+CMCT	-1.01	0.04	C267H340N94O195P26	402.9
1235.024194	7	3027566491.2164664	RNA+CMCT-A	-0.1	0.02	C262H335N89O195P26	12.2
1238.454673	7	1822638803.22	RNA+CMCT-C	0.15	0.03	C263H335N91O194P26	8.1
1235.881979	7	82503916.31632161	RNA+CMCT-C-H2O	0.34	0.06	C263H333N91O193P26	0.5
1232.73866	7	3097057995.5066056	RNA+CMCT-G	-0.54	0.02	C262H335N89O194P26	12.5
1230.16524	7	207732016.47666228	RNA+CMCT-G-H2O	-0.93	0.08	C262H333N89O193P26	1.5
1251.745877	7	2106800268.41	RNA+CMCT-H2O	0.8	0.01	C267H338N94O194P26	7.7
1215.859364	7	43093636.89	RNA-H2O	0.14	0.28	C253H313N91O193P26	2.3
914.16245	1	9354366.75	a03	-0.11	0.28	C29H35N13O18P2	0.5
763.11852	1	46093738.27421456	a03-G	7.05	0.23	C24H30N8O17P2	1.5
706.589373	2	21405769.65	a05-G	0.1	0.13	C43H53N15O32P4	0.3
934.63458	2	7655745.55	a06	-0.07	0.47	C57H70N23O40P5	2.8
1463.259186	2	27030510.45	a09+CMCT-G	0.23	0.16	C94H124N30O63P8	0.4
1247.161229	3	16569855.42	a12	4.21	0.38	C112H139N40O85P11	2.4
1330.891639	3	29628249.24	a12+CMCT	1.81	0.23	C126H164N43O86P11	1.0
1275.930708	4	21152578.3305578	a16+CMCT-A	-2.26	0.29	C158H204N49O116P15	1.3
1036.116836	5	12368892.78	a17-A	0.84	0.4	C154H191N51O121P16	2.2
1174.575843	5	11801087.175152035	a18+CMCT	3.38	0.37	C182H232N61O130P17	1.6
