spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0705_8-.csv
limit_error:	6.5	2020-05-19
noise_limit:	2690000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
1800.231546	7	27214343.0	RNA	-4.57	0.39	C373H463N155O270P38	5.0
1575.084604	8	838408014.0	RNA	0.45	0.07	C373H463N155O270P38	6.3
1606.481802	8	61810912339.0	RNA+CMCT	-1.28	0.03	C387H488N158O271P38	310.2
1589.601352	8	3567488838.0	RNA+CMCT-A	-0.44	0.05	C382H483N153O271P38	21.9
1592.601648	8	1307898623.0	RNA+CMCT-C	-1.14	0.04	C383H483N155O270P38	7.3
1587.606986	8	5846449070.0	RNA+CMCT-G	2.71	0.01	C382H483N153O270P38	24.0
1585.356043	8	400090657.0	RNA+CMCT-G-H2O	2.95	0.05	C382H481N153O269P38	2.5
1604.230806	8	2341096707.0	RNA+CMCT-H2O	-1.08	0.04	C387H486N158O270P38	13.0
1558.197003	8	67493852.0	RNA-A	-3.26	0.18	C368H458N150O270P38	1.5
1556.20378	8	91562859.0	RNA-G	0.68	0.11	C368H458N150O269P38	1.0
1572.840289	8	112058196.0	RNA-H2O	4.91	0.11	C373H461N155O269P38	1.3
1069.1406	1	7165446.0	a04-G	2.02	0.3	C33H41N10O25P3	0.5
859.60267	2	30200484.0	a06-G	0.84	0.07	C52H64N17O40P5	0.2
1032.124417	2	29535117.0	a07-G	-1.21	0.13	C62H76N22O47P6	0.4
1204.646868	2	25601817.0	a08-G	-2.09	0.23	C72H88N27O54P7	0.9
1529.685111	2	14625685.0	a10-G	-5.65	0.49	C91H112N35O68P9	7.3
1236.155724	3	23263955.0	a12-A	-0.48	0.21	C110H136N43O82P11	0.7
1429.569681	3	12564863.0	a13+CMCT-G	-2.84	0.51	C134H173N51O89P12	7.7
1651.59398	3	34018435.0	a15+CMCT-A	-4.63	0.23	C153H197N59O104P14	1.3
1567.864442	3	64585138.0	a15-A	-2.5	0.31	C139H172N56O103P14	5.3
1362.177495	4	26567574.0	a17	-1.64	0.22	C162H200N66O118P16	0.9
1221.167604	5	13204195.0	a19	3.5	0.16	C182H224N76O130P18	0.2
2119.676906	3	19252162.0	a19+CMCT	-0.04	0.25	C196H249N79O131P18	0.9
1492.943331	4	18502381.0	a19-A	0.65	0.35	C177H219N71O130P18	2.3
1488.949457	4	14957566.0	a19-G	3.91	0.35	C177H219N71O129P18	1.8
1796.76887	4	20667526.0	a22+CMCT-G	-3.35	0.34	C220H279N86O151P21	2.3
1158.314501	6	12399448.0	a22-A	0.99	0.55	C206H254N83O151P21	11.3
1873.033321	4	12546393.0	a23+CMCT-G	-1.01	0.37	C229H291N89O158P22	1.9
1628.241132	5	20162413.0	a25+CMCT-G	-2.04	0.23	C248H315N97O172P24	0.7
1410.37809	6	19957155.0	a26+CMCT-A	3.94	0.32	C257H326N99O181P25	1.8
1824.278209	5	6894208.0	a28+CMCT-G	4.77	0.59	C277H350N109O193P27	9.4
1596.082026	6	19476130.0	a29+CMCT	6.39	0.38	C291H367N117O201P28	3.2
1885.287834	5	13951359.0	a29+CMCT-G	5.34	0.43	C286H362N112O200P28	3.8
1310.45632	7	12852920.0	a29-G	2.15	0.46	C272H337N109O199P28	4.8
1611.707664	6	20726681.0	a30	-3.38	0.38	C287H354N119O207P29	3.4
1304.435383	8	10655015.0	a32+CMCT-A	0.09	0.59	C315H397N124O223P31	14.5
1581.515455	7	70904408.0	a34+CMCT-A	2.26	0.28	C334H421N132O236P33	4.3
1803.388884	6	14609484.0	a34-A	-5.3	0.45	C320H396N129O235P33	4.9
1611.929928	7	40856179.0	a35	1.69	0.27	C335H413N139O241P34	2.3
1900.100587	6	32854152.0	a35+CMCT-A	-3.46	0.28	C344H433N137O242P34	2.0
1628.512283	7	24181653.0	a35+CMCT-A	-4.36	0.39	C344H433N137O242P34	4.4
1858.249291	6	10480440.0	a35-A	4.71	0.43	C330H408N134O241P34	2.9
1855.581369	6	29889754.0	a35-G	3.59	0.23	C330H408N134O240P34	1.1
1639.646217	7	12964306.0	a36-G	3.06	0.49	C340H420N139O247P35	6.5
1789.973311	7	15714411.0	a38+CMCT	-1.05	0.4	C378H474N155O263P37	3.2
1515.813394	8	29031680.0	a38-G	-5.17	0.4	C359H444N147O261P37	5.9
344.04066	1	7083609.0	c01	1.46	0.12	C10H12N5O7P1	0.1
689.088273	1	36096617.0	c02	0.99	0.09	C20H24N10O14P2	0.3
538.03904	1	7079117.0	c02-G	1.59	0.16	C15H19N5O13P2	0.1
995.113504	1	60160025.0	c03	0.61	0.08	C29H35N12O22P3	0.5
1300.15454	1	52001728.0	c04	0.27	0.05	C38H47N15O29P4	0.3
649.574531	2	49625291.0	c04	1.66	0.14	C38H47N15O29P4	0.7
1149.10646	1	10655762.0	c04-G	1.47	0.3	C33H42N10O28P4	0.8
802.586464	2	188223946.0	c05	0.45	0.07	C47H58N17O37P5	1.4
727.06425	2	6300469.0	c05-G	3.92	0.36	C42H53N12O36P5	0.9
975.111267	2	194485126.0	c06	1.48	0.03	C57H70N22O44P6	1.0
899.585713	2	17775433.0	c06-G	0.66	0.17	C52H65N17O43P6	0.4
1147.630943	2	119838476.0	c07	-2.26	0.03	C67H82N27O51P7	0.6
764.752632	3	17107569.0	c07	-0.83	0.21	C67H82N27O51P7	0.5
1072.108551	2	15786350.0	c07-G	-0.26	0.43	C62H77N22O50P7	4.3
1320.152769	2	62028814.0	c08	-3.4	0.1	C77H94N32O58P8	0.6
879.768428	3	21287730.0	c08	-0.74	0.12	C77H94N32O58P8	0.3
1472.680136	2	164326152.0	c09	1.52	0.01	C86H106N35O65P9	0.7
981.450431	3	99953203.0	c09	0.94	0.06	C86H106N35O65P9	0.7
1598.27362	2	27225023.0	c09+CMCT	-2.6	0.16	C100H131N38O66P9	0.5
1397.147667	2	30790659.0	c09-G	-3.96	0.11	C81H101N30O64P9	0.3
931.098113	3	12685068.0	c09-G	-1.71	0.26	C81H101N30O64P9	0.6
1645.200528	2	31262401.0	c10	-0.66	0.16	C96H118N40O72P10	0.6
1096.46421	3	80994836.0	c10	-1.01	0.04	C96H118N40O72P10	0.4
1046.112722	3	20492468.0	c10-G	-2.67	0.13	C91H113N35O71P10	0.3
1198.146855	3	186602004.0	c11	0.92	0.03	C105H130N43O79P11	0.9
1147.792166	3	18700021.0	c11-G	-3.29	0.26	C100H125N38O78P11	0.9
1307.829645	3	215785484.0	c12	-0.21	0.03	C115H142N48O85P12	1.1
1262.809957	3	11221998.0	c12-A	-1.42	0.49	C110H137N43O85P12	5.6
1257.476791	3	31940207.0	c12-G	-2.65	0.32	C110H137N43O84P12	2.9
1422.844945	3	83593809.0	c13	-0.55	0.09	C125H154N53O92P13	0.8
2067.240795	2	12953959.0	c13-A	-2.03	0.43	C120H149N48O92P13	3.5
1372.491503	3	26370912.0	c13-G	-3.22	0.21	C120H149N48O91P13	0.8
1524.531544	3	490326467.0	c14	3.53	0.03	C134H166N56O99P14	2.5
1474.177817	3	95303566.0	c14-G	0.99	0.09	C129H161N51O98P14	0.9
1639.537182	3	76375670.0	c15	-2.92	0.08	C144H178N61O106P15	0.6
1229.401088	4	38699559.0	c15	-2.91	0.13	C144H178N61O106P15	0.5
1741.547597	3	71791736.0	c16	-1.61	0.08	C153H189N63O114P16	0.6
1305.906618	4	122355275.0	c16	-3.35	0.05	C153H189N63O114P16	0.7
1268.14908	4	26078505.0	c16-G	0.35	0.12	C148H184N58O113P16	0.3
1843.222633	3	55197450.0	c17	-4.45	0.14	C162H201N66O121P17	0.8
1382.171924	4	230653015.0	c17	0.45	0.02	C162H201N66O121P17	1.0
1926.969014	3	17280681.0	c17+CMCT	2.56	0.38	C176H226N69O122P17	2.9
1444.966145	4	15378918.0	c17+CMCT	-3.53	0.36	C176H226N69O122P17	2.1
1344.409722	4	45896119.0	c17-G	0.57	0.09	C157H196N61O120P17	0.4
1464.430057	4	238589447.0	c18	-2.99	0.02	C172H213N71O127P18	1.1
1171.343937	5	16583959.0	c18	-1.84	0.37	C172H213N71O127P18	2.5
1426.674158	4	51173793.0	c18-G	1.45	0.12	C167H208N66O126P18	0.6
1546.696837	4	201650607.0	c19	-0.47	0.04	C182H225N76O133P19	1.1
1237.155695	5	12601655.0	c19	-0.73	0.26	C182H225N76O133P19	0.6
2017.589025	3	16160715.0	c19-A	3.97	0.39	C177H220N71O133P19	3.0
1512.930019	4	20700261.0	c19-A	-2.59	0.35	C177H220N71O133P19	2.5
1623.204492	4	118091534.0	c20	0.37	0.08	C191H236N78O141P20	1.0
1298.363614	5	67563302.0	c20	1.51	0.11	C191H236N78O141P20	0.8
1686.01332	4	150765688.0	c20+CMCT	5.63	0.07	C205H261N81O142P20	1.1
1268.150318	5	10169156.0	c20-G	-1.15	0.35	C186H231N73O140P20	1.3
1367.373659	5	65269223.0	c21	1.84	0.08	C201H248N83O148P21	0.5
1772.271386	4	70363631.0	c21+CMCT	3.21	0.13	C215H273N86O149P21	1.0
1417.611349	5	17936009.0	c21+CMCT	0.18	0.46	C215H273N86O149P21	6.6
1433.180136	5	55344385.0	c22	-1.06	0.11	C211H260N88O154P22	0.6
1854.522279	4	15369538.0	c22+CMCT	-3.53	0.49	C225H285N91O155P22	7.7
1483.414988	5	35798321.0	c22+CMCT	-4.46	0.29	C225H285N91O155P22	2.4
1494.192201	5	114182547.0	c23	1.53	0.07	C220H272N91O161P23	0.9
1930.793015	4	72323517.0	c23+CMCT	2.0	0.09	C234H297N94O162P23	0.7
1544.430177	5	120727648.0	c23+CMCT	0.2	0.07	C234H297N94O162P23	0.9
1514.217348	5	24733394.0	c23+CMCT-G	-1.74	0.38	C229H292N89O161P23	4.1
1463.983598	5	11545215.0	c23-G	2.44	0.52	C215H267N86O160P23	7.8
1563.197148	5	40049044.0	c24	-1.44	0.27	C230H284N96O168P24	2.2
2017.053189	4	16780491.0	c24+CMCT	1.08	0.4	C244H309N99O169P24	3.4
1979.294334	4	14671318.0	c24+CMCT-G	2.87	0.51	C239H304N94O168P24	8.9
1279.985711	6	13358245.0	c24-A	-2.73	0.38	C225H279N91O168P24	2.2
1624.208163	5	76793436.0	c25	0.31	0.15	C239H296N99O175P25	1.3
2093.326144	4	30867105.0	c25+CMCT	7.08	0.28	C253H321N102O176P25	1.9
1674.444771	5	55562377.0	c25+CMCT	-1.69	0.17	C253H321N102O176P25	1.1
1195.739094	7	8719429.0	c25+CMCT	-5.95	0.37	C253H321N102O176P25	1.3
1685.412858	5	33704777.0	c26	0.09	0.35	C248H307N101O183P26	4.1
2169.831448	4	28609803.0	c26+CMCT	6.36	0.45	C262H332N104O184P26	9.6
1735.654826	5	148166327.0	c26+CMCT	1.24	0.09	C262H332N104O184P26	1.4
1239.467446	7	12120409.0	c26+CMCT	2.69	0.45	C262H332N104O184P26	4.1
1705.446612	5	17182443.0	c26+CMCT-G	2.25	0.46	C257H327N99O183P26	6.4
1461.844524	6	26267146.0	c27	-4.17	0.42	C258H319N106O190P27	6.5
1804.653922	5	68784766.0	c27+CMCT	-4.56	0.15	C272H344N109O191P27	1.1
1436.672518	6	14320983.0	c27-G	-2.23	0.44	C253H314N101O189P27	4.3
1516.687786	6	38360570.0	c28	-3.24	0.43	C268H331N111O196P28	10.5
1870.477301	5	30061735.0	c28+CMCT	2.48	0.32	C282H356N114O197P28	2.7
1793.228979	5	11256016.0	c28-A	4.0	0.46	C263H326N106O196P28	4.2
1790.025416	5	16147806.0	c28-G	1.45	0.37	C263H326N106O195P28	2.4
1567.528921	6	50965973.0	c29	-2.55	0.14	C277H343N114O203P29	0.8
1931.489331	5	76740159.0	c29+CMCT	4.36	0.24	C291H368N117O204P29	3.1
1542.35467	6	27590277.0	c29-G	-2.17	0.33	C272H338N109O202P29	2.8
1625.048586	6	60862190.0	c30	4.77	0.15	C287H355N119O210P30	1.0
2000.50114	5	123237478.0	c30+CMCT	5.37	0.09	C301H380N122O211P30	1.1
1666.902559	6	82407665.0	c30+CMCT	-2.94	0.15	C301H380N122O211P30	1.4
1973.47407	5	14836705.0	c30+CMCT-A	-2.75	0.51	C296H375N117O211P30	9.0
1641.735061	6	29464227.0	c30+CMCT-G	1.53	0.35	C296H375N117O210P30	3.6
1599.871931	6	25326045.0	c30-G	3.75	0.43	C282H350N114O209P30	6.9
1682.547578	6	44405523.0	c31	-0.69	0.18	C297H367N124O217P31	1.0
1724.421999	6	53212129.0	c31+CMCT	3.85	0.21	C311H392N127O218P31	1.6
1775.424241	6	142756441.0	c32+CMCT	2.63	0.07	C320H403N129O226P32	1.1
1830.266741	6	59279632.0	c33+CMCT	2.77	0.34	C330H415N134O232P33	6.6
1805.083197	6	43786005.0	c33+CMCT-G	-1.98	0.22	C325H410N129O231P33	1.5
1513.482661	7	21770980.0	c33-A	6.62	0.43	C311H385N126O231P33	6.0
1881.109401	6	165338069.0	c34+CMCT	4.0	0.06	C339H427N137O239P34	1.1
1855.922122	6	24850518.0	c34+CMCT-G	-2.62	0.19	C334H422N132O238P34	0.6
1935.954747	6	44323384.0	c35+CMCT	5.57	0.28	C349H439N142O245P35	2.7
1659.23815	7	110874377.0	c35+CMCT	0.91	0.1	C349H439N142O245P35	1.1
1639.935431	7	23273031.0	c35+CMCT-A	-4.7	0.36	C344H434N137O245P35	3.2
1463.434397	8	13612459.0	c36	-1.86	0.43	C345H426N144O251P36	3.7
1708.520329	7	177653145.0	c36+CMCT	-5.15	0.17	C359H451N147O252P36	3.6
1686.950901	7	41102648.0	c36+CMCT-G	0.15	0.23	C354H446N142O251P36	1.5
1757.816876	7	94695670.0	c37+CMCT	-2.7	0.11	C369H463N152O259P37	1.1
1576.097779	8	193617512.0	c38+CMCT	-0.25	0.1	C378H475N155O266P38	2.0
1557.220193	8	35015600.0	c38+CMCT-G	2.05	0.4	C373H470N150O265P38	7.1
627.08645	1	11630170.0	w02	0.94	0.19	C18H26N6O15P2	0.3
972.13206	1	20787487.0	w03	-1.27	0.27	C28H38N11O22P3	1.1
1317.18045	1	9045053.0	w04	-0.21	0.34	C38H50N16O29P4	1.0
822.612849	2	11813751.0	w05	-0.17	0.18	C48H62N21O35P5	0.3
975.13556	2	19601914.0	w06	1.98	0.41	C57H74N24O42P6	4.4
1292.671784	2	24073610.0	w08	-0.59	0.1	C76H97N31O56P8	0.2
1217.148374	2	12442091.0	w08-G	0.44	0.23	C71H92N26O55P8	0.5
1193.156376	3	11314024.0	w11	-1.35	0.37	C105H133N44O77P11	1.7
1519.862346	3	15995396.0	w14	-2.67	0.49	C134H168N56O98P14	8.0
1603.601435	3	178942760.0	w14+CMCT	1.11	0.54	C148H193N59O99P14	147.3
