spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0707_10sb.csv
limit_error:	6.5	2020-07-21
noise_limit:	4580000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
1259.862717	10	1082892879.0	RNA	-2.34	0.08	C373H463N155O270P38	5.4
1284.984236	10	262680462668.0	RNA+CMCT	-1.09	0.03	C387H488N158O271P38	776.1
1271.478345	10	13599948034.0	RNA+CMCT-A	-1.45	0.02	C382H483N153O271P38	37.6
1410.872395	9	36547437.0	RNA+CMCT-A-H2O	4.17	0.07	C382H481N153O270P38	0.2
1273.876926	10	9822095018.0	RNA+CMCT-C	-3.44	0.07	C383H483N155O270P38	43.2
1413.534809	9	35689028.0	RNA+CMCT-C-H2O	0.27	0.45	C383H481N155O269P38	7.0
1272.077723	10	1759849190.0	RNA+CMCT-C-H2O	-1.99	0.02	C383H481N155O269P38	4.9
1269.880785	10	12276261143.0	RNA+CMCT-G	0.07	0.01	C382H483N153O270P38	29.6
1268.08263	10	541587283.0	RNA+CMCT-G-H2O	2.36	0.06	C382H481N153O269P38	2.2
1283.186171	10	5298370573.0	RNA+CMCT-H2O	1.24	0.05	C387H486N158O270P38	18.6
1246.356281	10	113690839.0	RNA-A	-3.15	0.11	C368H458N150O270P38	0.7
1248.758243	10	95515855.0	RNA-C	-2.48	0.16	C369H458N152O269P38	1.0
1556.205408	8	22222997.0	RNA-G	1.73	0.52	C368H458N150O269P38	8.8
1244.758763	10	109970642.0	RNA-G	-1.57	0.09	C368H458N150O269P38	0.6
1397.961614	9	44127007.0	RNA-H2O	0.1	0.1	C373H461N155O269P38	0.3
1258.067464	10	162184567.0	RNA-H2O	2.27	0.08	C373H461N155O269P38	0.8
859.603052	2	59388780.0	a06-G	1.28	0.08	C52H64N17O40P5	0.3
1032.124624	2	52321852.0	a07-G	-1.01	0.07	C62H76N22O47P6	0.2
1280.176297	2	237512200.0	a08	1.72	0.05	C77H93N32O55P7	0.8
1204.647469	2	41823737.0	a08-G	-1.59	0.26	C72H88N27O54P7	1.2
954.792448	3	19925437.0	a09	-1.69	0.28	C86H105N35O62P8	0.7
1019.462051	3	25239727.0	a10-G	1.94	0.31	C91H112N35O68P9	1.2
1281.171147	3	141027099.0	a12	-2.6	0.05	C115H141N48O82P11	0.5
1972.346418	2	22884395.0	a12+CMCT-G	2.98	0.44	C124H161N46O82P11	4.1
1236.154116	3	27512234.0	a12-A	-1.78	0.49	C110H136N43O82P11	8.1
1230.830452	3	21744138.0	a12-G	4.69	0.27	C110H136N43O81P11	0.7
1429.577078	3	27186470.0	a13+CMCT-G	2.33	0.03	C134H173N51O89P12	0.1
1009.132945	4	25132035.0	a13-G	4.36	0.14	C120H148N48O88P12	0.2
1123.152122	4	41003522.0	a14	0.8	0.21	C134H165N56O96P13	0.7
1348.71936	4	78798032.0	a16+CMCT	0.01	0.11	C167H213N66O112P15	0.5
1089.539709	5	42112036.0	a17	-2.4	0.09	C162H200N66O118P16	0.2
907.783486	6	23017525.0	a17	-0.63	0.37	C162H200N66O118P16	2.0
1555.749837	4	18049628.0	a19+CMCT-A	4.84	0.27	C191H244N74O131P18	0.6
1492.945052	4	27374342.0	a19-A	1.8	0.4	C177H219N71O130P18	3.3
1194.152309	5	29081353.0	a19-A	-0.11	0.12	C177H219N71O130P18	0.2
1603.213627	4	17843908.0	a20	0.82	0.58	C191H235N78O138P19	12.9
1282.376073	5	608084715.0	a20	5.99	0.05	C191H235N78O138P19	2.1
1068.477704	6	18468775.0	a20	4.92	0.22	C191H235N78O138P19	0.4
1332.616485	5	50436423.0	a20+CMCT	6.11	0.19	C205H260N81O139P19	0.7
1302.393743	5	19127757.0	a20+CMCT-G	-3.62	0.18	C200H255N76O138P19	0.3
1045.968454	6	20742589.0	a20-A	4.86	0.41	C186H230N73O138P19	2.7
