m/z,z,I,Res.
204.09694,,4260282,506196
204.12858,,6129899,388747
212.56736,,4164173,356354
214.27769,,4174568,371751
216.5267,,4149535,333941
226.81355,,4387045,299241
243.38359,,4178965,241461
243.62578,,4277762,258012
243.94583,,4437717,241857
265.23362,,4303670,261303
267.55799,,4380664,310452
268.25329,,4423152,278535
278.84845,,4216615,227682
285.68683,,10130012,279507
285.70758,,4628538,483980
285.7088,,22781658,286847
285.71162,,4731065,215767
285.7167,,5956153,246690
285.72965,,4240791,240873
285.73081,,42699864,278868
285.73295,,4263127,373013
285.73863,,5340822,285957
285.75177,,4544148,604393
285.75297,,47872340,281832
285.76084,,5375315,370371
285.77402,,5909842,541255
285.77518,,45555792,278696
285.77677,,4837905,378485
285.79559,,4583311,455426
285.79748,,37713488,284429
285.81814,,4240493,424525
285.81989,,25220812,278588
285.84226,,11912265,309135
285.86485,,5282855,234349
285.90949,,4208386,386389
286.26427,,4684184,368416
290.29785,,4176450,229746
293.32663,,4223788,244717
296.42266,,4257296,210881
301.92448,,4463905,200730
318.05906,,4257077,199402
319.56491,,4408090,213867
320.95072,,4241333,92471
325.11726,,4229468,257477
325.6711,,4268205,189299
326.68539,,4160969,261179
330.59614,,4369917,198809
335.55363,,4673318,233332
336.99335,,4475573,220350
339.72982,,4251740,170469
348.10155,,4274159,215482
351.60406,,4227729,184681
353.08163,,4270656,208886
354.57486,,4193778,204485
355.60394,,4334943,127708
358.20113,,4177177,226284
362.31205,,4254632,193308
366.19031,,4415019,239289
375.01231,,4278048,177274
375.41238,,4699115,178723
375.50762,,4247394,118444
376.22176,,4720815,206977
381.787,,4199356,89654
382.67677,,4313348,188077
384.73779,,4222404,113203
385.57359,,4193180,200680
386.53729,,4655391,134350
388.33733,,4239553,226750
393.58235,,4461510,172433
399.11926,,4230773,180506
399.58631,,4400408,212304
403.27227,,4186391,147142
407.40541,,4336989,89921
408.28792,,4816767,206122
409.57555,,4710777,205663
411.99869,,4461551,88732
422.97439,,4446059,195346
423.13006,,4402482,154664
423.6205,,4424230,178736
424.40985,,4552926,172585
424.7888,,4479751,134988
426.09522,,4327426,100422
426.30218,,4507000,185578
428.92637,,4357247,187964
430.05369,,4248865,184681
433.46173,,4606191,226352
434.72755,,4747646,194701
434.83948,,4600504,125482
439.18954,,4895847,163310
441.89203,,4234112,154509
441.95041,,6118740,167233
445.29911,,4401307,119095
445.42189,,4282319,165200
448.8723,,4269160,129567
449.69949,,4791391,182131
449.96239,,4543721,169626
450.31539,,4607356,178453
452.59308,,4777429,93526
454.93779,,4585817,141753
457.15222,,4525210,149452
457.3352,,4776246,135457
457.70326,,4428659,188993
460.93581,,4752322,129944
461.55488,,4414422,158820
461.78798,,5038343,126514
462.30433,,4305210,78393
464.15677,,4460228,96682
465.24977,,4613534,176878
465.59768,,4419597,210046
466.01388,,4296236,120091
466.37146,,4287341,126241
466.85144,,4282356,197366
467.94027,,4883353,143161
468.26459,,4863400,146884
468.87625,,4784204,187207
469.67747,,4370984,161636
470.55255,,4435648,151686
470.6693,,4359808,270372
470.70081,,5936692,179408
470.89431,,4518641,172117
471.04789,,5417069,199747
471.12357,,4417642,203432
471.18899,,5417685,238469
471.33709,,4752969,240937
472.01619,,4783271,176498
472.04131,,4483280,226921
472.89756,,4950614,182048
473.48873,,4615080,196129
474.89721,,4325707,251893
475.28141,,4290315,161356
475.49966,,4438071,154470
475.54388,,4761345,205574
475.5925,,4534610,262860
476.07387,,14173686,168952
476.1114,,23563572,184626
476.14861,,31397234,172915
476.19446,,26785728,124253
476.23179,,27595262,98714
476.26823,,28671548,113632
476.29688,,29319786,192720
476.92649,,5083913,183683
