m/z,z,I,Res.
231.49533,,2782891,367033
232.63088,,2723336,215826
235.41809,,2868347,290619
244.51232,,2732182,243844
261.23405,,2771160,239772
288.32058,,2804806,195681
302.60694,,2836673,223357
304.49114,,3478632,274805
304.52432,,8469543,285592
304.55754,,16176871,270911
304.59091,,17187430,262176
304.6243,,11995366,266689
304.65798,,7662758,279764
304.6914,,2872726,248284
310.35968,,2712938,223926
311.26563,,2814901,253269
313.52731,,2962272,178681
316.26855,,2981888,194149
347.72699,,2912431,190597
361.18459,,2719387,195626
361.72636,,2753643,187812
362.37386,,2766332,196246
362.88223,,2799974,139585
364.4665,,2853410,171946
375.81799,,2820856,206704
382.12331,,2995078,60536
383.09704,,2880386,139437
383.88452,,2829777,186865
385.57187,,2904478,214518
387.26131,,3248495,151507
390.28674,,3054738,125829
391.07069,,2747995,140160
391.97667,,2842941,162680
399.96591,,2763897,135909
401.00401,,2948534,202515
402.54154,,2830354,176422
404.16641,,2868494,189869
405.65672,,2739051,157005
408.66123,,2797946,192971
413.7298,,2744288,183617
418.63485,,3023818,126266
421.59994,,2821975,126210
422.1563,,2991021,124345
425.26718,,2895702,176321
425.76474,,2929806,192520
427.24578,,2965685,222598
428.97325,,2776150,158443
430.63511,,2748471,200000
434.26046,,3253856,136184
440.13077,,2856080,128100
442.23092,,3185406,148999
442.96749,,2882616,128164
445.39209,,2802161,107516
448.56577,,2943645,166629
461.29168,,3014556,159384
461.94624,,2904973,198290
462.22528,,2807549,127015
463.77005,,2899794,127277
464.3445,,2949653,126597
464.43318,,2835474,114074
467.69972,,2839293,146843
473.10224,,3117296,176421
479.00709,,3510525,142275
482.40078,,3126286,129990
485.36244,,2877102,55624
488.58672,,3020837,180456
488.98131,,3005822,140957
494.95213,,2908549,118764
496.5608,,3335497,182893
499.63997,,2914591,150521
499.76428,,2816539,161178
499.91368,,3323470,133285
505.96838,,3217784,115714
509.65374,,2969237,131430
511.19098,,2962417,167773
511.33113,,3351552,116333
513.69059,,2923660,152029
515.12916,,2839794,133293
516.45305,,2994502,127145
516.66329,,2914335,155679
520.23157,,2972178,150973
524.30018,,2910061,140312
527.40819,,3019156,134079
527.73509,,3225869,122502
527.8986,,3053882,136612
531.29065,,2912836,150901
534.36219,,3205902,113063
535.36472,,3209341,119551
535.45002,,3020857,112911
541.31252,,2848312,138283
541.53028,,3095875,106311
546.13951,,3391301,105320
547.11965,,15984783,149464
547.72914,,3261862,165853
547.98302,,3033787,133322
548.12369,,2965268,173107
549.55466,,3180909,101734
549.68483,,3750267,95988
550.38638,,3080825,135734
552.80243,,3037772,101119
553.47975,,3234354,140678
554.51575,,2920674,160455
555.28147,,2897354,138155
557.90807,,2920243,73407
558.46372,,2976214,120242
559.66839,,2888134,151187
562.66271,,2949231,107335
562.83021,,3272265,105401
564.65507,,3070027,107722
565.34703,,2999625,157037
566.37947,,3136833,142108
567.20538,,2967221,114510
568.68106,,3126586,157560
569.8146,,2898148,122053
571.97488,,2936581,111120
572.85401,,3112055,92529
573.04732,,2940846,146168
573.80631,,2884667,121502
574.36628,,3128394,107267
575.50379,,2942012,126242
577.32152,,2915461,155691
579.57318,,3022676,121724
583.15956,,3073398,146164
583.93526,,3024504,58215
584.27327,,3550737,140962
586.39253,,3077007,146063
587.08895,,3079545,102750
587.28933,,3537849,88838
587.56794,,3024560,124396
590.24082,,2916441,129727
591.39993,,2919528,118109
591.70171,,2915769,69373
592.22995,,3254087,118932
593.67372,,3253331,93732
593.73397,,3422263,93861
594.60045,,2977087,108607
595.07922,,2927157,144023
596.96875,,3312882,131243
598.10058,,6830562,124833
598.42954,,3321297,139522
598.61363,,3270046,78433
603.44472,,3008745,53839
603.62765,,2972340,121398
605.45555,,2925608,135036
606.69642,,3213645,150308
611.36708,,2948563,111748
611.79293,,3335403,97563
614.77941,,3174361,133592
618.7491,,3302014,129302
619.46474,,3068947,155814
619.78789,,2955960,119213
621.31556,,2936428,45967
623.8369,,3029473,98205
625.96762,,2940548,141014
626.11748,,3041128,104716
627.0858,,13740749,127904
629.47917,,3260615,78348
631.20395,,3507489,123666
631.39875,,3540406,108805
632.54448,,3062805,137796
633.0869,,3385059,150572
634.59702,,3009868,132722
635.43098,,3003125,51818
635.77584,,3502923,104198
638.11641,,3174063,123849
639.84282,,3124150,122474
641.85902,,3085359,42436
643.86922,,3150492,151358
646.5912,,3221689,110707
649.08158,,5627155,120787
649.39477,,3815007,111624
650.27305,,3033218,108863
650.39792,,3158790,111217
650.4224,,2968288,138135
651.31837,,3690964,135875
651.82256,,2970313,91500
652.8695,,2987066,142545
653.99774,,3195487,129571
656.29923,,3338319,144052
658.594,,3269517,86534
659.18848,,3372824,109004
659.90307,,3123072,114205
660.95806,,3302247,87469
661.86271,,3018673,83792
663.67477,,2985281,115648
667.97253,,3480187,63152
669.08445,,16734440,125876
669.58642,,6186727,130422
670.08661,,3131363,138955
671.0708,,3857354,107453
674.50172,,3126926,107715
675.22101,,3150047,99606
679.11656,,3099978,139388
681.60368,,3074148,137476
683.39241,,3062432,85292
683.54017,,3404048,84122
683.73727,,3038098,118436
684.61073,,3136871,131126
684.89912,,3037504,45579
686.0879,,3504421,73674
686.65781,,3499279,91964
687.10291,,3008030,117087
689.0874,,20603996,116752
689.35309,,3376475,99939
689.99046,,3147392,110248
690.09091,,4100769,72411
690.1869,,3073021,102507
690.43581,,3170124,90412
690.68657,,3046108,106599
690.8034,,3646316,49276
696.39744,,3755795,104782
696.88122,,3190043,89110
698.97103,,3459110,86023
699.79347,,3188999,81158
699.82887,,3282088,99999
699.846,,3084856,104449
701.13392,,3043688,128700
701.94021,,3129878,107671
704.49246,,3336143,110357
704.88184,,3181813,46333
708.46075,,3324226,107446
708.55424,,3678167,107685
711.12462,,3056244,69433
711.20296,,3107051,82651
711.24094,,3415710,131818
712.74668,,3378155,82547
712.90931,,3179262,99654
714.15627,,3090974,88277
716.14762,,3298194,117586
717.17763,,3436582,117446
717.87362,,3115601,110826
725.57675,,3180599,120467
726.37916,,3192782,82162
728.00541,,3048876,135669
728.05768,,3084569,84574
729.27109,,3163053,128514
729.84107,,3476342,73983
729.90662,,3056334,98016
730.17945,,3363896,133237
731.6277,,3066190,109907
731.77981,,3062864,107244
733.65512,,3158731,31706
735.69954,,3209420,109395
737.49717,,3613173,88978
737.54,,3164761,109770
739.2087,,4217038,74857
742.10838,,3431867,32960
742.98244,,3575118,80336
749.32513,,4197340,78866
751.11321,,23982660,110054
751.61481,,13525978,121905
752.11553,,3765102,101117
752.41801,,3335009,88104
752.59045,,3155948,103657
755.30104,,3254314,103967
756.30851,,3146191,108745
757.90479,,3168004,79656
758.40966,,3096468,87611
758.6631,,3176765,48228
759.29965,,3088917,118839
760.62875,,3130030,88360
760.98756,,3512072,144313
761.15998,,3509519,118748
761.20507,,5232563,123999
761.24243,,5416017,119187
761.27546,,4653931,150742
761.28803,,4592500,119713
761.32571,,7058706,109708
761.3704,,4727861,116804
761.40803,,5776723,90391
761.57557,,4290775,118572
761.59485,,3183206,102108
764.09802,,3081613,72632
766.95321,,3145913,71469
768.37395,,3171523,112095
772.9227,,3566883,64160
773.10758,,3890864,89168
774.67903,,3274779,104715
779.07926,,3429906,79422
779.99193,,3309822,75170
